#Decisions ;;;;;;;;;;;;;;x
toggle_customization_options;See/Hide Customization Options;;;;;;;;;;;
customization.43.desc;This event will allow you to remove all customization options from the decisions menu - you won't be able to access them. Ever. This option is for those who find the customization options immersion-breaking. If you wish to want to re-enable customization options, type "event customization.45" in the console which will trigger an event.;;;;;;;;;;;
customization.44.desc;Are you really sure? :(\n(Remember about typing "event customization.45" into the console if you change your mind. (Although it wouldn't be possible on ironman...));;;;;;;;;;;
customization.45.desc;Ha! I told you you'd miss those customization options! :p;;;;;;;;;;;
are_you_really_sure_customization_options;Are you really sure?;;;;;;;;;;;
customization.46.desc;This decision/event will allow you to choose what name the Empire of Francia is known by in the game. You can always change it to something else, or set it back to the default “Francia” if you change your mind. If you want to reset, select the last option, “Francia” (default)”.;;;;;;;;;;;
customization.47.desc;More options.\n\n(By the way, I like my french bread soft.);;;;;;;;;;;
customization.48.desc;This event will change the chances the Ghaznavids will appear.;;;;;;;;;;;
customization.49.desc;This "cheat" event allows you to set the Silk Road's prosperity level. For instance, from 1066 starts onward, it has a prosperity level of 0, meaning it can't be revived. At level 1 or 2, it can be revived, but it'll take some work. At level 3, the Silk Road has revived. BE CAREFUL WITH THESE, only change these if you know how they work!;;;;;;;;;;;
customization.50.desc;More options.\n\nSilk Road ahoy!;;;;;;;;;;;
customization.51.desc;xxxx;;;;;;;;;;;
