EVTOPTAsiegewin4;He's no where to be found, my Lord.  Shall we ask his family along with us?;;;;No hay forma de encontrarle, mi señor. ¿Invitamos a su familia a venir con nosotros?;;;;;;;;;;x
EVTOPTAsiegewin5;Let them all go, I'm feeling merciful today.;;;;Dejad que se vayan, hoy me siento misericordioso.;;;;;;;;;;x
EVTOPTAsiegewin6;Take no prisoners...;;;;No hagáis prisioneros...;;;;;;;;;;x
EVTDESCsiegeprestige;My Lord, the keep has fallen!;;;;Mi Señor, ¡la fortaleza ha caído!;;;;;;;;;;x
EVTTOOLTIPenemynothere;If the enemy is not defending, this does nothing.;;;;El enemigo no se defiende, esto no es nada.;;;;;;;;;;x
EVTOPTAsiegewinprestige;My name will live for ever!;;;;¡Mi nombre vivirá por siempre!;;;;;;;;;;x
EVTOPTAsiegewinbanner;Another banner to hang proudly in my hall.;;;;Otra bandera que lucir con orgullo en mi salón.;;;;;;;;;;x
EVTDESCsiegenoenemy;My Lord, the enemy is nowhere to be found...;;;;Mi Señor, el enemigo no está por ningún lado...;;;;;;;;;;x
EVTOPTAnoenemy1;Leave them all be.;;;;Dejadles en paz.;;;;;;;;;;x
EVTOPTAnoenemy2;We will ask the family along with us, then.;;;;Les pediremos que vengan con nosotros, entonces.;;;;;;;;;;x
EVTOPTAnoenemy3;Execute the whole family.;;;;Ejecuta a toda la familia.;;;;;;;;;;x
EVTOPTleavedecision;I shall leave the decision to my liege.;;;;Dejaré la decisión a mi señor.;;;;;;;;;;x
EVTOPTleavedecisionmerc;I am not interested, let the employer decide.;;;;No me interesa, dejad que el empleado decida.;;;;;;;;;;x
EVTOPTAwaylitfriendlycapture;Liberated!;;;;¡Libre!;;;;;;;;;;x
EVTDESCWAYsearchdungeons;Yes, my Lord, we will search the dungeons at once!;;;;Sí, mi Señor, ¡buscaremos en las mazmorras inmediatamente!;;;;;;;;;;x
EVTOPWAYprisonrelease01;Release all prisoners.;;;;Liberad a todos los prisioneros.;;;;;;;;;;x
EVTOPWAYprisonrelease02;Release anybody with whom we have common cause.;;;;Liberad a cualquiera con quien tengamos una causa común;;;;;;;;;;x
EVTOPWAYprisonrelease03;Release only my relatives. Some of these other fellows look like they are here for a good reason...;;;;Liberad sólo a mis parientes. Alguno de estos tipos parecen estar aquí por una buena razón...;;;;;;;;;;x
EVTOPWAYprisonrelease04;Whomever these people are, they smell like they belong here...;;;;Quienquiera que fuera esta gente, me huele que aquí es donde deben estar...;;;;;;;;;;x
EVTDESCWAYsiegepulseflee;My Lord, an enemy host approaches intent on encircling the castle.  What shall we do?;;;;Mi Señor, se acerca un ejército enemigo decidido a rodear el castillo. ¿Qué debemos hacer?;;;;;;;;;;x
EVTNAMEWAYsiegepulseflee;Fight or Flee?;;;;¿Pelear o Huir?;;;;;;;;;;x
EVTOPTWAYsiegepulseflee01;This castle is impregnable. We will be safest here.;;;;Este castillo es inexpugnable. Estamos más seguros dentro.;;;;;;;;;;x
EVTOPTWAYsiegepulseflee02;Send my family into hiding, I cannot risk them being captured.;;;;Esconded a mi familia, no puedo permitirme que les capturen.;;;;;;;;;;x 
EVTOPTWAYsiegepulseflee03;I will take my family and hide until it is safe.;;;;Cogeré a mi familia y nos esconderemos hasta que sea seguro.;;;;;;;;;;x
EVTNAMEWAYsiegeescape;An opportunity presents itself!;;;;¡De pronto se presenta una oportunidad!;;;;;;;;;;x
EVTDESCWAYsiegeescape;My Lord, the situation looks dire. If no relief comes soon you could fall into the hands of the enemy. The time to escape is now...we may not get another chance!;;;;Mi Señor, la situación es terrible. Si no llega ayuda pronto, podríais caer en las manos del enemigo. Ha llegado la hora de escapar... ¡no tendremos otra oportunidad!;;;;;;;;;;x
EVTOPTWAYsiegesescapeattempt01;Slip out a postern door at midnight.;;;;Deslizarse por una poterna a medianoche.;;;;;;;;;;x
EVTOPTWAYsiegesescapeattempt02;Brave the sewers.;;;;Desafiar las alcantarillas.;;;;;;;;;;x
EVTOPTWAYsiegesescapeattempt03;Just give me a rope...;;;;Tú dame una cuerda...;;;;;;;;;;x
EVTOPTWAYsiegesescapeattempt04;I think it's better that we wait.;;;;Creo que es mejor esperar.;;;;;;;;;;x
EVTDESCRWAYnotifyofcapture1;Just as I thought I had made it to freedom, a group of armed men appear under the banner of my foe.  Exhausted from my escape, it is all I can do to croak the word 'yield.';;;;Justo cuando pensaba que había escapado, aparece un grupo de hombres armados con la bandera de mi rival. Exhausto por el intento de fuga, apenas puedo graznar “¡Me rindo!”;;;;;;;;;;x
EVTDESCRWAYnotifyofcapture2;My Lord, we've caught the enemy commander sneaking out the castle!;;;;Mi Señor, hemos atrapado al comandante enemigo colándose en el castillo.;;;;;;;;;;x
EVTNAMEWAYnotifyofoutcome;Escape Attempt;;;;Intento de fuga;;;;;;;;;;x
EVTTOOLTIPsiegecapturedenemy;[Root.GetTitledName] is imprisoned by the enemy.;;;;[Root.GetTitledName] es encarcelado por el enemigo.;;;;;;;;;;x
EVTTOOLTIPsiegeescaped;[Root.GetTitledName] escapes to the countryside!;;;;¡[Root.GetTitledName] escapa a la campiña!;;;;;;;;;;x
EVTOPWAYsiegecapture01;Take them back to my castle dungeons immediately!;;;;¡De vuelta a la mazmorra!;;;;;;;;;;x
EVTOPWAYsiegecapture02;Damn you all to hell!;;;;¡Así os pudráis en el infierno!;;;;;;;;;;x
EVTDESCRWAYnotifyofescape01;In the dead of night, as a low mist hung about the curtain wall, you creep out a postern door and float across the moat on an inflated sheepskin.  It's only by the ineptitude of the enemy watch that you stagger, dripping wet, through the siege lines and to the safety of a nearby wood.  Thanks be to God! ... Although any family left behind is likely angry with us...;;;;En lo profundo de la noche, mientras una niebla baja cubre la muralla, te escabulles por una poterna y superas el foso con la ayuda de un pellejo de oveja inflado. Es gracias a la ineptitud de la guardia que logras pasar agazapado y chorreando entre las tropas del asedio a la seguridad de un bosquecillo cercano. ¡Gracias a Dios! … Aunque cualquier familiar que quedara atrás estará enfadado contigo...;;;;;;;;;;x
EVTDESCRWAYnotifyofescape02;Your steward leads you down into the store rooms to a passage you didn't even know existed.  Beyond it, a dismal tunnel full of death and decay, and you are only too glad to reach the moat and relatively fresh water. I hope I never have to do that again!  It only now occurs to me that any family left behind is likely angry with me for leaving them in the hands of the enemy.;;;;Tu mayordomo te conduce por los almacenes hasta un pasadizo que no conocías. Tras él, un siniestro túnel lleno de muerte y decadencia, por el que consigues llegar felizmente al foso.¡Esperas no tener que repetirlo jamás! Sólo entonces piensas en el enfado de los parientes que dejaste atrás en manos del enemigo.;;;;;;;;;;x
EVTDESCRWAYnotifyofescape03;They said only a lunatic would attempt climbing down the southeast wall, and certainly the enemy agreed!  A near thing, too, when my foot slipped on that patch of moss.  My brush with death over with, and safety assured, it only now occurs to me that any family left behind will see this as a desertion, not a bold deed of heroism...;;;;Se dice que sólo un lunático intentaría escalar por el muro sureste, ¡ciertamente el enemigo pensaba lo mismo! Estuvo cerca cuando resbalaste en ese trozo de musgo. Superado el pulso a la muerte y en lugar seguro, justo ahora se te ocurre pensar que los familiares que dejaste en manos del enemigo verán tu hazaña como un simple acto de deserción...;;;;;;;;;;x
EVTTOOLWAYfamilyhatesyou;is imprisoned by the enemy and any family members left behind in the castle aren't too happy about it.;;;;ha sido encarcelado por el enemigo y los miembros de la familia dejados atrás en el castillo no están muy contentos.;;;;;;;;;;x
EVTDESCswapletterenemy;[From.GetTitledName] would like to arrange a prisoner exchange.;;;;A [From.GetTitledName] le gustaría acordar un intercambio de prisioneros.;;;;;;;;;;x
EVTDESCswapletterroot;My Lord, shall we send letters out requesting a meet for prisoner exchange?;;;;Mi Señor, ¿debo enviar las cartas solicitando el intercambio de prisioneros?;;;;;;;;;;x
EVTDESCswapletteraccept;The prisoner exchange has been accepted!;;;;¡El intercambio de prisioneros ha sido aceptado!;;;;;;;;;;x
EVTNAMEWAYprisonerswap;Prisoner Exchange;;;;Intercambio de prisioneros;;;;;;;;;;x
arrange_prisoner_swap;Arrange an exchange of hostages;;;;Dispón un intercambio de rehenes;;;;;;;;;;x
arrange_prisoner_swap_desc;Arrange an exchange of hostages;;;;Dispón un intercambio de rehenes;;;;;;;;;;x
EVTDESCswapletterprisoner;Your guard lets it slip that there may be a prisoner exchange soon...;;;;Tu carcelero deja caer que tal vez haya un intercambio de prisioneros pronto...;;;;;;;;;;x
EVTOPWAYswap3op1;Exchange all noble prisoners.;;;;Intercambiar todos los prisioneros nobles;;;;;;;;;;x
bring_out_of_hiding;Call Family out of Hiding;;;;Pedir a la familia que salga de su escondrijo;;;;;;;;;;x
bring_out_of_hiding_desc;Removes Hidden, Stalwart, or Left At Siege from any of your dynasty or spouses at your location.;;;;Elimina los rasgos Escondido, Leal o Abandonado en el asedio de los miembros de tu familia y tu esposa en tu localización.;;;;;;;;;;x
request_important_prisoners;Demand Important Prisoners from Vassals;;;;Solicitar a los vasallos los prisioneros importantes;;;;;;;;;;x
request_important_prisoners_desc;Any prisoners ranked above Baron are transferred to your dungeons.;;;;Cualquier prisionero por encima del rango de barón es transferido a tus mazmorras.;;;;;;;;;;x
EVTTOOLTIPprisreq;Prisoner is moved to your dungeons.;;;;Prisionero llevado a tus mazmorras.;;;;;;;;;;x
