BM_HUNGARY;Hungary-Croatia;;;;Hungría-Croacia;;;;;x
BM_KOMNENOS_DESC;Manuel Komenos reigns in Byzantium, and Hungary looks on in fear. Ever the opportunist, Manuel had long ago concluded a pact with the King of Hungary, István III,whereby István's brother Belá would be educated at the Imperial court in Constantinople. Manuel had as-of-yet been without legitimate male issue, and intended Belá to be married to his daughter Maria, to eventually rule alongside her as Emperor.  Sensing opportunity, however, Manuel decided to move against István and press his son-in-law's claims on the duchies of Dalmatia and Croatia. With those titles secured, Belá is now a landed vassal of Manuel, and the heir to the Kingdoms of Croatia and Hungary. Although the Komnenos line looks as though it may slip from the Imperial seat unless Manuel takes immediate action, the Byzantine Empire stands to grasp the greatest prize it has had in its sights since the Komnenoi took the throne: the buffer between the Holy Roman and Eastern Roman Empires.;;;;Manuel Komnenos reina en Bizancio, y Hungría tiembla de miedo. Siempre oportunista, Manuel hace tiempo que cerró un pacto con el Rey de Hungría, István III, por el que su hermano Belá sería educado en Constantinopla. Manuel, sin herederos varones, pretende casar a Belá con su hija María, con lo que sería emperador consorte. Aprovechando la ocasión, Manuel decide emplear los derechos de su yerno para reclamar los ducados de Dalmacia y Croacia. Con estos títulos, Belá será un vasallo directo, y heredero a los reinos de Croacia y Hungría. Aunque la línea sucesoria de Konmenos terminaría con Manuel si este no hace nada para evitarlo, el imperio bizantino roza con los dedos el mayor premio desde que los Konmenos llegaran al trono: el colchón entre el Sagrado Imperio y el Imperio Romano de Oriente.;;;;;x
BM_SERBIA;Fall of the Komnenoi;;;;La caída de los Komnenoi;;;;;x
BM_SERBIA_DESC;The Komnenoi have fallen from the Imperial Throne, and Byzantium is falling with them. The newly-formed Kingdoms of Serbia and Bulgaria have declared their independence from the Byzantine crown, the Seljuk Sultans of Rum press against the Empire's restored borders in Anatolia, and an independent Belá III rules in Hungary-Croatia. All of Manuel Komnenos's dreams have come to naught, but this is a time of opportunity, for those wise enough to see it. Alexios Komnenos, an infant member of the royal Komnenos dynasty, rules in Trebizond. If he can gather support enough to press his claim on Byzantium, the young Komnenos can work to restore the golden age his family's untimely fall from grace brought to a close.;;;;Los Komnenoi han caído del trono imperial, y Bizancio está cayendo con ellos. Los recién creados reinos de Serbia y Bulgaria se han independizado, los sultanes selúcidas de Rum presionan contra las fronteras recuperadas en Anatolia, y un independiente Belá III gobierna en Hungría-Croacia. Todos los sueños de Manuel Komnenos han naufragado, pero ésta es una época llena de oportunidades para aquéllos que sepan verlas. Alexios Komnenos, infante de la dinastía real Komnenos, gobierna en Trebisonda. Si logra suficiente apoyo para presionar sus reclamaciones en Bizancio, el joven Komnenos podrá labrar el camino para restaurar la edad dorada que por contratiempos su familia no logró culminar.;;;;;x
BM_IBERIA;The Iberian Campaign;;;;La campaña Íbera;;;;;x
BM_IBERIA_DESC;Iberia is balanced between the Muslims and Christians. In the north the Catholics divide the land between five Kingdoms: Portugal, León, Castille, Navarra, and Aragón. To the south, the Muslims are unified under the powerful Almohad Sultanate. Is this a time of opportunity and growth for the Christians, or has the Almohad Sultan amassed enough power to finally breach Europe proper?;;;;Iberia se encuentra igualada entre musulmanes y cristianos. En el norte, las tierras católicas se dividen entre: Portugal, León, Castilla, Navarra y Aragón. Al sur, los musulmanes se han unido bajo el poder del Sultanato Almohade. ¿Será el momento de que los cristianos crezcan, o habrá reunido el Sultanato Almohade suficiente poder para abrir una brecha hasta el corazón de Europa?;;;;;x
BM_TURMOIL_IN_THE_EAST;Turmoil in the East;;;;Tumultos en Oriente;;;;;x
BM_TURMOIL_IN_THE_EAST_DESC;The Fourth Crusade has left Byzantium crippled, and its prior vassal states do not fare much better. Three powerful Dukes vie for control of Greece proper, and only one of them are Greek. The hatred between the Latin and Byzantine Empires has not abated,  but neither has progress been made toward discovering the final victor in their struggle. Glory and titles are there, for a man--or woman--strong enough to seize them.;;;;La Cuarta Cruzada ha dejado a Bizancio lisiada, y a sus antiguos estados vasallos no les va mucho mejor. Tres poderosos duques se disputan el control de Grecia, y sólo uno de ellos es griego. El odio entre los imperios latino y bizantino no ha disminuido, pero ninguno ha hecho progresos que permitan imaginar quién ganará la contienda. Títulos y gloria están ahí para cualquier hombre -o mujer- lo bastante fuerte para ganarlos.;;;;;x
BM_FRACTURE;The Fall of Rûm;;;;La Caída de Rum;;;;;x
BM_FRACTURE_DESC;Plagued by the Mongols to the east and decadence within itself, the Sultanate of Rûm has collapsed. In its place a half-dozen Sultans have risen, all claiming to be Rûm's true successor. The Byzantine Empire, labored and barely standing, has recovered Constantinople, but its strength to do more than that is in question. Many other lords and lands have interest in the east, not to mention Naples and the still-warring Dukes in Greece, but regardless of if it is desired, this is one man's time. A great nation must rise from the ashes of Rûm--or Byzantium--and whoever succeeds in unifying the disparate peoples of the Aegean shall have power enough to challenge the gateguard of Europe, Hungary.;;;;Infestado por mongoles al este y por la decadencia propia, el Sultanato de Rum ha colapsado. En su lugar ha surgido media docena de sultanes, todos afirmando ser los legítimos sucesores de Rum. El Imperio bizantino, machacado y sosteniéndose a duras penas, ha recuperado Constantinopla, pero es cuestionable que sean capaces de algo más. Otras tierras y señores tienen intereses en el Este, sin mencionar Nápoles y los aún en combate Duques de Grecia, pero la gloria de esta época sólo será para un hombre. Una gran nación debe surgir de las cenizas de Rum -o Bizancio- y aquélla que logre unir los pueblos dispares del Egeo, reunirá suficiente poder para desafiar la salvaguarda de Europa, Hungría.;;;;;x
BM_SWEDEN;Magnus IV;;;;Magnus IV;;;;;x
BM_SWEDEN_DESC;Magnus IV, by election King of Sweden and by birthright King of Norway, has temporarily united much of Scandinavia under his rule. Unless Magnus proves to be an exceptional King it is unlikely that the union will live beyond him, but there are those who whisper of an Empire of the North, with Magnus I at its head….;;;;Magnus IV, electo Rey de Suecia y Rey de Noruega por nacimiento, ha unido temporalmente gran parte de Escandinavia bajo su mandato. A menos que Magnus demuestre ser un rey excepcional, es poco probable que su unión le sobreviva, aunque algunos ya susurran que debería haber un Imperio de Norte, con Magnus a su cabeza...;;;;;x
BM_ITALY;The Italian Campaign;;;;La Campaña Italiana;;;;;x
BM_ITALY_DESC;The Holy Roman Empire is in decline, and Italy has finally been completely freed from its grasp. Dukes war with counts, mayors with Doges. Who will unite Italy--or will Italy be united at all?;;;;El Sacro Imperio Romano está en declive, e Italia ha logrado liberarse definitivamente de sus garras. Los duques luchan contra los condes, y los alcaldes contra los dogos. ¿Quién unificará Italia -si es que alguien lo logra?;;;;;x
BM_SALADIN;Salah ad-Din;;;;Saladino;;;;;x
BM_SALADIN_DESC;Salah ad-Din Yusuf ibn Ayyub--better known to the Western world as Saladin--has taken the throne of Egypt for his own. Previously the servant of the Emir of Damascus, Nur ad-Din, Salah ad-Din has broken with his former benefactor to usurp the Sultanate of Egypt from the Shia Fatimids during a period of crisis, choosing opportunity over longstanding friendship with the Emir, and causing great tension in the Crusader States. Although Salah ad-Din is likely to be preoccupied for a time with the Emir of Aleppo, not to mention his own Shia subjects, it is only a matter of time until the holy warrior turns his eyes toward the states of Jerusalem and Antioch….;;;;Salah ad-Din Yusuf ibn Ayyub -conocido en occidente como Saladino- ha usurpado el trono de Egipto. Anteriormente un simple siervo del Emir de Damasco, Nur ad-Din, Saladino rompió con su antiguo benefactor para usurpar el Sultanato de Egipto de los Fatimidas Chiíes durante un período de crisis, prefiriendo aprovechar la oportunidad a la larga amistad que le unía al Emir, y causando gran tensión en los Estados Cruzados. Aunque Saladino está ocupado de momento con el Emir de Alepo, sin mencionar sus propios problemas con los Chiíes, es sólo cuestión de tiempo que ponga sus ojos en los estados de Jerusalén y Antioquía...;;;;;x
BM_ANARCHY;The Anarchy;;;;La Anarquía;;;;;x
BM_ANARCHY_DESC;The Anarchy was a period of early English history in which the dynasty of the Norman conqueror William broke down and was replaced by the cadet house of Plantagenet. It began when the second Norman King of England, Henry I, died without legitimate issue. Although Henry attempted to place his daughter Matilda on the throne, the lords of England would not have it. In his daughter's place, a male descendent of William through the female line, Stephen de Blois, was declared king. Support for Stephen was not absolute, however, and there were many loyalists who sided with Matilda in the succession. Matilda herself was married to the first son of King Foulque of Jerusalem, Geoffrey of Anjou, later to be known as Geoffrey Plantagenet. Geoffrey has managed to conquer Normandy in her name, and the succession crisis between the powerful vassal and the weak King Stephen of England appears to be inevitable.;;;;La Anarquía fue un periodo de la temprana historia de Inglaterra cuando fracasó la dinastía normanda de Guillermo el Conquistador y fue reemplazada por una rama menor de los Plantagenet. Comenzó cuando el segundo rey normando de Inglaterra, Enrique I, murió sin heredero legítimo. Aunque Enrique intentó colocar a su hija Matilda en el trono, los señores vasallos no lo aceptaron. En su lugar nombraron rey a Esteban de Blois, un descendiente de Guillermo por línea materna. El apoyo a Esteban no fue absoluto, y hubo quien defendió los derechos de Matilda. A su vez, Matilda se casó con Godofredo de Anjou, primogénito del rey Fulco de Jerusalén, luego conocido como Godofredo Plantagenet. Godofredo ha logrado conquistar Normandía y la crisis de sucesión entre este poderoso vasallo y su débil rey Esteban parece inevitable.;;;;;x
BM_LITHUANIA;House Gediminaitis Restored;;;;Casa Gediminaitis Restaurada;;;;;x
BM_LITHUANIA_DESC;After the brief reign of the usurper-king Treniotas, the people of Lithuania have seen fit to restore the house of King Mindaugas to the throne, establishing his first son Vaisvilkas as King. Vaisvilkas has expanded Lithuania to the east, and in so doing has inadvertantly made Lithuania one of the de facto gateguards of Europe alongside the Kings of Poland, Hungary, Bulgaria, and the Grand Duke of Novgorod. Although Vaisvilkas's realm is still relatively small, his pious Christianity buys him time and potential support from other Christian rulers.  If he can gain that support and use it to hold off the Mongol horde,the ambitious young King of Lithuania might well be able to recover some of his ancestral lands lost to the Teuton knights….;;;;Tras el breve reinado del usurpador Treniotas, el pueblo lituano tiene a bien restaurar la casa del rey Mindaugas al trono, nombrando rey a su primogénito Vaisvilkas. Vaisvilkas ha extendido Lituania hacia el este, convirtiéndose sin darse cuenta en una de las salvaguardas de Europa, junto con los reyes de Polonia, Hungría, Bulgaria y el Archiduque de Nóvgorod. Aunque su reino es relativamente pequeño, la piedad de Vaisvilkas le consigue tiempo y el apoyo potencial de otros gobernantes cristianos. Si logra dicho apoyo y lo emplea contra la horda mongol, el joven rey lituano muy bien podría recuperar algunas de sus tierras perdidas por los caballeros Teutones...;;;;;x
BM_HABSBURG;The Habsburgs;;;;Los Habsburgo;;;;;x
BM_HABSBURG_DESC;Rudolf von Habsburg, current Holy Roman Emperor, has put down Ottokar II of Bohemia, his only rival for the Imperial throne. With Ottokar's defeat much of his lands have defaulted back to the crown, including the duchy of Österreich, which Rudolf has entrusted to his son, Albricht. Although the succession is secure and a new age has begun with the Habsburg control of Österreich, not all is well in the Empire. The Kingdom of Sicily has broken out of the firm control that Frederick II held it with, and has even begun expanding, conquering much of the coast of Greece and even the Duchy of Provence. Inspired by the succession crisis and Sicily's success, many small states of northern Italy have declared independence. History calls the Habsburgs one of the most successful houses of the Medieval period, but now they face the potential collapse of the Empire's control of the Italian peninsula. Stop the collapse, for the glory of the House of Habsburg!;;;;Rudolf von Habsburg, actual emperador del Sacro Imperio, ha hundido a Ottokar II de Bohemia, su única rival al trono imperial. La derrota de Ottokar le permitió adquirir sus tierras, incluyendo el ducado de Osterreich, el cual Rudolf confió a su hijo Albricht. Aunque la sucesión está asegurada, y el poder de los Habsburgo aumentado con el Osterreich, no todo va bien en el imperio. El Reino de Sicilia se escindió del firme control con el que Federico II lo tenía, he incluso ha empezado a expandirse, conquistando buena parte de la costa griega e incluso el ducado de Provenza. Inspirados por la crisis de sucesión y por el éxito de Sicilia, muchos pequeños estados del norte de Italia han declarado la independencia. La Historia reconoce a la casa Habsburgo como una de las más exitosas de la Edad Media, pero ahora se enfrentan al colapso con la escisión de la península italiana. ¡Detén el colapso, por la gloria de los Habsburgo!;;;;;x
BM_PLANTAGENET;Holy Roman Empire in Turmoil;;;;Disturbios en el Sacro Imperio Romano;;;;;x
BM_PLANTAGENET_DESC;Richard Plantagenet, through bribes to the German electorate, has been elected as King of the Germans. His election is not a simple one, however. It raises serious questions about the future of the Holy Roman Empire. The powerful Plantagenet England is a strong ally of the Emperor--one that he may need, for the Holy Roman Empire is dangerously imbalanced. Konrad II von Hohenstauffen, King of Sicily and grandson to Frederick Barbarossa, is an independent elector of the Empire, and jealously seeking a return of his family's titles. His control of the Duchy of Swabia means the Kingdom of Sicily has lands in central Germany, weakening the Empire and making Konrad a valid successor. If danger from outside Kings is not enough, Ottokar II of Bohemia has expanded toward the Adriatic sea, massing power and support for his own potential election. Can the House of Plantagenet maintain control through another election?;;;;Ricardo Plantagenet, mediante sobornos al electorado alemán, has sido elegido Rey de los Alemanes. Sin embargo, no es una elección simple. Impone serias dudas sobre el futuro del Imperio. La Inglaterra de los Plantagenet es una poderosa aliada -una que puede que necesite, ya que el Sacro Imperio está peligrosamente desequilibrado. Konrad II von Hohenstauffen, Rey de Sicilia y nieto de Federico Barbarossa, es un elector independiente del Imperio, y busca con ansia recuperar los títulos de su familia. Su control del ducado de Suabia significa que el Reino de Sicilia tiene tierras en medio de Alemania, debilitando al Imperio, y posibilitando a Konrad como sucesor. Como si no fuera suficiente con amenazas de reinos independientes, el rey Ottokar II de Bohemia se ha expandido hacia el mar Adriático, amasado poder y apoyos para su propia candidatura. ¿Podrá la casa Plantagenet ganar las próximas elecciones?;;;;;x
BM_CASTILLE;The Union of Castille and León;;;;La Unión de Castilla y León;;;;;x
BM_CASTILLE_DESC;Through the untimely death of his brothers, Sancho of Castille has come to inherit his family's divided kingdoms of Galicia and León. Although the crown of Galicia has been declared defunct, Sancho has chosen to retain León and rule it in personal union alongside Castille, crowning himself the Emperor of León-Castilla. With northern Iberia united against the Islamic threat to the south there is greater hope for a Catholic peninsula than before, but nothing is certain. Personal unions can be broken, and Muslims can unite against a common threat just as their Catholic brethren have.;;;;Con la prematura muerte de sus hermanos, Sancho de Castilla ha heredado de su familia los divididos reinos de Galicia y León. Aunque la corona de Galicia se ha declarado extinta, Sancho ha escogido mantener León y gobernarlo mediante una unión personal con Castilla, coronándose emperador de Castilla y León. Con Iberia del norte unida contra la amenaza islámica hay más esperanzas de lograr una península católica, pero nada es seguro. La unión personal puede romperse, y los musulmanes pueden unirse frente a una amenaza común, como acaban de hacer los católicos.;;;;;x
BM_LEVANT;Seljuk Conquest of the Levant;;;;Conquista Selúcida del Levante;;;;;x
BM_LEVANT_DESC;Against even other Muslims the Seljuk horde does not stay its hand. Seeking access to critical Mediterranean trade and control over the holy city of Mecca, Malik I Shah of the Seljuk Sultanate has declared war upon the Fatimid Sultan al-Mustansir, a war that al-Mustansir has lost. Control of the Levant and the holy cities of Mecca and Medina have passed into Seljuk hands, smashing the balance of power in the east and making the Seljuks one of the most powerful states in Eurasia.;;;;A la horda Selúcida no le tiembla la mano ni contra sus hermanos musulmanes. Buscando acceso al vital comercio mediterráneo y el control de la sagrada ciudad de La Meca, Malik I Sha del Sultanato Selúcida ha declarado la guerra al sultán Fatimid al-Mustansir, guerra que al-Mustansir ha perdido. Con el control del levante y de las sagradas ciudades de La Meca y Medina en manos selúcidas, destrozado el equilibrio de poder en el este, el Imperio Selúcida se ha convertido en uno de los más poderosos estados de Eurasia.;;;;;x
BM_KIEV;Kiev and Novgorod;;;;Kiev y Nóvgorod;;;;;x
BM_KIEV_DESC;For a brief period, the duchies of Kiev and Novgorod stand balanced in the frigid north of Russia. Both are powerful and both wish to unite the Rus in a more permanent union, but only one can succeed. To the south, problems in Byzantium are alleviated by the fracture of the Seljuk royal house between the seat of Perisa and Rum, but this, too, is an imperfect solution--the Sultanate of Rum is still immensely powerful. Nevertheless, with the immediate pressure of the immensely powerful Seljuk Sultanate diverted from Byzantine possessions, it may be possible to take advantage of the weakened position of the Egyptian Sultan on the North African coast….;;;;Durante un breve periodo, los ducados de Kiev y Nóvgorod se mantuvieron en equilibro en el frío norte de Rusia. Ambos son poderosos y desean unir a los rusos de manera permanente, pero sólo uno puede triunfar. Al sur, los problemas de Bizancio se alivian con la fractura en la casa real selúcida entre la sede de Perisa y Rum, pero sólo es una leve esperanza -el Sultanato de Rum todavía es inmensamente poderoso. Sin embargo, con la atención del poderoso sultanato Selúcida distraída de las posesiones bizantinas, tal vez sea posible aprovechar la debilitada posición del Sultán de Egipto, en la costa norafricana...;;;;;x
BM_ALMORAVID;Islam in Retreat;;;;El Islam en Retirada;;;;;x
BM_ALMORAVID_DESC;The ascension of a young boy to the throne of the Almoravid Sultanate in the west has caused a domino effect of rebellions in its Iberian territories, while the Seljuk Sultanate's decadent collapse, accelerated by the Kingdom of Jerusalem battering at its borders, weakens Islam's unity in the east. Now is the time, servants of Christendom, to take up joyous arms in the name of Christ!;;;;El ascenso de un niño al trono del Sultanato Almorávide en occidente ha provocado un efecto dominó y los territorios ibéricos se están rebelando, mientras el decadente Sultanato Selúcida colapsa, acelerado por el acoso del Reino de Jerusalén, debilitando la unión del Islam en oriente. ¡Ahora es el momento, siervos de la cristiandad, de tomar gozosos las armas en el nombre de Cristo!;;;;;x
BM_SELJUK;The Collapse of the Seljuks;;;;El Colapso de los Selúcidas;;;;;x
BM_SELJUK_DESC;The Seljuk Sultanate, beset on all sides with enemies and divided internally by decadence, corruption, and incompetence, has finally collapsed. Myriad ex-vassals, remaining members of the Seljuk family, and opportunists stand poised to fight over the remnants. The Sunni Caliph, the Turkish Sultan of Khiva, and untold Emirs, some of them the last remnants of the old Persian elite, all circle the corpse with hunger--who will win the great prize?;;;;El Sultanato Selúcida, acosado por enemigos por todos lados y dividido por la decadencia, la corrupción y la incompetencia, ha sucumbido al final. Miríadas de exvasallos, restantes miembros de la familia selúcida, y oportunistas están dispuestos a pelear por los restos. El Califato Suní, El Sultán Turco de Khiva y otros emires, provenientes de la antigua elite persa, todos ellos rodeando el cadáver con hambre – ¿Quién logrará el gran trofeo?;;;;;x
BM_SICILY;Richard and Philippe;;;;Ricardo y Felipe;;;;;x
BM_SICILY_DESC;Richard the Lionheart and Philippe II Auguste stare daggers at one another across the Channel. Through inheritance, bribery, betrayal, and timely conquest the kings of England have been able to occupy well over half of the lands claimed by the French kings, and stand dangerously close to claiming the French crown. Philippe II, known to history as Auguste (Augustus or 'the August'), the monarch that reversed the English conquests and restored French unity and prestige, seems to be in an impossible position--can you replicate his incredible feats? Elsewhere in the world, the Emperor of the Holy Roman Empire has claimed the Kingdom of Sicily as his dynastic birthright.;;;;Ricardo Corazón de León y Felipe II el Augusto se tiran miradas afiladas a través del Canal. Mediante herencias, sobornos, traiciones y oportunas conquistas, los reyes de Inglaterra han conseguido ocupar casi la mitad de las tierras reclamadas por los reyes franceses, y están peligrosamente cerca de reclamar la propia corona francesa. Felipe II, conocido como el Augusto (Augustus), el monarca que consiguió dar la vuelta a las conquistas inglesas y recuperó el prestigio y la unidad de Francia, parece estar en una posición imposible – ¿serás capaz de emular su increíble hazaña? Cambiando de sitio, el Emperador del Sacro Imperio Romano acaba de reclamar el Reino de Sicilia por derecho de sucesión.;;;;;x
BM_ALEXIOS;Alexios Komnenos of Trebizond;;;;Alexios Komnenos de Trebisonda;;;;;x
BM_ALEXIOS_DESC;Alexios Komnenos, one of the last remaining members of the Komnenos dynasty, now reigns in his majority in Trebizond. Alexios shares the determination and skill common in his family, and has managed not only to hold Trebizond together in the face of Muslim aggression, but to expand his territory and crown himself Despot. He has not forgotten his claim to the Byzantine Empire, nor has he forgotten his dynasty's golden age upon the throne, lost now to Imperial incompetence and the shameful Fourth Crusade… but perhaps not lost forever. Now is the time for the Komnenoi to reclaim their titles, their honor, their birthright. Now is the time for the return of the rightful Emperors!;;;;Alexios Komnenos, uno de los últimos de su dinastía, reina principalmente en Trebisonda. Comparte con sus predecesores la determinación y la habilidad, y ha logrado no sólo mantener Trebisonda intacta frente a la agresión musulmana, sino expandir su territorio y coronarse Déspota. Aún así, no ha olvidado su derecho al trono del Imperio Bizantino, ni la edad de oro de su dinastía, perdida ahora por la incompetencia del Imperio y la vergonzosa Cuarta Cruzada... pero tal vez no se haya perdido para siempre. Es el momento de que los Komnenoi recuperen sus títulos, su honor, su derecho de nacimiento. ¡Es hora de que regresen los legítimos emperadores!;;;;;x
BM_ANUSHTIGINID;The Seljuk Successors;;;;Los sucesores selúcidas;;;;;x
BM_ANUSHTIGINID_DESC;The Anushtiginid Sultanate has finally restored a degree of order to Persia by uniting it in as complete a political union as the land has seen since the collapse of the Seljuk Sultanate over 50 years before. Despite great success, the path to glory is not certain for the Anushtiginids. Discontented vassals, and curious rumors of riders to the east are enough to keep any wise Sultan awake through the long nights.;;;;El Sultanato Anushtiginid ha puesto al fin algo de orden en Persia logrando la mayor unión política vista en la zona desde la caída del Sultanato Selúcida 50 años antes. A pesar del gran logro, el camino a la gloria no está asegurado para los Anushtiginid. Vasallos descontentos, y curiosos rumores sobre jinetes en oriente son suficientes para mantener en vilo a cualquier sultán sabio toda la noche.;;;;;x
BM_MALI;Mali United;;;;Malí unida;;;;;x
BM_MALI_DESC;The lands that would come to be known as the Empire of Mali have been united under its first Mansa. What this means for the future, and for the safety of the Mauretanian Sultan's southern border, remains to be seen.;;;;Las tierras que se conocerían como el Imperio de Malí acaban de ser unidas bajo el primer Mansa. Lo que esto implique para el futuro y la seguridad de la frontera meridional del Sultanato de Mauritania, aún está por ver.;;;;;x
BM_NAPLES;The Sicilian Vespers;;;;Las Vísperas Sicilianas;;;;;x
