#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#LIGHT_INFANTRY_COMBAT_MODIFIER;Combat Modifier of §Y$WHO$§! boost to Light Foot Troops: $PERC$;Bonus de combat pour les troupes d'infanterie légère de §Y$WHO$§! : $PERC$;Gefechtsmodifikator von §Y$WHO$§! Steigerung für Leichte Infanterie: $PERC$;;;;;;;;;;;x
#HEAVY_INFANTRY_COMBAT_MODIFIER;Combat Modifier of §Y$WHO$§! boost to Heavy Foot Troops: $PERC$;Bonus de combat pour les troupes d'infanterie lourde de §Y$WHO$§! : $PERC$;Gefechtsmodifikator von §Y$WHO$§! Steigerung für Schwere Infanterie: $PERC$;;;;;;;;;;;x
#CAVALRY_COMBAT_MODIFIER;Combat Modifier of §Y$WHO$§! boost to Mounted Troops: $PERC$;Bonus de combat pour la cavalerie de §Y$WHO$§! : $PERC$;Gefechtsmodifikator von §Y$WHO$§! Steigerung für Kavallerie: $PERC$;;;;;;;;;;;x
#DEF_BONUS_AGAINST_ENEMY;Defence bonus against enemy flank: $PERC$;Bonus de défense contre les attaques de flanc ennemies : $PERC$;Verteidigungsbonus gegen gegnerische Flanke: $PERC$;;;;;;;;;;;x
#DEF_BONUS_MORALE;Morale Defence bonus: $PERC$ morale damage;Bonus de moral en défense: $PERC$ de moral perdu;Moralbonus auf Verteidigung: $PERC$ Moralschaden;;;;;;;;;;;x
#MORALE_DEF_COMBAT_MODIFIER;Morale Defence Combat Modifier of §Y$WHO$§!: $PERC$;Modificateur au maintien du moral de §Y$WHO$§!: $PERC$;Gefechts-Moralbonusmodifikator auf Verteidigung von §Y$WHO$§!: $PERC$;;;;;;;;;;;x
#ATT_BONUS_MORALE;Morale Offence bonus: $PERC$ morale damage;Bonus de moral en attaque : $PERC$ pour ébranler le moral adverse;Moralbonus auf Angriff: $PERC$ Moralschaden;;;;;;;;;;;x
#MORALE_ATT_COMBAT_MODIFIER;Morale Offence Combat Modifier of §Y$WHO$§!: $PERC$ morale damage;Modificateur à l'ébranlement du moral adverse de §Y$WHO$§!: $PERC$;Gefechts-Moralbonus auf Verteidigung von §Y$WHO$§!: $PERC$ Moralschaden;;;;;;;;;;;x
FLANKING;Flanking;Attaque sur le flanc;Flankenattacke;;;;;;;;;;;x
CENTER;Leading the Center;Mène le centre;Führung im Zentrum;;;;;;;;;;;x
#FLANKING_COMBAT_MODIFIER;Flanking Combat Modifier of §Y$WHO$§!: $PERC$;Aptitude pour les attaques de flanc de §Y$WHO$§!: $PERC$;Gefechts-Flankenangriffsmodifikator von §Y$WHO$§!: $PERC$;;;;;;;;;;;x
#CENTER_COMBAT_MODIFIER;Leading the Center Combat Modifier of §Y$WHO$§!: $PERC$;Aptitude à diriger le centre de §Y$WHO$§!: $PERC$;Gefechtsmodifikator durch Führung des Zentrums von §Y$WHO$§!: $PERC$;;;;;;;;;;;x
DEFENCE;Defence;Défense;Verteidigung;;;;;;;;;;;x
CANNOT_PLAY_MUSLIM_WITHOUT_DLC;You cannot play Muslim without The Sword of Islam DLC;Vous ne pouvez pas jouer un seigneur musulman sans le DLC Sword of Islam;Sie können kein Moslem ohne Das Schwert des Islam DLC spielen;;;;;;;;;;;x
NOT_ALLOWED_MUSLIM;Not allowed to play §YMuslim§! without The Sword of Islam DLC!;Non autorisé à jouer §Yun seigneur musulman§! sans le DLC;Spielen als §YMuslim§! ist ohne Das Schwert des Islam DLC nicht erlaubt!;;;;;;;;;;;x
NOT_ALLOWED_MUSLIM_MP;§Y$PLAYER$§! not allowed to play §YMuslim§! without The Sword of Islam DLC;§Y$PLAYER$§! n'est/ne sont pas autorisé(s) à jouer §Yun seigneur musulman§! sans le DLC Sword of Islam;§Y$PLAYER$§! ist nicht erlaubt als §YMuslim§! ohne Das Schwert des Islam DLC zu spielen;;;;;;;;;;;x
RD_NOT_PLAYABLE_WITHOUT_MUSLIM_DLC;Muslims are not playable without The Sword of Islam DLC;Les musulmans ne sont pas jouables sans le DLC Sword of Islam;Moslems sind nicht spielbar ohne Das Schwert des Islam DLC;;;;;;;;;;;x
MUST_SELECT_PLAYER;Must select a Character to play!;Vous devez sélectionner un personnage pour jouer;Sie müssen einen Charakter auswählen um zu spielen!;;;;;;;;;;;x
