#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
HOLD_ELECTION_EFFECT;An election is held in $TITLE$.\n;Élection en $TITLE$.\n;Eine Wahl wird gehalten in $TITLE$.\n;;Elección en $TITLE$.\n;;;;;;;;;x
EVTDESC39101;A new Christian military order has been founded by a small group of wealthy knights. The Poor Fellow-Soldiers of Christ and of the Temple of Solomon - or the Knights Templar for short - have sworn to protect pilgrims travelling through the Holy Land. The [Root.Religion.GetName] church fully endorses the Order, and this will allow pious [Root.Religion.GetName] rulers to call on their aid, though they will only fight against heretics and infidels.;Un nouvel ordre militaire chrétien a été fondé par un petit groupe de riches chevaliers. Les Pauvres Chevaliers du Christ et du Temple de Salomon, également appelés Templiers, ont juré de protéger les pèlerins se rendant en Terre Sainte. L'Église [Root.Religion.GetName] approuve pleinement cet ordre et va autoriser les pieux souverains [Root.Religion.GetName] à solliciter leur aide, sauf s’il s’agit de combattre d’autres [Root.Religion.GetName].;Eine kleine Gruppe wohlhabender Ritter hat einen neuen christlichen Militärorden gegründet. Die Arme Ritterschaft Christi und des salomonischen Tempels zu Jerusalem, oder kurz Tempelritter, haben geschworen, die durch das Heilige Land reisenden Pilger zu beschützen. Die [Root.Religion.GetName] Kirche steht völlig hinter dem Orden und gestattet gottesfürchtigen [Root.Religion.GetName] Herrschern, sie um Unterstützung zu bitten. Gegen [Root.Religion.GetName] Glaubensbrüder aber ziehen sie nicht zu Felde.;;Un pequeño grupo de caballeros ricos ha fundado una nueva orden militar cristiana. Los Pobres Caballeros de Cristo y del Templo de Salomón, o Caballeros Templarios de modo abreviado, han jurado proteger a los peregrinos que viajen por Tierra Santa. La iglesia [Root.Religion.GetName] apoya totalmente la Orden y permitirá que los gobernantes [Root.Religion.GetName] devotos les pidan ayuda, pero la Orden no luchará contra otros [Root.Religion.GetName]s.;;;;;;;;;x
EVTDESC39102;The Order of Brothers of the German House of Saint Mary in Jerusalem has been formed, sponsored by the [Root.Religion.GetName] Church and the Holy Roman Emperor. The Teutonic Order, much like the Knights of St. John and the Knights Templar, primarily protect and care for pilgrims to the Holy Land, but will serve any [Root.Religion.GetName] ruler willing to pay for their upkeep. Being a religious order, they will only fight against heretics and infidels.;L’Ordre de la Maison des Chevaliers de l’Hôpital de Sainte-Marie-des-Teutoniques à Jérusalem, ou Ordre Teutonique, a été formé. Celui-ci est soutenu par L'Église [Root.Religion.GetName] et par le Saint Empereur romain. L’ordre Teutonique, à l’instar des Chevaliers de Saint Jean et des Templiers, protège et soigne principalement les pèlerins qui viennent en Terre Sainte, mais sert aussi tout bon souverain [Root.Religion.GetName] prêt à payer son entretien. En tant qu’ordre religieux, il ne combat jamais d’autres [Root.Religion.GetName].;Unterstützt von die [Root.Religion.GetName] Kirche und dem Heiligen Römischen Kaiser wurde der Orden der Brüder vom Deutschen Haus Sankt Mariens in Jerusalem gegründet. Wie die Malteser und die Tempelritter bieten auch die Ritter des Deutschen Ordens hauptsächlich Pilgern im Heiligen Land Schutz und Pflege. Generell aber dienen sie jedem rechtschaffenen [Root.Religion.GetName] Herrscher, der für ihren Unterhalt aufkommt. Als religiöser Orden kämpfen sie nicht gegen [Root.Religion.GetName] Glaubensbrüder.;;Se ha creado la Orden de los Caballeros Teutónicos del Hospital de Santa María de Jerusalén, auspiciada por la iglesia [Root.Religion.GetName] y el Sacro Emperador Romano. La principal tarea de dicha Orden, igual que en el caso de los Caballeros de San Juan y los Templarios, es proteger a los peregrinos a Tierra Santa, pero servirán a cualquier buen gobernante [Root.Religion.GetName] dispuesto a pagar su mantenimiento. Al ser una Orden religiosa, no lucharán contra otros [Root.Religion.GetName]s.;;;;;;;;;x
EVTDESC_SOA_1709;The Knights of Saint Anthony come from one of the oldest chivalric orders in the world. In 370, disciples of Anthony the Hermit founded the Order of Saint Anthony under the patronage of the Emperor of Ethiopia.\n\nAlthough they have kept a low profile for many centuries, this holy order has now resurfaced as a powerful force. Their stated purpose is to protect [Root.Religion.GetName] Christians from all those who would seek them harm, and to purge the land of infidels and heretics wherever they may be found.;Les chevaliers de l'Ordre de saint Antoine proviennent d'un des plus anciens ordres de chevaliers du monde. En 370, des disciples d'Antoine l'Ermite fondent l'Ordre de saint Antoine sous le patronage de l'empereur d'Éthiopie.\n\nMême si cet ordre s'est montré discret pendant plusieurs siècles, il apparaît désormais comme une force puissante. Son but annoncé est de protéger les chrétiens [Root.Religion.GetName] de tous ceux qui leur veulent du mal et d'expulser tous les infidèles et tous les hérétiques qu'ils peuvent trouver.;Die Ritter des Heiligen Antonius sind einer der ältesten Ritterorden, gegründet im Jahr  370 von Schülern des Heiligen Antonius, dem Einsiedlers unter dem Patronat des Kaisers von Äthiopien. \n\nObwohl sie viele Jahrhunderte lang kaum aktiv waren, haben sie sich jetzt als starke Macht neu formiert, mit dem erklärten Ziel, [Root.Religion.GetName] Christen vor allen zu schützen, die ihnen übelwollen, und das Land von Ketzern und Ungläubigen zu säubern, wo immer die sich auch zeigen sollten. ;;Los Caballeros de San Antonio provienen de una de las órdenes de caballería más antiguas del mundo. En el 370, los discípulos de Antonio el Ermitaño fundaron la Orden de San Antonio bajo el patrocinio del emperador de Etiopía.\n\nA pesar de que se han mantenido fuera de la escena pública durante muchos siglos, esta orden santa ha salido ahora a la luz como fuerza poderosa. Su propósito declarado es proteger a los cristianos [Root.Religion.GetName] de todos aquellos que pretendan causarles mal y purgar la tierra de infieles y herejes, dondequiera que se encuentren.;;;;;;;;;x
EVTDESC_SOA_1809;Some of Persia's finest warriors have taken it upon themselves to found a new holy order dedicated to safeguarding the [Root.Religion.GetName] faith. They call themselves the Immortals, just like the ancient Persian warrior elite described by Herodotus, and they seem intent on carrying on the martial traditions of their legendary predecessors.\n\nThis militant holy order has sworn to fight against all who would threaten the legacy of Zoroaster, and to never again allow Zoroastrianism to suffer again at the hands of infidels.;Certains parmi les meilleurs guerriers de Perse ont pris la décision de fonder un nouvel ordre dédié à protéger la foi [Root.Religion.GetName]. Ils se font appeler les Immortels, comme ces guerriers d'élite perses de l'ancien temps décrits par Hérodote, et ils semblent avoir l'intention de porter la tradition martiale de leurs légendaires prédécesseurs.\n\nCet ordre militant a juré de combattre tous ceux qui menacent l'héritage de Zoroastre et de faire le nécessaire pour que le foi [Root.Religion.GetName] ne souffre plus jamais les maux qu'il a connus lors de la conquête arabe du VIIe siècle.;Einige von Persiens besten Kriegern haben es auf sich genommen, einen neuen Heiligen Orden zum Schutz des [Root.Religion.GetName] Glaubens zu gründen. Sie nennen sich selbst Die Unsterblichen, wie die alte, von Herodot beschriebene persische Kriegerelite, und sie wollen die martialischen Traditionen ihrer legendären Vorläufer wieder aufleben lassen.\n\nDieser militante Heilige Orden hat sich dem Kampf gegen alle verschrieben, die das Erbe Zoroastrers bedrohen könnten, damit der Zorastrianismus nie mehr Rückschläge wie nach den arabischen Eroberungen im 7. Jahrhundert erleiden muss.  ;;Unos de los mejores guerreros de Persia han asumido la tarea de fundar una nueva orden santa dedicada a salvaguardar la fé [Root.Religion.GetName]. Se hacen llamar los Inmortales, al igual que la antigua élite guerrera persa descrita por Herodoto, y parecen decididos a continuar con la tradición marcial de sus legendarios predecesores.\n\nEsta orden santa militante ha jurado luchar contra todos los que amenacen el legado de Zoroastro y no permitir que la fé [Root.Religion.GetName] vuelva a sufrir los reveses causados por las conquistas árabes del siglo VII.;;;;;;;;;x
EVTDESC_SOA_1209;A Sufi sect of dervishes has arisen under the leadership of a certain Hadji Baktash Wali, a mystic from Khorasan. Striving for 'Unity of Being', Bektashis train the soul through meditation and contemplation of the inner meaning of the Koran. The Bektashi Order is warlike and especially popular among [Root.Religion.GetName] Muslim soldiers. The Order has sworn to protect Islam and to combat infidels and polytheists of all kinds.;Une secte soufie de derviches est apparue sous le commandement d'un certain Haci Bektas Veli, un mystique natif du Khorassan. Œuvrant pour ce qu'ils appellent l'Unité de l'Être, les Bektachis forment leurs âmes à la méditation et la contemplation du sens caché du Coran. La Confrérie des Bektachis est un ordre guerrier particulièrement apprécié des soldats musulmans [Root.Religion.GetName]. L'ordre a juré de protéger l'Islam et de combattre les infidèles et les polythéistes de toutes sortes.;"Unter der Führerschaft eines gewissen Hadschi Baktasch Wali, eines Mystikers aus Khorosan, ist eine Sufi-Sekte aus Derwischen entstanden. In ihrem Streben nach der ""Einheit des Seins"" ertüchtigen die Bektaschis ihre Seele durch Meditation und Kontemplation der wahren Bedeutung des Korans. Der kriegerische Bektaschi-Orden ist besonders bei jungen [Root.Religion.GetName] Soldaten beliebt. Die Mitglieder leisten einen Eid, den Islam zu schützen und Ungläubige und Polytheisten jeder Art zu belämpfen.";;"Ha surgido una secta sufí de derviches bajo el liderazgo de un tal Hadji Bektash Wali, un místico de Jorasán. Los Bektashis aspiran a la ""Unidad del Ser” y educan el alma a través de la meditación y la contemplación del significado interno del Corán. La Orden Bektashi es favorable a la guerra y especialmente popular entre los soldados musulmanes [Root.Religion.GetName]. La Orden ha jurado proteger el Islam y combatir a los infieles y politeístas de todo tipo.";;;;;;;;;x
EVTDESC88000;"Word is spreading that a [Root.Religion.GetName] missionary, Hassan-i Sabbah, has founded a religious order known as the ""Hashshashin"" somewhere in western Persia. Using trickery and guile, this mysterious cult of trained killers has seized control of the mountain fortress of Alamut and converted it into their headquarters. Already a string of violent murders can be traced back to Hassan's devoted and fearless disciples...";Une rumeur court voulant qu'un missionnaire [Root.Religion.GetName], Hassan-i Sabbah, aurait créé un ordre religieux connu sous le nom de 'Hashshashin', quelque part en Perse occidentale. À force de ruse et de fourberie, ce culte mystérieux d'assassins fort entraînés a ré;Es spricht sich herum, dass ein [Root.Religion.GetName] Missionar, Hassan-i Sabbah, einen religiösen Orden, 'Hashshashin' genannt, irgendwo in West-Persien, gegründet hat. Dieser mysteriöse Kult ausgebildeter Mörder hat, mit Hilfe von Betrügereien und Tücke, die Kon;;Se comenta que un misionero [Root.Religion.GetName], Hassan-i Sabbah, ha fundado una orden religiosa conocida como los 'Hassasin' en algún lugar al oeste de Persia. Utilizando la astucia y el engaño, este misterioso culto de entrenados asesinos ha tomado el control de la fortaleza de Alamut y la ha convertido en su cuartel general. Ya puede apreciarse el reguero de crímenes violentos de los devotos e intrépidos discípulos de Hassan...;;;;;;;;;x
donate_money_to_assassins;Donate 300¤ to the Hashshashins;Donner 300¤ aux Hashshashin;Spendet den Hashshashin 300¤ ;;Donar 300¤ a los Hassasin;;;;;;;;;x
donate_money_to_assassins_desc;I can donate money to the Hashshashins in exchange for [Player.Religion.GetPietyName].;Je peux donner de l'argent aux Hashshashin en échange de [Player.Religion.GetPietyName].;Ich kann den Hashshashin Geld spenden im Tausch gegen [Player.Religion.GetPietyName].;;Puedo hacer una donación a los Hassasin. A cambio obtendré [Player.Religion.GetPietyName].;;;;;;;;;x
donate_money_to_bektashi;Donate 300¤ to the Bektashi;Donner 300¤ aux Bektachis;Spendet den Bektaschi 300¤ ;;Donar 300¤ a los Bektashi;;;;;;;;;
donate_money_to_bektashi_desc;I can donate money to the Bektashi in exchange for [Player.Religion.GetPietyName].;Je peux donner de l'argent aux Bektachis en échange de [Player.Religion.GetPietyName].;Ich kann den Bektaschi Geld spenden im Tausch gegen [Player.Religion.GetPietyName].;;Puedo hacer una donación a los Bektashi. A cambio obtendré [Player.Religion.GetPietyName].;;;;;;;;;x
donate_money_to_knights_templar;Donate 300¤ to the Templars;Donner 300¤ aux Templiers;Spendet den Tempelrittern 300¤ ;;Donar 300¤ a los Caballeros Templarios;;;;;;;;;x
donate_money_to_knights_templar_desc;I can donate money to the Knights Templar in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.;Je peux donner de l'argent aux Templiers en échange de piété et du respect permanent de l'Église [Root.Religion.GetName].;Mit einer Geldspende an die Tempelrittern kann ich Frömmigkeit und den lebenslangen Respekt der [Root.Religion.GetName] Kirche erlangen.;;Puedo hacer una donación a los Caballeros Templarios. A cambio obtendré la Piedad y el respeto de por vida de la Iglesia [Root.Religion.GetName].;;;;;;;;;x
donate_money_to_knights_hospitaler_desc;I can donate money to the Knights Hospitaller in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.;Je peux donner de l'argent aux chevaliers hospitaliers en échange de piété et du respect permanent de l'Église [Root.Religion.GetName].;Mit einer Geldspende an die Johanniter kann ich Frömmigkeit und den lebenslangen Respekt der [Root.Religion.GetName] Kirche erlangen.;;Puedo hacer una donación a los Caballeros Hospitalarios. A cambio obtendré la Piedad y el respeto de por vida de la Iglesia [Root.Religion.GetName].;;;;;;;;;x
donate_money_to_teutonic_order_desc;I can donate money to the Teutonic Order in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.;Je peux donner de l'argent à l'Ordre teutonique en échange de piété et du respect permanent de l'Église [Root.Religion.GetName].;Mit einer Geldspende an die Deutschritter kann ich Frömmigkeit und den lebenslangen Respekt der [Root.Religion.GetName] Kirche erlangen.;;Puedo hacer una donación a la Orden Teutónica. A cambio obtendré la Piedad y el respeto de por vida de la Iglesia [Root.Religion.GetName].;;;;;;;;;x
donate_money_to_knights_santiago_desc;I can donate money to the Knights of Santiago in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.;Je peux donner de l'argent à l'Ordre de Santiago en échange de piété et du respect permanent de l'Église [Root.Religion.GetName].;Ich kann den Jakobsrittern Geld spenden im Tausch gegen Frömmigkeit und lebenslangen Respekt durch die [Root.Religion.GetName] Kirche.;;Puedo hacer una donación a los Caballeros de Santiago. A cambio obtendré la Piedad y el respeto de por vida de la iglesia [Root.Religion.GetName].;;;;;;;;;x
donate_money_to_knights_calatrava_desc;I can donate money to the Knights of Calatrava in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.;Je peux donner de l'argent à l'Ordre de Calatrava en échange de piété et du respect permanent de l'Église [Root.Religion.GetName].;Ich kann den Rittern von Calatrava Geld spenden im Tausch gegen Frömmigkeit und lebenslangen Respekt durch die [Root.Religion.GetName] Kirche.;;Puedo hacer una donación a los Caballeros de Calatrava. A cambio obtendré la Piedad y el respeto de por vida de la Iglesia [Root.Religion.GetName].;;;;;;;;;x
donate_money_to_holy_sepulchre_desc;I can donate money to the Brotherhood of the Holy Sepulchre in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.;Je peux donner de l'argent à l'Ordre du Saint-Sépulcre en échange de piété et du respect permanent de l'Église [Root.Religion.GetName].;Ich kann der Bruderschaft des Heiligen Grabes Geld spenden und erhalte dafür Frömmigkeit und den lebenslangen Respekt der [Root.Religion.GetName] Kirche.;;Puedo hacer una donación a la Hermandad del Santo Sepulcro. A cambio obtendré la Piedad y el respeto de por vida de la Iglesia [Root.Religion.GetName].;;;;;;;;;x
donate_money_to_saint_anthony_desc;I can donate money to the Order of Saint Anthony in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.;Je peux donner de l'argent à l'Ordre de saint Antoine en échange de piété et du respect permanent de l'Église [Root.Religion.GetName]..;Ich kann dem Orden des Heiligen Antonius Geld spenden im Tausch gegen Frömmigkeit und den lebenslangen Respekt durch die [Root.Religion.GetName] Kirche.;;Puedo hacer una donación a la Orden de San Antonio. A cambio obtendré la Piedad y el respeto de por vida de la Iglesia [Root.Religion.GetName].;;;;;;;;;x
donate_money_to_the_immortals_desc;I can donate money to the Immortals in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.;Je peux donner de l'argent aux Immortels en échange de piété et du respect permanent de l'Église [Root.Religion.GetName]..;Ich kann den Unsterblichen Geld spenden im Tausch gegen Frömmigkeit und den lebenslangen Respekt durch die [Root.Religion.GetName] Kirche.;;Puedo hacer una donación a los Inmortales. A cambio obtendré la Piedad y el respeto de por vida de la iglesia [Root.Religion.GetName].;;;;;;;;;x
donate_money_to_the_zealots_desc;I can donate money to the Zealots in exchange for [Root.Religion.GetPietyName] and lifelong respect from the [Root.Religion.GetName] Priesthood.;Je peux donner de l'argent aux Zélotes en échange de [Root.Religion.GetPietyName] et du respect permanent du clergé [Root.Religion.GetName].;Ich kann den Zeloten Geld spenden im Tausch gegen [Root.Religion.GetPietyName] und den lebenslangen Respekt durch die [Root.Religion.GetName] Priesterschaft;;Puedo hacer una donación a los Zelotes. A cambio obtendré la [Root.Religion.GetPietyName] y el respeto de por vida del sacerdocio [Root.Religion.GetName].;;;;;;;;;x
EVTDESC_SOA_1841;Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation will aid us greatly in our continued defense of the [Root.Religion.GetName] faithful! You have my friendship, as well as that of the priesthood.\n\nBy Zoroaster's will,\nGrand Master [From.GetFirstName];Noble [Root.PrimaryTitle.GetRulerTitle], votre très généreuse contribution nous aidera grandement dans notre défense perpétuelle de la foi [Root.Religion.GetName]. Recevez mon amitié ainsi que celle des prêtres.\n\nQue la volonté de Zoroastre soit faite,\nGrand Maître [From.GetFirstName];Großer [Root.PrimaryTitle.GetRulerTitle], Eure äußerst großzügige Spende wird uns sehr helfen in unserer andauernden Verteidigung der gläubigen [Root.Religion.GetName]! Ihr habt meine Freundschaft, wie auch die der Priesterschaft. \n\nIm Wille Zorasters,\nGroßmeister [From.GetFirstName];;Gran [Root.PrimaryTitle.GetRulerTitle], ¡esta donación tan generosa nos será de gran ayuda en nuestra defensa continua del culto a Zoroastro! Tiene mi amistad, así como la del sacerdocio.\n\nPor deseo de Zoroastro,\nGran Maestre [From.GetFirstName];;;;;;;;;x
EVTDESC_SOA_1941;Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation will aid us greatly in our continued defense of Jerusalem, the Third Temple and the [Root.Religion.GetName] faith! You have my friendship, as well as that of the priesthood.\n\nRemember Masada!\nGrand Master [From.GetFirstName];Noble [Root.PrimaryTitle.GetRulerTitle], votre très généreuse contribution nous aidera grandement dans notre défense perpétuelle de Jérusalem, du Troisième temple et de la religion [Root.Religion.GetName] ! Recevez mon amitié ainsi que celle des prêtres.\n\nSouvenez-vous de Masada !\nGrand Maître [From.GetFirstName];Großer [Root.PrimaryTitle.GetRulerTitle], Eure äußerst großzügige Spende wird uns sehr helfen bei der Verteidigung Jerusalems, des Dritten Tempels und des [Root.Religion.GetName] Glaubens! Ihr habt meine Freundschaft, wie auch die der Priesterschaft. \n\nIm Im Gedenken an Masada.\nGroßmeister [From.GetFirstName];;Gran [Root.PrimaryTitle.GetRulerTitle], ¡esta donación tan generosa nos será de gran ayuda en nuestra defensa continua de Jerusalén, del Tercer Templo y de la fe [Root.Religion.GetName]! Tiene mi amistad, así como la del sacerdocio.\n\nEn recuerdo de Masadá,\nGran Maestre [From.GetFirstName];;;;;;;;;x
PREVENT_DECADENCE;This character will not contribute to decadence in his dynasty.;Ce personnage ne contribuera pas à la décadence de sa dynastie.;Dieser Charakter will nicht zum Dekadenz seiner Dynastie beitragen.;;Este personaje no contribuirá a la decadencia se su dinastía.;;;;;;;;;x
TITLE_REQUEST_CLAIM;Claim;Demande;Bitte;;Solicitud;;;;;;;;;x
TITLE_REQUEST_CLAIM_TOOLTIP;Request a Claim on this Title;Demander une revendication sur ce titre;Bittet um Erteilung eines Anspruchs auf diesen Titel;;Solicitud de derecho sobre este título;;;;;;;;;x
TITLE_CANNOT_USURP_COUNTIES_OTHER_REALM;§RNot possible to Usurp County rank Titles outside your Realm;§RVous ne pouvez pas usurper de titres de comtés hors de votre royaume;§RGrafschaften außerhalb Eures Reiches können nicht übernommen werden;;§RNo es posible usurpar títulos de conde fuera de vuestro reino;;;;;;;;;x
TITLE_CANNOT_USURP_BARONIES;§RNot possible to Usurp Barony rank Titles;§RVous ne pouvez pas usurper de titres de baronnie;§RBaronien außerhalb Eures Reiches können nicht übernommen werden;;§RNo es posible usurpar títulos de barón;;;;;;;;;x
TITLE_CANNOT_USURP_OWN;§RCannot Usurp Titles in your own Realm without a Strong Claim!;§RVous ne pouvez pas usurper de titres de votre royaume sans une revendication !;§RTitel im eigenen Reich können ohne starken Anspruch nicht übernommen werden!;;¡§RNo podéis usurpar títulos en vuestro propio reino sin un derecho de peso!;;;;;;;;;x
TITLE_NEW_PRIMARY_NOT_SAME_RANK;§RThe new Primary Title has to be the same Rank as the previous one!;§RLe nouveau titre principal doit être du même niveau que le précédent !;§RDer neue Primärtitel muss vom gleichen Rang wie der vorige sein!;;¡§REl nuevo título principal tiene que ser del mismo rango que el anterior!;;;;;;;;;x
TITLE_NEW_PRIMARY_IS_SAME;This is Already your Primary Title!;C'est déjà votre titre principal !;Dies ist bereits Euer Primärtitel!;;¡Ya es vuestro título principal!;;;;;;;;;x
TITLE_NEW_PRIMARY_IS_PATRICIAN;§RCannot set your Primary Title to a Patrician Settlement!;§RVous ne pouvez pas associer votre titre principal à une colonie patricienne !;§REine bürgerliche Siedlung kann nicht als Primärtitel ausgewählt werden!;;¡§RNo podéis establecer vuestro título principal sobre un asentamiento patricio!;;;;;;;;;x
asked_for_claim;Asked for Claim;Demandé revendication;Um Anspruch gebetet;;Solicitó derecho;;;;;;;;;x
REQUEST_ANSWER_YES;§GThis Request would be Accepted§!;Cette demand serait accepté;Dieses Anspruch wurde akzeptiert werden;;Esta solicitud será aceptada;;;;;;;;;x
