#CODE;;;;;;;;;;;;;;x
LOADING_TIP_27;This is not the age of Crusades, this is not the age of stable realms, this is the Dark Ages, and nobody is safe from German steel.;;;;;;;;;;;;;;x
LOADING_TIP_28;Like Pompey, Like Caesar, the greatest enemy of a Roman is another Roman.;;;;;;;;;;;;;;x
LOADING_TIP_29;Sub-Roman Realms are dotted throughout this made world. Is there hope for he Empire yet?;;;;;;;;;;;;;;x
LOADING_TIP_30;The Vandals may be powerful, but they are quickly alienating their people with Arian, Germanic ways.;;;;;;;;;;;;;;x
LOADING_TIP_31;It is madness to resist the Dark Ages, only to survive them.;;;;;;;;;;;;;;x
LOADING_TIP_32;How would the world have changed if instead of the Franks it was Alamannia?;;;;;;;;;;;;;;x
LOADING_TIP_33;The Tocharians of the Tarim Basin are small, but could come to dominate the Steppes.;;;;;;;;;;;;;;x
LOADING_TIP_34;The Celts still live in the Isles, with the druids guiding as in the days of old.;;;;;;;;;;;;;;x
LOADING_TIP_35;Syagrius might not be able control his Romano-Gallic vassals, who view the Roman Rex as weak.;;;;;;;;;;;;;;x
LOADING_TIP_36;Centuries of weak rulership and constant raids by the Hepthals have put the mighty Gupta at the brink of destruction.;;;;;;;;;;;;;;x
LOADING_TIP_37;English culture is an end result of an incredible set of coincidences. Could it ever happen again?;;;;;;;;;;;;;;x
LOADING_TIP_38;Currently the Britons are united, but in time will come Welsh and Cumbric divisions.;;;;;;;;;;;;;;x
LOADING_TIP_39;Armorica was the hardest part of the mod.;;;;;;;;;;;;;;x
LOADING_TIP_40;The King of Lazica has declared Zoroastrianism the state religion, Could he survive?;;;;;;;;;;;;;;x
LOADING_TIP_41;There are still Celts in Spain!;;;;;;;;;;;;;;x
LOADING_TIP_42;A brave Briton could stand up to the Saxons, but resistance is fuitile.;;;;;;;;;;;;;;x
LOADING_TIP_43;If you thought the Senate was hard, try the Praefecti Urbi.;;;;;;;;;;;;;;x
LOADING_TIP_44;The Eastern Roman Senate is even weaker, but could a Byzantine Republic rise?;;;;;;;;;;;;;;x
LOADING_TIP_45;Germanic leaders must struggle with the changing times.;;;;;;;;;;;;;;x
LOADING_TIP_46;Welcome to the Older Gods!;;;;;;;;;;;;;;x
LOADING_TIP_47;Anything is possible in this world.;;;;;;;;;;;;;;x
LOADING_TIP_48;The Frisians live in a desolate land, but perhaps there is better to be found in Regia.;;;;;;;;;;;;;;x
LOADING_TIP_49;The Alans have traveled a great deal, but is Georgia truly their final home?;;;;;;;;;;;;;;x
LOADING_TIP_50;Laudate Syagrius Rex! Long Live Rome!;;;;;;;;;;;;;;x
LOADING_TIP_51;The Libyans worship the god Gurzil, the offspring of Amun and a cow.;;;;;;;;;;;;;;x
LOADING_TIP_52;The Punic Identity has all but been extinguished. Still, some nomads living deep in the sahara claim heritage from that long lost kingdom...;;;;;;;;;;;;;;x
LOADING_TIP_53;The Libyans worship the god Gurzil, the offspring of Amun and a cow.;;;;;;;;;;;;;;x
LOADING_TIP_54;The many Hellenic mystery cults that flurished before the rise of Christianity still have bases of operation from Africa to the Levant;;;;;;;;;;;;;;x
LOADING_TIP_55;A strong ruler with a claim on a unformed empire can use a claim on it as a basis for invasions;;;;;;;;;;;;;;x
LOADING_TIP_56;The Belemmyes of Eastern Africa worship the god Mandulis, a Nubian corruption of the Egyptian God Horus.;;;;;;;;;;;;;;x
LOADING_TIP_57;The Slavs of the Steppe have been rapidly increasing their rate of expansion, if unchecked they could destroy the known world just as the Germans did!;;;;;;;;;;;;;;x
LOADING_TIP_58;While the Suebians may be Arian underneath them the Macromanni are still pagans.;;;;;;;;;;;;;;x
LOADING_TIP_59;Deep inside the Persian empire sits the Hellenic kingdom of Maysan, the last remnant of the empire of Alexander the Great;;;;;;;;;;;;;;x
LOADING_TIP_60;If the empire of Rome falls the Roman identity will fall with it.;;;;;;;;;;;;;;x
LOADING_TIP_61;Traders of the greater Indian Ocean trade have been using Socotra as a base of operations for some time...;;;;;;;;;;;;;;x
LOADING_TIP_62;While most of Ireland has been converted to Christianity the descendants of Niall of the Nine Hostages, the Ua Nï¿½ill remain staunch pagans.;;;;;;;;;;;;;;x
LOADING_TIP_63;Most of the Bolghar tribes of the Steppe have a heavy amount of Hunnic influence, in time the Huns may settle into the land and be forgotten.;;;;;;;;;;;;;;x
LOADING_TIP_64;The tribe of Vascones worship the Roman God Juptier.;;;;;;;;;;;;;;x
LOADING_TIP_65;Irish monks have settled the northern island known as Iceland.;;;;;;;;;;;;;;x
LOADING_TIP_66;Deep in the lands of the Persians some still claim heritage from the ancient Assyrians.;;;;;;;;;;;;;;x
LOADING_TIP_67;While worship of the Egyptian gods has all but been stamped out in Egypt the Garamantes are continuing the Pharaonic legacy with great pyramids and mummification.;;;;;;;;;;;;;;x
LOADING_TIP_68;In Mauretania, a form of African Latin is spoken by the residents of the Sub-Roman Kingdom.;;;;;;;;;;;;;;x
LOADING_TIP_69;In the mountains of Caucaisian Albania, the last of the Parthian Arsacrids make their stand.;;;;;;;;;;;;;;x
LOADING_TIP_70;The city of Yathrib in Arabia is home to a powerful Jewish Merchant Republic, but various pagan families seek to take control of the lucrative nation.;;;;;;;;;;;;;;x
