# WtWSMS provinces to add to IDs after vanilla
1562;85;0;81;Saniw;x
1563;127;3;209;Thamud;x
1564;169;6;82;Unayzah;x
1565;1;9;210;Baqa;x
1566;43;12;83;Turayf;x 
1567;85;15;211;Sakaka;x #End of Additional provinces
1568;127;18;84;Murra;x #Murra
1569;169;21;212;Sai'ar;x #Sai'ar, end of Zusks Arabia overhaul
1570;1;24;85;Wadden Islands;x #Western Islands
1571;43;27;213;Lalland;x
1572;85;30;86;Hlesey;x
1573;127;33;214;Wight;x #End of Wester Islands
1574;169;36;87;Norrbotten;x #Scandyland
1575;1;39;215;Imedrasa;x # Former province 1439
1576;43;42;88;Rewda;x #Northern Africa
1577;85;45;216;Krusi;x
1578;127;48;89;Lanzanub;x
1579;169;51;217;Amezzyan;x
1580;1;54;90;Lansa;x
1581;43;57;218;Ayezdis;x
1582;85;60;91;Ssekwila;x
1583;127;63;219;Wat'a;x
1584;169;66;92;Fses;x
1585;1;69;220;Ssiy;x
1586;43;72;93;Mmey;x
1587;85;75;221;Tmenya;x
1588;127;78;94;Tam;x
1589;169;81;222;Taggara;x
1590;1;84;95;Aqeyyua;x
1591;43;87;223;Wahed;x
1592;85;90;96;Zenaim;x
1593;127;93;224;Refrus;x
1594;169;96;97;Ohrmazd Ardashir;x #Arcvalons' Persian Overhaul - Mesopotamia
1595;1;99;225;Vahman;x
1596;43;102;98;Belabad;x
1597;85;105;226;Nihavand;x
1598;127;108;99;Orukit;x
1599;169;111;227;Kaskar;x
1600;1;114;0;Asoristan;x
1601;43;117;128;Bet Darai;x
1602;85;120;1;Veh Ardashir;x
1603;127;123;129;Wandanigan;x
1604;169;126;2;Dastkart;x
1605;1;129;130;Hambar;x
1606;43;132;3;Vuzurg Shapur;x
1607;85;135;131;Syarzur;x
1608;127;138;4;Shahrkart;x
1609;169;141;132;Arbil;x
1610;1;144;5;Arbayestan;x
1611;43;147;133;Bet Zabdai;x
1612;51;14;232;Saokoros;x 
1613;127;153;134;Sigriane;x 
1614;169;156;7;Rima;x
1615;1;159;135;Hira;x 
1616;43;162;8;Badiyat Ash Sham;x 
