PATRONS_CHR.4.c;Mother Agape, she who followed Priscillian to death.;;;;;;;;;;;;;x
PATRONS_CHR.4.d;There are others...;;;;;;;;;;;;;x
PATRONS_CHR.5.a;Saint Instantius, who schemed the freedom of the disciples.;;;;;;;;;;;;;x
PATRONS_CHR.5.b;Saint Marcus, the holy Aegyptian theologian.;;;;;;;;;;;;;x
PATRONS_CHR.5.c;The Twelve Patriarchs on high, God's Servants.;;;;;;;;;;;;;x
PATRONS_CHR.5.d;Or perhaps...;;;;;;;;;;;;;x
PATRONS_CHR.6.a;The Kingdom of Light: Heaven and the good in man.;;;;;;;;;;;;;x
PATRONS_CHR.6.b;On second thought...;;;;;;;;;;;;;x
patron_peter;Dedicated to Saint Peter;DÈdiÈ ‡ saint Pierre;;;;;;;;;;;;x
patron_george;Dedicated to Saint George;DÈdiÈ ‡ saint George;;;;;;;;;;;;x
patron_ambrose;Dedicated to Saint Ambrose;DÈdiÈ ‡ saint Ambroise;;;;;;;;;;;;x
patron_gregory;Dedicated to Saint Gregory;DÈdiÈ ‡ saint GrÈgoire;;;;;;;;;;;;x
patron_augustine;Dedicated to Saint Augustine;DÈdiÈ ‡ saint Augustin;;;;;;;;;;;;x
patron_anthony;Dedicated to Saint Anthony;DÈdiÈ ‡ saint Antoine;;;;;;;;;;;;x
patron_mary;Dedicated to Saint Mary;DÈdiÈ ‡ sainte Marie;;;;;;;;;;;;x
patron_thomas;Dedicated to Saint Thomas;DÈdiÈ ‡ saint Thomas;;;;;;;;;;;;x
patron_john;Dedicated to Saint John;DÈdiÈ ‡ saint Jean;;;;;;;;;;;;x
patrons_ins;Choose a Patron Saint;Choisissez un saint patron;;;;;;;;;;;;x
patrons_ins_desc;You can choose a personal patron saint from among the most notable of the Insular faith.;Vous pouvez choisir un saint patron parmi les plus connus de la foi insulaire.;;;;;;;;;;;;x
patron_priscillian;Dedicated to Priscillian;;;;;;;;;;;;x
patron_priscillian_desc;This Priscillian character is dedicated to Priscillian, the founder of the sect.;;;;;;;;;;;;x
patron_helpidius;Dedicated to Helpidius;;;;;;;;;;;;x
patron_helpidius_desc;This Priscillian character is dedicated to Helpidius, the heterodox evangelical that converted Priscillian to his sect.;;;;;;;;;;;;x
patron_agape;Dedicated to Agape;;;;;;;;;;;;x
patron_agape_desc;This Priscillian character is dedicated to Mother Agape, one of Priscillian's first followers and allegedly a female clergyman.;;;;;;;;;;;;x
patron_instantius;Dedicated to Instantius;;;;;;;;;;;;x
patron_instantius_desc;This Priscillian character is dedicated to Instantius, who, with others, was go good at intrigue and bribery (against false charges) that he got the Priscillian disciples' free from exile and returned to them their lands.;;;;;;;;;;;;x
patron_marcus;Dedicated to Marcus;;;;;;;;;;;;x
patron_marcus_desc;This Priscillian character is dedicated to Marcus, a great theologian and early advocate for Priscillianism.;;;;;;;;;;;;x
patron_the_twelve;Dedicated to the Twelve Heavenly Patriarchs;;;;;;;;;;;;x
patron_the_twelve_desc;This Priscillian character is dedicated to the Twelve Patriarchs, the holy angelic spirits who tried and failed to liberate the souls of man, before God sent Jesus to do so on the Cross and Ressurection.;;;;;;;;;;;;x
patron_light;Dedicated to Serving the Kingdom of Light;;;;;;;;;;;;x
patron_light_desc;This Priscillian character is dedicated to the concepts embodying the Kingdom of Light, that is, Heaven (God's domain) and all that is good in man, against the Kingdom of Darkness and the Zodiac.;;;;;;;;;;;;x
