title_lique_mekwas_desc;The Lique Mekwas was an impersonator or double of the Emperor, who accompanied him in battle. Two trusted and highly favored officials were given this title. They always walked or rode on either side of the monarch in battle, or in public processions, dressing as magnificently, or more magnificently then he, in order to distract assassins.;The Lique Mekwas was an impersonator or double of the Emperor, who accompanied him in battle. Two trusted and highly favored officials were given this title. They always walked or rode on either side of the monarch in battle, or in public processions, dressing as magnificently, or more magnificently then he, in order to distract assassins.;The Lique Mekwas was an impersonator or double of the Emperor, who accompanied him in battle. Two trusted and highly favored officials were given this title. They always walked or rode on either side of the monarch in battle, or in public processions, dressing as magnificently, or more magnificently then he, in order to distract assassins.;;The Lique Mekwas was an impersonator or double of the Emperor, who accompanied him in battle. Two trusted and highly favored officials were given this title. They always walked or rode on either side of the monarch in battle, or in public processions, dressing as magnificently, or more magnificently then he, in order to distract assassins.;;;;;;;;;x
title_belen_tigui;Belen-Tigui;Belen-Tigui;Belen-Tigui;;Belen-Tigui;;;;;;;;;x
title_belen_tigui_desc;In the Malian Empire, the Belen-Tigui, or master of ceremonies, was an important office within the Gbara, an assembly of nobles and important figures that at times had authority equal to that of the king.;In the Malian Empire, the Belen-Tigui, or master of ceremonies, was an important office within the Gbara, an assembly of nobles and important figures that at times had authority equal to that of the king.;In the Malian Empire, the Belen-Tigui, or master of ceremonies, was an important office within the Gbara, an assembly of nobles and important figures that at times had authority equal to that of the king.;;In the Malian Empire, the Belen-Tigui, or master of ceremonies, was an important office within the Gbara, an assembly of nobles and important figures that at times had authority equal to that of the king.;;;;;;;;;x
title_court_griot;Court Griot;Court Griot;Court Griot;;Court Griot;;;;;;;;;x
title_court_griot_desc;A griot is a West African historian, storyteller, praise singer, poet and/or musician and a repository of oral tradition. As such, they are sometimes also called bards. In the Malian empire, there would be entire families of aristocratic griots who would advise and entertain rulers.;A griot is a West African historian, storyteller, praise singer, poet and/or musician and a repository of oral tradition. As such, they are sometimes also called bards. In the Malian empire, there would be entire families of aristocratic griots who would advise and entertain rulers.;A griot is a West African historian, storyteller, praise singer, poet and/or musician and a repository of oral tradition. As such, they are sometimes also called bards. In the Malian empire, there would be entire families of aristocratic griots who would advise and entertain rulers.;;A griot is a West African historian, storyteller, praise singer, poet and/or musician and a repository of oral tradition. As such, they are sometimes also called bards. In the Malian empire, there would be entire families of aristocratic griots who would advise and entertain rulers.;;;;;;;;;x
title_kanikleios;Kanikleios;Kanikleios;Kanikleios;;Kanikleios;;;;;;;;;x
title_kanikleios_desc;The Kanikleios was the keeper of the imperial inkstand, one of the senior officials of the imperial chancery. In the Komnenian and Palaiologan period, the office was often given to trusted aides by the emperors, who functioned as effective chief ministers.;The Kanikleios was the keeper of the imperial inkstand, one of the senior officials of the imperial chancery. In the Komnenian and Palaiologan period, the office was often given to trusted aides by the emperors, who functioned as effective chief ministers.;The Kanikleios was the keeper of the imperial inkstand, one of the senior officials of the imperial chancery. In the Komnenian and Palaiologan period, the office was often given to trusted aides by the emperors, who functioned as effective chief ministers.;;The Kanikleios was the keeper of the imperial inkstand, one of the senior officials of the imperial chancery. In the Komnenian and Palaiologan period, the office was often given to trusted aides by the emperors, who functioned as effective chief ministers.;;;;;;;;;x
title_protospatharios;Protospatharios;Protospatharios;Protospatharios;;Protospatharios;;;;;;;;;x
title_protospatharios_desc;Protospatharios was originally the title borne by the leader of the spatharioi ("swordbearers," the Emperor's bodyguards). Later on, it became one of the highest court dignities of the Byzantine Empire, awarded to senior generals and provincial governors, as well as to foreign princes.;Protospatharios was originally the title borne by the leader of the spatharioi ("swordbearers," the Emperor's bodyguards). Later on, it became one of the highest court dignities of the Byzantine Empire, awarded to senior generals and provincial governors, as well as to foreign princes.;Protospatharios was originally the title borne by the leader of the spatharioi ("swordbearers," the Emperor's bodyguards). Later on, it became one of the highest court dignities of the Byzantine Empire, awarded to senior generals and provincial governors, as well as to foreign princes.;;Protospatharios was originally the title borne by the leader of the spatharioi ("swordbearers," the Emperor's bodyguards). Later on, it became one of the highest court dignities of the Byzantine Empire, awarded to senior generals and provincial governors, as well as to foreign princes.;;;;;;;;;x
title_nagid;Nagid;;;;;;;;;;;;;x
title_nagid_desc;Nagid is a Hebrew term meaning a prince or leader. This title was often applied to the religious leader in Sephardic communities of the Middle Ages, generally in Egypt.;;;;;;;;;;;;;x
title_marcher_lord;Marcher Lord;;;;;;;;;;;;;x
title_marcher_lord_desc;A Marcher Lord was a strong and trusted noble appointed by the King of England to guard the border (known as the Welsh Marches) between England and Wales.;;;;;;;;;;;;;x
DEATH_MOTHER_CHILDBIRTH;died giving birth.;died giving birth.;died giving birth.;;died giving birth.;;;;;;;;;x
DEATH_CHILD_CHILDBIRTH;died at birth.;died at birth.;died at birth.;;died at birth.;;;;;;;;;x
EVTDESC1000109005;I’m coming out into this world!;;;;;;;;;;;x
EVTOPTA1000109005;Waaaaah!;;;;;;;;;;;x
EVTDESC1000109006;After giving birth to my child, you feel as if my energy is being drained, perhaps too much. Everything is getting dark now, and even the voices of people screaming around you are fading away into nothingness. In a short while, you will begin your journey into the afterlife...;;;;;;;;;;;x
EVTOPTA1000109006;Oh [Root.Religion.GetRandomGodName], at least let my child live!;;;;;;;;;;;x
EVTDESC1000109007;I’ve died shortly being born.;;;;;;;;;;;x
EVTOPTA1000109007;May [Root.Religion.GetRandomGodName] have mercy on my soul.;;;;;;;;;;;x
EVTDESC1000109204;My children will also learn the local customs and language, just as I have.;;;;;;;;;;;;;x
EVTOPTA1000109204;Listen to what I say!;;;;;;;;;;;;;x
faction_succ_tanistry_desc;Members seek to institute succession by Tanistry in [This.GetName]. When sufficiently powerful, §Y[From.GetBestName]§! may present an ultimatum to §Y[From.Liege.GetBestName]§!.;Members seek to institute succession by Tanistry in [This.GetName]. When sufficiently powerful, §Y[From.GetBestName]§! may present an ultimatum to §Y[From.Liege.GetBestName]§!.;Members seek to institute succession by Tanistry in [This.GetName]. When sufficiently powerful, §Y[From.GetBestName]§! may present an ultimatum to §Y[From.Liege.GetBestName]§!.;;Members seek to institute succession by Tanistry in [This.GetName]. When sufficiently powerful, §Y[From.GetBestName]§! may present an ultimatum to §Y[From.Liege.GetBestName]§!.;;;;;;;;;x;;
faction_succ_tanistry_short;Tanistry Succession;Tanistry Succession;Tanistry Succession;;Tanistry Succession;;;;;;;;;x;;
faction_succ_tanistry_title;Tanistry Succession in [This.GetName];Tanistry Succession in [This.GetName];Tanistry Succession in [This.GetName];;Tanistry Succession in [This.GetName];;;;;;;;;x;;
faction_succ_ultimogeniture_desc;Members seek to institute succession by Ultimogeniture in [This.GetName]. When sufficiently powerful, §Y[From.GetBestName]§! may present an ultimatum to §Y[From.Liege.GetBestName]§!.;Les membres d'une faction cherchent à établir la succession par ultimogéniture à [This.GetName]. Une fois son soutien assuré, §Y[From.GetBestName]§! pourra lancer un ultimatum à §Y[From.Liege.GetBestName]§!.;Mitglieder streben die Einführung einer Nachfolge nach Ultimogenitur in [This.GetName] an. Sobald §Y[From.GetBestName]§! mächtig genug ist, könnte §Y[From.Liege.GetBestName]§! ein Ultimatum gestellt werden.;;Pretenden instaurar la sucesión por Ultimogenitura en [This.GetName]. Cuando sean suficientemente poderosos, §Y[From.GetBestName]§! podrá enviar un ultimátum a §Y[From.Liege.GetBestName]§!.;;;;;;;;;x;;
faction_succ_ultimogeniture_short;Ultimogeniture Succession;Succession par ultimogéniture;Nachfolge nach Ultimogenitur;;Sucesión por Ulyimogenitura;;;;;;;;;x;;
faction_succ_ultimogeniture_title;Ultimogeniture Succession in [This.GetName];Succession par ultimogéniture à [This.GetName];Nachfolge nach Ultimogenitur in [This.GetName];;Sucesión por Ultimogenitura en [This.GetName];;;;;;;;;x;;
CB_NAME_TANISTRY_SUCCESSION_LAW;Tanistry Succession Law;Tanistry Succession Law;Tanistry Succession Law;;Tanistry Succession Law;;;;;;;;;x
CB_NAME_ULTIMOGENITURE_SUCCESSION_LAW;Ultimogeniture Succession Law;Loi de Succession pour la Ultimogéniture;Jüngestenrecht-Nachfolgegesetz;;Ley de sucesión por ultimogenitura;;;;;;;;;x
WAR_NAME_TANISTRY_SUCCESSION_LAW;$ORDER$$SECOND_ADJ$ Civil War for Tanistry;$ORDER$$SECOND_ADJ$ Civil War for Tanistry;$ORDER$$SECOND_ADJ$ Civil War for Tanistry;;$ORDER$$SECOND_ADJ$ Civil War for Tanistry;;;;;;;;;x
WAR_NAME_ULTIMOGENITURE_SUCCESSION_LAW;$ORDER$$SECOND_ADJ$ Civil War for Ultimogeniture;$ORDER$ Guerre civile $SECOND_ADJ$ pour la Ultimogéniture;$ORDER$$SECOND_ADJ$ Bürgerkrieg um Jüngestenrecht;;$ORDER$Guerra civil $SECOND_ADJ$ por ultimogenitura;;;;;;;;;x
change_tanistry_succession_law_desc;§Y$CLAIMANT$§! can declare war to change the succession law in the §Y$TITLE$§! to tanistry!;§Y$CLAIMANT$§! can declare war to change the succession law in the §Y$TITLE$§! to tanistry!;§Y$CLAIMANT$§! can declare war to change the succession law in the §Y$TITLE$§! to tanistry!;;§Y$CLAIMANT$§! can declare war to change the succession law in the §Y$TITLE$§! to tanistry!;;;;;;;;;x
change_ultimogeniture_succession_law_desc;§Y$CLAIMANT$§! can declare war to change the succession law in the §Y$TITLE$§! to ultimogeniture!;Le(la) §Y$CLAIMANT$§! peut déclarer la guerre pour imposer une loi de succession basée sur la ultimogéniture du §Y$TITLE$§!;§Y$CLAIMANT$§! kann einen Krieg erklären, um das Nachfolgerecht für den Titel §Y$TITLE$§! auf Jüngestenrecht zu ändern.;;¡§Y$CLAIMANT$§! puede declarar la guerra para basar la ley de sucesión del §Y$TITLE$§! en la ultimogenitura!;;;;;;;;;x
faction_succ_ultimogeniture_ultimatum_timer;Ultimatum sent;Ultimatum sent;Ultimatum sent;;Ultimatum sent;;;;;;;;;x
faction_succ_tanistry_ultimatum_timer;Ultimatum sent;Ultimatum sent;Ultimatum sent;;Ultimatum sent;;;;;;;;;x
faction_succ_tanistry_ultimatum;Demand Succession by Tanistry;;;;;;;;;;;;;x
faction_succ_tanistry_ultimatum_desc;Present an ultimatum to §Y[Root.Liege.GetBestName]§!, demanding succession by Tanistry. If [Root.Liege.GetSubjectPronoun] refuses to comply, your Faction will rise in revolt.;;;;;;;;;;;;;x
faction_succ_ultimogeniture_ultimatum;Demand Succession by Ultimogeniture;Demande de succession par ultimogéniture;Nachfolge nach Ultimogenitur fordern;;Reclamar la sucesión por Ultimogenitura;;;;;;;;;x;;
faction_succ_ultimogeniture_ultimatum_desc;Present an ultimatum to §Y[Root.Liege.GetBestName]§!, demanding succession by Ultimogeniture. If [Root.Liege.GetSubjectPronoun] refuses to comply, your Faction will rise in revolt.;Présentez un ultimatum à §Y[Root.Liege.GetBestName]§! pour exiger la succession par ultimogéniture. Si [Root.Liege.GetSubjectPronoun] refuse votre requête, votre faction prendra alors les armes.;Stellt §Y[Root.Liege.GetBestName]§! ein Ultimatum und fordert die Nachfolge nach Ultimogenitur. Sollte [Root.Liege.GetSubjectPronoun] dies ablehnen, wird Eure Fraktion einen Aufstand anzetteln.;;Enviar un ultimátum a §Y[Root.Liege.GetBestName]§!, reclamando la sucesión por Ultimogenitura. Si [Root.Liege.GetSubjectPronoun] se niega a concederla, tu Facción se sublevará.;;;;;;;;;x;;
EVTDESC1000109205;You’re a small child - the world around you is so new and so dangerous! Many children don’t live to see adulthood, but perhaps you’ll be luckier.;;;;;;;;;;;x
EVTOPTA1000109205;Waaaaaaaaaaaaaah.;;;;;;;;;;;x
EVTDESC1000109206;You’ve survived the crucial first few years of life, outliving many other unfortunate children who died due to their frail health. Of course, this only means your life has begun - many new surprises and dangers await.;;;;;;;;;;;x
EVTOPTA1000109206;I’m a big kid now!;;;;;;;;;;;x
EVTDESC1000109210;The [Root.Religion.GetName] faith has done much this year in the name of [Root.Religion.GetRandomGodName].;;;;;;;;;;;x
EVTOPTA1000109210;Good.;;;;;;;;;;;x
EVTDESC1000109211;I'm not supposed to be Jewish - my parents certainly aren't!;;;;;;;;;;;x
EVTOPTA1000109211;I'll convert back to my parents religion immediately.;;;;;;;;;;;x
EVTOPTB1000109211;Never!;;;;;;;;;;;x
VIETmisc.1.desc;I desire for a child to carry on my name and legacy, that my great dynasty will survive until the end of days!;;;;;;;;;;;;;x
VIETmisc.1.a;Let’s hope this works...;;;;;;;;;;;;;x
VIETmisc.2.desc;My efforts to make a child have been fulfilled.;;;;;;;;;;;;;x
VIETmisc.2.a;Thank the heavens my wish was fulfilled.;;;;;;;;;;;;;x
title_noyan;Dog of War;;;;;;;;;;;;;x
title_noyan_desc;During the Mongol world conquests, Genghis Khan named four of his top generals as so-called "Dogs of War" - Subotai, Jebe, Jelme, and Khubilai. They were considered his most trusted and most capable military commanders, and they played key roles in several of Genghis Khan's campaigns. The title probably came about because Mongols had a lot of dogs, and dogs were very useful for people's lives in hunting and warnings.;;;;;;;;;;;;;x
obj_follow_truth_title;Follow Asha (Truth);;;;;;;;;;;;;x
obj_follow_truth_desc;[This.GetTitledFirstName] wants to practice honesty, a virtue highly revered by Zoroastrians.;[This.GetTitledFirstName];[This.GetTitledFirstName];;[This.GetTitledFirstName];;;;;;;;;x
title_amir_al_umara;Amir al-Umara;;;;;;;;;;;;;x
title_amir_al_umara_desc;The office of Amir al-Umara was originally a title (also referred to as "emir of emirs," "chief emir," and "commander of commanders) used in the Abbasid Caliphate and various Muslim realms to senior military leaders. The Norman monarchs of Sicily, influenced by Sicily's Arabic past, continued using various Arabic terms in their administration, including the "Amir al-Umara." The holders of this title had both civilian and military authority.;;;;;;;;;;;;;x
VIETmisc.4.desc;My spouse is Jewish. This is not good for my reputation at all!;;;;;;;;;;;;;x
VIETmisc.4.a;[Root.Spouse.GetSheHeCap] must be converted to the true faith!;;;;;;;;;;;;;x
VIETmisc.5.tooltip;[Root.Spouse.GetTitledFirstName] is "persuaded" to convert to the [Root.Religion.GetName] faith.;;;;;;;;;;;;;x
VIETmisc.5.desc;My spouse is demanding that I abandon my Jewish ways and convert to the [From.Religion.GetName] faith.;;;;;;;;;;;;;x
VIETmisc.5.a;Oy vey! What choice do I have?;;;;;;;;;;;;;x
VIETmisc.5.b;I will not abandon the Jewish people! I live and die a Jew!;;;;;;;;;;;;;x
VIETmisc.6.desc;My child is Jewish. This is not good for my reputation at all!;;;;;;;;;;;;;x
VIETmisc.6.a;The child must be converted to the true faith!;;;;;;;;;;;;;x
VIETmisc.6.tooltip;[Root.GetTitledFirstName]'s child is "persuaded" to convert to the [Root.Religion.GetName] faith.;;;;;;;;;;;;;x
VIETmisc.7.desc;My parent is demanding that I abandon my Jewish ways and convert to the [From.Religion.GetName] faith.;;;;;;;;;;;;;x
VIETmisc.7.a;Oy vey! What choice do I have?;;;;;;;;;;;;;x
VIETmisc.7.b;I will not abandon the Jewish people! I live and die a Jew!;;;;;;;;;;;;;x
RETTYPE_CUL_JEWISH_WARRIOR;Jewish Warrior;;;;;;;;;;;;;x
ca_culture_jewish_1;Jewish Heavy Infantry Barracks;Caserne d’infanterie lourde juive;Übungsplatz für Judische Schwere Infanterie;;Barracas de Infantería Pesada judia;;;;;;;;;x
ca_culture_jewish_2;Jewish Heavy Infantry Barracks;Caserne d’infanterie lourde juive;Übungsplatz für Judische Schwere Infanterie;;Barracas de Infantería Pesada judia;;;;;;;;;x
ca_culture_jewish_3;Jewish Heavy Infantry Barracks;Caserne d’infanterie lourde juive;Übungsplatz für Judische Schwere Infanterie;;Barracas de Infantería Pesada judia;;;;;;;;;x
ca_culture_jewish_4;Jewish Heavy Infantry Barracks;Caserne d’infanterie lourde juive;Übungsplatz für Judische Schwere Infanterie;;Barracas de Infantería Pesada judia;;;;;;;;;x
ca_culture_jewish_5;Jewish Heavy Infantry Barracks;Caserne d’infanterie lourde juive;Übungsplatz für Judische Schwere Infanterie;;Barracas de Infantería Pesada judia;;;;;;;;;x
ca_culture_jewish_1_desc;This is where the elite infantry serving a Jewish ruler is trained. Special care is taken to equip the soldiers with the finest heavy armor that money can buy. This, combined with rigorous training and iron discipline, makes them an elite force to be truly feared.;C’est là que l’infanterie d’élite au service d’un seigneur juif s’entraîne. Une attention spéciale est donnée pour équiper les soldats avec les meilleures armures lourdes qui puissent être achetées. Cela, combiné avec l’entraînement rigoureux et une discipline de fer, font de ces soldats une terrifiante force d’élite.;;;Aquí es donde se entrena la infantería de élite que sirve a los señores judios. Se pone especial atención en equipar a los soldados con la mejor armadura que el dinero pueda comprar. Combinado esto con el entrenamiento riguroso y la disciplina férrea, hacen que estas fuerzas de élite sean realmente temidas.;;;;;;;;;x
RETTYPE_CUL_ASIAN_CHAMPION;Asian Champions;;;;;;;;;;;;;x
ca_culture_asian_1_desc;Mighty warriors dwell here, trained in the traditional martial arts of their people.;;;;;;;;;;;;;x
ca_culture_asian_1;Asian Barracks 1;;;;;;;;;;;;;x
ca_culture_asian_2;Asian Barracks 2;;;;;;;;;;;;;x
ca_culture_asian_3;Asian Barracks 3;;;;;;;;;;;;;x
ca_culture_asian_4;Asian Barracks 4;;;;;;;;;;;;;x
reject.VIET.courtiers;We don't need their help.;;;;;;;;;;;x
VIETmisc.8.desc;The great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Hindu faith!;;;;;;;;;;;x
VIETmisc.8.a;The time has come!;;;;;;;;;;;x
VIETmisc.8.b;This is good news indeed!;;;;;;;;;;;x
VIETmisc.8.c;Strange... they change from worshipping one set of idols for another?;;;;;;;;;;;x
VIETmisc.9.desc;The great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Buddhist faith!;;;;;;;;;;;x
VIETmisc.9.a;We shall protect the Buddha's message of compassion and wisdom!;;;;;;;;;;;x
VIETmisc.9.b;Good, the Buddhist faith, though peaceful, needs a strong protector!;;;;;;;;;;;x
VIETmisc.9.c;At least the Buddhists tend towards pacifism... right?;;;;;;;;;;;x
VIETmisc.10.desc;The great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Jewish faith!;;;;;;;;;;;x
VIETmisc.10.a;The time has come.;;;;;;;;;;;x
VIETmisc.10.b;Truly, Yahweh favors us! Our enemies shall tremble.;;;;;;;;;;;x
VIETmisc.10.c;Better that than pagan, I guess...;;;;;;;;;;;x
VIETmisc.10.d;Interesting.;;;;;;;;;;;x
VIETmisc.11.desc;The great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Zoroastrian faith!;;;;;;;;;;;x
VIETmisc.11.a;The holy fires shall never die out with us protecting them.;;;;;;;;;;;x
VIETmisc.11.b;Glorious news!;;;;;;;;;;;x
VIETmisc.11.c;Oh my... will they avenge their Persian brothers by attacking good Muslims?;;;;;;;;;;;x
VIETmisc.11.d;Very well...;;;;;;;;;;;x
VIETmisc.16.desc;If you see this event this means you gave your character some of the age customizer traits in ruler designer. This event will remove these "invisible" traits to make the character interface screen look cleaner, and to ensure that the game no longer keeps track of these traits.;;;;;;;;;;;x
VIETmisc.19.desc;The great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Ibadi faith!;;;;;;;;;;;x
VIETmisc.19.a;Allahuakbar!;;;;;;;;;;;x
VIETmisc.19.b;Good news!;;;;;;;;;;;x
VIETmisc.19.c;I see...;;;;;;;;;;;x
VIETmisc.21.desc;The great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Yazidi faith!;;;;;;;;;;;x
VIETmisc.21.a;The time has come!;;;;;;;;;;;x
VIETmisc.21.b;Interesting news.;;;;;;;;;;;x
VIETmisc.21.c;I see...;;;;;;;;;;;x
VIETmisc.23.desc;The great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Manichean faith!;;;;;;;;;;;x
VIETmisc.23.a;We are now children of the Light.;;;;;;;;;;;x
VIETmisc.23.b;May the light conquer and banish the darkness!;;;;;;;;;;;x
VIETmisc.23.c;I see...;;;;;;;;;;;x
holy_war_on_pagan;Holy war on pagans requirements;;;;;;;;;;;;;x
holy_war_on_pagan_desc;You have to meet these requirements to declare holy war on pagans. You also need to meet the base requirements (displayed on the war declaration screen if you fulfill the requirements listed on the decision screen), and potentially non-dejure requirements.;;;;;;;;;;;;;x
raider;Raider;;;;;;;;;;;;;x
raider_desc;This pagan has acquired much fame as a fearsome raider.;;;;;;;;;;;;;x
obj_become_notorious_raider_title;Become Notorious Raider;;;;;;;;;;;;;x
obj_become_notorious_raider_desc;[This.GetTitledFirstName] wants to become a notorious pagan raider, a pillager and looter known from Ireland to Constantinople, feared by friend and foe alike.;xx;xx;;xx;;;;;;;;;x
VIETmisc.100.desc;The pillaging and looting undertaken in your name has earned you a reputation as a fearsome pagan raider. From Ireland to Constantinople, people fear the name of [Root.GetFirstName], the ruthless plunderer and merciless raider!;;;;;;;;;;;;;x
VIETmisc.100.a;Let them fear me!;;;;;;;;;;;;;x
DEF_KHARJITE;Kharjite sect of Islam;;;;;;;;;;;;;x
DEF_RELIGION_MOVING_RAIDERS;Slight reduction in garrison size due to a preference for a nomadic lifestyle in the military;;;;;;;;;;;;;x
CHAR_STATUS_PILGRIM;§Y$NAME$§! is traveling.;§Y$NAME$§! est en pèlerinage;§Y$NAME$§! ist auf Pilgerfahrt;;§Y$NAME$§! está peregrinando;;;;;;;;;x
hold_nerge_desc;In the Great Hunt, or Nerge as it was known to the Mongols, an entire nomad army hunts all wildlife in a vast expanse of wilderness. This not only provides food for the winter, but also improves discipline among the troops.;;;;;;;;;;;x
obj_embrace_poverty_title;Embrace Poverty;;;;;;;;;;;;;x
obj_embrace_poverty_desc;[This.GetTitledFirstName] wishes to follow [This.GetHerHis] faith's ideal of poverty.;xx;xx;;xx;;;;;;;;;x
title_possessor_of_mint;Possessor of Mint;;;;;;;;;;;;;x
title_possessor_of_mint_desc;The Possessor of Mint, or "Ebn Na'na," was the Sogdian title of the lord of Bottaman, who was probably a vassal of the Malek of Oshrushanna.;;;;;;;;;;;;;x
#Bookmarks;;;;;;;;;;;;;;x
BM_KINGDOM_OF_JERUSALEM;Kingdom of Jerusalem;Kingdom of Jerusalem;Kingdom of Jerusalem;;Kingdom of Jerusalem;;;;;;;;;x
BM_KINGDOM_OF_JERUSALEM_DESC;The first Crusade into the Holy Land has succeeded beyond the wildest expectations of the Crusader armies. Godfrey of Bouillon now sits as King of Jerusalem, though he claims that the true King of Jerusalem is Jesus Christ. Though Christians everywhere celebrate this great victory,  they can only rest for so long: the Muslims are licking their wounds, preparing to avenge this embarrassing defeat and reclaim the Holy Land. Meanwhile, Emperor Alexios of Byzantium watches warily - realizing his originally simple plan of using the Western barbarians as a mercenary force against the Turks has had unforeseen consequences, perhaps the Byzantine Empire needs to reevaluate the situation in the Holy Land if they are to reclaim the Legacy of Rome.; ; ;; ;;;;;;;;;x
BM_RECONQUISTA;Reconquista;Reconquista;Reconquista;;Reconquista;;;;;;;;;x
BM_RECONQUISTA_DESC;Just a few centuries ago, Islam almost conquered all of Iberia. Just a mere half a century ago,  as Christian Iberia was on the brink of defeat, El Cid bravely fought against the Moors. Now, the winds of change are blowing in Iberia. To the south, the decadent Almoravids are collapsing, replaced by an even more zealous dynasty, the Almohads. Portugal has just officially won its independence. Meanwhile, Castille and Aragon continue to resist the Muslims, hoping that one day their dream of the reconquista will be accomplished. Who will succeed in this turbulent region - Almohad or Almoravid, Spanish or Portuguese, Christian or Muslim?; ; ;; ;;;;;;;;;x
BM_SCOURGE_OF_GOD;Scourge of God;Scourge of God;Scourge of God;;Scourge of God;;;;;;;;;x
BM_SCOURGE_OF_GOD_DESC;From the East they came, ruthless and without mercy: strange men, dressed in exotic armor and speaking in guttural tongues that none understood. Rumors carried across the Silk Road and the Indian Ocean have told of how Genghis Khan and his invincible Mongol hordes shattered the greatest empires of the known world, from Cathay to Persia. Though Genghis Khan is now dead, the sons and grandsons of Genghis intend to continue his conquests. They have their eyes upon Europe and the rest of the Middle East, and the entire world may be united under the banner of Genghis... if his descendants do not end up fighting among themselves, that is. Perhaps the end of days has finally come at last, a punishment for the sins of the wicked... or perhaps this is God’s greatest test yet for the faithful.; ; ;; ;;;;;;;;;x
BM_OSMANS_DREAM;Osman's Dream;Osman's Dream;Osman's Dream;;Osman's Dream;;;;;;;;;x
