#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
######################################_DECISIONS;;;;;;;;;;;;;;x
form_turkish_empire;Form Turkish Empire;Formez l'Empire Turc;;;;;;;;;;;;x
title_kapudan_pasha_desc;The Kapudan Pasha was the admiral of the navy of the Ottoman Empire. He was also known as the Derya Bey ("Bey of the Sea") and as the Kapudan-i Derya. Typically, he was based at Galata and Gallipoli during the winter and charged with annual sailings during the summer months.;Le Kapudan Pasha était l'amiral de la marine de l'empire ottoman. Il était également connu sous le nom de Derya Bey ("Bey de la Mer") et de Kapudan-i Derya. Typiquement, il a été basé à Galata et Gallipoli pendant l'hiver et chargé des voyages annuels pendant les mois d'été.;;;;;;;;;;;;x
######################################_CASUS BELLI;;;;;;;;;;;;;;x
CB_NAME_TURKISH_CONQUEST;Turkish Conquest of Byzantine [Title.GetBaseName];Conquête turque de [Title.GetBaseName] Byzantine;;;;;;;;;;;;x
WAR_NAME_TURKISH_CONQUEST;$ORDER$$FIRST_ADJ$ Conquest of $OTHER_TITLE$;$ORDER$$FIRST_ADJ$ Conquête de $OTHER_TITLE$;;;;;;;;;;;;x
turkish_conquest_desc;The word of the Prophet shall spread through Rome and one day reach Constantinople! §Y$CLAIMANT$§! can use this Casus Belli to seize all titles held by §Y$TARGET$§! within the de jure §Y$TITLE$§!.;La parole du Prophète se répandra à Rome et atteindra un jour Constantinople ! §Y$CLAIMANT$§! peut utiliser ce Casus Belli pour saisir tous les titres détenus par §Y$TARGET$§! dans le §Y$TITLE$§! de jure.;;;;;;;;;;;;x
######################################_EVENTS;;;;;;;;;;;;;;x
ottoman.1.tt;The Turkish Empire is founded;L'Empire Turc est fondé;;;;;;;;;;;;x
ottoman.1.name;A Turkish Empire arises!;Un Empire Turc émerge !;;;;;;;;;;;;x
ottoman.1.desc;[Root.GetTitledFirstName], you did what generations of holy warriors failed to do. By conquering Constantinople, you prove yourself a conqueror above all conquerors. The first Rome was Pagan, the second Christian, but now the Third shall be Muslim under the [Root.GetOnlyDynastyName] dynasty!;[Root.GetTitledFirstName], vous avez fait ce que des générations de guerriers saints n'ont pas réussi à faire. En conquérant Constantinople, vous devenez conquérant avant tout. La première Rome était païenne, la deuxième chrétienne, mais maintenant la troisième sera musulmane sous la dynastie [Root.GetOnlyDynastyName] !;;;;;;;;;;;;x
ottoman.1.a;Allahu Akbar!;Allahu Akbar !;;;;;;;;;;;;x
ottoman.2.desc;The Byzantine Empire, though it survives, is a mockery of its former glory. Since it has been reduced to such size and since we rule Constantinople, none question our claim to the Roman Empire, save the weak Christian infidels.;L'Empire Byzantin, s'il survit, est une parodie de sa gloire passée. Puisqu'il a été réduit à une telle taille et que nous gouvernons Constantinople, personne ne remet en question notre revendication à l'Empire Romain, sauf les faibles infidèles chrétiens.;;;;;;;;;;;;x
ottoman.2.a;Allahu Akbar!;Allahu Akbar !;;;;;;;;;;;;x
ottoman.3.desc;Our holy war against the heathen Byzantine Empire goes well. Many noble-hearted and brave warriors are joining our cause. Let the Romans tremble in fear!;Notre guerre sainte contre l'Empire païen byzantin se passe bien. De nombreux guerriers nobles et courageux se joignent à notre cause. Que les Romains tremblent de peur !;;;;;;;;;;;;x
ottoman.3.a;Allahu Akbar!;Allahu Akbar !;;;;;;;;;;;;x
ottoman.4.desc;Fetih;Fetih;;;;;;;;;;;;x
ottoman.4.a;Fetih;Fetih;;;;;;;;;;;;x
ottoman.5.desc;Fetih;Fetih;;;;;;;;;;;;x
ottoman.5.a;Fetih;Fetih;;;;;;;;;;;;x
ottoman.6.name;The Fall of Constantinople;La chute de Constantinople;;;;;;;;;;;;x
ottoman.6.desc;The great and mighty Turkish warriors have conquered Constantinople! The Muslim world rings with jubilation and celebration from every mosque, for it was Muhammad who said, “Verily he shall conquer Constantinople. What a wonderful leader will he be, and what a wonderful army will that army be!”\nThe Turks now have a strong foothold in Europe, and with a claim on the old Roman Empire, Europe trembles with a fear not seen since the days when the Germanic hordes swept down into the Roman Empire. And so it is:\n“The spider weaves the curtains in the palace of the Caesars\nthe owl calls the watches in the towers of Afrasiab.”;Les grands et puissants guerriers turcs ont conquis Constantinople! Le monde musulman résonne de jubilation et de réjouissances de toutes les mosquées, car c'est Mohammed qui a dit : "En vérité, il vaincra Constantinople. Quel chef merveilleux sera-t-il, et quelle armée merveilleuse sera cette armée !\nLes Turcs ont maintenant une forte présence en Europe, et avec une revendication sur l'ancien Empire Romain, l'Europe tremble avec une peur jamais vue depuis l'époque où les hordes germaniques envahissaient l'empire romain.\n"L'araignée tisse les rideaux dans le palais des Césars.\nLa chouette appelle les montres dans les tours d'Afrasiab.";;;;;;;;;;;;x
ottoman.6.a;Oh my...;Oh mon ...;;;;;;;;;;;;x
ottoman.6.b;Masha’Allah!;Masha’Allah !;;;;;;;;;;;;x
ottoman.6.c;A dark day! Has God forsaken us?;Un jour sombre! Dieu nous a-t-il abandonnés ?;;;;;;;;;;;;x
ottoman.7.desc;A talented eunuch has been brought before my attention. He is currently one of the many eunuchs serving at your court, but perhaps I could make use of his skills.;Un eunuque talentueux a été porté à mon attention. Il est actuellement l'un des nombreux eunuques qui servent à votre cour, mais je pourrais peut-être utiliser ses compétences.;;;;;;;;;;;;x
ottoman.7.a;Why not?;Pourquoi pas ?;;;;;;;;;;;;x
ottoman.7.b;I don’t need another source of court intrigue.;Je n'ai pas besoin d'une autre intrigue judiciaire.;;;;;;;;;;;;x
ottoman.8.tt;The so-called Byzantine Emperor will be informed of his misfortune.;Le soi-disant Empereur Byzantin sera informé de son malheur.;;;;;;;;;;;;x
ottoman.8.desc;To the once mighty Byzantine Emperor,\nBy the grace of God I now rule your lands, and your so called "Empire" is no more. I am now the true Roman Emperor! Pray to Allah that I do not come for your head!\n\n[From.GetFullName];A l'Empereur Byzantin autrefois puissant.\nPar la grâce de Dieu, je domine maintenant vos terres, et votre soi-disant "Empire" n'existe plus. Je suis maintenant le vrai Empereur Romain ! Priez Allah que je ne vienne pas pour votre tête !\n\n[From.GetFullName];;;;;;;;;;;;x
ottoman.8.a;Heathen bastard!;Bâtard païen !;;;;;;;;;;;;x
ottoman.9.desc;I am the great and mighty [Root.GetTitledFirstName], who has no shortage of beautiful women available to me. Lately, I've been particularly interested in one of lesser concubines, spending a lot of quality time with her. Perhaps I should make her one of my official wives?;Je suis le grand et puissant [Root.GetTitledFirstName], qui ne manque pas de belles femmes à ma disposition. Dernièrement, j'ai été particulièrement intéressé par une concubine de moindre importance, passant beaucoup de temps avec elle. Peut-être devrais-je en faire une de mes épouses officielles ?;;;;;;;;;;;;x
ottoman.9.a;Yes! She deserves no less.;Oui! Elle ne mérite pas moins.;;;;;;;;;;;;x
ottoman.9.b;Then again, this might prove troublesome down the road.;Mais encore une fois, cela pourrait s'avérer gênant plus tard.;;;;;;;;;;;;x
ottoman.10.desc;Sex! Sex! Sex! That's all they want me to do. The members of my harem, my servants, my ministers, my generals, all my subjects, it's like that's all they care about. Why do I have to "prove" my masculinity this way? I can only groan as one of my wives is brought before me for tonight's "activities". Why can't I just send her away and read a good book instead?;Sexe ! Sexe ! Sexe ! C'est tout ce qu'ils veulent que je fasse. Les membres de mon harem, mes serviteurs, mes ministres, mes généraux, tous mes sujets, c'est comme si c'était tout ce qui les intéressait. Pourquoi dois-je "prouver" ma masculinité de cette façon ? Je ne peux que gémir car l'une de mes épouses est amenée devant moi pour les "activités"de ce soir. Pourquoi je ne peux pas la renvoyer et lire un bon livre à la place ?;;;;;;;;;;;;x
ottoman.10.a;I have to do this, lest my reputation will suffer.;Je dois le faire, de peur que ma réputation ne souffre.;;;;;;;;;;;;x
ottoman.10.b;Bah! I don't care anymore! Go away, woman, leave me alone!;Bah! Je m'en fiche! Va-t'en, femme, laisse-moi tranquille!;;;;;;;;;;;;x
ottoman.11.desc;Fetih;Fetih;;;;;;;;;;;;x
ottoman.11.a;Fetih;Fetih;;;;;;;;;;;;x
######################################_TRAITS;;;;;;;;;;;;;;x
kayser_i_rum;Kayser-i Rum;Kayser-i Rum;;;;;;;;;;;;x
kayser_i_rum_desc;This man is the absolute authority in the Turkish Empire, the Third Rome. He is its political, military, judicial, social, and religious leader.;Cet homme est l'autorité absolue dans l'Empire turc, la Troisième Rome. Il en est le chef politique, militaire, judiciaire, social et religieux.;;;;;;;;;;;;x
ottoman_goldsmith;Goldsmith;Orfèvre;;;;;;;;;;;;x
ottoman_blacksmith;Blacksmith;Forgeron;;;;;;;;;;;;x
ottoman_carpenter;Carpenter;Charpentier;;;;;;;;;;;;x
ottoman_weaver;Weaver;Tisserand;;;;;;;;;;;;x
ottoman_mason;Mason;Maçon;;;;;;;;;;;;x
ottoman_perfumer;Perfumer;Parfumeur;;;;;;;;;;;;x
ottoman_goldsmith_desc;This Turkish lord has learned the intricate art of goldsmithing and is capable of using gold to decorate, create, and beautify many things, ranging from jewelry to furniture.;Ce seigneur turc a appris l'art complexe de l'orfèvrerie et est capable d'utiliser l'or pour décorer, créer et embellir de nombreuses choses, allant des bijoux aux meubles.;;;;;;;;;;;;x
ottoman_blacksmith_desc;This Turkish lord is an accomplished blacksmith, and has knowledge of how to use iron to forge products ranging from weapons to nails and tools.;Ce seigneur turc est un forgeron accompli, et il sait comment utiliser le fer pour forger des produits allant des armes aux clous et aux outils.;;;;;;;;;;;;x
ottoman_carpenter_desc;This Turkish lord has mastered the craft of carpentry, and is able to create small buildings, furniture, and other useful materials out of wood.;Ce seigneur turc a maîtrisé l'artisanat de la menuiserie, et est capable de créer de petits bâtiments, des meubles et d'autres matériaux utiles en bois.;;;;;;;;;;;;x
ottoman_weaver_desc;This Turkish lord specializes in weaving, and can produce wonderful items of clothing using wool.;Ce seigneur turc se spécialise dans le tissage et peut fabriquer de magnifiques vêtements en utilisant la laine.;;;;;;;;;;;;x
ottoman_mason_desc;This Turkish lord has chosen a life with stone, able to craft sturdy and smooth stones that can be used in the construction of monuments, temples, roads, and more.;Ce seigneur turc a choisi une vie avec la pierre, capable de fabriquer des pierres robustes et lisses qui peuvent être utilisées dans la construction de monuments, temples, routes, et plus encore.;;;;;;;;;;;;x
ottoman_perfumer_desc;This Turkish lord has chosen a life with perfumes, and is able to craft fragrant and pleasing aromas with his creativity and knowledge of complex formulas.;Ce seigneur turc a choisi une vie avec les parfums, et est capable de créer des arômes parfumés et agréables avec sa créativité et sa connaissance des formules complexes.;;;;;;;;;;;;x
######################################Muafname;;;;;;;;;;;;;;x
VIET_muafname_granted;Granted Muafname;Muafname accordé;;;;;;;;;;;;x
VIET_muafname_granted_desc;This region has been exempted from paying some of its taxes to the Kayser-i Rum, the Turkish Sultan. In return, it is expected to grow and prosper.;Cette région a été exonérée de payer une partie de ses impôts au Rhum Kayser-i, le sultan turc. En retour, il devrait croître et prospérer.;;;;;;;;;;;;x
VIET_opinion_granted_big_muafname;Granted big Muafname;Grand Muafname accordé;;;;;;;;;;;;x
VIET_opinion_granted_small_muafname;Granted small Muafname;Petit Muafname accordé;;;;;;;;;;;;x
VIET_opinion_refused_muafname;Refused to grant Muafname;Refus d'accorder le Muafname;;;;;;;;;;;;x
ottoman.12.desc;Leaders of the [Root.Capital.Religion.GetName] [Root.Capital.Culture.GetName] community in [Root.Capital.GetName] have been clamoring for special tax exemptions called "Muafname" from the imperial government. While such an exemption would reduce tax income, it might encourage growth and win support from the locals. Should we send a request to the great Sultan?;Les dirigeants de la communauté [Root.Capital.Religion.GetName] [Root.Capital.Culture.GetName] à [Root.Capital.GetName] réclament des exonérations fiscales spéciales appelées "Muafname" du gouvernement impérial. Bien qu'une telle exemption réduirait le revenu imposable, elle pourrait encourager la croissance et obtenir l'appui des locaux. Devrions-nous envoyer une demande au grand Sultan ?;;;;;;;;;;;;x
ottoman.12.a;Yes, we should help the locals.;Oui, on devrait aider les locaux.;;;;;;;;;;;;x
ottoman.12.b;Read my lips: no more taxes! The Muafname is granted.;Lisez sur mes lèvres: plus de taxes! Le Muafname est accordé.;;;;;;;;;;;;x
ottoman.12.c;We can only grant a short-term Muafname.;Nous ne pouvons accorder qu'un Muafname à court terme.;;;;;;;;;;;;x
ottoman.12.d;No, this isn't worth our time.;Non, ça ne vaut pas le coup.;;;;;;;;;;;;x
ottoman.13.tooltip;You send word to the Sultan, hoping your request will be granted.;Envoyez un mot au Sultan, en espérant que votre demande sera acceptée.;;;;;;;;;;;;x
ottoman.13.desc;To [Root.GetTitledName], Khan of Khans, Padishah, and Emperor of Rome:\nI have recently met with [From.Capital.Religion.GetName] [From.Capital.Culture.GetName] leaders in [From.Capital.GetName]. They request special tax exemptions, the Muafname, for their community. I believe a Muafname will encourage growth and prosperity in the region, and humbly request you grant it.\nWith great awe and respect,\n[From.GetTitledName];A [Root.GetTitledName], Khan des Khans, Padishah, and Empereur de Rome :\nJ'ai récemment rencontré les chefs [From.Capital.Religion.GetName] [From.Capital.Culture.GetName] de [From.Capital.GetName]. Ils demandent des exonérations fiscales spéciales, les Muafnames, pour leur communauté. Je crois qu'un Muafname encouragera la croissance et la prospérité dans la région, et vous demande humblement de l'accorder. Avec respect.\n[From.GetTitledName];;;;;;;;;;;;x
ottoman.13.a;I will grant a good Muafname, then!;Je vais accorder un bon Muafname, alors !;;;;;;;;;;;;x
ottoman.13.b;I can only grant a shorter Muafname.;Je ne peux accorder qu'un muafname à court terme.;;;;;;;;;;;;x
ottoman.13.c;I refuse to grant a Muafname.;Je refuse d'accorder un Muafname.;;;;;;;;;;;;x
ottoman.14.desc;To [Root.GetTitledName]:\nI have considered your request for a Muafname and found it acceptable. The Muafname has thus been granted. I hope the region will prosper and grow as you say!;A [Root.GetTitledName] :\nJ'ai pris en compte votre demande de Muafname et je l'ai jugée acceptable. Le Muafname a donc été accordé. J'espère que la région prospérera et grandira comme vous le dites !;;;;;;;;;;;;x
ottoman.14.tooltip;Grant a longer lasting Muafname.;Accordez un Muafname qui dure plus longtemps.;;;;;;;;;;;;x
ottoman.14.a;This is great news!;C'est une excellente nouvelle !;;;;;;;;;;;;x
ottoman.15.desc;To [Root.GetTitledName]:\nI have considered your request for a Muafname and found it acceptable. However, for various reasons, I can only grant it for a shorter period of time. I hope you understand.\nSincerely,\n[From.GetTitledName];A [Root.GetTitledName] :\nJ'ai pris en compte votre demande de nom Muafname et je l'ai jugée acceptable. Cependant, pour diverses raisons, je ne peux l'accorder que pour une courte période. J'espère que vous comprenez.\nSincèrement,\n[From.GetTitledName];;;;;;;;;;;;x
ottoman.15.a;Very well, better than nothing.;Très bien, c'est mieux que rien.;;;;;;;;;;;;x
ottoman.16.desc;To [Root.GetTitledName]:\nI have considered your request for a Muafname but unfortunately at this time I cannot grant such a request. The taxation we levy on the locals is necessary in order to sustain our great Empire. I hope you understand.\nSincerely,\n[From.GetTitledName];A [Root.GetTitledName] :\nJ'ai pris en compte votre demande de nom Muafname mais malheureusement pour le moment je ne peux pas accepter une telle demande. L'impôt que nous percevons sur les locaux est nécessaire pour soutenir notre grand Empire. J'espère que vous comprenez.\nSincèrement,\n[From.GetTitledName];;;;;;;;;;;;x
ottoman.16.a;How unfortunate. I guess it can't be helped.;C'est malheureux. On ne peut pas les aider.;;;;;;;;;;;;x
ottoman.16.b;The central government is always corrupt, I should've expected no less.;Le gouvernement central est toujours corrompu, j'aurais dû m'y attendre.;;;;;;;;;;;;x
ottoman.15.tooltip;Grant a short-term Muafname;Accorder un Muafname à court terme;;;;;;;;;;;;x
ottoman.16.tooltip;Refuse to grant any Muafname;Refuse d'accorder un Muafname;;;;;;;;;;;;x
ottoman.17.desc;Leaders of the [Root.Capital.Religion.GetName] [Root.Capital.Culture.GetName] community in [Root.Capital.GetName] have been clamoring for special tax exemptions called "Muafname" from the imperial government. While such an exemption would reduce tax income, it might encourage growth and win support from the locals. Perhaps it might be a good idea to heed their request.;Les dirigeants de la communauté [Root.Capital.Religion.GetName] [Root.Capital.Culture.GetName] à [Root.Capital.GetName] réclament des exonérations fiscales spéciales appelées "Muafname" du gouvernement impérial. Bien qu'une telle exemption réduirait le revenu imposable, elle pourrait encourager la croissance et obtenir l'appui des locaux. Ça serait peut-être une bonne idée de répondre à leur demande.;;;;;;;;;;;;x
ottoman.17.a;Read my lips: no more taxes! The Muafname is granted.;Lisez sur mes lèvres: plus de taxes! La Muafname est accordé.;;;;;;;;;;;;x
ottoman.17.b;We can only grant a short-term Muafname.;Nous ne pouvons accorder qu'un Muafname à court terme.;;;;;;;;;;;;x
ottoman.17.c;Tax exemptions? No. In this world, only death and taxes are certain.;Des exonérations fiscales? Non. Dans ce monde, seuls la mort et les impôts sont certains.;;;;;;;;;;;;x
######################################_MISC;;;;;;;;;;;;;;x
VIET_virile_ottoman;Virile Sultan;Sultan viril;;;;;;;;;;;;x
VIET_virile_ottoman_desc;This Sultan has much stamina and can make love to a myriad of beautiful wives and concubines without sweat. Surely, only a foolish man would envy such a position!;Ce sultan a beaucoup d'endurance et peut faire l'amour à une myriade de belles épouses et concubines sans transpirer. Sûrement, seul un imbécile voudrait une telle position !;;;;;;;;;;;;x
ottoman_promote_concubine;Promote Concubine;Promouvoir une Concubine;;;;;;;;;;;;x
ottoman_promote_concubine_desc;You have many lesser concubines, beauties drawn from many different lands. Perhaps one of them should be promoted to a higher position, to become one of your official wives?;Vous avez beaucoup moins de concubines, des beautés tirées de beaucoup de terres différentes. Peut-être l'une d'entre elles devrait-elle être promu à un poste plus élevé, pour devenir l'une de vos épouses officielles ?;;;;;;;;;;;;x
ottoman_promote_concubine_woot;You take marrying one of your concubines into consideration;Vous prenez en considération le mariage de l'une de vos concubines;;;;;;;;;;;;x
xxxxxxxxx;xxx;xxx;;;;;;;;;;;;x
