#CELTIC FLAVOR STUFF;;;;;;;;;;;;;;x
#Modifiers;;;;;;;;;;;;;;x
VIET_celtic_holy_well_1;Holy Well;Fontaine à dévotion;;;;;;;;;;;;x
VIET_holy_wells_blessing_2_desc;This character has recently visited a famous holy well located in his or her demesne, and some believe that this character was rewarded with the well's blessing.;Ce personnage a récemment visité une célèbre fontaine à dévotion bien connue située dans son domaine, et certains croient que ce personnage a été récompensé par la bénédiction de la fontaine.;;;;;;;;;;;;x
VIET_holy_wells_blessing_3;Holy Well's Blessing (Stewardship);Bénédiction d'une fontaine à dévotion (Intendance);;;;;;;;;;;;x
VIET_holy_wells_blessing_3_desc;This character has recently visited a famous holy well located in his or her demesne, and some believe that this character was rewarded with the well's blessing.;Ce personnage a récemment visité une célèbre fontaine à dévotion bien connue située dans son domaine, et certains croient que ce personnage a été récompensé par la bénédiction de la fontaine.;;;;;;;;;;;;x
VIET_holy_wells_blessing_4;Holy Well's Blessing (Intrigue);Bénédiction d'une fontaine à dévotion (Intrigue);;;;;;;;;;;;x
VIET_holy_wells_blessing_4_desc;This character has recently visited a famous holy well located in his or her demesne, and some believe that this character was rewarded with the well's blessing.;Ce personnage a récemment visité une célèbre fontaine à dévotion bien connue située dans son domaine, et certains croient que ce personnage a été récompensé par la bénédiction de la fontaine.;;;;;;;;;;;;x
VIET_cornish_mines;Stannary Courts;Tribunaux des mines d'étain;;;;;;;;;;;;x
VIET_cornish_mines_desc;The Cornish tin miners who dwell here have been granted a generous amount of political autonomy as well as a monopoly over tin mining, confirming their ancient traditions and liberties.;Les mineurs d'étain de Cornouailles qui habitent ici bénéficient d'une autonomie politique généreuse et d'un monopole sur l'exploitation minière, confirmant leurs anciennes traditions et libertés.;;;;;;;;;;;;x
VIET_angry_cornish_miners;Angry Cornish Miners;Mineurs de Cornouailles en colère;;;;;;;;;;;;x
VIET_angry_cornish_miners_desc;The rulers of this province have revoked Stannary Charters that once granted the miners who dwell here considerable power and influence. Understandably, these miners are enraged.;Les dirigeants de cette province ont révoqué les chartes des mines d'étain qui, une fois, a accordé aux mineurs qui sont ici un pouvoir et une influence considérable. Naturellement, ces mineurs sont en colère.;;;;;;;;;;;;x
attended_gwyl_madant;Attended Gwyl Madant;A assisté à Gwyl Mabsant;;;;;;;;;;;;x
attended_gwyl_madant_desc;This Welsh lord or lady recently attended one of the local Gwyl Mabsant festivals, and they had quite a jolly good time.;Ce seigneur ou cette dame gallois(e) a récemment assisté à l'un des festivals locaux de Gwyl Madant, et ils ont passé un bon moment.;;;;;;;;;;;;x
cumbrian_honored_relative;Honors Father;Honore père;;;;;;;;;;;;x
cumbrian_honored_relative_desc;This Briton helped pay for his or her father's Govan or Hogback Stone, a large, monumental carving made in a uniquely fused, Briton and Norse artistic style.;Ce breton insulaire a aidé à payer la pierre de Govan ou Hogback de son père, une grande sculpture monumentale réalisée dans un style artistique unique, britannique insulaire et nordique.;;;;;;;;;;;;x
cumbrian_dishonored_relative;Dishonors Father;Déshonore père;;;;;;;;;;;;x
cumbrian_dishonored_relative_desc;This Briton did not pay for his or her father's Govan or Hogback Stone, a large, monumental carving made in a uniquely fused, Briton and Norse artistic style.;Ce breton insulaire n'a pas aidé à payer la pierre de Govan ou Hogback de son père, une grande sculpture monumentale réalisée dans un style artistique unique, britannique insulaire et nordique.;;;;;;;;;;;;x
create_britain;Reunite Britain;Réunir la Bretagne;;;;;;;;;;;;x
create_britain_desc;The British people shall be united under a great king, perhaps one equal to King Arthur.;Le peuple britannique sera uni sous un grand roi, peut-être égal au roi Arthur.;;;;;;;;;;;;x
create_dumnonia;Reform Dumnonia;Réformer Domnonée;;;;;;;;;;;;x
create_dumnonia_desc;The Cornish people deserve to be recognized as their own independent, powerful kingdom.;Les cornouaillais méritent d'être reconnus pour avoir leur propre royaume indépendant et puissant.;;;;;;;;;;;;x
reestablish_knights_of_the_round_table;Reestablish the Knights of the Round Table;Rétablir les chevaliers de la table ronde;;;;;;;;;;;;x
reestablish_knights_of_the_round_table_desc;There are many great British warriors who defend our kingdom - why not draw inspiration from King Arthur and organize them as the Knights of the Round Table?;Il y a beaucoup de grands guerriers britanniques qui défendent notre royaume - pourquoi ne pas s'inspirer du roi Arthur et les organiser en tant que chevaliers de la table ronde ?;;;;;;;;;;;;x
enact_stannary_charter;Enact Stannary Charters;Autoriser les chartes de mines d'étain;;;;;;;;;;;;x
enact_stannary_charter_desc;The Cornish tin miners demand for their traditional political and economic privilieges. Maybe it would be wise to accept their demands...;Les mineurs d'étain de Cornouailles réclament leurs privilèges politiques et économiques traditionnels. Peut-être serait-il judicieux d'accepter leurs demandes ...;;;;;;;;;;;;x
stannary_charters_enacted;Stannary Charters enacted;Chartes de mines d'étain promulguées;;;;;;;;;;;;x
revoke_stannary_charter;Revoke Stannary Charters;Révoquer les chartes de mines d'étain;;;;;;;;;;;;x
revoke_stannary_charter_desc;For too long have the Cornish tin miners taken advantage of their political and economic privileges. Perhaps these privilieges should be revoked, though the tin miners might be angry...;Pendant longtemps, les mineurs d'étain de Cornouailles ont profité de leurs privilèges politiques et économiques. Peut-être que ces privilèges devraient être révoqués, bien que les mineurs d'étain puissent être en colère ...;;;;;;;;;;;;x
erect_high_cross;Erect High Cross;Ériger une haute croix;;;;;;;;;;;;x
erect_high_cross_desc;Across the British Isles stand the beautiful high crosses. Perhaps you should erect one, to show your piety?;À travers les îles britanniques, les hautes croix sont élevées. Peut-être que vous devriez en ériger une, pour montrer votre piété ?;;;;;;;;;;;;x
erect_calvary_breton;Erect Calvary;Ériger un calvaire;;;;;;;;;;;;x
erect_calvary_breton_desc;Brittany is dotted with so-called calvaries, exquisitely carved public shrine of sorts. Maybe you should erect one, to show your piety?;La Bretagne est parsemée de soi-disant calvaires, un sanctuaire public superbement sculpté. Peut-être que vous devriez en ériger une, pour montrer votre piété ?;;;;;;;;;;;;x
go_on_tro_breizh;Go On Tro Breizh;Faire le Tro Breizh;;;;;;;;;;;;x
go_on_tro_breizh_desc;Tour Brittany, go on a pilgrimage, find a spiritual experience of a lifetime. The Tro Breizh is something every Breton must do, for they say those who do not make the pilgrimage at least once will be condemned to make it after death, advancing only by the length of his or her coffin each seven years.;Partez en pèlerinage, trouvez une expérience spirituelle toute la vie. Le Tro Breizh est quelque chose que tous les Bretons doivent faire, car ils disent que ceux qui ne font pas le pèlerinage au moins une fois seront condamnés à le faire après la mort, en avançant seulement de la longueur de son cercueil tous les sept ans.;;;;;;;;;;;;x
go_to_gwyl_madant;Attend a Gwyl Mabsant Celebration;Assister à une célébration de Gwyl Mabsant;;;;;;;;;;;;x
go_to_gwyl_madant_desc;Each Welsh locality honors it patron saint through the Gywl Mabsant celebration. Though supposedly dedicated to prayer and spiritual reflection, the focus tends to be more on games, feasting, alochol, and fun!;Chaque localité galloise honore son patron par la célébration de Gywl Mabsant. Bien que supposément consacré à la prière et à la réflexion spirituelle, l'accent tend à être plus sur les jeux, les fêtes, l'alcool et le plaisir !;;;;;;;;;;;;x
like_king_arthur;In King Arthur's Likeness;Dans l'apparence du roi Arthur;;;;;;;;;;;;x
like_king_arthur_desc;They say this monarch embodies the legacy of King Arthur through his or her great deeds.;Ils disent que ce monarque incarne l'héritage du roi Arthur par ses grands actes.;;;;;;;;;;;;x
knight_of_the_round_table;Knight of the Round Table;Chevalier de la table ronde;;;;;;;;;;;;x
knight_of_the_round_table_desc;This great warrior has the honor of being part of the re-established Knights of the Round Table, and now protects the good people of Britain from all enemies internal and external.;Ce grand guerrier a l'honneur de faire partie des chevaliers de la table ronde, et protège maintenant les bonnes personnes de la Bretagne de tous les ennemis internes et externes.;;;;;;;;;;;;x
title_knight_of_the_round_table;Knight of the Round Table;Chevalier de la table ronde;;;;;;;;;;;;x
title_knight_of_the_round_table_desc;With the Knights of the Round Table re-established, it simply needs new members to fill its ranks. Soon, Britain shall hear of heroes equal if not greater than the warriors of Arthurian legend like Lancelot or Gawain.;Une fois que les chevaliers de la table ronde ont été rétabli, il faut simplement que de nouveaux membres remplissent leurs rangs. Bientôt, la Bretagne entendra des héros égaux, sinon plus grands, que les guerriers de la légende d'Arthur, comme Lancelot ou Gauvain.;;;;;;;;;;;;x
visit_celtic_holy_well;Visit Holy Well;Visiter une fontaine de dévotion;;;;;;;;;;;;x
visit_celtic_holy_well_desc;A holy well - famous for its healing powers, and currently a popular site for pilgrimage - happens to sit on your demesne. Why not visit it, before it fades into obscurity?;Une fontaine de dévotion - connu pour ses pouvoirs de guérison, et actuellement un site populaire pour le pèlerinage - se trouve sur vos terres. Pourquoi ne pas le visiter, avant qu'il ne disparaisse dans l'obscurité ?;;;;;;;;;;;;x
good_time_obby_oss;Did some risqué things at the 'Obby 'Oss;A fait des choses risqué lors de l'Obby 'Oss;;;;;;;;;;;;x
opinion_bless_ya_girl;Blessed at 'Obby 'Oss;Béni à l'Obby 'Oss;;;;;;;;;;;;x
opinion_steal_a_kiss_good;'Obby 'Oss shenanigans;Manigance à l'Obby 'Oss;;;;;;;;;;;;x
opinion_steal_a_kiss_bad;'Obby 'Oss bad behaviour;Mauvais comportement à l'Obby 'Oss;;;;;;;;;;;;x
saved_obby_ossy;Saved from a rowdy 'Oss;Sauvé d'un chahuteur à l'Obby 'Oss;;;;;;;;;;;;x
angered_obby_ossy;Angered at 'Obby 'Oss;Irrité à l'Obby 'Oss;;;;;;;;;;;;x
dance_obby_ossy;Danced at 'Obby 'Oss;A dansé à l'Obby 'Oss;;;;;;;;;;;;x
no_dance_obby_ossy;Refused to dance;A refusé de danser;;;;;;;;;;;;x
good_dance_obby_ossy;Danced well at 'Obby 'Oss;A bien dansé à l'Obby 'Oss;;;;;;;;;;;;x
bad_dance_obby_ossy;Danced poorly at 'Obby 'Oss;A mal dansé à l'Obby 'Oss;;;;;;;;;;;;x
xxxxx;Dxxxxx;Dxxxxx;;;;;;;;;;;;x
xxxxx_desc;xxxxx;xxxxx;;;;;;;;;;;;x
#Events;;;;;;;;;;;;;;x
VIETceltic.0.title;All Hail BRITANNIA!;Longue vie à BRITANNIA !;;;;;;;;;;;;x
VIETceltic.0.desc;Britain is ours again! Though some have doubted it possible, you have proven them wrong. Through strength of arms and cunning acumen, we have rid much if not all of old Britain of our enemies.\n\nSomeday, bards will compose songs in your honor, singing of your great deeds - for you are a leader unlike any other, one who is in the likeness of the heroic King Arthur of old. No wonder, then, that many are claiming you to be a second King Arthur, or even that you are him yourself. Britain is once again ruled by the Britons, and you shall be the first king under a new, united Kingdom of Britain.;La Bretagne est à nous à nouveau ! Bien que certains en aient douté, vous avez prouvé qu'ils avaient tord. Grâce à la force des armes et à la perspicacité, nous avons débarrassé beaucoup de nos vieux ennemis.\n\nUn jour, les bardes composeront des chansons en votre honneur, chantant vos grands actes, car vous êtes un chef de file différent de tout autre, Celui qui ressemble à l'héroïque roi Arthur d'autrefois. Il n'est pas étonnant que beaucoup vous prétendent être un deuxième roi Arthur, voire à se réincarner à lui. La Bretagne est une fois de plus gouvernée par les Bretons insulaires, et vous serez le premier roi sous un nouveau Royaume de Bretagne uni.;;;;;;;;;;;;x
VIETceltic.0.a;ALL HAIL BRITANNIA!;Longue vie à BRITANNIA !;;;;;;;;;;;;x
VIETceltic.1.desc;Centuries ago the Britons were driven from the fertile grasslands and forests of Britain by marauding Anglo-Saxon invaders to dwell on the fringes of civilization, in Wales, Cornwall, and Britanny. They watched as their ancestral homeland was torn asunder by violence and chaos.\n\nBut no more. A powerful ruler by the name of [From.GetFirstName] has reunified much of old Britain, driving out the foreign invaders, and has formed the Kingdom of Britain. Many see in this uniting hero the spirit of King Arthur, the chivalrous and heroic monarch of British legend. A new Camelot has thus appeared, but can it last the test of time, or will it fall to war and anarchy once again?;Il y a des siècles, les Bretons insulaires ont été chassés des prairies fertiles et des forêts de la Bretagne en ralentissant les envahisseurs anglo-saxons pour se retrancher sur les franges de la civilisation, au Pays de Galles, à Cornouailles et en Bretagne (actuelle). Ils ont vu que leur patrie ancestrale était déchirée par la violence et le chaos.\n\nMais aujourd'hui, un suzerain sous le nom de [From.GetFirstName] a réunifié une grande partie de l'ancienne Bretagne, expulsant les envahisseurs étrangers et formé le Royaume de Bretagne. Beaucoup voient dans ce héros unissant l'esprit du roi Arthur, le monarque chevaleresque et héroïque de la légende britannique. Un nouveau Camelot est donc apparu, mais peut-il durer l'épreuve du temps, ou va-t-il tomber à nouveau dans la guerre et l'anarchie ?;;;;;;;;;;;;x
VIETceltic.1.a;Today a new Avalon rises from the ashes of war and destruction.;Aujourd'hui, un nouveau Avalon renaît de ses cendres de la guerre et la destruction.;;;;;;;;;;;;x
VIETceltic.2.desc;After some traveling, you make your way to the famous holy well in your realm. Wading your way through the masses of pilgrims, clergymen, and locals, you finally come to the well itself.;Après quelques voyages, vous ouvrez votre chemin vers une célèbre fontaine de dévotion dans votre royaume. En parcourant les masses de pèlerins, de clergés et de gens de tout le pays, vous arrivez enfin à la célèbre fontaine.;;;;;;;;;;;;x
VIETceltic.2.a;Offer prayers to [Root.Religion.GetRandomGodName].;Faire des prières à [Root.Religion.GetRandomGodName].;;;;;;;;;;;;x
VIETceltic.3.desc;Many admire you as a leader. Were you and your dynasty not the ones who reunified Britain and drove out its invaders after centuries of hopelessness and despair? Comparing you to King Arthur is not only apt, it is perfect - both, great monarchs and defenders of Britain. To solidify your legitimacy, it may be a good idea to enforce these Arthurian ideals. For instance, perhaps that most esteemed chivalric order, the Knights of the Round Table, could be re-established. Having a loyal group of peerless knights by your side would earn you much prestige and the respect of men across the world.;Beaucoup vous admirent en tant que chef. Est-ce que vous et votre dynastie n'étaient pas ceux qui ont réunifié la Bretagne et expulsé ses envahisseurs après des siècles de désespoir et de désespoir ? Vous comparez avec le roi Arthur n'est pas seulement bien, mais parfait. Pour consolider votre légitimité, c'est peut-être une bonne idée de faire respecter ces idéaux arthuriens. Par exemple, peut-être que l'ordre chevaleresque le plus estimé, les Chevaliers de la Table ronde, pourrait être rétabli. Avoir un groupe fidèle de chevaliers sans pareil à vos côtés, vous gagnera beaucoup de prestige et le respect des hommes à travers le monde.;;;;;;;;;;;;x
VIETceltic.3.a;Knights, arise! The old order is reborn anew!;Chevaliers, levez-vous ! L'ancien ordre renaît à nouveau !;;;;;;;;;;;;x
OPERATION_ORANGE_KUN_COMMENCE;ALL HAIL BRITANNIA!;Longue vie à BRITANNIA !;;;;;;;;;;;;x
VIETceltic.4.desc;[Liege.GetTitledFirstName] has appointed me as a Knight of the Round Table. This is quite an honor! I can now count myself among the ranks of legendary figures such as Lancelot, Galahad, and Tristan.;[Liege.GetTitledFirstName] m'a désigné comme chevalier de la table ronde. C'est tout un honneur ! Je peux maintenant me compter parmi les rangs de figures légendaires telles que Lancelot, Galahad et Tristan.;;;;;;;;;;;;x
VIETceltic.4.a;Our enemies shall taste my storm of loyalty!;Nos ennemis goûteront mon tempérament de loyauté !;;;;;;;;;;;;x
VIETceltic.4.b;An interesting development for sure...;Un développement intéressant pour sûr ...;;;;;;;;;;;;x
VIETceltic.5.desc;Due to various circumstances, I can no longer be a Knight of the Round Table. It was great while it lasted.;En raison de diverses circonstances, je ne peux plus être un chevalier de la table ronde. J'ai passé un bon moment.;;;;;;;;;;;;x
VIETceltic.5.a;And now, for something completely different...;Et maintenant, quelque chose de complètement différent ...;;;;;;;;;;;;x
VIETceltic.1.title;Britain Reclaimed by the Britons;La Bretagne réclamée par les Bretons insulaires;;;;;;;;;;;;x
VIETceltic.3.title;Knights of the Round Table;Chevaliers de la table ronde;;;;;;;;;;;;x
VIETceltic.6.desc;Victory is ours! How many generations of Cornish men and women fought for this moment, we do not know. But what we do know is that we are now truly the masters of our old lands, Dumnonia, and you her first monarch in many centuries.;La victoire est à nous ! Combien de générations d'hommes et de femmes cornouaillais ont combattu pour ce moment, nous ne le savons pas. Mais ce que nous savons, c'est que nous sommes maintenant vraiment les maîtres de nos anciens pays, Domnonée, et vous, le premier monarque depuis plusieurs siècles.;;;;;;;;;;;;x
VIETceltic.6.a;Our struggle isn't over until all Britain is freed of foreign yoke!;Notre lutte n'est pas terminée jusqu'à ce que toute la Bretagne soit libérée du joug étranger !;;;;;;;;;;;;x
VIETceltic.7.title;Dumnonia Restored;Domnonée restaurée;;;;;;;;;;;;x
VIETceltic.7.desc;Against great odds, the Cornish people have prevailed, and now control much of their ancestral lands under the Kingdom of Dumnonia once more. Though they are but a small part of the British isles, this victory could be just the beginning of greater things. Could Dumnonia reunite the Britons and reclaim the entire island?;Contre vents et marées, le peuple de Cornouailles ont prévalu, et contrôlent désormais une grande partie de leurs terres ancestrales dans le Royaume de Domnonée une fois de plus. Bien qu'ils ne soient qu'une petite partie des îles britanniques, cette victoire ne pourrait être que le début de grandes choses. Domnonée pourra-t-elle réunir les Britanniques et réclamer l'île entière ?;;;;;;;;;;;;x
VIETceltic.7.a;Only time will tell.;Seul le temps nous le dira.;;;;;;;;;;;;x
VIETceltic.8.title;The Stannary Charters;Les chartes des mines d'étain;;;;;;;;;;;;x
VIETceltic.8.desc;Under pressure from the tin miners of Cornwall, I have decided to grant the miners of [Root.GetName] special privileges such as a monopoly on tin mining in the province and allowing them their own courts and legal institutions.;Sous la pression des mineurs d'étain de Cornouailles, j'ai décidé d'accorder aux mineurs des privilèges spéciaux tels que le monopole de l'exploitation de l'étain dans la province et leur permettre leurs propres tribunaux et institutions juridiques.;;;;;;;;;;;;x
VIETceltic.8.a;The area will prosper!;La région prospérera !;;;;;;;;;;;;x
VIETceltic.9.title;The Stannary Charters;Les chartes des mines d'étain;;;;;;;;;;;;x
VIETceltic.9.desc;After some deliberation, I have decided to revoke the special privileges previously granted to the tin miners of [Root.GetName].;Après quelques délibérations, j'ai décidé de révoquer les privilèges spéciaux précédemment accordés aux mineurs d'étain de [Root.GetName].;;;;;;;;;;;;x
VIETceltic.9.a;Hopefully the inhabitants aren't too angry about this.;Espérons que les habitants ne sont pas trop en colère à ce sujet.;;;;;;;;;;;;x
VIETceltic.10.title;Another King Arthur;Un autre roi Arthur;;;;;;;;;;;;x
VIETceltic.10.desc;Tales of your heroism have spread throughout Britain and beyond. Many consider you an equal to the first and second King Arthurs, as these uniters are called. To your admirers, you are not only a great leader, but also a heroic champion and a virtuous saint. Bards will sing of your greatness centuries from now.;Les contes de votre héroïsme se sont répandus dans toute la Bretagne et au-delà. Beaucoup considèrent que vous êtes égal au premier et au deuxième roi Arthur. Pour vos admirateurs, vous n'êtes pas seulement un grand chef, mais aussi un champion héroïque et un saint vertueux. Les bardes chanteront votre grandeur à partir de maintenant.;;;;;;;;;;;;x
VIETceltic.10.a;ALL HAIL BRITANNIA!;Longue vie à BRITANNIA !;;;;;;;;;;;;x
VIETceltic.10.b;A “Queen Arthur,” ha ha! ALL HAIL BRITANNIA!;Une "Reine Arthur", ha ha ! Longue vie à BRITANNIA !;;;;;;;;;;;;x
VIETceltic.11.title;Hogback Stones;Les pierres d'Hogback;;;;;;;;;;;;x
VIETceltic.11.desc;My father has just passed away. Since he was an important noble, his burial site will be decorated with special tombstones in the [Root.Culture.GetName] tradition, which some call "Govan" or "Hogback" stones - large, intricately carved stones displaying the artistic heritage of the Norse and, more chiefly, Britons. It's important I work with other relatives to contribute financial resources to ensure these stones are finished promptly and with adequate quality.;Mon père vient de décéder. Comme il était un noble important, son lieu de sépulture sera décoré de pierres tombales spéciales dans la tradition [Root.Culture.GetName], dont certains appellent des pierres "Govan" ou "Hogback" - de grandes pierres sculptées et minces représentant le patrimoine artistique Nordique et surtout Breton insulaire. Il est important que je travaille avec d'autres parents pour apporter des ressources financières pour que ces pierres soient terminées rapidement et avec une qualité adéquate.;;;;;;;;;;;;x
VIETceltic.11.a;If I delay for too long, it will reflect badly on me!;Si je tarde trop longtemps, je serai mal vu !;;;;;;;;;;;;x
hogback_stones_instructions;You have about one year to officially contribute to your father's hogback stone. Succeed and gain the respect of your relatives - fail and earn their distrust and scorn!;Vous avez environ un an pour contribuer officiellement à la pierre de votre père. Réussissez et gagnez le respect de votre famille - échouez et gagnez leur méfiance et leur mépris !;;;;;;;;;;;;x
contribute_to_fathers_hogback_stone;Contribute to Father's Hogback Stone;Contribuez à la pierre Hogback de votre père;;;;;;;;;;;;x
contribute_to_fathers_hogback_stone_desc;Contribute financially to your father's hogback stone - remember you don't have much time left before your relatives look upon you with scorn for failing to honor even your own father!;Contribuez financièrement à la pierre Hogback de votre père. Rappelez-vous que vous n'avez plus beaucoup de temps avant que votre famille ne vous regarde avec mépris pour ne pas avoir honoré votre propre père !;;;;;;;;;;;;x
VIETceltic.12.title;Disappointing Child;Enfant décevant;;;;;;;;;;;;x
VIETceltic.12.desc;My failure to contribute financially to the building of my father's hogback stone is a stain on my honor and reputation. I have disappointed my family. I have disappointed my father. Some say I don't even deserve my position anymore.;Mon incapacité à contribuer financièrement à la construction de la pierre de mon père est une tache sur mon honneur et ma réputation. J'ai déçu ma famille. J'ai déçu mon père. Certains disent que je ne mérite plus ma position.;;;;;;;;;;;;x
VIETceltic.12.a;Hopefully I'll survive this stain on my reputation...;J'espère que je survivrai à cette tache sur ma réputation ...;;;;;;;;;;;;x
VIETceltic.13.desc;Amazing news from [Root.GetName]! A most holy well was discovered there, possessing much spiritual power and capable of performing miracles. Some have claimed they were even healed of various ailments by its great powers. Many people - rich and poor, near and far - are traveling to this location because of this.;Des nouvelles incroyables de [Root.GetName] ! Une fontaine de dévotion a été découvert là-bas, possédant beaucoup de pouvoir spirituel et capable de faire des miracles. Certains ont affirmé qu'ils ont guéris de diverses affections par ses grandes puissances. Beaucoup de gens - riches et pauvres, proches et lointains - voyagent à cet endroit à cause de cela.;;;;;;;;;;;;x
VIETceltic.13.a;Perhaps I should visit this well sometime.;Peut-être que je devrais aller visiter cette fontaine quelquefois.;;;;;;;;;;;;x
VIETceltic.14.desc;The holy well of [Root.GetName] isn't as popular as it once was. A good number of the faithful still claim that it has much spiritual power, but fewer and fewer people are coming to visit it - there are other holy wells, more famous ones, it seems. ;La fontaine de dévotion [Root.GetName] n'est plus aussi populaire d'avant. Un bon nombre de fidèles prétendent encore qu'il a beaucoup de pouvoir spirituel, mais de moins en moins de gens viennent le visiter - il y a d'autres fontaines de dévotion plus célèbres.;;;;;;;;;;;;x
VIETceltic.14.a;What pity that it is now fading into obscurity.;Quel dommage qu'il finisse dans l'oubli.;;;;;;;;;;;;x
VIETceltic.15.desc;Dulcinian;Dolcinien;;;;;;;;;;;;x
VIETceltic.15.a;Dulcinian;Dolcinien;;;;;;;;;;;;x
VIETceltic.20.title;Paying for the Hogback Stones;Payer pour les pierres Hogback;;;;;;;;;;;;x
VIETceltic.20.desc;After meeting with the right people and making the right connections, I believe I have the resources necessary to provide my father with an excellent hogback stone that will sit upon his tomb. He shall be honored greatly, and all will know of the duty I bear to my father.;Après avoir rencontré les bonnes personnes et avoir fait les bonnes relations, je crois que j'ai les ressources nécessaires pour donner à mon père une excellente pierre qui se tiendra sur son tombeau. Il sera grandement honoré, et tous connaîtront le devoir que je porte à mon père.;;;;;;;;;;;;x
VIETceltic.20.a;I will contribute as much as I can!;Je contribuerai autant que possible !;;;;;;;;;;;;x
VIETceltic.20.b;I will contribute a decent amount.;Je vais contribuer un montant décent.;;;;;;;;;;;;x
VIETceltic.20.c;I can only contribute a bit, but I'll contribute nevertheless.;Je ne peux que contribuer un peu, mais je contribuerai néanmoins.;;;;;;;;;;;;x
VIETceltic.21.tooltip;You wait until the stone is finished, and only then will you be able to properly honor your father.;Vous attendez jusqu'à ce que la pierre soit finie, et seulement alors vous pourrez honorer votre père.;;;;;;;;;;;;x
VIETceltic.21.title;Honoring Father;Père honoré;;;;;;;;;;;;x
VIETceltic.21.desc;You watch as the hogback stone is placed upon your father's grave.\n\nYou gaze, face still, face motionless, on your father's final resting place.\n\nYour father. A man you knew quite a bit about, yet there is still much you wished you could have discussed with him. He lived his life, and you will continue to live yours.;Vous regardez que la pierre de la maison soit placée sur la tombe de votre père.\n\nVous regardez, regardez toujours, immobile, sur le dernier lieu de repos de votre père.\n\nVotre père. Un homme dont vous connaissiez un peu, mais il reste encore beaucoup de choses que vous auriez pu discuter avec lui. Il a vécu sa vie, et vous continuerez à vivre le vôtre.;;;;;;;;;;;;x
VIETceltic.21.a;Life moves on, whether we like it or not.;La vie continue, que nous l'aimions ou non.;;;;;;;;;;;;x
VIETceltic.23.desc;Though nominally conquered by the Romans, the Celtiberian peoples have survived in isolated parts of the mountainous regions of northern Iberia. Today, some of them have come to your court, offering their military services. As the Celtiberians descend from a long line of skilled and fearsome warriors, they may prove very useful!;Bien que nominalement conquis par les Romains, les peuples Celtibères ont survécu dans des régions isolées des régions montagneuses du nord de l'Ibérie. Aujourd'hui, certains d'entre eux sont venus à votre cour, offrant leurs services militaires. Comme les Celtibères descendent d'une longue série de guerriers talentueux et redoutables, ils peuvent s'avérer très utiles !;;;;;;;;;;;;x
VIETceltic.23.a;Good! Good!;Bien ! Bien !;;;;;;;;;;;;x
#Tro Breizh;;;;;;;;;;;;;;x
VIETceltic.100.title;Tro Breizh;Tro Breizh;;;;;;;;;;;;x
