#CODE;I love me some nice silky silk;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
silkroad.6.desc;Great [Root.GetTitledName], hero, vanquisher, liberator, conqueror, mighty among all men - you have proclaimed the Kingdom of Sogdiana. Driving out the barbaric warlords and invaders who have dominated the Sogdian homeland, you have proven that we Sogdians are not just cowards only good at commerce - we too, have a martial spirit! Sogdiana prevails!;Grand [Root.GetTitledName], héros, vainqueur, libérateur, conquérant, puissant parmi tous les hommes - vous avez proclamé le Royaume de Sogdie. En chassant les barbares seigneurs de la guerre et les envahisseurs qui ont dominé la patrie sogdienne, vous avez prouvé que nous, les Sogdiens, nous ne sommes pas seulement des lâches, mais que nous sommes aussi de bons commerçants - nous aussi, nous avons un esprit martial ! La Sogdie l'emporte !;;;;;;;;;;;;x
silkroad.6.a;And now we can finally start making some real profits again...;Et maintenant, nous pouvons enfin commencer à faire de nouveaux profits ...;;;;;;;;;;;;x
silkroad.7.name;Triumph of the Merchant Race;Le triomphe de la race marchande;;;;;;;;;;;;x
silkroad.7.desc;Once the Silk Road began to decline, the Sogdians, who once dominated it, began to decline as well. Countless waves of invaders ranging from the Turks to the Arab Muslims trampled over the once-prosperous cities of Samarkand, Bukhara, and others. However, the great and accomplished [Root.GetFirstName] has made a name for [Root.GetHerselfHimself] by uniting many of the Sogdian principalities and cities under the Kingdom of Sogdiana.\n\nNow that Sogdiana is under centralized, stable leadership, it is likely that the Sogdian peoples might be able to reclaim their former glory not just in commercial matters, but military matters as well.;Une fois que la Route de la Soie a commencé à décliner, les Sogdiens, qui la dominaient autrefois, ont également commencé à décliner. D'innombrables vagues d'envahisseurs, des Turcs aux Arabes musulmans, ont piétiné les villes autrefois prospères de Samarcande, Boukhara et autres. Cependant, le grand et accompli [Root.GetFirstName] s'est fait un nom par lui-même en unissant plusieurs des principautés et villes sogdiennes sous le Royaume de Sogdiana.\n\nMaintenant que Sogdiane est sous un pays centralisée et stable, il est probable que les peuples sogdiens puissent retrouver leur gloire passée, non seulement sur le plan commercial, mais aussi sur le plan militaire.;;;;;;;;;;;;x
silkroad.7.a;It's time for us Sogdians to make some money!;Il est temps pour nous, les Sogdiens, de faire de l'argent !;;;;;;;;;;;;x
silkroad.7.b;I see.;Je vois.;;;;;;;;;;;;x
silkroad.8.name;The Sogdians Must Endure!;Les Sogdiens doivent perdurer !;;;;;;;;;;;;x
silkroad.8.desc;Much of the Silk Road's prosperity was due to the industriousness of the Sogdian people, who held great sway over the commercial and religious networks they established across the ancient trade routes.\n\nRecently, however, with the collapse of both the Tang Dynasty and the Uighur Khanate, and the chaos within the Muslim Caliphate, the Sogdians have no one to protect them, as they had relied on the protection and patronage of powerful realms. This will not do, of course. You wish to revive the Silk Road, and you understand well that it is only possible if you support the Sogdian merchants. You thus establish yourself as their protector and guarantor. With stability in Central Asia, it is hoped that the Sogdians will once again prosper, like in the days of old.;Une grande partie de la prospérité de la Route de la Soie était due à l'industrie des Sogdiens, qui exerçaient une grande influence sur les réseaux commerciaux et religieux qu'ils avaient établis à travers les anciennes routes commerciales.\n\nRécemment, cependant, avec l'effondrement de la dynastie Tang et du khanat ouïghour, et le chaos au sein du califat musulman, les Sogdiens n'ont personne pour les protéger, car ils comptaient sur la protection et le patronage de puissants royaumes. Cela ne suffira pas, bien sûr. Vous souhaitez faire revivre la Route de la Soie, et vous comprenez bien que cela n'est possible que si vous soutenez les marchands Sogdiens. Vous vous établissez ainsi comme protecteur et garant. Avec la stabilité en Asie centrale, on espère que les Sogdiens prospéreront à nouveau, comme à l'époque d'autrefois.;;;;;;;;;;;;x
silkroad.8.a;We shall see to it that the Silk Road prospers once more!;Nous veillerons à ce que la Route de la Soie prospère une fois de plus !;;;;;;;;;;;;x
silkroad.9.desc;Terrifying;Terrifiant;;;;;;;;;;;;x
silkroad.9.a;Terrifying;Terrifiant;;;;;;;;;;;;x
silkroad.100.name;Twilight of the Silk Road;Le crépuscule de la route de la soie;;;;;;;;;;;;x
silkroad.100.desc;The steppes and mountains of Eurasia are growing silent for the first time in millennia. Just a few mere decades and centuries ago, the realms between China and the Mediterranean bustled with commerce and the exchange of ideas.\n\nNow? A few merchants and pilgrims still walk the once-busy routes that criss-cross Eurasia, but they are an insignificant fraction of the massive numbers that once flourished on the Silk Road.\n\nSogdians... Khotanese... Tocharians... and more. The peoples who once prospered from the Silk Road are now shadow of their former selves. With the increasing chaos in the Muslim world, and the collapse of the Tang Dynasty, it seems unlikely that the Silk Road will be able to rise to prominence ever again.;Les steppes et les montagnes d'Eurasie se taisent pour la première fois depuis des millénaires. Il y a à peine quelques décennies et quelques siècles, les royaumes entre la Chine et la Méditerranée étaient en ébullition avec le commerce et l'échange d'idées.\n\nMaintenant ? Quelques marchands et pèlerins marchent encore sur les routes autrefois très fréquentées qui sillonnent l'Eurasie, mais ils ne représentent qu'une fraction insignifiante de l'énorme quantité de gens qui fleurissaient autrefois sur la Route de la soie.\n\nSogdiens ... Khotanais ... Tokhariens ... et plus encore. Les peuples qui ont autrefois prospéré grâce à la Route de la Soie sont aujourd'hui l'ombre de leurs anciens eux-mêmes. Avec le chaos croissant dans le monde musulman et l'effondrement de la dynastie Tang, il semble peu probable que la Route de la Soie puisse se hisser à nouveau au premier plan.;;;;;;;;;;;;x
silkroad.100.a;I see.;Je vois.;;;;;;;;;;;;x
silkroad.100.b;As long as no one takes the riches we Sogdians worked hard for this!;Tant que personne ne prend les richesses, nous, les Sogdiens, nous avons travaillé dur pour cela !;;;;;;;;;;;;x
silkroad.101.name;Night Falls on the Silk Road;La nuit tombe sur la route de la soie;;;;;;;;;;;;x
silkroad.101.desc;The Silk Road.\n\nA road where fortunes were made and squandered. A road where empires rose and fell. Where culture prospered , where religions flourished.\n\nNow, a distant memory. Though merchants and their caravans still walk the trade routes of Eurasia, the profits they made now pale in comparison to the lucrative maritime traders of the Indian Ocean. The Silk Road, so it seems, has declined to the point of irrelevance.;La Route de la Soie.\n\nUne route où les fortunes ont été faites et gaspillées. Une route où les empires se sont levés et sont tombés. Là où la culture a prospéré, où les religions se sont épanouies. Maintenant, un lointain souvenir. Bien que les marchands et leurs caravanes marchent encore sur les routes commerciales de l'Eurasie, les profits qu'ils réalisent aujourd'hui pâlissent par rapport aux lucratifs commerçants maritimes de l'Océan Indien. La Route de la soie, semble-t-il, a décliné au point de devenir insignifiante.;;;;;;;;;;;;x
silkroad.101.a;I see!;Je vois !;;;;;;;;;;;;x
silkroad.101.b;Business looks bad for us Sogdians! Business looks bad indeed!;Les affaires vont mal pour nous, les Sogdiens ! Les affaires n'ont pas l'air d'aller bien !;;;;;;;;;;;;x
silkroad.102.name;The Silk Road Lingers On;La route de la soie traîne;;;;;;;;;;;;x
silkroad.102.desc;Not too long ago Central Asia was in chaos in the wake of the Muslim invasions and the subsequent disintegration of the Caliphate, as well as the fall of the Uighur Khanate and the Tang Dynasty in China. Yet, against all odds, the Silk Road still manages to encourage some degree of commerce and cultural interaction presently.\n\nPerhaps its stewards - be they the shrewd Sogdians, the devout Khotanese, the brave Turks, or other such peoples - still find use in the long routes that stretch from China to the Mediterranean.\n\nAnd perhaps, if these people are diligent enough in their work, the Silk Road shall endure its current state of decay, and once again be the center of trade and culture it once was.;Il n'y a pas si longtemps, l'Asie centrale était dans le chaos à la suite des invasions musulmanes et de la désintégration du califat, ainsi que de la chute du khanat ouïghour et de la dynastie Tang en Chine. Pourtant, contre toute attente, la Route de la soie parvient encore à encourager un certain degré d'interaction commerciale et culturelle.\n\nPeut-être que ses intendants - qu'il s'agisse des sages Sogdiens, des dévoués Khotanais, des braves Turcs ou d'autres peuples de ce genre - trouvent encore leur place sur les longues routes qui s'étendent de la Chine à la Méditerranée.Et peut-être, si ces gens sont assez diligents dans leur travail, la Route de la Soie supportera son état actuel de décadence, et sera une fois de plus le centre du commerce et de la culture qu'elle a été.;;;;;;;;;;;;x
silkroad.102.a;We shall see if the Silk Road continues to rise.;Nous verrons si la Route de la Soie continue à s'élever.;;;;;;;;;;;;x
silkroad.102.b;There will hopefully be many profits in store for us Sogdians.;Nous espérons qu'il y aura beaucoup de profits en réserve pour nous, les Sogdiens.;;;;;;;;;;;;x
silkroad.103.name;Dawn of a New Silk Road;L'aube d'une nouvelle route de la soie;;;;;;;;;;;;x
silkroad.103.desc;For centuries, they peddled their wares - silk, above all - across the unforgiving desert and endless steppes. For centuries, they preached visions of paradise and eternal peace, whether Buddhist, Manichean, Zoroastrian, or Abrahamic. For centuries, they prospered and flourished.\n\nNow, the peoples of the Silk Road have reason to celebrate again. Against all odds - the chaos in Central Asia due to the collapse of the Caliphate, the fall of the Uighur Khanate and Tang China, and the rise of the maritime trade routes of the Indian Ocean - the Silk Road is becoming a hub of commerce and cultural exchange once more now that the turmoil in Central Asia is receding, and China is once more reunited under the Song.;Pendant des siècles, ils ont colporté leurs marchandises - la soie, surtout - à travers le désert impitoyable et les steppes sans fin. Pendant des siècles, ils ont prêché des visions de paradis et de paix éternelle, qu'elles soient bouddhistes, manichéennes, zoroastriennes ou abrahamiques. Pendant des siècles, ils ont prospéré et proliféré.\n\nMaintenant, les peuples de la Route de la Soie ont des raisons de célébrer à nouveau. Contre toute attente - le chaos en Asie centrale dû à l'effondrement du califat, la chute du Khanat ouïghour et de la Chine Tang, et la montée des routes commerciales maritimes de l'océan Indien - la Route de la soie devient une plaque tournante du commerce et des échanges culturels une fois de plus maintenant que les troubles en Asie centrale s'estompent et que la Chine est de nouveau réunifiée sous les Song.;;;;;;;;;;;;x
silkroad.103.a;I see.;Je vois.;;;;;;;;;;;;x
silkroad.103.b;Greed is good!;L'avidité, c'est bien !;;;;;;;;;;;;x
silkroad.104.name;Fall of the Tang;La chute des Tang;;;;;;;;;;;;x
silkroad.104.desc;Bad news! Reports have come that the Tang Dynasty has lost the Mandate of Heaven and collapsed, overthrown by a filthy rebel! However, rather than re-uniting China under a new dynasty, this move has only caused the country to splinter more. Now, rival dynasties and kingdoms have rose all over China, and the land - once the mightiest in the world - is now plunged into chaos.\n\nFor the inhabitants of Eurasia, even those not directly linked to China, this bodes ill. Without a stable, prosperous China, commerce will decline, and it is quite possible the Silk Road might collapse.;Mauvaise nouvelle ! Des rapports sont venus que la dynastie Tang a perdu le Mandat du Ciel et s'est effondrée, renversée par un rebelle dégoûtant ! Cependant, plutôt que de réunifier la Chine sous une nouvelle dynastie, cette décision n'a fait qu'aggraver l'éclatement du pays. Maintenant, des dynasties et des royaumes rivaux se sont levés partout en Chine, et la terre - autrefois la plus puissante du monde - est maintenant plongée dans le chaos.\n\nPour les habitants de l'Eurasie, même ceux qui ne sont pas directement liés à la Chine, cela présage de mauvaise nouvelle. Sans une Chine stable et prospère, le commerce va décliner, et il est tout à fait possible que la Route de la Soie s'effondre.;;;;;;;;;;;;x
silkroad.104.a;Not good news indeed!;Ce n'est pas une bonne nouvelle !;;;;;;;;;;;;x
silkroad.104.b;What's a Tang?;C'est quoi un Tang ?;;;;;;;;;;;;x
silkroad.105.name;The Rise of the Song;L'ascension des Song;;;;;;;;;;;;x
silkroad.105.desc;Encouraging news has come from the East. Following the end of the Tang Dynasty, China was plunged into chaos and anarchy. Now, a powerful warlord, Zhao Kuangyin, has successfully reunited all of China under a new dynasty, the Song.\n\nHowever, will the Song be able to achieve the power and prosperity the Tang once boasted? The new dynasty is certainly in a difficult position despite its success - surrounded by barbarian enemies, facing the daunting task of rebuilding the nation. For the inhabitants of Eurasia, however, there is hope that the Song will continue on the glorious legacy of the Middle Kingdom.;Des nouvelles encourageantes sont venues de l'Est. Après la fin de la dynastie Tang, la Chine a été plongée dans le chaos et l'anarchie. Maintenant, un puissant seigneur de guerre, Zhao Kuangyin, a réussi à réunir toute la Chine sous une nouvelle dynastie, les Song.\n\nCependant, les Song pourra-t-elle atteindre le pouvoir et la prospérité dont le Tang se vantait autrefois ? La nouvelle dynastie est certainement dans une position difficile malgré son succès - entourée d'ennemis barbares, confrontés à la tâche redoutable de reconstruire la nation. Pour les habitants de l'Eurasie, cependant, il y a l'espoir que les Song continuera sur l'héritage glorieux de l'Empire du Milieu.;;;;;;;;;;;;x
silkroad.105.a;Very well.;Très bien.;;;;;;;;;;;;x
silkroad.105.b;Where is China again?;Où est la Chine déjà ?;;;;;;;;;;;;x
silkroad.106.name;The Rise of the Khitan;L'ascension des Khitan;;;;;;;;;;;;x
silkroad.106.desc;In the wake of the Tang Dynasty's collapse, various nomad tribes have taken advantage of China's chaos. One of these tribes, the Khitan, have risen to prominence above all others. Under the leadership of the mighty Yelu family, they have swept into northern China, conquering many cities and provinces.\n\nDespite their nomadic origins, however, it appears that many of these Khitan have a keen interest in Chinese administration and culture. Perhaps they will one day become civilised, like all other nomads who conquered China.;Dans le sillage de l'effondrement de la dynastie Tang, diverses tribus nomades ont profité du chaos de la Chine. L'une de ces tribus, les Khitan, s'est hissée au-dessus de toutes les autres. Sous la direction de la puissante famille Yelu, ils se sont infiltrés dans le nord de la Chine, conquérant de nombreuses villes et provinces.\n\nMalgré leurs origines nomades, il semblerait toutefois que beaucoup de ces Khitan s'intéressent vivement à l'administration et à la culture chinoises. Peut-être deviendront-ils un jour civilisés, comme tous les autres nomades qui ont conquis la Chine.;;;;;;;;;;;;x
silkroad.106.a;Who knows what destiny lies in store for them?;Qui sait quel destin les attend ?;;;;;;;;;;;;x
silkroad.106.b;Khitan? What? You mean Cathay? Or chicken?;Khitan ? Quoi ? Vous voulez dire Cathay ? Ou du poulet ?;;;;;;;;;;;;x
silkroad.107.name;Terrifying;Terrifiant;;;;;;;;;;;;x
silkroad.107.desc;Terrifying;Terrifiant;;;;;;;;;;;;x
silkroad.107.a;Terrifying;Terrifiant;;;;;;;;;;;;x
silkroad.107.b;Terrifying;Terrifiant;;;;;;;;;;;;x
silkroad.200.desc;Some Sogdians living in your territory wish to serve you. It is important to note that the Sogdians possess a large network across the Silk Road, stretching from Antiocheia Eschate to Rus - it would be wise to take advantage of these connections, as they may serve us commercially, politically, culturally, even militarily!;Certains Sogdiens vivant sur votre territoire souhaitent vous servir. Il est important de noter que les Sogdiens possèdent un grand réseau à travers la Route de la Soie, qui s'étend d'Antiocheia Eschate à Rus - il serait sage de profiter de ces connexions, car elles peuvent nous servir commercialement, politiquement, culturellement, voire militairement !;;;;;;;;;;;;x
silkroad.200.a;Welcome these Sogdians. Their greed is good for us!;Bienvenue à ces Sogdiens. Leur avidité est bonne pour nous !;;;;;;;;;;;;x
silkroad.206.desc;Uyghurs living in our territory wish to offer their services. Once members of a powerful empire, while they maintain a sizeable presence, the Uyghurs nowadays are renowned for their administrative and cultural talents. Employing them will surely improve our realm internally!;Les Ouïghours vivant sur notre territoire souhaitent offrir leurs services. Autrefois membres d'un empire puissant, tout en maintenant une présence importante, les Ouïghours sont aujourd'hui reconnus pour leurs talents administratifs et culturels. Les employer améliorera sûrement notre royaume en interne !;;;;;;;;;;;;x
silkroad.206.a;I will welcome them.;Je les accueillerai avec plaisir.;;;;;;;;;;;;x
silkroad.209.desc;There are a number of Khotanese in your realm, and they have approached you, offering their services. The Khotanese of the Tarim Basin are renowned for their piety as Buddhists, which endows them with much ability in the cultural sphere, and while their acumen cannot compare with the profit-loving Sogdians, they are also capable merchants.;Il y a un certain nombre de Khotanais dans votre royaume, et ils vous ont approché, vous offrant leurs services. Les Khotanais du bassin de Tarim sont réputés pour leur piété bouddhiste, ce qui leur confère une grande capacité dans le domaine culturel, et bien que leur perspicacité ne puisse être comparée à celle des Sogdiens amateurs de profit, ils sont aussi des marchands compétents.;;;;;;;;;;;;x
silkroad.209.a;Very well, I hope they will help us.;Très bien, j'espère qu'ils vont nous aider.;;;;;;;;;;;;x
silkroad.210.desc;A few Crimean Goths under your rule wish to serve you. These are curious peoples, remnants of the mighty Gothic peoples who once ruled much of Europe, spiritually loyal to the Orthodox Church in Constantinople.;Quelques Goths de Crimée sous votre autorité souhaitent vous servir. Ce sont des peuples curieux, vestiges des puissants peuples gothiques qui régnaient autrefois sur une grande partie de l'Europe, spirituellement fidèles à l'Église orthodoxe de Constantinople.;;;;;;;;;;;;x
silkroad.210.a;I think we'll find use for them.;Je pense qu'on va les utiliser.;;;;;;;;;;;;x
silkroad.211.desc;Centuries of Muslim rule have left the Iranian Zoroastrians in a difficult position, and many of them have fled to India. Now, today, some of them have come to you, offering you their services.;Des siècles de domination musulmane ont laissé les Zoroastriens iraniens dans une position difficile, et beaucoup d'entre eux ont fui en Inde. Aujourd'hui, certains d'entre eux sont venus vous offrir leurs services.;;;;;;;;;;;;x
silkroad.211.a;Welcome these Parsis then.;Bienvenue à ces Parsis, alors.;;;;;;;;;;;;x
silkroad.212.desc;Talented Assyrian men have come to you, wishing to offer you their services.;Des Assyriens talentueux sont venus vous voir, désireux de vous offrir leurs services.;;;;;;;;;;;;x
silkroad.212.a;I'll allow them to stay.;Je les autoriserai à rester.;;;;;;;;;;;;x
silkroad.213.desc;Some Coptic Christians have approached you, for they wish to serve in your court.;Certains chrétiens coptes vous ont approché, car ils souhaitent servir dans votre cour.;;;;;;;;;;;;x
silkroad.213.a;Sounds good to me.;Ça m'a l'air bien.;;;;;;;;;;;;x
silkroad.214.desc;Strange men from a land called "Japan" have come to us from afar. Though they do not wish to tell the circumstances of how or why they arrived, they wish to bring much honor to your realm by serving you.;Des hommes étranges d'une terre appelée "Japon" nous sont venus de loin. Bien qu'ils ne souhaitent pas raconter les circonstances de comment ou pourquoi ils sont arrivés, ils souhaitent apporter beaucoup d'honneur à votre royaume en vous servant.;;;;;;;;;;;;x
silkroad.214.a;So how do you say it, "Arigato... kimi-samaï... bakuraba... desu?";Alors, comment le dire : "Arigato... kimi-samaï... bakuraba... desu ?";;;;;;;;;;;;x
VIET_silly_gaijin;The Japanese men appear to be restraining themselves from laughter at your inept attempts to speak their tongue.;Les Japonais semblent s'empêcher de rire de vos tentatives maladroites de parler leur langue.;;;;;;;;;;;;x
silkroad.215.desc;Men from the tropical realm of Annam have come to you from afar. It's not exactly clear how or why they are here - perhaps they are merchants, or political refugees - but they wish to serve in our court.;Des hommes du royaume tropical d'Annam sont venus de loin. On ne sait pas exactement comment ou pourquoi ils sont ici - peut-être qu'ils sont des marchands ou des réfugiés politiques - mais ils souhaitent servir dans notre cour.;;;;;;;;;;;;x
silkroad.215.a;Welcome them! I heard they make the best noodle soup in the world!;Accueillez-les ! J'ai entendu dire qu'ils font la meilleure soupe de nouilles du monde !;;;;;;;;;;;;x
silkroad.216.desc;Chinese seekers of fortune have traveled much of the Silk Road to come to our realm. They believe they can find suitable employment in your court. Since they come from the most sophisticated, urbane, just, advanced, and cultured empire in the world, surely the advantages of having them with us are many!;Les chercheurs de fortune chinois ont parcouru une grande partie de la Route de la Soie pour venir dans notre royaume. Ils croient qu'ils peuvent trouver un emploi convenable dans votre cours. Puisqu'ils viennent de l'empire le plus sophistiqué, urbain, juste, avancé et cultivé du monde, les avantages de les avoir avec nous sont sûrement nombreux !;;;;;;;;;;;;x
silkroad.216.a;I, for one, await the day when the Chinese will take over the world!;Pour ma part, j'attends le jour où les Chinois s'empareront du monde !;;;;;;;;;;;;x
silkroad.217.desc;These men have come from a faraway place, Korea, traversing much of the Silk Road. Now, here, at your court, they wish to serve you.;Ces hommes sont venus d'un pays lointain, la Corée, traversant une grande partie de la Route de la Soie. Maintenant, ici, à votre cour, ils veulent vous servir.;;;;;;;;;;;;x
silkroad.217.a;I heard their music is good. Maybe.;J'ai entendu dire que leur musique est bonne. Peut-être.;;;;;;;;;;;;x
silkroad.218.desc;Members of the local Chinese merchant community visit your court, and, impressed with your rule, wish to serve you as advisors and courtiers. ince they come from the most sophisticated, urbane, just, advanced, and cultured empire in the world, surely the advantages of having them with us are many!;Les membres de la communauté marchande chinoise locale visitent votre cour et, impressionnés par votre règne, souhaitent vous servir de conseillers et de courtisans. Puisqu'ils viennent de l'empire le plus sophistiqué, urbain, juste, avancé et cultivé du monde, les avantages de les avoir avec nous sont sûrement nombreux !;;;;;;;;;;;;x
silkroad.218.a;I, for one, await the day when the Chinese will take over the world!;Pour ma part, j'attends le jour où les Chinois s'empareront du monde !;;;;;;;;;;;;x
silkroad.219.desc;Near your capital there is a sizeable community of merchants and others hailing from the spice islands. A few of these men have recently approached you, for they wish to offer their services.;Près de votre capitale, il y a une importante communauté de marchands et d'autres venus des îles aux épices. Quelques-uns de ces hommes vous ont récemment approché, car ils souhaitent offrir leurs services.;;;;;;;;;;;;x
silkroad.219.a;Very well!;Très bien !;;;;;;;;;;;;x
silkroad.223.desc;A Tibetan monk from the Himalayas has, so it seems, made his way to our court! Some say he is a wise, compassionate spiritual master, full of good qualities, someone who would make a good advisor and mentor. Others say he is a charlatan and fraud at worst and a misguided, nonsensical "teacher" at best.;Un moine tibétain de l'Himalaya a, semble-t-il, fait son chemin jusqu'à notre cour ! Certains disent qu'il est un maître spirituel sage et compatissant, plein de bonnes qualités, quelqu'un qui ferait un bon conseiller et mentor. D'autres disent qu'il est un charlatan et un fraudeur au pire et un "professeur" absurde et malavisé au mieux.;;;;;;;;;;;;x
silkroad.223.a;I think he would make a fine addition to my court.;Je pense qu'il ferait un bon ajout à ma cour.;;;;;;;;;;;;x
silkroad.223.b;Get rid of him! He can go beg for alms elsewhere.;Débarrassez-vous de lui ! Il peut aller mendier l'aumône ailleurs.;;;;;;;;;;;;x
silkroad.224.desc;Tai tribesmen have reached our court, offering to serve you faithfully. The Tai are scattered across Southeast Asia and southern China, some dwelling in organized kingdoms, others in more disorganized tribes. They have been fighting amongst themselves for centuries, so now and then a few make their way to India to seek better lives.;Des membres de la tribu Tai sont arrivés à notre cours, offrant de vous servir fidèlement. Les Tai sont dispersés à travers l'Asie du Sud-Est et le sud de la Chine, certains habitent dans des royaumes organisés, d'autres dans des tribus plus désorganisées. Ils se battent entre eux depuis des siècles, si bien que de temps en temps, quelques-uns d'entre eux se rendent en Inde à la recherche d'une vie meilleure.;;;;;;;;;;;;x
silkroad.224.a;They could prove useful, then. Welcome them!;Ils pourraient s'avérer utiles, alors. Accueillez-les !;;;;;;;;;;;;x
silkroad.225.desc;The Tocharians dwelling in the oasis cities of the Tarim Basin are not as widespread or prominent on the Silk Road as, say, the Sogdians, but many still travel across Eurasia for various reasons. Today, a few of them have approached me - they wish to settle in my realm and serve me as courtiers.;Les Tochariens qui habitent dans les villes oasis du bassin du Tarim ne sont pas aussi répandus ou proéminents sur la Route de la Soie que, disons, les Sogdiens, mais beaucoup voyagent encore à travers l'Eurasie pour diverses raisons. Aujourd'hui, quelques-uns d'entre eux m'ont approché - ils souhaitent s'installer dans mon royaume et me servir de courtisans.;;;;;;;;;;;;x
silkroad.225.a;I see nothing wrong with that - go ahead.;Je ne vois rien de mal à cela - allez-y.;;;;;;;;;;;;x
silkroad.226.desc;xxxxx;xxxxx;;;;;;;;;;;;x
silkroad.226.a;xxxxx;xxxxx;;;;;;;;;;;;x
silkroad.227.desc;A few men from the Okinawan Islands have arrived at my court, offering to serve me. Their homeland is an archipelago located in between Japan and China, and though they are much weaker than their neighbors, their merchants do, on occasion, make their way to faraway realms such as mine.;Quelques hommes des îles d'Okinawa sont arrivés à ma cour et m'ont proposé de me servir. Leur patrie est un archipel situé entre le Japon et la Chine, et bien qu'ils soient beaucoup plus faibles que leurs voisins, leurs marchands se dirigent parfois vers des royaumes lointains comme le mien.;;;;;;;;;;;;x
silkroad.227.a;I am glad they have come here to live with us!;Je suis heureux qu'ils soient venus ici pour vivre avec nous !;;;;;;;;;;;;x
