#EXPERIMENT_COMBAT_MODIFIER;Experimentality Combat Modifier of §Y$WHO$§!: $PERC$;Modificateur d'imprévisibilité de §Y$WHO$§!: $PERC$;Gefechts-Unberechenbarkeitsmodifikator von §Y$WHO$§!: $PERC$;;;;;;;;;;;x
#LIGHT_INFANTRY_COMBAT_MODIFIER;Combat Modifier of §Y$WHO$§! boost to Light Foot Troops: $PERC$;Bonus de combat pour les troupes d'infanterie légère de §Y$WHO$§! : $PERC$;Gefechtsmodifikator von §Y$WHO$§! Steigerung für Leichte Infanterie: $PERC$;;;;;;;;;;;x
#HEAVY_INFANTRY_COMBAT_MODIFIER;Combat Modifier of §Y$WHO$§! boost to Heavy Foot Troops: $PERC$;Bonus de combat pour les troupes d'infanterie lourde de §Y$WHO$§! : $PERC$;Gefechtsmodifikator von §Y$WHO$§! Steigerung für Schwere Infanterie: $PERC$;;;;;;;;;;;x
#CAVALRY_COMBAT_MODIFIER;Combat Modifier of §Y$WHO$§! boost to Mounted Troops: $PERC$;Bonus de combat pour la cavalerie de §Y$WHO$§! : $PERC$;Gefechtsmodifikator von §Y$WHO$§! Steigerung für Kavallerie: $PERC$;;;;;;;;;;;x
#DEF_BONUS_AGAINST_ENEMY;Defence bonus against enemy flank: $PERC$;Bonus de défense contre les attaques de flanc ennemies : $PERC$;Verteidigungsbonus gegen gegnerische Flanke: $PERC$;;;;;;;;;;;x
#DEF_BONUS_MORALE;Morale Defence bonus: $PERC$ morale damage;Bonus de moral en défense: $PERC$ de moral perdu;Moralbonus auf Verteidigung: $PERC$ Moralschaden;;;;;;;;;;;x
#MORALE_DEF_COMBAT_MODIFIER;Morale Defence Combat Modifier of §Y$WHO$§!: $PERC$;Modificateur au maintien du moral de §Y$WHO$§!: $PERC$;Gefechts-Moralbonusmodifikator auf Verteidigung von §Y$WHO$§!: $PERC$;;;;;;;;;;;x
#ATT_BONUS_MORALE;Morale Offence bonus: $PERC$ morale damage;Bonus de moral en attaque : $PERC$ pour ébranler le moral adverse;Moralbonus auf Angriff: $PERC$ Moralschaden;;;;;;;;;;;x
#MORALE_ATT_COMBAT_MODIFIER;Morale Offence Combat Modifier of §Y$WHO$§!: $PERC$ morale damage;Modificateur à l'ébranlement du moral adverse de §Y$WHO$§!: $PERC$;Gefechts-Moralbonus auf Verteidigung von §Y$WHO$§!: $PERC$ Moralschaden;;;;;;;;;;;x
FLANKING;Flanking;Attaque sur le flanc;Flankenattacke;;;;;;;;;;;x
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
cta.1.desc;This war, this opportunity to prove my mettle in combat, has opened my eyes to my true potential as a warrior. My personal combat skills are improving...;;;;En esta guerra he tenido ocasión de probarme en combate y he descubierto mi auténtico potencial. Mi habilidad marcial está mejorando...;;;;;;;;;x
cta.1.opt.1;May [Root.Religion.GetRandomGodNameCap] guide my heart, hand, and steel.;;;;Que [Root.Religion.GetRandomGodNameCap] guíe mi corazón, mi mano y mi acero.;;;;;;;;;x
cta.1.opt.1.CTT;§Y[Root.GetTitledFirstName]§! begins advancement of [Root.GetHerHis] personal combat skills...\n;;;;§Y[Root.GetTitledFirstName]§! comienza a mejorar su habilidad marcial...\n;;;;;;;;;x
cta.2.desc;I've learned many lessons from this battle. Aside from application of the theoretical tactics my mentors taught me as a boy, I've learned to deftly isolate an opponent in the thick of the front, bring all my focus and concentration to bear upon him, and then, within but a few rounds of melee, swiftly execute him. I'm proud of my clear progression into a greater warrior.;;;;Aprendí mucho de esta batalla. Aparte de la aplicación de las tácticas que me enseñaron mis mentores, he aprendido a aislar a mi oponente en el fragor de la batalla, poner toda mi atención y concentración en abatirle y al fin, con golpes certeros acabar con él. Estoy orgulloso de mi progreso como gran guerrero.;;;;;;;;;x
cta.2.opt.1;Still, I've more lessons to learn.;;;;Todavía tengo lecciones que aprender.;;;;;;;;;x
cta.2.opt.1.CTT;§Y[Root.GetTitledFirstName]§! continues advancement of [Root.GetHerHis] personal combat skills...\n;;;;§Y[Root.GetTitledFirstName]§! continúa el avance en su habilidad marcial\n;;;;;;;;;x
cta.3.desc;I will remember this battle in its finest detail until the end of my days. [Root.Religion.GetRandomGodNameCap] guided my sword into the hearts of a countless number of my foes, raising cheers and battle-cries from my surrounding men as I cut a path through the enemy. My mastery of personal combat has come a long way. Apparently, I am not the only one to think so.;;;;Recordaré hasta el más mínimo detalle de esta batalla hasta el final de mis días. [Root.Religion.GetRandomGodNameCap] guió mi espada hasta el corazón de mis enemigos, alzando vítores y gritos de batalla entre mis hombres mientras abría paso con mi espada. Mi maestría en combate no tiene parangón. Aparentemente, no soy el único que lo piensa.;;;;;;;;;x
cta.3.opt.1;I'm finally a warrior.;;;;Por fin soy un guerrero.;;;;;;;;;x
cta.3.opt.2;I'm now recognized as a trained fighter.;;;;Ahora se me reconoce como luchador.;;;;;;;;;x
cta.3.opt.3;I'm now reknowned as skilled fighter.;;;;Ahora soy un luchador de renombre.;;;;;;;;;x
cta.3.opt.4;I now command the respect of an elite warrior.;;;;Ahora se me respeta como guerrero de élite.;;;;;;;;;x
cta.13.desc;My combat victory against [FromFrom.GetTitledFirstName] was an insightful challenge to my own tactics. [FromFrom.GetSheHeCap] moved differently than I've come to expect and demonstrated a new, effective combat style to me. At no point was my victory certain, but I learned from [FromFrom.GetObjectPronoun] and finally defeated [FromFrom.GetObjectPronoun]. Certainly, I'm now a finer warrior.;;;;Mi victoria sobre [FromFrom.GetTitledFirstName] ha sido un desafío a mis tácticas. [FromFrom.GetSheHeCap] me sorprendió con nuevos movimientos y un estilo de combate eficaz. En ningún momento estuve seguro de ganar, pero aprendí de [FromFrom.GetObjectPronoun] y conseguí derrotarle. Ahora soy un guerrero más diestro.;;;;;;;;;x
cta.13.opt.1;I'm recognized as a warrior in my own right now.;;;;Ahora soy reconocido como guerrero por derecho propio.;;;;;;;;;x
cta.13.opt.2;I'm now recognized as a trained fighter.;;;;Ahora se me reconoce como luchador.;;;;;;;;;x
cta.13.opt.3;I'm now reknowned as skilled fighter.;;;;Ahora soy un luchador de renombre.;;;;;;;;;x
cta.13.opt.4;I now command the respect of an elite warrior.;;;;Ahora se me respeta como guerrero de élite.;;;;;;;;;x
cta.110.desc;My [GetFromRelation], [From.GetBestName], just earned XP from a combat impulse at the age of [From.GetAgeYears] with the CTA ambition [From.GetAmbition] (Martial: [From.GetMartial]).;;;;Mi [GetFromRelation], [From.GetBestName], ganó experiencia de un combate impulsivo a la edad de [From.GetAgeYears] con la ambición [From.GetAmbition] (Martial: [From.GetMartial]).;;;;;;;;;x
cta.111.desc;My [GetFromRelation], [From.GetBestName], just earned XP from a combat impulse at the age of [From.GetAgeYears] (Martial: [From.GetMartial]).;;;;Mi [GetFromRelation], [From.GetBestName], ganó experiencia de un combate impulsivo a la edad de [From.GetAgeYears] (Martial: [From.GetMartial]).;;;;;;;;;x
cta.112.desc;My [GetFromRelation], [From.GetBestName], was victorious in a duel against [FromFrom.GetBestName] and earned XP (Ambition: [From.GetAmbition]).;;;;Mi [GetFromRelation], [From.GetBestName], venció en un duelo contra [FromFrom.GetBestName] y logró experiencia (Ambition: [From.GetAmbition]).;;;;;;;;;x
cta.113.desc;My [GetFromRelation], [From.GetBestName], was victorious in a duel against [FromFrom.GetBestName] but did not earn any XP (Ambition: [From.GetAmbition]).;;;;Mi [GetFromRelation], [From.GetBestName], venció en un duelo contra [FromFrom.GetBestName] pero no logró experiencia (Ambition: [From.GetAmbition]).;;;;;;;;;x
cta.114.desc;My [GetFromRelation], [From.GetBestName], leveled-up [From.GetHerHis] combat trait (Ambition: [From.GetAmbition]).;;;;Mi [GetFromRelation], [From.GetBestName], mejoró su talento en combate (Ambition: [From.GetAmbition]).;;;;;;;;;x
cta.114.opt.1;Hmm... now [From.GetSheHe]'s a poor fighter.;;;;Hmm... ahora es un luchador torpe.;;;;;;;;;x
cta.114.opt.2;Now [From.GetSheHe]'s a trained fighter.;;;;Ahora es un luchador.;;;;;;;;;x
cta.114.opt.3;Now [From.GetSheHe]'s a skilled fighter.;;;;Ahora es un luchador competente.;;;;;;;;;x
cta.114.opt.4;Now [From.GetSheHe]'s a formidable fighter!;;;;¡Ahora es un luchador formidable!;;;;;;;;;x
obj_cta_0_title;Develop Personal Combat Skills;;;;Desarrollar habilidades de combate;;;;;;;;;x
obj_cta_0_desc;[This.GetTitledFirstName] has no education in the art of personal combat and wants to change that through combat experience.;;;;[This.GetTitledFirstName] no ha sido educado en las artes marciales y quiere cambiar las cosas ganando experiencia en combate.;;;;;;;;;x
obj_cta_1_title;Become a Trained Fighter;;;;Convertirse en luchador;;;;;;;;;x
obj_cta_1_desc;[This.GetTitledFirstName] has a meager education in the art of personal combat and wants to change that through combat experience.;;;;[This.GetTitledFirstName] tiene escasa formación en las artes marciales y quiere mejorar ganando experiencia en combate.;;;;;;;;;x
obj_cta_2_title;Become a Skilled Fighter;;;;Convertirse en luchador competente;;;;;;;;;x
obj_cta_2_desc;While [This.GetTitledFirstName] is already well-trained in personal combat, [This.GetSheHe]'d like to take [This.GetHerHis] skills to the next level through experience in the field.;;;;Aunque [This.GetTitledFirstName] está bien entrenado en las artes marciales, le gustaría alcanzar más nivel ganando experiencia en combate.;;;;;;;;;x
obj_cta_3_title;Become a Formidable Fighter;;;;Convertirse en luchador formidable;;;;;;;;;x
obj_cta_3_desc;While many already consider [This.GetTitledFirstName] to be one of the more skilled fighters in the realm, [This.GetSheHe] desires true mastery of [This.GetHerHis] art, and no better way to attain such heights exists than through experience in the field.;;;;Aunque muchos consideran a [This.GetTitledFirstName] uno de los mejores luchadores del reino, a [This.GetSheHe] le gustaría llegar a ser un maestro en el arte de la guerra, y qué mejor modo que ganando experiencia en combate.;;;;;;;;;x
#######From jordarkelf's Latin Empire mini-mod;;;;;;;;;;x
controls_constantinople_kaliopolis_thrake;Owns §YConstantinople§! and controls §YKaliopolis§! and §YThrake§!\n;Owns §YConstantinople§! and controls §YKaliopolis§! and §YThrake§!\n;Owns §YConstantinople§! and controls §YKaliopolis§! and §YThrake§!\n;;Owns §YConstantinople§! and controls §YKaliopolis§! and §YThrake§!\n;;;;;;;;;x
create_latin_empire;Create the Empire of Romania;Create the Latin Empire;Create the Latin Empire;;Create the Latin Empire;;;;;;;;;x
create_latin_empire_desc;Create a Catholic Empire in the lands formerly ruled by the heretic Byzantine Emperor;Create a Catholic Empire in the lands formerly ruled by the heretic Byzantine Emperor;Create a Catholic Empire in the lands formerly ruled by the heretic Byzantine Emperor;;Create a Catholic Empire in the lands formerly ruled by the heretic Byzantine Emperor;;;;;;;;;x
EVTDESClatine.1;Gloria Dei!\nWe have conquered Constantinople from the heretic Byzantines and now a Catholic Emperor will rule over the former eastern part of the Roman Empire.;Gloria Dei ! Nous avons pris Constantinople aux hérétiques byzantins et maintenant c'est un Empereur catholique qui va diriger la partie orientale de l'Empire Romain.;Gloria Dei!\nWe have conquered Constantinople from the heretic Byzantines and now a Catholic Emperor will rule over the former eastern part of the Roman Empire.;;Gloria Dei!\nWe have conquered Constantinople from the heretic Byzantines and now a Catholic Emperor will rule over the former eastern part of the Roman Empire.;;;;;;;;;x
EVTDESClatine.2;Constantinople has fallen to the might of the Catholic forces, and a Catholic Emperor now sits on the throne.;Constantinople est tombée aux mains des forces catholiques et une Empereur catholique est maintenant assis sur le trône.;Constantinople has fallen to the might of the Catholic forces, and a Catholic Emperor now sits on the throne.;;Constantinople has fallen to the might of the Catholic forces, and a Catholic Emperor now sits on the throne.;;;;;;;;;x
EVTNAMElatine.1;Creation of the Latin Empire;Création de l'Empire Latin;Creation of the Latin Empire;;Creation of the Latin Empire;;;;;;;;;x
EVTNAMElatine.2;Creation of the Latin Empire;Création de l'Empire Latin;Creation of the Latin Empire;;Creation of the Latin Empire;;;;;;;;;x
EVTOPTAlatine.1;Thank the Lord for our victory;Remercions le Seigneur pour notre victoire.;Thank the Lord for our victory;;Thank the Lord for our victory;;;;;;;;;x
EVTOPTAlatine.2;We'll see what this means to us...;Nous allons voir ce que celà va nous apporter...;We'll see what this means to us...;;We'll see what this means to us...;;;;;;;;;x
EVTOPTBlatine.2;A most disastrous event.;Un évènement désastreux !;A most disastrous event.;;A most disastrous event.;;;;;;;;;x
EVTTOOLTIPlatine.1;Change title to Empire of Romania;Change le nom pour l'Empire Latin;Change title to the Latin Empire;;Change title to the Latin Empire;;;;;;;;;x
########From Cybrxkhan's VIET;;;;;;;;;;x
customization.0.desc;This menu will allow you to change the name of various realms, such as the Byzantine Empire. Note that the last option is always the default.;;;;;;;;;;;
customization.1.desc;This decision/event will allow you to choose what name the Byzantine Empire is known by in the game. You can always change it to something else, or set it back to the default “Byzantine Empire” if you change your mind. If you want to reset, select the last option, “Byzantine Empire (default)”.;;;;;;;;;;;
customization.2.desc;If you wish to see the earlier options, temporarily choose one of the following, then activate the “Choose Realm Names” decision again.;;;;;;;;;;;
customization.23.desc;This decision/event will allow you to choose what name  Rum is known by in the game. You can always change it to something else, or set it back to the default “Rum” if you change your mind. If you want to reset, select the last option, “Rum (default)”.;;;;;;;;;;;
customization.24.desc;This decision/event will allow you to choose what name Romania (Latin Empire in vanilla) is known by in the game. You can always change it to something else, or set it back to the default “Romania” if you change your mind. If you want to reset, select the last option, “Latin Empire (vanilla default)”.Bear in mind the adjective for it still will be;;;;;;;;;;;
customization.25.desc;This decision/event will allow you to choose what name the Roman Empire is known by in the game. You can always change it to something else, or set it back to the default “Roman Empire” if you change your mind. If you want to reset, select the last option, “Roman Empire (default)”.;;;;;;;;;;;
########From this mod (plus a copypasta from PB);;;;;;;;;;x
restorer_byzantium;Restorer of Byzantium;;;;;;;;;x
restorer_byzantium_desc;This character has saved Byzantium, that is, Constantinople from foreign invaders.;;;;;;;;;x
constantinople_emperor;Emperor of Constantinople;;;;;;;;;x
constantinople_emperor_desc;This character rules in Constantinople, fighting greeks, turks and other foreign invaders, protecting the city from infidels and heretics.;;;;;;;;;x
opinion_saved_constantinople;Saved Constantinople;;;;;;;;;x
reorganize_varangian_guard;Organize Varangian Guard;;;;;;;;;x
reorganize_varangian_guard_desc;Call the Varangian Guard to protect Constantinople once again.;;;;;;;;;x
create_trebizond_empire;Create the Empire of Trebizond;;;;;;;;;x
create_trebizond_empire_desc;Create a sucessor empire of the Byzantine Empire.;;;;;;;;;x
create_nikaea_empire;Create the Empire of Nikaea;;;;;;;;;x
create_nikaea_empire_desc;Create a sucessor empire of the Byzantine Empire.;;;;;;;;;x
EVTNAMELatinEmpire.1;The Rise and Fall of Rome;;;;;;;;;x
EVTDESCLatinEmpire.1;The Byzantine Empire, though it survives, is a mockery of its former glory. Since it has been reduced to such size and since we rule Constantinople, none question our claim to the Roman Empire.;;;;;;;;;x
EVTOPTALatinEmpire.1;Gloria Imperio!;;;;;;;;;x
EVTDESCLatinEmpire.2;To my former liege, [Root.GetTitledFirstName]. Not only you lost the throne of Constantinople, you lost the Varangian Guard too, I'll join the ruler of Constantinople.\nMy best regards, [From.GetBestName].;;;;;;;;;x
EVTDESCLatinEmpire.3;To my new liege, [Root.GetTitledFirstName]. Me and the Varangian Guard will be your personal guard from now on, while you're the ruler of Constantinople, as my former liege lost it to you.\nMy best regards, [From.GetBestName].;;;;;;;;;;;;;x
EVTTooltipLatinEmpire.3;The Varangian Guard moves to your court.;;;;;;;;;;;;;x
EVTDESCLatinEmpire.4;A talented eunuch has been brought before my attention. He is currently one of the many eunuchs serving at your court, but perhaps I could make use of his skills.;;;;;;;;;;;;;x
EVTOPTALatinEmpire.4;Why not?;;;;;;;;;;;;;x
EVTOPTBLatinEmpire.4;I don't need another source of court intrigue.;;;;;;;;;;;;;x
EVTNAMELatinEmpire.5;Anatolia under Roman rule again;;;;;;;;;;;;;x
EVTDESCLatinEmpire.5;Now that we have managed to retake all of Iconium our rightful rule of all of Anatolia is once more recognized.;;;;;;;;;;;;;x
EVTTooltipLatinEmpire.6;The Empire of Romania falls;;;;;;;;;x
EVTNAMELatinEmpire.6;Constantinople is ours;;;;;;;;;;;;;x
EVTDESCLatinEmpire.6;Constantinople is now under true Roman administration, saved from the menace of turks or filthy catholic pretenders of Rome;;;;;;;;;;;;;x
EVTNAMELatinEmpire.7;Constantinople is ours;;;;;;;;;;;;;x
EVTDESCLatinEmpire.7;Constantinople is now under true Roman administration, saved from the menace of turks or filthy catholic pretenders of Rome;;;;;;;;;;;;;x
EVTNAMELatinEmpire.8;Trebizond brought to the fold;;;;;;;;;x
EVTDESCLatinEmpire.8;We have conquered the lands of the Empire of Trebizond!;;;;;;;;;x
EVTOPTALatinEmpire.8;Take that, pretenders of Rome!;;;;;;;;;x
EVTTOOLTIPLatinEmpire.9;Change title to the Empire of Trebizond;;;;;;;;;x
EVTNAMELatinEmpire.9;An old Empire, born anew!;;;;;;;;;x
EVTDESCLatinEmpire.9;Byzantium is no more, Constantinople has fallen, we must accept the inheritance of the Roman Empire to ourselves.;;;;;;;;;x
EVTOPTALatinEmpire.9;Byzantium lives!;;;;;;;;;;;;x
EVTNAMELatinEmpire.10;Trebizond brought to the fold;;;;;;;;;x
EVTDESCLatinEmpire.10;We have conquered all de jure territory of the Empire of Trebizond, the claimants of our throne!;;;;;;;;;x
EVTOPTALatinEmpire.10;The Empire gets stronger!;;;;;;;;;;;;x
EVTNAMELatinEmpire.11;An old Empire, born anew!;;;;;;;;;x
EVTDESCLatinEmpire.11;Byzantium is no more, Constantinople has fallen, we must accept the inheritance of the Roman Empire to ourselves.;;;;;;;;;x
EVTOPTALatinEmpire.11;Byzantium lives!;;;;;;;;;;;;x
EVTDESCLatinEmpire.12;You have saved Constantinople!;;;;;;;;;;;;x
EVTOPTALatinEmpire.12;Restoratio Imperio!;;;;;;;;;;;;x
EVTTooltipALatinEmpire.12;An army of loyalist of the Empire appears at Constantinople.\n;;;;;;;;;;;;x
EVTDESCLatinEmpire.16;To [Root.GetTitledFirstName]. I'm joining Byzantium, so we can unite the Roman Empire.\nYour new vassal, [From.GetBestName].;;;;;;;;;;;;x
EVTDESCLatinEmpire.17;To [Root.GetTitledFirstName]. I have saved Byzantium from the brink of destruction and I'm sending you this letter to invite you to become my vassal so the Empire can get stronger.\nSincerely, [From.GetBestName],Ruler of Constantinople.;;;;;;;;;;;;x
EVTOPTALatinEmpire.17;United we stand!;;;;;;;;;;;;x
EVTOPTBLatinEmpire.17;I'm not joining that pretentious [From.GetTitledFirstName]!;;;;;;;;;;;;x
EVTDESCLatinEmpire.18;To [Root.GetTitledFirstName]. I'm not joining this pretentious Roman-wannabe empire of yours.\nSincerely, [From.GetBestName].;;;;;;;;;;;;x
e_latin_empire;Romania;;;;;;;;;;;;x
e_latin_empire_adj;Roman;;;;;;;;;;;;x
e_trebizond;Trebizond;;;;;;;;;;;;x
e_trebizond_adj;Trebizondian;;;;;;;;;;;;x
e_nikaea;Nicaea;;;;;;;;;;;;x
e_nikaea_adj;Nicaean;;;;;;;;;;;;x
imperator;Emperor of Constantinople;;;;;;;;;;;;x
imperator_desc;This character rules over Constantinople.;;;;;;;;;;x
#######;;;;;;;;;;x
k_kipchak;Kipchaks;Kipchaks;Kipchaks;;Kipchaks;;;;;;;;;x
k_kipchak_adj;Kipchak;Kipchak;Kipchak;;Kipchak;;;;;;;;;x
job_chancellor_jewish_group;Mishneh;Misneh;Misneh;;Misneh;;;;;;;;;x
job_marshal_jewish_group;Aluf;Aluf;Aluf;;Aluf;;;;;;;;;x
job_treasurer_jewish_group;Shalish;Shalish;Shalish;;Shalish;;;;;;;;;x
job_spymaster_jewish_group;Kereti;Kereti;Kereti;;Kereti;;;;;;;;;x
job_spiritual_jewish_group;Court Rav;Rav de la cour;Der Hofrav;;Rav de la corte;;;;;;;;;x
baron_jewish_group;Tifsar;Tifsar;Tifsar;;Tifsar;;;;;;;;;x
count_jewish_group;Rosh;Rosh;Rosh;;Rosh;;;;;;;;;x
duke_jewish_group;Nesi Elohim;Nesi Elohim;Nesi Elohim;;Nesi Elohim;;;;;;;;;x
king_jewish_group;Melek;Melek;Melek;;Melek;;;;;;;;;x
emperor_jewish_group;Gdolei Hador;Gdolei Hador;Gdolei Hador;;Gdolei Hador;;;;;;;;;x
e_arabia_jewish_group;Empire of Judea;Empire of Judea;Empire of Judea;;Empire of Judea;;;;;;;;;x
job_prince_jewish_group;Bekor;Bekor;Bekor;;Bekor;;;;;;;;;x
#######CHRISTIAN;;;;;;;;;;x
temple_emperor_christian;Primate;Primat;Primat;;Primado;;;;;;;;;x
temple_empire_of_christian;See of;Siège de;Heiliger Reich von;;Santo Imperio de;;;;;;;;;x
temple_king_christian;Patriarch;Patriarche;Patriarchen;;Patriarca;;;;;;;;;x
temple_kingdom_of_christian;Patriarchate of;Patriarcat de;Patriarchat von;;Rey-Patriarcado de;;;;;;;;;x
temple_duke_christian;Prince-Archbishop;Prince Archevêque;Prinz-Erzbischof;;Príncipe arzobispo;;;;;;;;;x
temple_count_christian;Prince-Bishop;Prince-évêque;Prinz-Bischof;;Príncipe obispo;;;;;;;;;x
#######;;;;;;;;;;x
indian;Indic;Indic;Indic;;Indio;;;;;;;;;x
gujarati;Gujarati;Gujarati;Gujarati;;Gujarati;;;;;;;;;x
hindu;Hindu;Hindu;Hindu;;Hindú;;;;;;;;;x
lingayat;Lingayat;Lingayat;Lingayat;;Lingayat;;;;;;;;;x
bhakti;Bhakti;Bhakti;Bhakti;;Bhakti;;;;;;;;;x
#######;;;;;;;;;;x
opinion_job_security_concerns;Concerned about job security;Préoccupé de la sécurité de travail;Sorgt sich um Jobsicherheit;;Preocupado por seguridad laboral;;;;;;;;;x
CENTER;Leading the Center;Mène le centre;Führung im Zentrum;;;;;;;;;;;x
#FLANKING_COMBAT_MODIFIER;Flanking Combat Modifier of §Y$WHO$§!: $PERC$;Aptitude pour les attaques de flanc de §Y$WHO$§!: $PERC$;Gefechts-Flankenangriffsmodifikator von §Y$WHO$§!: $PERC$;;;;;;;;;;;x
#CENTER_COMBAT_MODIFIER;Leading the Center Combat Modifier of §Y$WHO$§!: $PERC$;Aptitude à diriger le centre de §Y$WHO$§!: $PERC$;Gefechtsmodifikator durch Führung des Zentrums von §Y$WHO$§!: $PERC$;;;;;;;;;;;x
DEFENCE;Defence;Défense;Verteidigung;;;;;;;;;;;x
CANNOT_PLAY_MUSLIM_WITHOUT_DLC;You cannot play Muslim without The Sword of Islam DLC;Vous ne pouvez pas jouer un seigneur musulman sans le DLC Sword of Islam;Sie können kein Moslem ohne Das Schwert des Islam DLC spielen;;;;;;;;;;;x
NOT_ALLOWED_MUSLIM;Not allowed to play §YMuslim§! without The Sword of Islam DLC!;Non autorisé à jouer §Yun seigneur musulman§! sans le DLC;Spielen als §YMuslim§! ist ohne Das Schwert des Islam DLC nicht erlaubt!;;;;;;;;;;;x
NOT_ALLOWED_MUSLIM_MP;§Y$PLAYER$§! not allowed to play §YMuslim§! without The Sword of Islam DLC;§Y$PLAYER$§! n'est/ne sont pas autorisé(s) à jouer §Yun seigneur musulman§! sans le DLC Sword of Islam;§Y$PLAYER$§! ist nicht erlaubt als §YMuslim§! ohne Das Schwert des Islam DLC zu spielen;;;;;;;;;;;x
RD_NOT_PLAYABLE_WITHOUT_MUSLIM_DLC;Muslims are not playable without The Sword of Islam DLC;Les musulmans ne sont pas jouables sans le DLC Sword of Islam;Moslems sind nicht spielbar ohne Das Schwert des Islam DLC;;;;;;;;;;;x
MUST_SELECT_PLAYER;Must select a Character to play!;Vous devez sélectionner un personnage pour jouer;Sie müssen einen Charakter auswählen um zu spielen!;;;;;;;;;;;x
#######;;;;;;;;;;x
county_of_central_african;Rwazy of;;;;;;;;;;;x
k_masmuda;Masmuda;;;;;;;;;;;x
k_masmuda_adj;Masmudan;;;;;;;;;;;x
k_novgorod_republic;Novgorod;;;;;;;;;;;;;x
k_novgorod_republic_adj;Novgorodian;;;;;;;;;;;;;x
city_king_russian;Knyaz;;;;;;;;;;;;;x
city_count_russian;Posadnik;;;;;;;;;;;;;x
city_duke_russian;Velikiy Posadnik;;;;;;;;;;;;;x
BM_NOVGOROD;Novgorod Republic;;;;;;;;;;;;;x
BM_NOVGOROD_DESC;The Novgorodian Veche have unanimously removed their Rurikovich prince, declaring a new Republic governed by the Veche itself as well as the merchantile and ecclesiastical factions. Many of the Rurikids are outraged, many of them claiming the Principality as theirs by right. The Republic is wary of this threat to its existence, but also looks to the tribal lands to its East and West for possible expansion routes;;;;;;;;;;;;;x
EVTNAME_NOV_4;The Novgorod Republic;;;;;;;;;;;;;x
EVTDESC_NOV_4;The Boyars and merchants of the great city of Novgorod have unanimously rejected the rule of feudal princes. They have declared a new government, to be ruled by the collective will of the Veche and headed by the Posadnik of Novgorod.;;;;;;;;;;;;;x
EVTOPTA_NOV_4;Interesting news.;;;;;;;;;;;;;x
EVTOPTB_NOV_4;More competition...;;;;;;;;;;;;;x
