#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#Event/decision/modifier definitions;;;;;;;;;;;;;;x
###### Hellenic revival;;;;;;;;;;;;;;x
#nick_the_apostate;the Apostate;l'Apostat;;;;;;;;;;;;x
opinion_no_hellenic_state_religion;Did not establish a Hellenic state religion;N'a pas choisi l'hellénisme comme religion d'État;;;;;;;;;;;;x
hellenic.10.desc;[FromFrom.GetFirstNameWithNick] stands before a stack of papers and notebooks in your council chamber, "I've compiled essays, translations, and several interesting interpretations of Imperial Law that, I believe, could be applied to some effect.";[FromFrom.GetFirstNameWithNick] se trouve devant une pile de papiers et cahiers dans votre chambre du conseil : "J'ai compilé des essais, des traductions et plusieurs interprétations intéressantes de la loi impériale qui, je crois, pourraient être appliquées avec certains effets.";;;;;;;;;;;;x
hellenic.12.desc;You are discussing politics with [From.GetBestName] over dinner when he explains the meaning of Plato's Allegory of the Cave, "In the end, we cannot be certain that what we see is real. So, if you wish to sway your vassals opinions, you must take control of the truth." He puts down his fork and thinks a moment. "If you can provide me with a small sum of coin, I can produce and distribute an official Imperial Chronicle, which will... emphasize aspects of recent history such that you're rule is seen in the positive light it deserves.;Vous discutez de politique avec [From.GetBestName] pendant le dîner quand il explique la signification de l'allégorie de la grotte de Platon. "En fin de compte, nous ne pouvons pas être certains que ce que nous voyons est réel. Donc, si vous souhaitez influencer vos opinions vassales, vous devez prendre le contrôle de la vérité." Il dépose sa fourchette et réfléchit un moment. "Si vous pouvez me fournir une petite somme d'argent, je peux produire et distribuer une Chronique impériale officielle, qui ... mettra l'accent sur les aspects de l'histoire récente pour mettre en lumière votre illustre règne.";;;;;;;;;;;;x
hellenic.12.a;Tell me more about Plato's wisdom...;Dites-moi plus sur la sagesse de Platon ...;;;;;;;;;;;;x
hellenic.13.tt;[From.GetFirstNameWithNick] begins work on the chronicle.;[From.GetFirstNameWithNick] commence à travailler sur les chroniques.;;;;;;;;;;;;x
hellenic.13.desc;[FromFrom.GetFirstNameWithNick] has completed [FromFrom.GetHerHis] Imperial Chronicle, and it's been distributed throughout the Empire. You can already see the change in your court and vassals. Some hail you as the greatest emperor in a century, even your detractors are saying you could be a worse emperor.;[FromFrom.GetFirstNameWithNick] a fini ses chroniques impériales, et il a été distribué dans tout l'Empire. Vous pouvez déjà voir le changement dans votre cour et vos vassaux. Certains vous voient comme le plus grand empereur de votre siècle, même vos détracteurs disent que vous pourriez être un bien pire empereur.;;;;;;;;;;;;x
hellenic.13.a;Truth is muteable...;La vérité est mutable ...;;;;;;;;;;;;x
hellenic.15.desc;[From.GetTitledFirstName] is advising you on an issue at court when he becomes quiet. After a pensive moment he speaks, "My [Root.GetTitle], I believe the root of this issue lies with the complexity in the rules of the court. The beaurocracy has become quite tangled. If you give me some time, I can come up with a revised structure and set of codes to streamline the court. It will require political capital to inact, however.";[From.GetTitledFirstName] vous conseille sur une question à la cour quand il se calme. Après un moment pensif, il dit, "Mon/Ma [Root.GetTitle], je crois que la racine de cette question réside dans la complexité des règles de la cour. La bureaucratie est devenue assez embrouillée. Si vous me donnez du temps, je peux venir avec une structure révisée et un ensemble de codes pour rationaliser le tribunal. Mais il faudra un petit capital.";;;;;;;;;;;;x
hellenic.15.a;If it frees me from these petty issues, do it!;Si cela me libère de ces petits problèmes, faites-le !;;;;;;;;;;;;x
hellenic.15.b;I'll endure these headaches and save my influence for greater problems.;Je vais supporter ces maux de tête et sauver mon influence pour des problèmes plus importants.;;;;;;;;;;;;x
hellenic.16.tt;[From.GetFirstName] begins his work.;[From.GetFirstName] commence son travail.;;;;;;;;;;;;x
hellenic.16.desc;After a grueling 3 months, with much complaining from the clerks and palace officials, [FromFrom.GetBestName] has completed the restructuring of the beaurocracy. Although far from working like a well-oiled machine, the palace is running much more smoothly. You've found management of the Imperial Estates easier, so much so that you could consider adding another province to the estates...;Après 3 mois épuisant, avec beaucoup de plaintes des greffiers et des officiels du palais, [FromFrom.GetBestName] a fini la restructuration de la bureaucratie. Bien que loin de fonctionner comme une machine bien huilée, le palais fonctionne beaucoup plus doucement. Vous avez simplifié la gestion des états impériaux, à tel point que vous pourriez envisager d'ajouter une autre province aux domaines ...;;;;;;;;;;;;x
hellenic.16.a;Perhaps one with islands, where the beaurocrats can't reach me...;Peut-être qu'avec des îles, où les bureaucrates ne peuvent pas me joindre ...;;;;;;;;;;;;x
hellenic.19.desc;You are pacing through the palace thinking of how to foil your rival, [From.GetTitledFirstName], when you nearly collide with [FromFrom.GetFirstNameWithNick]. "[From.GetTitle], might I offer some of Epicurious' wisdom on friendships? I think it will show the futility of this rivalry. Perhaps even [From.GetTitledFirstName] will find it convincing.";Vous parcourez le palais pour réfléchir à comment déjouer votre rival, [From.GetTitledFirstName], jusqu'à ce que vous ayez failli entrer en collision avec [FromFrom.GetFirstNameWithNick]. "[From.GetTitle], puis-je offrir une certaine sagesse épouvantable sur les amitiés ? Je pense que cela montrera la futilité de cette rivalité. Peut-être même que [From.GetTitledFirstName] sera convaincu.";;;;;;;;;;;;x
hellenic.19.a;Anything to end this feud my friend.;N'importe quoi pour mettre fin à cette querelle, mon ami.;;;;;;;;;;;;x
hellenic.19.b;I would rather die than make amends with that fool!;Je préférerais mourir que faire des compensations avec ce fou !;;;;;;;;;;;;x
hellenic.20.tt;You listen to [FromFrom.GetFirstName] and go to [From.GetTitledFirstName].;Vous écoutez [FromFrom.GetFirstName] et vous allez voir [From.GetTitledFirstName].;;;;;;;;;;;;x
hellenic.20.desc;You are reviewing troop readiness reports from outer settlements when the [From.GetTitle] [From.GetHerHim]self walks into your court. [From.GetSheHeCap] seeks to end your mutual rivalry, and has some sagely words about friendship that imply that this feud is harmful to your souls.\n\nHow do you respond?;Vous examinez les rapports de préparation des troupes à partir des établissements extérieurs lorsque le [From.GetTitle] lui/elle-même entre dans votre cour. Il/Elle cherche à mettre fin à votre rivalité réciproque, et a des mots sages sur l'amitié qui impliquent que cette querelle est nuisible sur nos âmes.\n\nQuelle est votre réponse ?;;;;;;;;;;;;x
hellenic.20.a;Yes, perhaps it is time to reconcile.;Oui, peut-être qu'il est temps qu'on se réconcilie.;;;;;;;;;;;;x
hellenic.20.b;I will make peace with you when you are dead!;Je ferai la paix avec vous quand vous êtes mort !;;;;;;;;;;;;x
hellenic.21.tt;The [From.GetTitle] hears your reply.;Le [From.GetTitle] écoute votre réponse.;;;;;;;;;;;;x
hellenic.21.desc;The Hypatos' advice worked! [From.GetTitledFirstName] has seen the wisdom in the words and has agreed to end your feud!;Le conseil de Hypatos a fonctionné ! [From.GetTitledFirstName] a vu la sagesse dans les mots et a accepté de mettre fin à votre querelle !;;;;;;;;;;;;x
hellenic.22.tt;The [From.GetTitle] hears your insult.;Le [From.GetTitle] a entendu votre insulte.;;;;;;;;;;;;x
hellenic.22.desc;[From.GetTitledFirstName] has proven unwilling to listen to reason, and has rejected your overture of peace. "We will have peace when one of us dies, not before!";[From.GetTitledFirstName] s'est avéré peu disposé à écouter la raison, et a rejeté votre ouverture de paix. "Nous aurons la paix quand l'un d'entre nous meurt, pas avant !";;;;;;;;;;;;x
hellenic.25.desc;[From.GetTitledFirstName] has come at the head of a delegation of clergy. "This Hypatos Philosophon of yours has spread [FromFrom.GetHerHis] heretical teachings long enough! [FromFrom.GetSheHe] is corrupting the soul of the empire with paganry!" The clergy are demanding that you make some judgment.\n\nWhat do you do?;[From.GetTitledFirstName] est venu à la tête d'une délégation du clergé. "Ce philosophe de Hypatos a répandu ses enseignements hérétiques assez longtemps ! Il/Elle corrompt l'âme de l'empire avec les païens !" Le clergé exige que vous fassiez preuve de jugement.\n\nQue faites-vous ?;;;;;;;;;;;;x
hellenic.25.a;I will leave [FromFrom.GetFirstName] to you.;Je vous laisse [FromFrom.GetFirstName].;;;;;;;;;;;;x
hellenic.25.b;[FromFrom.GetFirstName] will face Imperial justice.;[FromFrom.GetFirstName] va faire face à la justice impériale.;;;;;;;;;;;;x
hellenic.25.c;I will discuss this with [FromFrom.GetFirstName] myself.;Je vais discutez avec [FromFrom.GetFirstName].;;;;;;;;;;;;x
hellenic.25.d;[FromFrom.GetFirstName] is no heretic, you busy bodies!;[FromFrom.GetFirstName] n'est pas un hérétique !;;;;;;;;;;;;x
hellenic.26.tt;You speak with [FromFrom.GetFirstName] about [From.GetTitledFirstName]'s charges.;Vous parlez avec  [FromFrom.GetFirstName] sur les charges de [From.GetTitledFirstName].;;;;;;;;;;;;x
hellenic.26.desc;You enter [FromFromFrom.GetTitledFirstName]'s study in the palace and tell [FromFromFrom.GetHerHim] about the charges. [FromFromFrom.GetSheHe] pauses briefly, "I feel I have served you well these years. Well enough that I can finally be open with you...:;Vous faites entrer [FromFromFrom.GetTitledFirstName] dans le palais et vous lui dites les charges qui lui incombe. Il fait une petite pause et dit : "Je sens que je vous ai bien servi ces années. Bien, je peux enfin être ouvert avec vous ...";;;;;;;;;;;;x
hellenic.26.a;What are you saying, [FromFromFrom.GetFirstName]?;Qu'est-ce que vous dites ,[FromFromFrom.GetFirstName]?;;;;;;;;;;;;x
hellenic.27.tt;[FromFromFrom.GetFirstName] confides in you...;[FromFromFrom.GetFirstName] se confie à vous ...;;;;;;;;;;;;x
hellenic.27.desc;"I am a Hellene, through and through. Every night I pray to the gods of Greece for inspiration, so I might better serve you, my [Root.GetTitle]." Seemingly emboldened, [FromFromFromFrom.GetFirstName]'s words come faster. "I prayed to Hermes so I might be clever. To Athena so that I could give you honeyed words for your vassals and rivals. To Zeus so that I might lend you wisdom. My lord, it is my pagan faith that allows me to serve you so well.";"Je suis un Hellène, parfaitement. Chaque nuit, je prie les dieux de la Grèce Antique comme inspiration, afin que je puisse mieux vous servir, mon/ma [Root.GetTitle]." Apparemment, les mots de [FromFromFromFrom.GetFirstName] sont plus rapide. "J'ai prié Hermès pour que je sois plus intelligent. Pour Athéna, afin que je puisse vous donner des mots joyeux pour vos vassaux et vos rivaux. À Zeus afin que je vous prête la sagesse. Mon seigneur, c'est ma foi païenne qui me permet de vous servir aussi bien.";;;;;;;;;;;;x
hellenic.27.a;You have lost your way, [FromFromFromFrom.GetFirstName], but you can find it again.;Vous vous êtes perdu sur le chemin, [FromFromFromFrom.GetFirstName], mais vous pouvez le retrouver.;;;;;;;;;;;;x
hellenic.27.b;Liar! Serpent! Guards, seize this pagan!;Menteur ! Serpent ! Gardes, attrapez ce païen !;;;;;;;;;;;;x
hellenic.27.c;You have served me well. I will protect you, my friend.;Vous m'avez bien servi. Je vais vous protéger, mon ami(e).;;;;;;;;;;;;x
hellenic.29.desc;[From.GetFirstNameWithNick] has come to your office for a private discussion. "Once, Rome ruled the world. Now we are a shadow of that Empire. Nay, a sliver of a shadow. Since Constantine we have been shattered, ever shrinking. What changed? Our gods. Our greatest threat, the Saracens, is a twisted form of the faith we have espoused for centuries, a dark reflection of ourselves. I say they are punishment for abandoning the gods of our ancestors. Now, in our darkest hour, may be our last chance to save our people and return to the old ways!";[From.GetFirstNameWithNick] est venu à votre bureau pour une discussion privée. "Une fois, Rome a gouverné le monde. Maintenant, nous sommes une ombre de cet Empire. Non, un brin d'ombre. Depuis Constantin, nous avons été brisés, toujours en train de diminuer. Qu'est-ce qui a changé ? Nos dieux. Notre plus grande menace, les Sarrasins, ont une forme tordue de la foi que nous avons épousée depuis des siècles, un reflet sombre de nous-mêmes. Je dis qu'ils sont un châtiment pour abandonner les dieux de nos ancêtres. Maintenant, dans notre heure la plus sombre, peut-être que notre dernière chance de sauver notre peuple et de revenir à nos anciennes croyances !";;;;;;;;;;;;x
hellenic.29.a;Your words ring true, old friend. Now is the time...;Vos mots sonnent vrai, mon ami(e). C'est le moment...;;;;;;;;;;;;x
hellenic.29.b;I tolerate your faith, my friend, but I cannot follow it.;Je tolère votre foi, mais je ne peux pas la suivre.;;;;;;;;;;;;x
hellenic.29.c;You are right, yet again. However, we should proceed discretely...;Vous avez raison, encore une fois. Cependant, nous devrions procéder de façon discrète ...;;;;;;;;;;;;x
hellenic.29.d;Heathen! Be gone from my sight!;Païen ! Éloignez-vous de ma vue !;;;;;;;;;;;;x
hellenic.36.title;The Sacred Band Founded;Le Bataillon sacré fondé;The Sacred Band Founded;;The Sacred Band Founded;;;;;;;;;x
hellenic.36.desc;We have founded the Sacred Band, a closed brotherhood of soldiers whose iron discipline shall defend Hellenic believers everywhere.;Nous avons fondé le Bataillon sacré, une fraternité de soldats triés sur le volet dont la discipline de fer viendra à la défense des disciples helléniques où qu'ils soient.;We have founded the Sacred Band, a closed brotherhood of soldiers whose iron discipline shall defend Hellenic believers everywhere.;;We have founded the Sacred Band, a closed brotherhood of soldiers whose iron discipline shall defend Hellenic believers everywhere.;;;;;;;;;x
hellenic.36.a;Excellent...;Excellent ...;;;;;;;;;;;;x
hellenic.37.title;The Sacred Band;Le Bataillon sacré;The Sacred Band Founded;;The Sacred Band Founded;;;;;;;;;x
hellenic.37.desc;The Sacred Band are a brotherhood of soldiers noted for their stalwart discipline and unwavering resolution who have sworn to never rest until the Gods of Olympus are granted the respect they are due.;Le Bataillon sacré est une fraternité de soldats connus pour leur discipline, leur loyauté et leur détermination sans faille, qui ont fait le serment de ne jamais trouver le repos jusqu'à ce que les Dieux de l'Olympe reçoivent le respect qu'ils méritent.;The Sacred Band are a brotherhood of soldiers noted for their stalwart discipline and unwavering resolution who have sworn to never rest until the Gods of Olympus are granted the respect they are due.;;The Sacred Band are a brotherhood of soldiers noted for their stalwart discipline and unwavering resolution who have sworn to never rest until the Gods of Olympus are granted the respect they are due.;;;;;;;;;x
hellenic.37.a;Very good!;Très bien !;;;;;;;;;;;;x
hellenic.37.b;This is grave news...;C'est une mauvaise nouvelle ...;;;;;;;;;;;;x
hellenic.51.title;Myrmidons;Myrmidons;;;;;;;;;;;x
hellenic.51.desc;In Greece the ancient faith of the Hellenes is experiencing a revival, one that is gaining strength. Thessalonike, the homeland of the hero Achilles, now firmly follows this religion. Inspired by the Epics and ready to adventure out into the world, a band of young men have begun calling themselves Myrmidons, rallying around their [From.GetRulerTitle], [From.GetDynName].;En Grèce, la foi ancienne des Hellènes connaît un renouveau, qui gagne en force. Thessalonike, la patrie du héros Achille, suit maintenant cette religion. Inspiré par les épopées et prêt à s'aventurer dans le monde, une bande de jeunes hommes ont commencé à se nommer Myrmidons, en se ralliant à leur [From.GetRulerTitle], [From.GetDynName].;;;;;;;;;;;x
hellenic.51.a;Disturbing...;Inquiétant ...;;;;;;;;;;;x
hellenic.51.b;May [Root.GetRandomGodName] watch their paths.;Puisse [Root.GetRandomGodName] nous guider sur le chemin.;;;;;;;;;;;x
hellenic.101.desc;As you are sitting down to dinner, your [Root.GetLordSpiritualName] comes up to you and tells you that [From.GetBestName] has strayed from the true faith. Claiming to have found enlightenment in the classical texts of ancient Rome and Greece, [From.GetSheHeCap] has forsaken [Root.Religion.GetRandomGodName] and professed [From.GetHerHis] devotion to [From.Religion.GetRandomGodName].;Alors que vous vous asseyez pour dîner, votre [Root.GetLordSpiritualName] s'approche et vous explique que [From.GetBestName] s'est écarté de la vraie foi. Prétendant avoir trouvé l'illumination dans les textes classiques de la Rome et Grèce antique, [From.GetSheHe] a délaissé [Root.Religion.GetRandomGodName] et proclamé sa dévotion à [From.Religion.GetRandomGodName].;;;;;;;;;;;;x
hellenic.101.a;My [From.GetSonDaughter] did WHAT?;[From.GetSonDaughter] a fait QUOI ?;;;;;;;;;;;;x
hellenic.101.b;[From.GetSheHeCap] did WHAT?;[From.GetSheHe] a fait QUOI ?;;;;;;;;;;;;x
hellenic.101.c;Tell him I'd like to know more about these ancient gods.;Dis-lui que j'aimerais en savoir plus sur ces dieux antiques.;;;;;;;;;;;x
hellenic.102.desc;With the restoration of the religious institutions of old, you have the opportunity to re-establish the old imperial state religion once again, but your Christian vassals are not likely to appreciate such a decree.;Suite à la restauration des institutions religieuses du passé, vous avez l'opportunité de rétablir l'ancienne religion impériale à nouveau, mais vos vassaux chrétiens ne vont probablement pas apprécier un tel décret.;;;;;;;;;;;;x
hellenic.102.a;We must restore the glory of the old faith!;Nous devons restaurer la gloire de foi antique !;;;;;;;;;;;;x
EVTTOOLTIPAhellenic.102;Parts of the Empire will convert to the re-established imperial state religion.\n;Des parties de l'Empire vont se convertir à la religion impériale rétablie.\n;;;;;;;;;;;;x
hellenic.102.b;Let my vassals choose their own faith.;Laissons mes vassaux choisir leur propre foi.;;;;;;;;;;;;x
hellenic.103.desc;[From.GetTitledName] has endeavored to restore the ancient faith to the Empire, and demands that you convert.;[From.GetTitledName] s'efforce de restaurer la foi antique de l'Empire, et exige votre conversion.;;;;;;;;;;;;x
hellenic.103.a;Glory to [From.Religion.GetRandomGodName] and the Empire!;Gloire à [From.Religion.GetRandomGodName] et à l'Empire !;;;;;;;;;;;;x
hellenic.103.b;May [Root.Religion.GetRandomGodName] protect us.;Que [Root.Religion.GetRandomGodName] nous protège.;;;;;;;;;;;;x
###### Pontifex Maximus;;;;;;;;;;;;;;x
pontifex_restored;Pontificate Restored;Le Pontificat Restauré;;;;;;;;;;;;x
recreate_pontificate;Restore the Pontificate Maxima;Restaurer le Pontificate Maxima;;;;;;;;;;;;x
recreate_pontificate_desc;Restore the priesthood of the Hellenic faith and declare yourself the Pontifex Maximus!;Restaurer le sacerdoce de la foi hellénique et déclarez-vous le Pontifex Maximus !;;;;;;;;;;;;x
hellenic.104.title;Return of the Pontificate Maxima;Le retour du Pontificate Maxima;;;;;;;;;;;;x
hellenic.104.desc;After an interlude lasting a few centuries following the adoption of Christianity in Rome, Hellenism has returned as the state religion of [From.PrimaryTitle.GetName] and [From.GetTitledFirstName] has ordered the reinstitution of the Collegium Pontificum.\n\nThe Pontificate Maxima will serve as the highest religious authority in the Hellenic world, with powers ranging from the blessing of future military expeditions to the nomination of Vestals and flamens.;Après un interlude durant quelques siècles après l'adoption du christianisme à Rome, l'hellénisme est revenu comme religion d'État de [From.PrimaryTitle.GetName] et [From.GetTitledFirstName] a ordonné la réinstitution du Collegium Pontificum.\n\nLe Pontificate Maxima servira de plus haute autorité religieuse dans le monde hellénique, avec des pouvoirs allant de la bénédiction des futures expéditions militaires à la nomination des vestales et des flamines.;;;;;;;;;;;;x
hellenic.104.a;Rejoice!;Réjouissons-nous !;Frohlocket!;;¡Regocijaos!;;;;;;;;;x
hellenic.104.b;Heathens!;Païens !;Ketzer!;;¡Paganos!;;;;;;;;;x
###### Mani Penninsula;;;;;;;;;;;;;;x
hellenic.105.desc;You have heard rumours about a group of Hellenic peasants on the Mani Penninsula who continue to practice their old ways. There is much debate at court on how large that group is, and how much their practices may have evolved since the old times...;Vous avez entendu des rumeurs concernant un groupe de paysans helléniques sur la péninsule de Magne qui continuent à pratiquer leurs anciennes pratiques. Il y a beaucoup de débat devant le tribunal quant à la taille de ce groupe et à la manière dont leurs pratiques ont évolué depuis l'époque ...;;;;;;;;;;;;x
hellenic.105.a;This is an opportunity to better know my realm.;C'est une opportunité pour mieux connaitre mon royaume.;;;;;;;;;;;;x
hellenic.105.b;How stupid, the Hellenic faith is long dead !;Quelle stupidité ! La foi hellénique est morte depuis longtemps !;;;;;;;;;;;;x
travel_penninsula;You travel to the penninsula...;Vous voyagez vers la péninsule ...;;;;;;;;;;;;x
hellenic.106.desc;Reaching the tip of the peninsula, you discover in the hills a waterless and inaccessible place where the Maniots live. As you approach, you notice an old [Root.target_maniot_priest.GetManWoman] who seems to be waiting for you. [Root.target_maniot_priest.GetSheHeCap] explains that the gods have sent signs of your arrival.;En arrivant à la pointe de la péninsule, vous découvrez dans les collines un endroit sans eau et inaccessible où vivent les Maniots. Lorsque vous approchez, vous remarquez un ancien [Root.target_maniot_priest.GetManWoman] qui semble vous attendre. [Root.target_maniot_priest.GetSheHeCap] explique que les dieux ont envoyé des signes de votre arrivée.;;;;;;;;;;;;x
hellenic.106.a;An augur, how fascinating!;Un Augure, fascinant !;;;;;;;;;;;;x
listen_to_maniot;Listen to the story of the augur;Écoutez l'histoire de l'augure;;;;;;;;;;;;x
hellenic.106.b;Enough, imprison [Root.target_maniot_priest.GetHerHim] and fetch a [Root.Religion.GetPriestTitle] to convert those pagans.;Assez, emprisonner [Root.target_maniot_priest.GetHerHim] et récupérer un [Root.Religion.GetPriestTitle] pour convertir ces païens.;;;;;;;;;;;;x
hellenic.107.desc;The augur describes how the Maniots managed to keep the knowledge of the old Hellenic practices. [Root.target_maniot_priest.GetSheHeCap] has forseen that a ruler would one day restore the old faith, and build a mighty Empire that would last centuries.;L'augure décrit comment les Maniots ont réussi à garder la connaissance des anciennes pratiques helléniques. [Root.target_maniot_priest.GetSheHeCap] a précisé qu'un suzerain rétablirait un jour l'ancienne foi et construirait un puissant Empire qui durerait des siècles.;;;;;;;;;;;;x
hellenic.107.a;Obviously the gods have spoken, I shall embrace my destiny!;De toute évidence, les dieux ont parlé, j'embrasserai mon destin !;;;;;;;;;;;;x
