#### Celtic Artifacts ;;;;;;;;;;;;;;x
silver_hand_of_nuada;Silver Hand of Nuada;Main d'argent de Nuada;;;;;;;;;;;;x
tusk_of_torc_triath_desc;According to legend, this horn was created from the tusk of Torc Triath, King of the Boars. Torc Triath was hunted by King Arthur himself, aided by his loyal hunting hound Cabal.;Selon la légende, cette corne a été créée à partir de la défense de Torc Triath, roi des sangliers. Torc Triath a été chassé par le roi Arthur lui-même, aidé par son fidèle chien de chasse Cabal.;;;;;;;;;;;;x
torque_of_boudicca;Queen Boudicca's Torque;Le torque de la reine Boudicca;;;;;;;;;;;;x
torque_of_boudicca_desc;The main part of this golden torque is formed from 64 individual gold wires wound into 8 cords, which are then wound together again. Beautifully molded end-pieces feature swirls and horses. Allegedly, it once belonged to Boudicca, the warrior Queen of the Iceni people.;La partie principale de ce torque doré est formée de 64 fils d'or individuels enroulés en 8 cordons, qui sont ensuite enroulés de nouveau ensemble. Les embouts magnifiquement moulés présentent des tourbillons et des chevaux. Il aurait appartenu à Boudicca, la reine guerrière du peuple Iceni.;;;;;;;;;;;;x
old_carnyx;Ancient Carnyx;Carnyx antique;;;;;;;;;;;;x
old_carnyx_desc;This ancient horn is subtly 's' shaped, the bell at the top shaped like a ferocious boar. Centuries ago the celtic tribes used these to communicate across the battlefield, the elevated position of the horn allowing the sound to travel far and wide.;Cette ancienne corne est subtilement en forme de 's', la cloche au sommet ayant la forme d'un sanglier féroce. Il y a des siècles, les tribus celtes les utilisaient pour communiquer à travers le champ de bataille, la position élevée du klaxon permettant au son de voyager loin et largement.;;;;;;;;;;;;x
horned_helm;Horned Helm;Heaume à cornes;;;;;;;;;;;;x
horned_helm_desc;This helmet is centuries old, if not over a millenia. It was probably a prized posession of a celtic tribal chief, but the strange horns look silly by modern standards.;Ce casque a des siècles, voire des millénaires. C'était probablement une posession prisée d'un chef de tribu celtique, mais les cornes étranges ont l'air ridicules par rapport aux standards modernes.;;;;;;;;;;;;x
battersea_shield;Battersea Shield;Bouclier de Battersea;;;;;;;;;;;;x
battersea_shield_desc;This bronze tower shield is masterfully decorated. Pieces of colored enamel still cling to their fittings even after centuries at the bottom of a river.;Ce bouclier de tour en bronze est magistralement décoré. Des morceaux d'émail coloré s'accrochent encore à leurs accessoires même après des siècles au fond d'une rivière.;;;;;;;;;;;;x
crown_celtic_fylkir;Crown of Oak;Couronne de chêne;;;;;;;;;;;;x
crown_celtic_fylkir_desc;The sacred crown worn by the reigning Myrdinn, head of the Druidic faith.;La couronne sacrée portée par le Myrdinn régnant, chef de la foi druidique.;;;;;;;;;;;;x
jeweled_torque_2;Torque of Splendour;Torque de splendeur;;;;;;;;;;;;x
jeweled_torque_2_desc;Images of mighty beasts holding rubies, emeralds and sapphires decorate this masterpiece of goldsmithing.;Des images de bêtes puissantes tenant des rubis, des émeraudes et des saphirs ornent ce chef-d'œuvre de l'orfèvrerie.;;;;;;;;;;;;x
jeweled_torque;Torque of Splendour;Torque de splendeur;;;;;;;;;;;;x
jeweled_torque_desc;Images of mighty beasts holding rubies, emeralds and sapphires decorate this masterpiece of goldsmithing.;Des images de bêtes puissantes tenant des rubis, des émeraudes et des saphirs ornent ce chef-d'œuvre de l'orfèvrerie.;;;;;;;;;;;;x
golden_torque;Burning Torque;Torque brulant;;;;;;;;;;;;x
golden_torque_desc;Masterfully crafted, this torque is of finest gold twisted into a beautiful flowing loop, arcs of flame made of opals, tigers-eye and rubies emerging here and there from between the coils.;Magistralement travaillé, ce collier est d'or fin torsadé en une belle boucle fluide, des arcs de flamme faits d'opales, d'yeux de tigre et de rubis émergeant ici et là d'entre les spirales.;;;;;;;;;;;;x
silver_torque;Torque of the Silvery Moon;Torque de la lune argentée;;;;;;;;;;;;x
silver_torque_desc;This open loop of silver is decorated with small diamonds embedded in the twisted strands. Each diamond represents a different phase of the moon.;Cette boucle ouverte en argent est ornée de petits diamants incrustés dans les fils torsadés. Chaque diamant représente une phase différente de la lune.;;;;;;;;;;;;x
#### Hellenic Artifacts ;;;;;;;;;;;;;;x
nimean_lion_skin;Nimean Lionskin;Peau de lion de Némée;;;;;;;;;;;;x
nimean_lion_skin_desc;This hooded cloak has been made from the hide of a large, black-maned lion. The skull has been fitted with a padded leather cap to serve as a helm. Many believe this to be the Nimean Lion's skin, the very hide worn by Heracles during his final 11 labors.;Ce manteau à capuchon a été fabriqué à partir de la peau d'un grand lion à crinière noire. Le crâne a été équipé d'une casquette en cuir rembourrée pour servir de barre à roue. Beaucoup pensent que c'est la peau du lion de Némée, la peau que porte Héraclès durant ses 11 derniers travaux.;;;;;;;;;;;;x
kronium;Kronium;Kronium;;;;;;;;;;;;x
kronium_desc;This large, uncut ruby is dark and lumpy, with sharp edges here and there. It gives the general impression of a scab or blood clot. Perhaps this is why the gem is believed to be the blood of Kronos, shed from wounds endured in the Titanomachy and crystalized over the millenia. No one knows how many of these stones exist, but they are greatly prized by the titan's worshippers.;Ce gros rubis non taillé est foncé et grumeleux, avec des arêtes vives ici et là. Elle donne l'impression générale d'une croûte ou d'un caillot de sang. C'est peut-être pour cette raison que l'on croit que la pierre précieuse est le sang de Kronos, versé des plaies endurées dans la Titanomachie et cristallisé depuis des milliers d'années. Personne ne sait combien de ces pierres existent, mais elles sont très prisées par les adorateurs du titan.;;;;;;;;;;;;x
caesars_robe;Bloody Robes of Caesar;Robes ensanglantées de César;;;;;;;;;;;;x
caesars_robe_desc;This bloodstained toga is said to be the very same one worn by Gaius Julius Caesar the day he was assassinated. Caesar was deified after his death, making these robes one of the holiest objects in Roman religion.;Cette toge tachée de sang serait la même que celle portée par Gaius Jules César le jour de son assassinat. César a été déifié après sa mort, faisant de ces robes un des objets les plus sacrés de la religion romaine.;;;;;;;;;;;;x
aethons_feather;Aethonian Feather;Plume aéthonienne;;;;;;;;;;;;x
aethons_feather_desc;This huge reddish-brown feather is said to have come from the great eagle, Aethon, that tormented Prometheus by eating his liver every day for 30,000 years. Prometheans are, understandably, offended by it's very existence.;On dit que cette énorme plume rouge-brune provient du grand aigle, Éthon, qui tourmenta Prométhée en mangeant son foie chaque jour pendant 30 000 ans. Les prométhéens sont, à juste titre, offensés par son existence même.;;;;;;;;;;;;x
achilles_shield_complete;Achilles Shield;Bouclier d'Achille;;;;;;;;;;;;x
achilles_shield_complete_desc;The shield given to Achilles by Hephaestus, at the bidding of his mother Thetis. It has been reforged from fragments and is a splendid piece of craftsmanship.;Le bouclier donné à Achille par Héphaïstos, sur l'ordre de sa mère Thetis. Il a été reforgé à partir de fragments et c'est une magnifique pièce d'artisanat.;;;;;;;;;;;;x
hectors_armor;Hector's Armor;L'armure d'Hector;;;;;;;;;;;;x
hectors_armor_desc;A breastplate of hardened, oil-brushed bronze fitted to well-made leather armor. A large Iota embossed on the front in gold declares allegiance to Ilium. This armor is believed to be that worn by Hector. As told in The Iliad it was taken by Achilles after he defeated Hector, and until now it was lost to history.;Une cuirasse en bronze durci, brossé à l'huile, montée sur une armure de cuir bien fait. Un grand Iota estampé sur le devant en or sur le devant déclare allégeance à Ilium. Cette armure serait celle d'Hector. Comme le raconte l'Iliade, elle a été prise par Achille après qu'il eut vaincu Hector, et jusqu'à présent elle était perdue dans l'histoire.;;;;;;;;;;;;x
odysseus_bow;Odysseus' Bow;Arc d'Ulysse;;;;;;;;;;;;x
odysseus_bow_desc;This large, black recurve bow is made of many layers of horn glued together. The curve is more dramatic than normal, requiring tremendous strength to string and draw. This has been taken to mean it is the bow of Odysseus himself, the legendary hero of The Odyssey.;Ce grand arc recourbé noir est fait de plusieurs couches de corne collées ensemble. La courbe est plus spectaculaire que d'habitude, ce qui exige beaucoup de force pour enfiler et dégainer. Ceci a été pris pour signifier que c'est l'arc d'Ulysse lui-même, le héros légendaire de l'Odyssée.;;;;;;;;;;;;x
mask_of_agamemnon;Death Mask of Agamemnon;Masque de la mort d'Agamemnon;;;;;;;;;;;;x
mask_of_agamemnon_desc;This golden mask adorned the head of Agamemnon's coffin.;Ce masque doré ornait la tête du cercueil d'Agamemnon.;;;;;;;;;;;;x
crown_of_theseus;Crown of Theseus;Couronne de Thésée;;;;;;;;;;;;x
crown_of_theseus_desc;This circlet of white gold and blue sapphires is said to have belonged to Theseus, the mythical founder of Athens.;Ce cercle d'or blanc et de saphirs bleus aurait appartenu à Thésée, le fondateur mythique d'Athènes.;;;;;;;;;;;;x
skull_of_alexander;Skull of Alexander the Great;Crâne d'Alexandre le Grand;;;;;;;;;;;;x
skull_of_alexander_desc;This skull is believed to be the only surviving remains of Alexander the Great, secreted away from his tomb in Alexandria by devoted worshipers during a siege.;On pense que ce crâne est le seul vestige d'Alexandre le Grand, caché de sa tombe à Alexandrie par des adorateurs dévoués au cours d'un siège.;;;;;;;;;;;;x
alexanders_armor;Alexander the Great's Armor;Armure d'Alexandre le Grand;;;;;;;;;;;;x
alexanders_armor_desc;This breastplate encompasses form and function in one. Beautifully made and strong, it is well-suited for a warrior king wishing to leave an impression of grandeur. No one is sure when it was separated from his body, nor how it ended up where it was found.;Ce plastron réunit forme et fonction en une seule pièce. Magnifiquement fabriqué et solide, il convient parfaitement à un roi guerrier désireux de laisser une impression de grandeur. Personne ne sait quand il a été séparé de son corps, ni comment il a fini là où il a été trouvé.;;;;;;;;;;;;x
gold_amphora;Golden Amphora;Amphore dorée;;;;;;;;;;;;x
gold_amphora_desc;This ancient amphora is made of high quality gold. It is said to bring prosperity to it's owner.;Cette ancienne amphore est faite d'or de haute qualité. On dit qu'il apporte la prospérité à son propriétaire.;;;;;;;;;;;;x
sphinx_claw;Sphinx Claw;Griffe de Sphinx;;;;;;;;;;;;x
sphinx_claw_desc;A huge claw, jet-black and incredibly sharp. Said to be from the paw of a sphinx slain by some hero in ancient times.;Une griffe énorme, d'un noir de jais et d'une acuité incroyable. On dit qu'il vient de la patte d'un sphinx tué par un héros dans l'antiquité.;;;;;;;;;;;;x
golden_apple;Golden Apple;Pomme d'or;;;;;;;;;;;;x
golden_apple_desc;An apple made of solid gold. Some say that the cursed touch of King Midas created this apple. Others say that it is the Apple of Discord which Eris threw onto Olympus, ultimately leading to the Trojan War.;Une pomme en or massif. Certains disent que la touche maudite du roi Midas a créé cette pomme. D'autres disent que c'est la pomme de discorde qu'Eris a jetée sur l'Olympe, conduisant finalement à la guerre de Troie.;;;;;;;;;;;;x
corinthian_helm;Corinthian Helm;Heaume corinthien;;;;;;;;;;;;x
corinthian_helm_desc;An ancient relic, this helm belonged to a great warrior or prince.;Ancienne relique, ce gouvernail appartenait à un grand guerrier ou prince.;;;;;;;;;;;;x
tongue_of_oracle;Petrified Tongue of an Oracle;Langue pétrifiée d'un oracle;;;;;;;;;;;;x
tongue_of_oracle_desc;A small stone said to be the petrified tongue of an ancient oracle. The power of the oracle is supposed to sharpen the tongue of the one who holds this artifact.;Une petite pierre qui serait la langue pétrifiée d'un ancien oracle. Le pouvoir de l'oracle est censé aiguiser la langue de celui qui tient cet artefact.;;;;;;;;;;;;x
silver_amphora;Silver Amphora;Amphore d'argent;;;;;;;;;;;;x
silver_amphora_desc;A beautiful amphora made from fine silver and decorated with reliefs of humans and satyrs celebrating a bountiful harvest at the feet of Demeter.;Une belle amphore en argent fin ornée de reliefs d'humains et de satyres célébrant une moisson abondante aux pieds de Déméter.;;;;;;;;;;;;x
achilles_shield_piece;Shard of Achilles Shield;Éclat de bouclier d'Achille;;;;;;;;;;;;x
achilles_shield_piece_desc;This shard of metal bares reliefs of battle scenes that match the descriptions of Achilles shield from The Illiad. Perhaps if you found more...;Cet éclat de métal met en évidence des reliefs de scènes de bataille qui correspondent aux descriptions du bouclier d'Achille de l'Illiade. Peut-être que si vous en trouviez plus....;;;;;;;;;;;;x
### Egyptian;;;;;;;;;;;;;;x
crown_egyptian_fylkir;Crown of Upper and Lower Egypt;Couronne de Haute- et Basse-Égypte;;;;;;;;;;;;x
crown_egyptian_fylkir_desc;The sacred crown worn by the reigning Pharoah, head of the Kemetic faith.;La couronne sacrée portée par le pharaon régnant, chef de la foi kémitique.;;;;;;;;;;;;x
crown_meryaten;Sunburst Crown;Couronne de la percée de rayons du soleil ;;;;;;;;;;;;x
crown_meryaten_desc;The sacred crown worn by the reigning Meryaten, head of the Atenic faith.;La couronne sacrée portée par le Meryaten régnant, chef de la foi atonienne.;;;;;;;;;;;;x
### Treasure Hunt Events;;;;;;;;;;;;;x
celtic.2000.desc;Returning from [relic_hunter.GetHerHis] travels, [relic_hunter.GetTitledFirstName] has brought with [relic_hunter.GetHerHim] a reliquary within which lies a skull. This skull, [relic_hunter.GetSheHe] claims, is none other than that of St Brigid of Kildare!;;;;;;;;;;;;;x
celtic.2002.desc;Returning from [relic_hunter.GetHerHis] travels, [relic_hunter.GetTitledFirstName] has brought with [relic_hunter.GetHerHim] a small box, within which lies an ornately engraved hand made of silver. This is, [relic_hunter.GetSheHe] claims, the hand that was forged for Nuada after he lost is real one in battle!;;;;;;;;;;;;;x
celtic.2003.desc;Returning from [relic_hunter.GetHerHis] travels, [relic_hunter.GetTitledFirstName] has brought with [relic_hunter.GetHerHim] a beautiful trident decorated with ocean motifs. This is, [relic_hunter.GetSheHe] claims, Y Tair Tonnau "The Three Waves", the very trident Britannia used to create the world!;;;;;;;;;;;;;x
celtic.2004.desc;Returning from [relic_hunter.GetHerHis] travels, [relic_hunter.GetTitledFirstName] has brought with [relic_hunter.GetHerHim] a leather bag, from which [relic_hunter.GetSheHe] pulls an ornate corinthian helm. This is, [relic_hunter.GetSheHe] claims, the blessed helm of Britannia!;;;;;;;;;;;;;x
celtic.2005.desc;Returning from [relic_hunter.GetHerHis] travels, [relic_hunter.GetTitledFirstName] has brought with [relic_hunter.GetHerHim] a large object wrapped in furs, from which [relic_hunter.GetSheHe] pulls a large shield emblazoned with the crest of The Holy Mother. This is, [relic_hunter.GetSheHe] claims, the holy Shield of Britannia!;;;;;;;;;;;;;x
celtic.2006.desc;Returning from [relic_hunter.GetHerHis] travels, [relic_hunter.GetTitledFirstName] has brought with [relic_hunter.GetHerHim] a small chest, from which [relic_hunter.GetSheHe] pulls a gilded horn with images of flowing ale on it's sides. This is, [relic_hunter.GetSheHe] claims, the Horn of Bran Galed!;;;;;;;;;;;;;x
celtic.2007.desc;Returning from [relic_hunter.GetHerHis] travels, [relic_hunter.GetTitledFirstName] has brought with [relic_hunter.GetHerHim] a small chest, from which [relic_hunter.GetSheHe] pulls an ivory horn engraved with images of mighty warriors locked in battle with a titanic boar. This is, [relic_hunter.GetSheHe] claims, the Tusk of Torc Triath!;;;;;;;;;;;;;x
celtic.2008.desc;Returning from [relic_hunter.GetHerHis] travels, [relic_hunter.GetTitledFirstName] has brought with [relic_hunter.GetHerHim] a small chest, from which [relic_hunter.GetSheHe] pulls a golden torque formed from many gold wires wound together. This is, [relic_hunter.GetSheHe] claims, the Torque of Boudicca, warrior queen of the Iceni!;;;;;;;;;;;;;x
celtic.2009.desc;Returning from [relic_hunter.GetHerHis] travels, [relic_hunter.GetTitledFirstName] has brought with [relic_hunter.GetHerHim] a large object wrapped in leathers, from which [relic_hunter.GetSheHe] pulls a long battle horn ending in the open mouth of a bronze boar. This is, [relic_hunter.GetSheHe] claims, a Carnyx battle horn used by ancient warriors!;;;;;;;;;;;;;x
celtic.2010.desc;Returning from [relic_hunter.GetHerHis] travels, [relic_hunter.GetTitledFirstName] has brought with [relic_hunter.GetHerHim] a small chest, from which [relic_hunter.GetSheHe] pulls an iron helm with strange, large horns. This is, [relic_hunter.GetSheHe] claims, the helm of an ancient celtic warrior prince!;;;;;;;;;;;;;x
celtic.2011.desc;Returning from [relic_hunter.GetHerHis] travels, [relic_hunter.GetTitledFirstName] has brought with [relic_hunter.GetHerHim] a huge chest, from which [relic_hunter.GetSheHe] pulls a bronze tower shield beautifully embossed and decorated with red enamel. This is, [relic_hunter.GetSheHe] claims, a blessed shield that belonged to an ancient druid!;;;;;;;;;;;;;x
hellenic.1000.desc;Returning from [relic_hunter.GetHerHis] travels, [relic_hunter.GetTitledFirstName] has brought with [relic_hunter.GetHerHim] a large chest, from which [relic_hunter.GetSheHe] pulls the skin of a lion with a jet black mane. This is, [relic_hunter.GetSheHe] claims, the skin of the Nimean Lion!;;;;;;;;;;;;;x
hellenic.1001.desc;Returning from [relic_hunter.GetHerHis] travels, [relic_hunter.GetTitledFirstName] has brought with [relic_hunter.GetHerHim] a small chest, from which [relic_hunter.GetSheHe] pulls large, red, uncut gem. This is, [relic_hunter.GetSheHe] claims, the crystalized blood of Kronos, shed in the Titanomachy and known as Kronium!;;;;;;;;;;;;;x
hellenic.1002.desc;Returning from [relic_hunter.GetHerHis] travels, [relic_hunter.GetTitledFirstName] has brought with [relic_hunter.GetHerHim] a small chest, from which [relic_hunter.GetSheHe] pulls a bloody toga. This is, [relic_hunter.GetSheHe] claims, the very robes Caesar wore whe he was assassinated!;;;;;;;;;;;;;x
hellenic.1003.desc;Returning from [relic_hunter.GetHerHis] travels, [relic_hunter.GetTitledFirstName] has brought with [relic_hunter.GetHerHim] a small chest, from which [relic_hunter.GetSheHe] pulls what seems to be an impossibly large eagle's feather. This is, [relic_hunter.GetSheHe] claims, a feather from the titanic eagle Aethon!;;;;;;;;;;;;;x
hellenic.1004.desc;Returning from [relic_hunter.GetHerHis] travels, [relic_hunter.GetTitledFirstName] has brought with [relic_hunter.GetHerHim] a small chest, from which [relic_hunter.GetSheHe] pulls what seems to be a piece of a shattered shield. This is, [relic_hunter.GetSheHe] claims, a fragmet from the shield of Achilles!;;;;;;;;;;;;;x
hellenic.1005.desc;Returning from [relic_hunter.GetHerHis] travels, [relic_hunter.GetTitledFirstName] has brought with [relic_hunter.GetHerHim] a large chest, from which [relic_hunter.GetSheHe] pulls a black and gold breastplate. This is, [relic_hunter.GetSheHe] claims, Hector of Troy's breastplate!;;;;;;;;;;;;;x
hellenic.1006.desc;Returning from [relic_hunter.GetHerHis] travels, [relic_hunter.GetTitledFirstName] has brought with [relic_hunter.GetHerHim] a small chest, from which [relic_hunter.GetSheHe] pulls what seems to be a large, thick recurve bow. This is, [relic_hunter.GetSheHe] claims, the bow of the great hero Odysseus!;;;;;;;;;;;;;x
hellenic.1007.desc;Returning from [relic_hunter.GetHerHis] travels, [relic_hunter.GetTitledFirstName] has brought with [relic_hunter.GetHerHim] a small chest, from which [relic_hunter.GetSheHe] reveals a thin gold mask. This is, [relic_hunter.GetSheHe] claims, the death mask of Agamemnon!;;;;;;;;;;;;;x
hellenic.1008.desc;Returning from [relic_hunter.GetHerHis] travels, [relic_hunter.GetTitledFirstName] has brought with [relic_hunter.GetHerHim] a small chest, from which [relic_hunter.GetSheHe] reveals a silver circlet set with sapphires. This is, [relic_hunter.GetSheHe] claims, the crown of Theseus, founder of Athens!;;;;;;;;;;;;;x
hellenic.1009.desc;Returning from [relic_hunter.GetHerHis] travels, [relic_hunter.GetTitledFirstName] has brought with [relic_hunter.GetHerHim] a reliquary, from which [relic_hunter.GetSheHe] reveals an ancient looking skull. This is, [relic_hunter.GetSheHe] claims, the last known remains of Alexander the Great!;;;;;;;;;;;;;x
hellenic.1010.desc;Returning from [relic_hunter.GetHerHis] travels, [relic_hunter.GetTitledFirstName] has brought with [relic_hunter.GetHerHim] a large chest, from which [relic_hunter.GetSheHe] reveals a set of ancient looking bronze armor. This is, [relic_hunter.GetSheHe] claims, Alexander the Great's armor!;;;;;;;;;;;;;x
hellenic.1011.desc;Returning from [relic_hunter.GetHerHis] travels, [relic_hunter.GetTitledFirstName] has brought with [relic_hunter.GetHerHim] a small chest, from which [relic_hunter.GetSheHe] reveals an amphora of pure gold. This is, [relic_hunter.GetSheHe] claims, a Golden Amphora, blessed by the gods!;;;;;;;;;;;;;x
hellenic.1012.desc;Returning from [relic_hunter.GetHerHis] travels, [relic_hunter.GetTitledFirstName] has brought with [relic_hunter.GetHerHim] a silk bag, from which [relic_hunter.GetSheHe] reveals a huge black claw. This is, [relic_hunter.GetSheHe] claims, a claw from the sphinx that Oedipus defeated in a battle of wits!;;;;;;;;;;;;;x
hellenic.1013.desc;Returning from [relic_hunter.GetHerHis] travels, [relic_hunter.GetTitledFirstName] has brought with [relic_hunter.GetHerHim] a small chest, from which [relic_hunter.GetSheHe] reveals a golden apple. This, [relic_hunter.GetSheHe] claims, was created by the cursed touch of Midas!;;;;;;;;;;;;;x
hellenic.1014.desc;Returning from [relic_hunter.GetHerHis] travels, [relic_hunter.GetTitledFirstName] has brought with [relic_hunter.GetHerHim] a small chest, from which [relic_hunter.GetSheHe] reveals a helm in the style of ancient Corinth. This, [relic_hunter.GetSheHe] claims, once belonged to a great king!;;;;;;;;;;;;;x
hellenic.1015.desc;Returning from [relic_hunter.GetHerHis] travels, [relic_hunter.GetTitledFirstName] has brought with [relic_hunter.GetHerHim] a reliquary, from which [relic_hunter.GetSheHe] reveals a small oblong stone. This is, [relic_hunter.GetSheHe] claims, the petrified tongue of an ancient oracle!;;;;;;;;;;;;;x
hellenic.1016.desc;Returning from [relic_hunter.GetHerHis] travels, [relic_hunter.GetTitledFirstName] has brought with [relic_hunter.GetHerHim] a small chest, from which [relic_hunter.GetSheHe] reveals an amphora of pure silver. This amphora is, [relic_hunter.GetSheHe] claims, blessed by Demeter!;;;;;;;;;;;;;x
