#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
###### Misc events, decisions, modifiers;;;;;;;;;;;;x
###### Georgian Schism;;;;;;;;;;;;x
GEORGIAN.1.title;The Georgian Church;L'Église géorgienne;;;La iglesia Georgiana;;;;;;;x
EVTOPTA40076591;Bah! Fairy Tales...;Ce ne sont que des contes...;;;¡Bah! Cuentos de hadas...;;;;;;;x
EVTOPTB40076591;This is incredible! Tell me more...;C'est incroyable ! Dites-m'en plus...;;;¡Increible! Cuentame más;;;;;;;x
EVTOPTC40076591;Of course that they are real!;Bien sûr qu'elles sont réelles;;;Por supuesto que son reales;;;;;;;x
#EVTOPTAMED.21;A new Empire is Born.;Un nouvel Empire est né.;;;Un nuevo imperio ha nacido;;;;;;;x
EVTNAME9965753001;A Great Decision!;Une grande décision !;;;Una gran decision;;;;;;;x
EVTDESC9965753001;You, have been faced with a tough decision, for missionaries from across the world have come to convert your nation. It will be a tough decision, and will effect your people for years to come.;Vous avez été confronté à une décision difficile, des missionnaires du monde entier sont venus convertir votre nation. Ce sera une décision difficile, et affectera vos gens pendant les années à venir.;;;Usted, se ha enfrentado a una decisión difícil, ya que los misioneros de todo el mundo han venido a convertir a su nación. Será una decisión difícil y afectará a su gente en los próximos años.;;;;;;;x
EVTOPTA9965753001;Islam!;Islam !;;;Islam!;;;;;;;x
EVTOPTB9965753001;Nicene!;Nicéen !;;;¡Niceno!;;;;;;;x
EVTDESCenlilculture.1;Missing localisation;Localisation manquante;;;;;;;;;;x # Ask Enlil
EVTOPTAenlilculture.1;Missing localisation;Localisation manquante;;;;;;;;;;x # Ask Enlil
EVTOPTBenlilculture.1;Missing localisation;Localisation manquante;;;;;;;;;;x # Ask Enlil
###### Great Schism;;;;;;;;;;;;x
EVTNAMEHRE.1;Tensions Rising;Montée de tensions;;;Las tensiones se incrementan;;;;;;;x
EVTDESCHRE.1;With your crowning as Holy Roman Emperor, tensions have reached a climax between the East and West Churches. It seems there is a state of Schism between the two Empires, and respectively, Chalcedonian Christianity has been divided into Catholicism, centered on Rome, and Orthodoxy, centered in Constantinople. This shall show to which Empire loyalties lay.;Avec votre couronnement en tant qu'empereur du Saint-Empire Romain Germanique, les tensions entre l'Est et l'Ouest ont atteint un point culminant. Un schisme entre les deux empires semble inévitable et respectivement, la Chrétienté chalcédonienne, a été partagée entre le catholicisme, centré autour du Pape à Rome, et l'orthodoxie, centrée autour du Patriarche œcuménique de Constantinople. Ceci montrera où les loyautés des empires se situent. ;;;Con su coronación como Sacro Emperador Romano, las tensiones han alcanzado un clímax entre las Iglesias del Este y del Oeste. Parece que hay un estado de Cisma entre los dos Imperios, y, respectivamente, el cristianismo de Calcedonia se ha dividido en el catolicismo, centrado en Roma, y la ortodoxia, centrada en Constantinopla. Esto mostrará a qué lealtad del Imperio se encuentra.;;;;;;;x
EVTOPTAHRE.1;Glory to the Pope!;Gloire au Pape !;;;¡Gloria al papa!;;;;;;;x
EVTDESCHRE.3;With the Crowning of the Holy Roman Emperor, tensions between the East and West Churches have reached a climax. The Ecumenical Patriarch claims that the crowning of a Western Emperor was unlawful, for Odoacer had already given the Crown of the West to the Eastern Emperor Zeno. Now, both church leaders excommunicated each other, leading to a Schism. IT is now up to each ruler to choose their loyalties.;Avec le Couronnement du Saint Empereur Romain, les tensions entre les Églises de l'Orient et d'Occident ont atteint un point culminant. Le patriarche œcuménique affirme que le couronnement d'un empereur d'Occident était illégal, car Odoacre avait déjà donné la Couronne de l'Occident à l'empereur d'Orient Zénon. Maintenant, les deux chefs d'église se sont excommuniés l'un l'autre, ce qui conduit à un Schisme. Il appartient maintenant à chaque souverain de choisir sa loyauté.;;;Con la Coronación del Sacro Emperador Romano, las tensiones entre las Iglesias del Este y del Oeste han llegado a su clímax. El Patriarca Ecuménico afirma que la coronación de un emperador occidental era ilegal, ya que Odoacro ya había otorgado la Corona del Oeste al emperador oriental Zeno. Ahora, ambos líderes de la iglesia se excomulgaron mutuamente, lo que llevó a un cisma. Ahora le corresponde a cada regla elegir sus lealtades.;;;;;;;x
EVTNAMEHRE.3;The Great Schism;Le Grand Schisme;;;El gran cisma;;;;;;;x
#EVTNAMEHRE.3;Tensions in the Church;Tensions dans L'Église;;;Tensiones en la iglesia;;;;;;;x
EVTOPTAHRE.3;I stand with the Patriarchs!;Je suis avec les Patriarches !;;;Yo me quedo con los patriarcas;;;;;;;x
EVTOPTBHRE.3;I stand with Rome!;Je suis avec Rome !;;;Yo me quedo con Roma;;;;;;;x
#EVTOPTCHRE.3;The fools...;Les imbéciles...;;;Estos imbéciles...;;;;;;;x
EVTOPTCHRE.3;My Christians may align with Rome...;Mes chrétiens devraient s'aligner sur Rome;;;Mis cristianos se alinearan con Roma;;;;;;;x
EVTOPTDHRE.3;My Christians may align with Constantinople;Mes chrétiens devraient s'aligner sur Constantinople;;;Mis cristianos se alinearán con Roma;;;;;;;x
EVTDESCHRE.4;Your colleague, the Patriarch of Constantinople, has been a rival and near enemy for many years, but now, his recent acts have gone too far. You have decided to excommunicate the Patriarch, and he has done the same.;Votre collègue, le patriarche de Constantinople, a été un rival et ennemi proche de nombreuses années, mais maintenant, ses actes récents sont allés trop loin. Vous avez décidé d'excommunier le patriarche, et il a fait la même chose.;;;Su colega, el Patriarca de Constantinopla, ha sido un rival y un enemigo cercano durante muchos años, pero ahora, sus actos recientes han ido demasiado lejos. Has decidido excomulgar al Patriarca, y él ha hecho lo mismo.;;;;;;;x
EVTDESCHRE.5;Tensions between the Churches in the east and west have reached a climactic finale, with both the Patriarchs of Rome and Constantinople excommunicating each other, leading to what is now called the Great Schism.;Les tensions entre les Églises d'Orient et d'Occident ont atteint un final culminant, avec les deux Patriarches de Rome et de Constantinople s'excommuniant l'un l'autre, ce qui conduit à ce qu'on appelle aujourd'hui le Grand Schisme.;;;Las tensiones entre las iglesias en el este y el oeste han llegado a un final culminante, con los patriarcas de Roma y Constantinopla excomulgándose mutuamente, lo que lleva a lo que ahora se llama el Gran Cisma.;;;;;;;x
HRE.6.title;Pope;Pape;;;Papa;;;;;;;x
HRE.6.desc;You are now Pope;Vous êtes désormais le Pape;;;Ahora eres el Papa;;;;;;;x
HRE.7.title;Ecumenical Patriarch;Patriarche œcuménique;;;Patriarca Ecuménico;;;;;;;x
HRE.7.desc;You are now Ecumenical Patriarch;Vous êtes désormais le patriarche œcuménique;;;You are now Ecumenical Patriarch;;;;;;;x
###### Misc events;;;;;;;;;;;;x
EVTDESCENLIL.1;Another one of my schemes backfired on me.;Un autre de mes projets retourné contre moi.;;;Otro de mis planes me salió mal;;;;;;;x
EVTOPTAENLIL.1;Back to the drawing board.;Retour à la planche à dessin.;;;Vuelta a la mesa de dibujo.;;;;;;;x
EVTDESCENLIL.2;You are delighted as another one of your courtroom schemes goes off perfectly, truly you have earned your reputation as an elusive shadow in the court.;Vous êtes ravi qu'une autre de vos intrigues de salle d'audience se déroule parfaitement. Vous avez vraiment mérité votre réputation comme une ombre insaisissable dans la cour.;;;Usted está encantado ya que otro de los planes de su corte suena perfectamente, realmente se ha ganado su reputación como una sombra difícil de alcanzar en la corte;;;;;;;x
EVTOPTAENLIL.2;It's a gift.;C'est un cadeau.;;;Es un regalo;;;;;;;x
EVTDESCENLIL.3;You looked like a fool as a diplomat tricked you into that bad deal. Are you really that naive?;Vous aviez l'air d'un imbécile quand un diplomate vous a piégé dans cette mauvaise affaire. Êtes-vous vraiment aussi naïf ?;;;Parecías un tonto cuando un diplomático te engañó para que hicieras ese mal negocio. Eres realmente tan ingenuo?;;;;;;;x
EVTOPTAENLIL.3;I'll do better next time.;Je ferai mieux la prochaine fois.;;;Lo haré mejor la próxima vez.;;;;;;;x
EVTDESCENLIL.4;Everyone left the meeting content, unknowing that it was you who ended up on top at the end. Truly you have earned your reputation as a grey eminence in the court.;Tout le monde quitta la réunion sans savoir que c'est finalement vous qui aviez eu le dessus. Vous avez réellement gagné votre réputation d'éminence grise de la cour.;;;Todos dejaron el contenido de la reunión, sin saber que fuiste tú quien terminó en la cima al final. Verdaderamente te has ganado tu reputación de eminencia gris en la corte.;;;;;;;x
EVTOPTAENLIL.4;Golden Toungue...;Langage en or...;;;Lengua de oro...;;;;;;;x
EVTDESCENLIL.5;Your accounts have been terrible, and it seems you are no longer able to blame the math, you're an indulgent wastrel.;Vos comptes sont horribles, et il semble que vous n'êtes plus capable de blâmer les mathématiques, vous êtes un incroyable gaspilleur.;;;Tus cuentas han sido terribles, y parece que ya no eres capaz de culpar a los matemáticos, eres un derrochador indulgente.;;;;;;;x
EVTOPTAENLIL.5;But my stuff...;Mais mes affaires ...;;;Pero mis cosas...;;;;;;;x
EVTDESCENLIL.6;Your every venture is profitable, and your grand income has started a rumor in the court that you are actually Midas touched.;Votre entreprise est rentable, et votre important revenu est à l'origine une rumeur dans la cour comme quoi vous avez réellement le toucher de Midas.;;;Todas tus empresas son rentables, y tu gran ingreso ha comenzado a correr el rumor de que en realidad estás siendo tocado por Midas.;;;;;;;x
EVTOPTAENLIL.6;I have the Golden Touch!;J'ai un touché d'or !;;;¡Tengo el toque de oro!;;;;;;;x
EVTDESCENLIL.7;You had thought it had been mathematics errors, but it seems that your spouse has been spending large amounts of your treasury on clothing and jewels.;Vous aviez pensé qu'il s'agissait d'erreurs de mathématiques, mais il semble que votre épouse a dépensé de grandes sommes de votre trésor pour des vêtements et des bijoux.;;;Creías que habían sido errores matemáticos, pero parece que tu cónyuge ha gastado grandes cantidades de tu tesoro en ropa y joyas.;;;;;;;x
EVTOPTAENLIL.7;Demand she stop her decadent ways!;Demandez-lui d'arrêter ses manières décadentes !;;;¡Exija que ella pare sus formas decadentes!;;;;;;;x
EVTOPTBENLIL.7;It's not hurting anyone.;Ça ne fait pas mal à personne.;;;No molesta a nadie.;;;;;;;x
EVTDESCENLIL.8;You've been so stressed lately, and today you snapped at your spouse, even though nothing was really wrong.;Vous avez été tellement stressé dernièrement, et aujourd'hui vous avez parlé d'un ton sec sur votre conjoint, même si rien ne posait vraiment de problème.;;;Estuviste muy estresado últimamente, y hoy le gritaste a tu pareja, aunque nada estaba realmente mal.;;;;;;;x
EVTOPTAENLIL.8;No! Wait!;Non ! Attendez !;;;¡No! ¡espera!;;;;;;;x
EVTDESCENLIL.9;You've found that you have little motivation to do anything anymore.;Vous avez constaté que vous avez peu de motivation pour tout faire.;;;Ha encontrado que tiene poca motivación para hacer nada más;;;;;;;x
EVTOPTAENLIL.9;Sigh...;Soupir...;;;Bueno...;;;;;;;x
EVTDESCENLIL.11;You've had another one of your "episodes" today at court. Though everyone looked away, you could tell they were horrified.;Vous avez eu un autre de vos "épisodes" aujourd'hui à la cour. Même si tout le monde détournait les yeux, vous pouviez voir qu'ils étaient horrifiés.;;;Hoy ha tenido otro de sus "episodios" en la corte. Aunque todos miraron hacia otro lado, se notaba que estaban horrorizados.;;;;;;;x
EVTOPTAENLIL.11;I can't help it!;Je ne peux pas m'en empêcher !;;;¡No puedo ayudarlo!;;;;;;;x
EVTDESCENLIL.12;You sneezed on a courtier today, and he made quite a fuss about it.;Vous avez éternué sur un courtisan aujourd'hui, et il a fait beaucoup de bruit à ce sujet.;;;Hoy estornudaste con un cortesano, y él hizo un gran alboroto al respecto.;;;;;;;x
EVTOPTAENLIL.12;Excuse me...;Veuillez accepter mes excuses ...;;;¡Discúlpeme!;;;;;;;x
EVTDESCENLIL.13;You seem to be forgetting the names of your Courtiers, and you even called your chancellor Swarticke Cloppenburg!;Vous semblez oublier les noms de vos courtisans, et vous avez même appelé votre chancelier Swarticke Cloppenburg !;;;Parece que te estás olvidando de los nombres de tus cortesanos, ¡e incluso llamaste a tu canciller, Swarticke Cloppenburg!;;;;;;;x
EVTOPTAENLIL.13;Who are you again?;Qui êtes-vous déjà ?;;;Dime otra vez, ¿quien eres?;;;;;;;x
EVTDESCENLIL.14;After a night of drinking, you start heading down the stairs when you trip.;Après une nuit de boisson, vous commencez à descendre les escaliers lorsque vous voyagez.;;;Después de una noche de bebida, comienzas a bajar las escaleras cuando te tropiezas.;;;;;;;x
EVTOPTAENLIL.14;Ahhhhhhh!;Ahhhhhhh !;;;Ahhhhhhh!;;;;;;;x
EVTDESCENLIL.15;The people look at you in awe, children want to be you when they grow up, you are a Crusader, and have the scars to prove it.;Les gens vous regardent avec effroi, les enfants veulent être comme vous quand ils seront grands, vous êtes un croisé, et avez des cicatrices pour le prouver.;;;La gente te mira con asombro, los niños quieren ser tú cuando crezcan, eres un cruzado y tienes las cicatrices para demostrarlo.;;;;;;;x
EVTOPTAENLIL.15;Deus Vult!;Deus Vult !;;;Deus Vult!;;;;;;;x
EVTDESCENLIL.16;Just because of your birth, people treat you as some sort of lower person. It's not like it was your choice.;Juste à cause de votre naissance, les gens vous traitent comme une sorte de personne inférieure. Ce n'est pas comme si c'était votre choix.;;;Solo por su nacimiento, la gente lo trata como a un tipo de persona inferior. No es como si fuera tu elección.;;;;;;;x
EVTOPTAENLIL.16;Who cares what they think!;Qui se soucie de ce qu'ils pensent !;;;¡A quien le importa lo que ellos piensan!;;;;;;;x
EVTDESCENLIL.17;Your Court Chaplain has been a lot colder to you since your excommunication, it seems this has turned him against you.;Votre chapelain de la cour a été beaucoup plus froid depuis votre excommunication, il semble que cela l'ait retourné contre vous.;;Su capellán de la corte ha sido mucho más frío para usted desde su excomunión, parece que esto lo ha puesto en su contra.;;;;;;;;x
EVTOPTAENLIL.17;Zealous fool...;Un imbécile zélé ...;;;Idiota religioso...;;;;;;;x
EVTDESCENLIL.18;Ever since that nasty incident involving a family member, your court has been quite unforgiving, and the rumors that are spread are quite shocking to say the least.;Depuis cet violent incident impliquant un membre de la famille, votre court a été tout à fait impitoyable, et les rumeurs répandues sont tout simplement choquantes pour ne pas en dire plus.;;;Desde ese desagradable incidente que involucró a un miembro de la familia, su corte ha sido bastante implacable, y los rumores que se propagan son bastante impactantes por decir lo menos.;;;;;;;x
EVTOPTAENLIL.18;It was coming...;C'est arrivé ...;;;Está llegando...;;;;;;;x
EVTDESCENLIL.19;When the visiting dignitaries came to court, they could hardly contain the suppressed laughter.;Quand les dignitaires en visite se présentaient devant la cour, ils pouvaient difficilement contenir le rire réprimé.;;;Cuando los dignatarios visitantes acudieron a la corte, apenas pudieron contener la risa.;;;;;;;x
EVTOPTAENLIL.19;I don't think it is funny!;Je ne pense pas que ce soit drôle !;;;No creo que sea gracioso;;;;;;;x
EVTDESCENLIL.20;Once again your lisp has gotten in the proceedings of the court, after speaking to the assembled group, you weren't sure they understood you.;Une fois de plus, votre zézaiement est passée dans les procédures de la cour, après avoir parlé au groupe assemblé, vous n'étiez pas sûr qu'ils vous aient compris.;;;Una vez más, su ceceo ha llegado a los procedimientos del tribunal, después de hablar con el grupo reunido, no estaba seguro de que lo entendieran.;;;;;;;x
EVTOPTAENLIL.20;Well this is embarrassing...;Hum, ceci est embarrassant...;;;Esto es vergonzoso...;;;;;;;x
EVTDESCENLIL.21;While you were talking to your men, you had a horrible case of stutters.;Alors que vous étiez en train de parler à vos hommes, vous avez eu un horrible cas de bégaiement.;;;Mientras hablabas con tus hombres, tuviste un horrible caso de tartamudez.;;;;;;;x
EVTOPTAENLIL.21;How embarrassing;C'est embarrassant;;;Que embarazoso;;;;;;;x
EVTDESCENLIL.22;You are the most beautiful person in court, and quite desired by the opposite sex. Today, a foreign diplomat complimented your beauty for quite a while until you asked him to stop.;Vous êtes la personne la plus belle de la court et ardument désirée par le sexe opposé. Aujourd'hui, un diplomate étranger a complimenté votre beauté pendant un certain temps jusqu'à ce que vous lui demandiez d'arrêter.;;;Eres la persona más bella en la corte y muy deseada por el sexo opuesto. Hoy, un diplomático extranjero felicitó su belleza por un buen tiempo hasta que le pidió que se detuviera.;;;;;;;x
EVTOPTAENLIL.22;I'm wonderful!;Je suis magnifique !;;;¡Soy genial!;;;;;;;x
EVTDESCENLIL.24;You servants found you passed out drunk in another bar today, and you made quite a scene when taking you back to your chambers.;Vos serviteurs vous ont trouvé ivre dans un autre bar aujourd'hui, et vous avez fait toute une scène en vous rendant dans vos chambres.;;;Ustedes los sirvientes encontraron que se desmayaron en otro bar hoy, y crearon una gran escena cuando los llevaron de regreso a sus habitaciones.;;;;;;;x
EVTOPTAENLIL.24;I don't remember...;Je ne me souviens plus ...;;;No me acuerdo...;;;;;;;x
EVTDESCENLIL.23;A painter has come to your castle, and wishes to paint many pictures of you, claiming your incredible good looks as perfect inspiration.;Un peintre est venu dans votre château et souhaite faire de nombreux tableaux de vous, affirmant que votre incroyable beauté est une inspiration parfaite.;;;Un pintor ha venido a su castillo y desea pintar muchas fotos suyas, afirmando que su aspecto increíble es una inspiración perfecta.;;;;;;;x
EVTOPTAENLIL.23;But of course...;Mais bien sûr ...;;;Por supuesto...;;;;;;;x
EVTOPTBENLIL.23;Pride is a sin.;La fierté est un péché.;;;El orgullo es pecado.;;;;;;;x
EVTDESCENLIL.25;Your court members refuse to look at you, and you can hear their comments behind your back.;Vos courtisans refusent de vous regarder et vous pouvez entendre leurs commentaires derrière votre dos.;;;Los miembros de la corte se niegan a mirarlo, y puede escuchar sus comentarios a sus espaldas.;;;;;;;x
EVTOPTAENLIL.25;How could they!;Comment osent-ils !;;;¡Como puedieron!;;;;;;;x
EVTDESCENLIL.26;You were feasting one night and you needed a servant to lift you up to the table.;Vous faisiez la fête une nuit et vous aviez besoin d'un serviteur pour vous lever de la table.;;;Estabas festejando una noche y necesitabas un sirviente para levantarte a la mesa.;;;;;;;x
EVTOPTAENLIL.26;How embarrassing...;Que c'est gênant ...;;Que embarazoso...;;;;;;;;x
EVTDESCENLIL.27;A child mistook you for another child today, and even though his mother made him apologize, it still hurt.;Un enfant vous a pris pour un autre enfant aujourd'hui, et même si sa mère l'a fait s'excuser, cela fait toujours mal.;;;Un niño lo confundió con otro niño hoy, y aunque su madre lo hizo disculparse, todavía dolía.;;;;;;;x
EVTDESCENLIL.28;Today you solved a variety of mental games with your courtiers, amazing them with your superior intellect.;Aujourd'hui, vous avez résolu une variété de jeux mentaux avec vos courtisans, les amusant avec votre intelligence supérieure.;;;Hoy resolviste una variedad de juegos mentales con tus cortesanos, sorprendiéndolos con tu intelecto superior.;;;;;;;x
EVTOPTAENLIL.28;I'm a pretty smart person!;Je suis une personne assez intelligente !;;;¡Soy una persona muy inteligente!;;;;;;;x
EVTDESCENLIL.29;You have been advising your steward in all manners of work, until he finally yelled at you, and told you to keep your ideas to yourself.;Vous avez conseillé votre intendant sur toutes ses façons de travailler, jusqu'à ce qu'il vous ait crié dessus et vous ait dit de garder pour vous vos idées.;;;Has estado aconsejando a tu mayordomo en todos los modos de trabajo, hasta que finalmente te gritó y te dijo que te guardases tus ideas.;;;;;;;x
EVTOPTAENLIL.29;It's not my fault I'm so smart.;Ce n'est pas de ma faute si je suis si intelligent.;;;No es mi culpa ser tan inteligente.;;;;;;;x
EVTDESCENLIL.30;An ambassador from §Y$ENEMY$§! came offering all kinds of promises of peace, but luckily, thanks to your quick wit, you saw through them all, and threw the man out.;Un ambassadeur de §Y$ENEMY$§! est venu offrir toutes sortes de promesses de paix, mais heureusement, grâce à votre esprit vif, vous avez vu la supercherie et expulsé l'homme.;;;¡Un embajador de §Y$ENEMY$§! llegó ofreciendo todo tipo de promesas de paz, pero afortunadamente, gracias a tu rápido ingenio, lo viste venir todos y echaste hombre.;;;;;;;x
EVTOPTAENLIL.30;And stay out!;Hors de ma vue !;;;!Y quedate fuera!;;;;;;;x
EVTDESCENLIL.31;Your quick wit is the envy of the court, and your subjects always look to you for advice.;Votre esprit vif est envié à la cour, et vos sujets sont toujours à la recherche de vos conseils.;;;Su ingenio rápido es la envidia de la corte, y sus súbditos siempre le piden consejo.;;;;;;;x
EVTOPTAENLIL.31;I'm pretty great.;Je suis génial.;;;Soy genial.;;;;;;;x
enlil.20.desc;The Realm has converted to your culture.;Le royaume s'est converti à votre culture.;;;El reino se ha convertido a tu cultura;;;;;;;x
enlil.20.a;Glad they came around!;Heureux qu'ils soient venus !;;;Me alegro de que lo hicieran,;;;;;;;x
enlil.21.desc;The Realm has converted to your religion.;Le royaume s'est converti à votre religion.;;;El reino se ha convertido a tu religión.;;;;;;;x
enlil.21.a;Praise the Gods!;Prions les Dieux !;;;¡Alabad a los dioses!;;;;;;;x
###### Frankish events;;;;;;;;;;;;x
EVTDESCFRANKS.1;With the death of the Frankish King, the kingdom of the Franks has dissolved.;Avec la mort du roi des Francs, le royaume des Francs a été dissous.;;;Con la muerte del rey franco, el reino de los francos se ha disuelto.;;;;;;;x
EVTOPTAFRANKS.1;Such a Shame...;Quel dommage ...;;;Que pena...;;;;;;;x
EVTDESCFRANKS.2;With the death of, [FromFrom.GetTitledFirstName] the reign of the [FromFrom.GetOnlyDynastyName] family has come an end. You, as the new ruler, have very little legitimacy to the throne, and many believe that the integrity of the throne has been compromised. You can retain the crown and keep the kingdom, but your vassals may claim the throne for themselves.;Avec la mort de [FromFrom.GetTitledFirstName] le règne de la famille [FromFrom.GetOnlyDynastyName] arrive à sa fin. Vous, en tant que nouveau souverain, avez très peu de légitimité sur le trône, et beaucoup pensent que l'intégrité du trône a été compromise. Vous pouvez conserver la couronne et garder le royaume, mais vos vassaux peuvent réclamer le trône pour eux-mêmes.;;;Con la muerte de [FromFrom.GetTitledFirstName], el reino de la familia [FromFrom.GetOnlyDynastyName] ha llegado a su fin. Usted, como nuevo gobernante, tiene muy poca legitimidad para el trono, y muchos creen que la integridad del trono se ha visto comprometida. Puedes retener la corona y conservar el reino, pero tus vasallos pueden reclamar el trono por sí mismos.;;;;;;;x
EVTOPTAFRANKS.2;The Crown is Mine!;La couronne est la mienne !;;;¡La corona es mía!;;;;;;;x
EVTTOOLTIP_FRANKS_2;Hold Fast!;Tenez bon !;;;¡No tan deprisa!;;;;;;;x
EVTOPTBFRANKS.2;I shall stand down...;Je vais renoncer...;;;Yo permaneceré.;;;;;;;x
EVTNAMEFRANKS.3;Interregnum;Interrègne;;;Interregno;;;;;;;x
EVTDESCFRANKS.3;With the end of the old ruling dynasty, the new ruler, [From.GetTitledFirstName], has decided to renounce the Crown, seeing his illegitimacy. Now, all his formal vassals are independent, and you now control your own fate.;Avec la fin de l'ancienne dynastie régnante, le nouveau souverain, [From.GetTitledFirstName], a décidé de renoncer à la Couronne, voyant son illégitimité. Maintenant, tous ses vassaux officiels sont indépendants, et vous contrôlez maintenant votre propre destin.;;;Con el final de la antigua dinastía gobernante, el nuevo gobernante, [From.GetTitledFirstName], ha decidido renunciar a la Corona, viendo su ilegitimidad. Ahora, todos sus vasallos formales son independientes, y tú ahora controlas tu propio destino.;;;;;;;x
EVTOPTAFRANKS.3;An interesting development...;Un développement intéressant...;;;Un avance interesante...;;;;;;;x
EVTNAMEFRANKS.4;Age of Tyranny!;Âge de la tyrannie !;;;¡La edad de los tiranos!;;;;;;;x
EVTDESCFRANKS.4;With the death of the old ruling dynasty, your liege, the tyrant [From.GetTitledFirstName] has tried to claim himself rightful successor. Now, you have as much claim on the kingdom as he does, and this may lead to open war.;Avec la mort de l'ancienne dynastie régnante, votre seigneur, le tyran [From.GetTitledFirstName] a essayé de se réclamer successeur légitime. Maintenant, vous avez autant de revendication sur le royaume que lui, et cela peut conduire à la guerre ouverte.;;;Con la muerte de la antigua dinastía gobernante, su señor, el tirano [From.GetTitledFirstName] ha tratado de reclamarse como sucesor legítimo. Ahora, tienes tanto derecho sobre el reino como él, y esto puede llevar a una guerra abierta.;;;;;;;x
EVTOPTAFRANKS.4;How dare he!;Comment ose-t-il !;;;Como se atreve;;;;;;;x
###### Spanish events;;;;;;;;;;;;x
EVTDESCspanish.1;You have recently established an Inquisition for your realm, in the hopes of seeking our heresy. Your Inquisition may take extreme measures to enforce your faith in the realm.;Vous avez récemment créé une Inquisition pour votre royaume, dans l'espoir de chercher notre hérésie. Votre Inquisition peut prendre des mesures extrêmes pour faire respecter votre foi dans le royaume.;;;Recientemente ha establecido una Inquisición para su reino, con la esperanza de buscar nuestra herejía. Su Inquisición puede tomar medidas extremas para reforzar su fe en el reino.;;;;;;;x
EVTDESCspanish.2;Your liege has recently established an inquisition in the hopes at rooting out Infidels and Heretics. Things can only get worse from here.;Votre suzerain a récemment créé une inquisition dans l'espoir de déraciner les infidèles et les hérétiques. Les choses ne peuvent qu'empirer à partir d'ici.;;;Su señor ha establecido recientemente una inquisición con la esperanza de desarraigar a los infieles y los herejes. Las cosas solo pueden empeorar desde aquí.;;;;;;;x
EVTOPTAspanish.1;Go forth!;Allons de l'avant !;;;¡Adelante!;;;;;;;x
EVTOPTAspanish.2;I've got a bad feeling.;J'ai un mauvais pressentiment.;;;Tengo un mal presentimiento.;;;;;;;x
