#EVENTS;;;;;;;;;;;;;;x
VIETmisc.2016.desc;A new cosmetic popular among the noblewomen is made using the egg yolk of from quail eggs instead of the usual chicken eggs. But quail eggs are a rare luxury much more suited for gourmet food. Are these women truly vain?;Un nouveau cosmétique populaire parmi les femmes nobles est fait en utilisant le jaune d'oeuf des oeufs de caille au lieu des oeufs de poule habituels. Mais les oeufs de caille sont un luxe rare, beaucoup plus adapté à la gastronomie. Ces femmes sont-elles vraiment vaines ?;;;;;;;;;;x
VIETmisc.2016.a;A useless product!;Un produit inutile !;;;;;;;;;;;;x
VIETmisc.2025.desc;Peasants in one of your provinces accused a minor noble of being corrupt, betraying the Dulcinian doctrine of equality and charity. Wishing to "purify" him, they lynched him, torched his house, and killed his entire family, including his innocent young newborn child!;Les paysans d'une de vos provinces ont accusé un noble mineur d'être corrompu, trahissant la doctrine dulcinienne de l'égalité et de la charité. Désireux de le "purifier", ils le lynchèrent, incendièrent sa maison et tuèrent toute sa famille, y compris son jeune enfant innocent !;;;;;;;;;;x
VIETmisc.2025.a;These damn peasants! They take our faith too seriously!;Ces putains de paysans ! Ils prennent notre foi trop au sérieux !;;;;;;;;;;;;x
VIETmisc.2025.b;If a baby were corrupted, I'd "purify" that worthless piece of trash too.;Si un bébé était corrompu, je "purifierais" aussi cette ordure sans valeur.;;;;;;;;;;;;x
VIETmisc.2026.desc;I've been drinking out late at night with two of your favorite servants. As I walk home, the three of you spot an old man on a rickety old cart. My servants, still intoxicated, throw stones at the cart, breaking one of the axles. They laugh and tell me to join in, but feel something's not right. What's an old man like that doing in the middle of the night?;J'ai bu tard le soir avec deux de mes serviteurs préférés. En rentrant chez moi, vous apercevez tous les trois un vieil homme sur un vieux chariot. Mes serviteurs, toujours en état d'ébriété, jetaient des pierres sur la charrette, brisant un des essieux. Ils rient et me disent de participer, mais ils sentent que quelque chose ne va pas. Que fait un vieil homme comme ça au milieu de la nuit ?;;;;;;;;;;x
VIETmisc.2026.a;I'll help the old man fix his cart.;Je vais aider le vieux à réparer son chariot.;;;;;;;;;;;;x
VIETmisc.2026.b;Run away! Who knows what that old bloke is up to!;Fuyez ! Qui sait ce que ce vieil homme mijote !;;;;;;;;;;;;x
VIETmisc.2026.c;Ignore the man and move on.;Ignorez l'homme et passez à autre chose.;;;;;;;;;;;;x
VIETmisc.2027.tooltip;You help the mysterious old man.;Vous aidez le mystérieux vieillard.;;;;;;;;;;x
VIETmisc.2027.desc;This morning my two favorite servants were found dead of natural causes (apparently, you were told). What more, a large patch of my hair somehow turned white. I just know it had to do something with that mysterious old man I met yesterday.... Wait, heaven protect me! I know who that old man was, it was Ankou, the henchman of death!;Ce matin, deux de mes serviteurs préférés ont été retrouvés morts de causes naturelles (apparemment, on vous l'a dit). De plus, une grande mèche de mes cheveux est devenue blanche. Je sais juste que ça a quelque chose à voir avec ce mystérieux vieil homme que j'ai rencontré hier..... Attendez, le ciel me protège ! Je sais qui était ce vieillard, c'était Ankou, le sbire de la mort !;;;;;;;;;;x
VIETmisc.2027.a;No one must know of what happened.;Personne ne doit savoir ce qui s'est passé.;;;;;;;;;;;;x
met_ankou;Met Ankou;Rencontrez Ankou;;;;;;;;;;x
met_ankou_desc;There are rumors that this character met the Breton henchman of death.;Il y a des rumeurs selon lesquelles ce personnage aurait rencontré l'homme de main breton de la mort.;;;;;;;;;;x
VIETmisc.2028.desc;As I am drinking chouchen - Breton cider mixed with honey - with my courtiers, one of them suggests adding some bee venom into it to increase it's intoxicating effects. "I've tried it before, in one of the smaller villages," the courtier claims. "It is an extraordinary experience!";Comme je bois des chouchen - cidre breton mélangé au miel - avec mes courtisans, l'un d'entre eux suggère d'y ajouter du venin d'abeille pour augmenter ses effets intoxicants. "J'ai déjà essayé, dans un des petits villages", affirme le courtisan. "C'est une expérience extraordinaire !";;;;;;;;;;x
VIETmisc.2028.a;Are you insane? This is strong enough for me.;Êtes-vous fou ? C'est assez fort pour moi.;;;;;;;;;;;;x
VIETmisc.2028.b;Yes, I like the sound of that. Let's find some bee venom!;Oui, j'aime bien entendre ça. Trouvons du venin d'abeille !;;;;;;;;;;;;x
VIETmisc.2029.desc;We have some guests from afar coming tonight, and I wish to serve them some of the finest Breton crepes. Should we serve them sweet or savory?;Nous recevons ce soir des invités venus de loin, et j'aimerais leur servir quelques unes des meilleures crêpes bretonnes. Doit-on les servir sucrés ou salés ?;;;;;;;;;;x
VIETmisc.2029.a;Sweet!;Sucré !;;;;;;;;;;;;x
VIETmisc.2029.b;Savory!;Salé !;;;;;;;;;;;;x
VIETmisc.2029.c;"Why not both?" your child says.;"Pourquoi pas les deux ?" dit votre enfant.;;;;;;;;;;;;x
yay_mexican_girl;Your courtiers cheer and lift the girl up in jubilation at her brilliant idea.;Vos courtisans encouragent et soulèvent la jeune fille en jubilation à son idée brillante.;;;;;;;;;;;;x
VIETmisc.2030.desc;I live near the sea, and thus my ears constantly suffer from the loud shouts of the traditional hues - cliff top lookouts who help fishermen. They constantly shout "hevva, hevva!" to alert the fishermen as to where the fish are. We Cornish love our fish, but all this shouting is driving me crazy!";J'habite près de la mer, et donc mes oreilles souffrent constamment des cris bruyants des tonalités traditionnelles - les miradors en haut des falaises qui aident les pêcheurs. Ils crient constamment "hevva, hevva !" pour avertir les pêcheurs de l'endroit où se trouve le poisson. Nous, les Cornouailles adorons nos poissons, mais ces cris me rendent fou !;;;;;;;;;;x
VIETmisc.2030.a;Gah! I can't do much. We need the fishermen if we want fish, after all.;Gah ! Je ne peux pas faire grand-chose. Nous avons besoin des pêcheurs si nous voulons du poisson, après tout.;;;;;;;;;;;;x
VIETmisc.2031.desc;I am about to sail on a short voyage to one of the local seaside towns for some official business. I bring with me some good old Cornish pasties (those delicious succulent meats in pastry dough!) on board the ship, but one of the sailors pleads me not to. "It's bad luck to bring pasties on board! Throw it off deck, that the dead mariners be at peace, my liege!";Je suis sur le point d'embarquer pour un court voyage vers l'une des villes balnéaires locales pour quelques affaires officielles. J'apporte avec moi quelques bonnes vieilles pâtisseries de Cornouailles (ces délicieuses viandes succulentes en pâte à pâtisserie !) à bord du navire, mais un des marins me supplie de ne pas le faire. "Ça porte malheur d'avoir des pâtisseries à bord ! Jetez-le du pont, que les marins morts soient en paix, mon seigneur !";;;;;;;;;;x
VIETmisc.2031.a;Ha ha, no way. I like these delicious pasties too much!;Ha ha ha, pas question. J'aime beaucoup trop ces délicieuses pâtisseries !;;;;;;;;;;;;x
VIETmisc.2031.b;Very well, very well!;Très bien, très bien !;;;;;;;;;;;;x
VIET_believed_superstition;Believed superstition;Superstition crue;;;;;;;;;;;;x
VIET_ignored_superstition;Ignored superstition;Superstition ignoré;;;;;;;;;;;;x
VIETmisc.2032.desc;While visiting one of the local monasteries, I come across the monastery kitchen. There the monks have stocked a lot of rather bland foods - most likely to ensure their temperate lifestyle stays temperate. One of the monks tells me, "We have too much clotted cream, my liege. Perhaps we can gift you some for use in your feasts.";En visitant un des monastères locaux, je croise la cuisine du monastère. Là-bas, les moines y ont stocké beaucoup d'aliments plutôt fades - les plus susceptibles de faire en sorte que leur mode de vie tempéré reste tempéré. Un des moines me dit : "Nous avons trop de crème coagulée, mon seigneur. Peut-être qu'on peut vous en offrir pour vos fêtes.";;;;;;;;;;x
VIETmisc.2032.a;Clotted cream? Something all Cornish appreciate! I’ll take it.;De la crème coagulée ? Quelque chose que tout Cornique apprécie ! Je vais le prendre.;;;;;;;;;;;;x
VIETmisc.2032.b;Give it to the poor and needy instead.;Donnez-le plutôt aux pauvres et aux nécessiteux.;;;;;;;;;;;;x
VIETmisc.2033.desc;A Rowan tree of great magical powers has been discovered in one of the provinces I rule. Experts on the local lore says that the tree appears to have a certain special appearance and properties. For as long as it stands, it will protect the surrounding region.;Un arbre de Rowan aux grandes puissances magiques a été découvert dans l'une des provinces que je dirige. Les experts de la tradition locale disent que l'arbre semble avoir une certaine apparence et des propriétés particulières. Tant qu'il sera en place, il protégera la région environnante.;;;;;;;;;;x
VIETmisc.2033.a;A sign of good fortune.;Un signe de bonne fortune.;;;;;;;;;;;;x
VIET_rowan_tree;Magical Rowan Tree;Arbre magique de Rowan;;;;;;;;;;;;x
VIET_rowan_tree_desc;The local Britons believe that a Rowan tree in this province is full of magical properties.;Les Britanniques locaux croient qu'un arbre de Rowan dans cette province est rempli de propriétés magiques.;;;;;;;;;;;;x
VIETmisc.2034.desc;A small hill-fort was recently discovered near your residence. Old indeed, it appears to have been a fortification built by your Briton ancestors to protect themselves in the turmoil following the fall of the Roman Empire centuries ago.;Une petite forteresse a récemment été découverte près de votre résidence. Ancienne en effet, elle semble avoir été une fortification construite par vos ancêtres Britanniques pour se protéger dans la tourmente qui a suivi la chute de l'empire romain il y a des siècles.;;;;;;;;;;x
VIETmisc.2034.a;What a dark yet heroic age it must have been, the age of Arthur!;Quelle époque sombre mais héroïque, celle d'Arthur !;;;;;;;;;;;;x
inspired_by_heritage;Inspired by Heritage;Inspiré par le patrimoine;;;;;;;;;;;;x
VIETmisc.2035.desc;To be honest, as much as I admire King Arthur (for he is a hero to us Britons), I have to admit the basis of his authority as a powerful feudal lord - the lady of the lake giving him Excalibur - is a bit weak. Strange women lying in ponds distributing swords is no basis for the feudal contract, after all.;Pour être honnête, autant j'admire le roi Arthur (car il est un héros pour nous Britanniques), autant je dois admettre que la base de son autorité en tant que puissant seigneur féodal - la dame du lac qui lui donne Excalibur - est un peu faible. Les femmes étranges couchées dans des étangs distribuant des épées ne sont pas la base du contrat féodal, après tout.;;;;;;;;;;x
VIETmisc.2035.a;But it is his deeds that matter!;Mais ce sont ses actions qui comptent !;;;;;;;;;;;;x
VIETmisc.2035.b;He was given the right to rule by the heavens.;Le ciel lui a donné le droit de régner.;;;;;;;;;;;;x
VIETmisc.2035.c;Who expects to wield power because a watery tart threw a sword at them?;Qui s'attend à avoir du pouvoir parce qu'une gruge dans un lac lui a jeté une épée ?;;;;;;;;;;;;x
#REFERENCES;;;;;;;;;;;;;;x
#VIETmisc.2500.desc;Being a [Root.GetTitle] is dangerous as I have many enemies who want to kill me. Sometimes this makes me worry a lot. Today I even admitted to my beloved [Lover.GetName] that sometimes I fear [Lover.GetSheHe] is plotting my murder. Upon hearing this, [Lover.GetSheHe] responded, "Of course I want to be the one to kill you. If I kill you, I'll be the one closest to your deathbed.";Être [Root.GetTitle] est dangereux car j'ai beaucoup d'ennemis qui veulent me tuer. Parfois, ça m'inquiète beaucoup. Aujourd'hui, j'ai même admis à ma bien-aimée [Lover.GetName] que parfois je crains qu'elle complote mon meurtre. En entendant cela, elle répondit : "Bien sûr que je veux être celui qui vous tuera. Si je voud tue, je serai la plus proche de votre lit de mort.";;;;;;;;;;x
VIETmisc.2500.a;You're so sweet and romantic!;Tu es si gentille et romantique !;;;;;;;;;;;;x
VIETmisc.2500.b;I don't want that kind of twisted love.;Je ne veux pas de ce genre d'amour tordu.;;;;;;;;;;;;x
VIETmisc.2500.c;Ha ha, you always cheer me up.;Ha ha ha, vous me remonterez toujours le moral.;;;;;;;;;;;;x
VIETmisc.2500.d;You really are trying to kill me!;Vous essayez vraiment de me tuer !;;;;;;;;;;;;x
VIETmisc.2501.desc;One of your courtiers is ridiculously lazy despite having the sort of talent men would envy. I keep trying to push this courtier to do something, to contribute to the world, to no avail. When I asked the reason for all this laziness, I got this reply: "If I don't have to do it, I won't. If I have to do it, I'll make it quick. Look, I'm not lazy. I'm just conserving my energy.";L'un de vos courtisans est ridiculement paresseux malgré le genre de talent que les hommes voudraient envier. Je continue d'essayer de pousser ce courtisan à faire quelque chose, à contribuer au monde, en vain. Quand j'ai demandé la raison de toute cette paresse, j'ai eu cette réponse : "Si je n'ai pas à le faire, je ne le ferai pas. Si je dois le faire, je ferai vite. Je ne suis pas paresseux. Je garde juste mon énergie.";;;;;;;;;;x
VIETmisc.2501.a;Conserving energy to do what? Sleep all day?;Conserver de l'énergie pour faire quoi ? Dormir toute la journée ?;;;;;;;;;;;;x
VIETmisc.2501.b;Heh. I like that.;Hé ! J'aime ça.;;;;;;;;;;;;x
VIETmisc.2502.desc;I have in my court a brilliant woman. Yet, when she is asked why and how she knows everything (so it seems), she always meekly replies, "I don't know everything. I just know what I know.";J'ai dans ma cour une femme brillante. Pourtant, lorsqu'on lui demande pourquoi et comment elle sait tout (au moins, d'apparence), elle répond toujours humblement : "Je ne sais pas tout. Je sais juste ce que je sais.";;;;;;;;;;x
VIETmisc.2502.a;Bah, she's trying to pretend she's so "humble.";Bah, elle essaie de faire semblant d'être si "humble".;;;;;;;;;;;;x
VIETmisc.2502.b;I respect such an attitude.;Je respecte une telle attitude.;;;;;;;;;;;;x
VIETmisc.2502.c;She accepts her position as a member of the docile gender.;Elle accepte son poste de membre du sexe docile.;;;;;;;;;;;;x
VIETmisc.2503.desc;People say I am mad? Ha! I am the most powerful ruler alive. I am the great [Root.GetTitle], who can command the greatest armies on earth, who can make love to any and all living things! Today, I will do something satisfying, something worthy of my greatness. Why, I'll eat something... I'll take something stupendous and eat it. Yes, that's it.;Les gens disent que je suis fou ? Ha ! Je suis le chef le plus puissant qui soit. Je suis le grand [Root.GetTitle], qui peut commander les plus grandes armées de la terre, qui peut faire l'amour à tous les êtres vivants ! Aujourd'hui, je vais faire quelque chose de satisfaisant, quelque chose de digne de ma grandeur. Je vais manger quelque chose... Je vais prendre quelque chose de génial et le manger. Oui, c'est tout.;;;;;;;;;;x
VIETmisc.2503.a;I'll take my sister... AND EAT HER.;Je vais prendre ma soeur... ET LA MANGER.;;;;;;;;;;;;x
VIETmisc.2503.b;I'll take this Incan potato... AND EAT IT.;Je vais prendre cette pomme de terre inca... ET LA MANGER.;;;;;;;;;;;;x
VIETmisc.2503.c;I'll take this baklava... AND EAT IT.;Je vais prendre ce baklava... ET LE MANGER.;;;;;;;;;;;;x
VIETmisc.2503.d;I'll take some hummus... AND EAT IT.;Je prendrai du hoummos... ET LE MANGER.;;;;;;;;;;;;x
VIETmisc.2503.e;I'll take those who oppress Jewish subjects... AND EAT THEM.;Je prendrai ceux qui oppriment les juifs... ET LES MANGER.;;;;;;;;;;;;x
VIETmisc.2503.f;I'll take the ugliness of the Italians and Greeks... AND EAT IT AWAY.;Je prendrai la laideur des Italiens et des Grecs... ET LES MANGER LOIN.;;;;;;;;;;;;x
VIETmisc.2503.g;I'll take all the comets in the skies... AND EAT THEM.;Je prendrai toutes les comètes dans le ciel... ET LES MANGER.;;;;;;;;;;;;x
VIETmisc.2503.h;I'll take a sweetroll... AND EAT IT.;Je vais prendre une brioche... ET LA MANGER.;;;;;;;;;;;;x
VIETmisc.2503.i;I'll take [Root.Religion.GetRandomEvilGodName]... AND EAT THEM.;Je vais prendre [Root.Religion.GetRandomEvilGodName]... ET LES MANGER.;;;;;;;;;;;;x
VIETmisc.2503.j;I'll take my enemies... AND EAT THEM.;Je prendrai mes ennemis... ET LES MANGER.;;;;;;;;;;;;x
dn_lunatic_a;Maybe I can brush her teeth too... [Root.Religion.GetRandomGodName] knows what I mean.;Peut-être que je peux aussi lui brosser les dents... [Root.Religion.GetRandomGodName] sait ce que je veux dire.;;;;;;;;;;;;x
dn_lunatic_b;I love these occidental vegetables, especially when they're cut thinly and fried!;J'adore ces légumes occidentaux, surtout quand ils sont coupés finement et frits !;;;;;;;;;;;;x
dn_lunatic_c;Anyone who doesn't like baklava... WILL DIE! MUHAHAHAHAHAHA!;Quiconque n'aime pas le baklava... mourra ! MOUHAHAHAHAHAHAHAHAHAHA !;;;;;;;;;;;;x
dn_lunatic_d;First though I need to find some falafel...;D'abord, je dois trouver un falafel...;;;;;;;;;;;;x
dn_lunatic_e;I will protect my Jewish subjects, for I love their music! It speaks to the soul...;Je protégerai mes sujets juifs, car j'aime leur musique! Il parle dans l'âme...;;;;;;;;;;;;x
dn_lunatic_f;People question why I think all Italians are ugly? It's they who are mad, not me.;Les gens se demandent pourquoi je pense que tous les Italiens sont laids? C'est eux qui sont fous, pas moi.;;;;;;;;;;;;x
dn_lunatic_g;That should make the peasants shut up.;Ça devrait faire taire les paysans.;;;;;;;;;;;;x
dn_lunatic_h;Nobody steals my sweetrolls! NOBODYYYYYYYY!!!!!;Personne ne vole mes coquillages ! PERSONNEEEEEE !!!!!;;;;;;;;;;;;x
dn_lunatic_i;And consequently become divine! Immortal! Invincible! BWAHOHOHOHOHOHO...;Et par conséquent devenir un dieu ! Immortel ! Invincible ! BOUAHOHOHOHOHOHOHOHOHO...;;;;;;;;;;;;x
dn_lunatic_j;It is better to be feared than loved!;Mieux vaut être craint qu'être aimé !;;;;;;;;;;;;x
VIETmisc.2504.desc;Your face is buried in your hands as you sit on your chair. You feel like you almost want to cry, or scream, or something. Life, it is so difficult! Your plans, always gone astray. Your hopes, always dashed. Your dreams, always destroyed. I'm in despair!;Votre visage est caché entre vos mains pendant que vous êtes assis sur votre chaise. Vous avez presque envie de pleurer, de crier ou quelque chose comme ça. La vie, c'est si difficile ! Vos espoirs ont toujours été déçus. Vos rêves, toujours détruits. Je suis désespéré !;;;;;;;;;;x
VIETmisc.2504.a;Having no sister to "comfort me" has left me in despair!;N'ayant pas de sœur pour me "réconforter", je suis désespérée !;;;;;;;;;;;;x
VIETmisc.2504.b;My realm's troubles has left me in despair!;Les problèmes de mon royaume m'ont laissé dans le désespoir !;;;;;;;;;;;;x
VIETmisc.2504.c;The lack of male heirs has left me in despair!;Le manque d'héritiers masculins m'a laissé dans le désespoir !;;;;;;;;;;;;x
VIETmisc.2504.d;My lack of prestige has left me in despair!;Mon manque de prestige m'a désespéré !;;;;;;;;;;;;x
VIETmisc.2504.e;My lack of piety has left me in despair!;Mon manque de piété m' a laissé dans le désespoir !;;;;;;;;;;;;x
VIETmisc.2505.desc;"Nice boat," my lover comments, as we are inspecting one of my family's ships leaving port on a business trip.;"Joli bateau", commente mon amante, alors que nous inspectons un navire de ma famille qui quitte le port en voyage d'affaires.;;;;;;;;;;x
VIETmisc.2505.a;Why, thank you, that's so kind of you.;Merci, c'est très gentil à vous.;;;;;;;;;;;;x
VIETmisc.2505.b;Are you... YOU'RE TRYING TO KILL ME!;Est ce que ... VOUS ESSAYEZ DE ME TUER ?!;;;;;;;;;;;;x
VIETmisc.2506.desc;I am sitting there quietly, eating my meal when someone joins me. Someone who is, to be specific, either unhinged or simply annoying.;Je suis assis là tranquillement, en train de manger mon repas quand quelqu'un se joint à moi. Quelqu'un qui est, pour être précis, soit désagréable, soit tout simplement agaçant.;;;;;;;;;;x
VIETmisc.2506.a;"Hello there, my courtier," I say, trying to be polite.;"Bonjour, mon courtisan", dis-je, en essayant d'être poli.;;;;;;;;;;;;x
VIETmisc.2507.tooltip;Oh heaven save me, they have that atrociously stupid and hideous smile on their face again...;Oh le ciel me sauve, ils ont encore ce sourire atrocement stupide et hideux sur le visage...;;;;;;;;;;x
VIETmisc.2507.desc;xxxxx;xxxxx;;;;;;;;;;x
VIETmisc.2507.a;Xxxxxx;Xxxxxx;;;;;;;;;;;;x
VIETmisc.2508.desc;"Why the heck?";"Mais pourquoi diable?";;;;;;;;;;x
VIETmisc.2508.a;Yes, [From.GetFirstName]?;Oui, [From.GetFirstName] ?;;;;;;;;;;;;x
VIETmisc.2508.b;What do you want, [From.GetFirstName]?;Qu'est ce que vous voulez, [From.GetFirstName] ?;;;;;;;;;;;;x
VIETmisc.2508.c;...;...;;;;;;;;;;;;x
VIETmisc.2508.d;Stop it, [From.GetFirstName].;Arrêtez, [From.GetFirstName].;;;;;;;;;;;;x
VIETmisc.2508.e;STOP IT, [From.GetFirstName]!;ARRÊTEZ, [From.GetFirstName] !;;;;;;;;;;;;x
VIETmisc.2508.f;I'll punch you in the face, you buffoon!;Je vais vous frapper au visage, bouffon !;;;;;;;;;;;;x
VIET_no_angry;I will stay calm. I will stay calm. I will stay calm.;Je vais rester calme. Je vais rester calme. Je vais rester calme.;;;;;;;;;;;;x
VIET_yes_angry;I WILL STAY CALM. I WILL STAY CALM. I WLSTAY CALM.;JE VAIS RESTER CALME. JE VAIS RESTER CALME. JE VAIS RESTER CALME.;;;;;;;;;;;;x
VIETmisc.2509.desc;A moment later, thanks to your well-timed punch, [From.GetFirstName] lies on the floor, half-conscious, muttering something about yellow flying cats.;Un moment plus tard, grâce à votre coup de poing [From.GetFirstName] s'allonge sur le sol, à moitié conscient, en marmonnant quelque chose sur les chats jaunes volants.;;;;;;;;;;x
VIETmisc.2509.a;Goodness gracious, I'm glad I don't have to deal with that madman everyday...;Bonté divine, je suis content de ne pas avoir à m'occuper de ce fou tous les jours...;;;;;;;;;;;;x
