fantasia.0.desc;Lately, everyone has noticed a lovely young maiden who occasionally comes to attend Church services at the church I go to. But what strikes everybody as amazing is her voice - it is beautiful beyond imagination! Why she is here, and who she is, no one knows.;Dernièrement, tout le monde a remarqué une jeune fille charmante qui vient occasionnellement à l'église où je me rends. Mais ce qui frappe tout le monde, c'est sa voix - c'est bien au-delà de l'imagination ! Personne ne sait pourquoi elle est ici et qui elle est.;;;;;;;;;;x
fantasia.0.a;But she doesn't harm anyone, so we accept her presence.;Mais elle ne fait de mal à personne, alors nous acceptons sa présence.;;;;;;;;;;;;x
fantasia.4.desc;The mermaid explains, "You must understand one of the windows to our house is down there, and your stones were causing quite a racket!"\n\n"I... I... I... apologize!" I stutter. "But you... but wait, I thought you and him... we all thought... something happened to both of you?"\n\nShe smiles and says in a sing-song voice, "Worry not about him, he is happy where he is. We are married, and in love now. But... I am rude, to be so brash in the presence of a [Root.GetTitle]. Shall I sing you a song?";La sirène explique : "Vous devez comprendre qu'une des fenêtres de notre maison est en bas et que vos pierres causaient un sacré vacarme !"\n\n"E ... E ... Excusez-moi !" Je bégaie. "Mais vous... mais attendez, je pensais que vous et lui... nous pensions tous qu'il vous était arrivé quelque chose à tous les deux ?"\n\nElle sourit et dit d'une voix chantée : "Ne vous inquiétez pas pour lui, il est heureux là où il est. Nous sommes mariés et amoureux maintenant. Mais... Je suis impoli, d'être si impoli en présence d'un [Root.GetTitle]. Je vous chante une chanson ?";;;;;;;;;;x
fantasia.4.a;Very well...?;D'accord ... ?;;;;;;;;;;;;x
fantasia.4.b;Yes, yes please!;Oui, oui s'il vous plaît !;;;;;;;;;;;;x
fantasia.5.tooltip;I'm starting to feel... sleepy...;Je commence à me sentir ... endormi ...;;;;;;;;;;;;x
fantasia.5.title;Waking Up By The Sea;Se réveiller au bord de la mer;;;;;;;;;;;;x
fantasia.5.desc;My servants woke me. Apparently everyone had been searching for me, and I fell asleep on the beach. "Did you see her, that... that creature?" I asked my servants. They shook their heads, confused.;Mes serviteurs m'ont réveillé. Apparemment, tout le monde me cherchait et je me suis endormi sur la plage. "Vous l'avez vue, cette... cette créature ?" demandais-je à mes serviteurs. Ils ont secoué la tête, confus.;;;;;;;;;;x
fantasia.5.a;Maybe I just fell asleep on the beach and had a strange dream.;Je me suis peut-être endormi sur la plage et j'ai fait un rêve étrange.;;;;;;;;;;;;x
fantasia.6.tooltip;I can sit here all day and listen to her.;Je peux rester assis ici toute la journée et l'écouter.;;;;;;;;;;x
fantasia.6.title;Under the Sea;Sous la mer;;;;;;;;;;;;x
fantasia.6.desc;The mermaid sings, smiling at me as she plays with her hair. She begins to move towards the sea - but how does she without legs? But does it matter? Her voice is lovely beyond reason.\n\nAnd I, too, begin to walk towards the sea. "Sire," she says, briefly interrupting our song, "I have a friend, maybe two or more, who would be delighted to meet you."\n\nShe then continues singing, but I know she expects an answer from me.;La sirène chante, me sourit en jouant avec ses cheveux. Elle commence à se diriger vers la mer - mais comment fait-elle sans jambes ? Mais est-ce important ? Sa voix est charmante au-delà de la raison. Et moi aussi, je commence à marcher vers la mer. "Sire", dit-elle, "interrompant brièvement notre chanson, j'ai un ami, peut-être deux ou plus, qui serait ravi de vous rencontrer." Elle continue à chanter, mais je sais qu'elle attend une réponse de moi.;;;;;;;;;;x
fantasia.6.a;Yes, I will go into the sea with you...;Oui, j'irai à la mer avec vous ...;;;;;;;;;;;;x
VIET_mermaid_death_lol;...and enjoy the sweetest music men's ears have every heard, for all eternity! (You die... or so the official records will say.);... et profitez de la plus douce musique que les oreilles des hommes ont entendue, pour l'éternité ! (Vous mourrez... ou du moins, les registres officiels le diront.);;;;;;;;;;x
fantasia.6.b;No, I cannot, I have my duties to attend to.;Non, je ne peux pas, j'ai des devoirs à remplir.;;;;;;;;;;;;x
fantasia.5.tooltip2;She nods, and continues singing. Now, however, I'm starting to feel very sleepy...;Elle hoche la tête et continue à chanter. Mais maintenant, je commence à me sentir très fatigué ...;;;;;;;;;;;;x
fantasia.7.title;The Mermaid of [Root.GetName];La sirène de [Root.GetName];;;;;;;;;;;;x
fantasia.7.desc;Many years ago, the local ruler of this province was said to have been lured to the sea by mermaids, where he now lives in paradise for all eternity. The mermaid, nevertheless, is said to be a benevolent one, that watches over the locals for the sake of this lord.;Il y a de nombreuses années, le dirigeant local de cette province aurait été attiré par les sirènes, où il vit maintenant au paradis pour l'éternité. La sirène, cependant, est considérée comme bienveillante, qui veille sur les gens du pays pour le bien de ce seigneur.;;;;;;;;;;x
fantasia.7.a;Interesting.;Intéressant.;;;;;;;;;;;;x
merlin_visions_evil;These visions are nothing but evil, I think. My prayers will give me strength to avoid their temptation.;Ces visions ne sont rien d'autre que le mal, je crois. Mes prières me donneront la force d'éviter leur tentation.;;;;;;;;;;x
merlin_visions_evil_pagan;These visions are nothing but evil, I think. My prayers will give me strength to avoid their temptation.;Ces visions ne sont rien d'autre que le mal, je crois. Mes prières me donneront la force d'éviter leur tentation.;;;;;;;;;;x
merlin_visions_cynical;And why would I stupidly go into that forest just because I wanted to? It’s rather dangerous, anyways - not that I’m a coward, of course.;Et pourquoi j'irais bêtement dans cette forêt juste parce que je le voulais ? C'est assez dangereux, de toute façon - pas que je sois un lâche, bien sûr.;;;;;;;;;;x
fantasia.8.desc;Near my residence is some old woodland. They say it’s been there since the beginning of time, and holds many mysteries and secrets. People are afraid to go into it, for fear of offending whatever magic or spirits - good or bad - that dwell there. In my dreams, recently, I keep seeing this woodland, and felt its magic and energy that dwells within it calls to me. ;Près de chez moi, il y a de vieux bois. Ils disent qu'il est là depuis la nuit des temps et qu'il recèle de nombreux mystères et secrets. Les gens ont peur d'y entrer, de peur d'offenser la magie ou les esprits - bons ou mauvais - qui y habitent. Dans mes rêves, récemment, je continue de voir cette forêt, et j'ai senti sa magie et son énergie qui habite en elle m'appelle.;;;;;;;;;;x
fantasia.8.a;There is something powerful in it, something I must find.;Il y a quelque chose de puissant, quelque chose que je dois trouver.;;;;;;;;;;;;x
fantasia.8.b;[Root.Religion.GetRandomEvilGodName] is tempting me. I’ll pray to [Root.Religion.GetRandomGodName] to help me ignore these evil visions.;[Root.Religion.GetRandomEvilGodName] me tente. Je vais prier [Root.Religion.GetRandomGodName] pour m'aider à ignorer ces visions maléfiques.;;;;;;;;;;;;x
fantasia.8.c;I sense dark magic in these visions… I must avoid the woods!;Je sens la magie noire dans ces visions ... Je dois éviter les bois !;;;;;;;;;;;;x
fantasia.8.d;I’m just having silly dreams, they probably don’t mean anything.;Je fais juste des rêves idiots, ça ne veut probablement rien dire.;;;;;;;;;;;;x
fantasia.9.desc;The dreams are still occurring. It’s like something needs me to come into the woods. This is all very strange…;Les rêves se réalisent encore. C'est comme si quelque chose avait besoin que je vienne dans les bois. Tout cela est très étrange ...;;;;;;;;;;x
fantasia.9.a;Maybe there’s a reason behind all this.;Peut-être qu'il y a une raison à tout ça.;;;;;;;;;;;;x
fantasia.9.b;I must pray that my spirit be purged of these evil magics!;Je dois prier pour que mon esprit soit purgé de ces magies maléfiques !;;;;;;;;;;;;x
fantasia.9.c;People delude themselves with silly dreams all the time.;Les gens se leurrent tout le temps avec des rêves idiots.;;;;;;;;;;;;x
merlin_visions_evil_2;BEGONE, EVIL MAGIC! BEGONE! BEGONE!;PARTEZ, MAGIE MALÉFIQUE ! PARTEZ ! PARTEZ !;;;;;;;;;;;;x
merlin_visions_cynical_2;But I won’t be one of them!;Mais je ne serai pas l'un d'eux !;;;;;;;;;;;;x
fantasia.10.tooltip;I must be having these dreams - or visions, perhaps - for some reason, and I want to know why! Maybe the woods want to show me something.;Je dois avoir ces rêves - ou ces visions, peut-être - pour une raison quelconque, et je veux savoir pourquoi ! Peut-être que les bois veulent me montrer quelque chose.;;;;;;;;;;x
fantasia.10.desc;There is something amazing and unexplainable about these woodlands I want to explore. Early in the morning, when everyone is still asleep, I sneak out, into the woods. As day breaks, the sunlight shines through the mighty trees.;Il y a quelque chose d'étonnant et d'inexplicable dans ces forêts que je veux explorer. Tôt le matin, alors que tout le monde dort encore, je me faufile dans les bois. Au lever du jour, la lumière du soleil brille à travers les arbres majestueux.;;;;;;;;;;x
fantasia.10.a;I see a pathway up ahead.;Je vois un sentier droit devant.;;;;;;;;;;;;x
fantasia.11.tooltip;Wonder where it leads...;Je me demande où ça mène ...;;;;;;;;;;x
fantasia.11.desc;As I proceed along the ancient pathway, I come across something - namely, a pile of large rocks, and an old, bearded man awkwardly standing in the middle of them as if he were stuck. "Please, if you are so kind, will you pray on my behalf, for [Root.Religion.GetRandomGodName] to assist me with my trouble?";Alors que je progresse sur l'ancien sentier, je croise quelque chose - à savoir un tas de gros rochers et un vieil homme barbu qui se tient maladroitement au milieu d'eux comme s'il était coincé. "S'il vous plaît, si vous êtes si gentil, prierez en mon nom pour [Root.Religion.GetRandomGodName] pour m'aider avec mes problèmes ?";;;;;;;;;;x
fantasia.11.a;Alright… I suppose I can pray for you…;D'accord ... Je suppose que je peux prier pour vous ...;;;;;;;;;;;;x
fantasia.12.tooltip;I close my eyes for a moment and ask [Root.Religion.GetRandomGodName] to assist this mysterious old man.;Je ferme les yeux un moment et je demande à [Root.Religion.GetRandomGodName] d'aider ce mystérieux vieillard.;;;;;;;;;;x
fantasia.12.title;The Wise Seer;Le sage voyant;;;;;;;;;;;;x
fantasia.12.desc;After I said my prayer, I asked the old man what his problem was. He said he was in love with a beautiful young sorceress, who placed a curse on him. I start to feel pity for this benevolent, wise figure, with his long beard and sagely appearance.\n\nHe smiles, and says, "Anyhow, I am rude as to not introduce myself - know me as the Enchanter. Thank you for freeing me of my chains. I prophesize good things as long as you live and trust in the wisdom of [Root.Religion.GetScriptureName]."\n\nWhile he dramatically makes his way out of the pile of rocks, I suddenly feel extremely sleepy. I almost collapse on a nearby tree as I try to sit down and lean on its side. As my eyes begin to close, I hear the old man saying something of like...;Après avoir dit ma prière, j'ai demandé au vieil homme quel était son problème. Il a dit qu'il était amoureux d'une belle jeune sorcière, qui l'a maudit. Je commence à avoir pitié de cette figure bienveillante et sage, avec sa longue barbe et son apparence sage. Il sourit et dit : "De toute façon, je suis impoli de ne pas me présenter - sachez que je suis l'enchanteur. Merci de m'avoir libéré de mes chaînes. Je prophétise de bonnes choses aussi longtemps que vous vivez et que vous avez confiance en la sagesse de [Root.Religion.GetScriptureName]."\n\nPendant qu'il sort du tas de rochers, je me sens extrêmement fatigué. J'ai failli m'effondrer sur un arbre voisin alors que j'essaie de m'asseoir et de me pencher sur le côté. Alors que mes yeux commencent à se fermer, j'entends le vieil homme dire quelque chose du genre ...;;;;;;;;;;x
fantasia.12.a;"The once and future king has yet to return, but I think it will be soon.";"Le futur roi n'est pas encore revenu, mais je pense que ça sera pour bientôt.";;;;;;;;;;;;x
fantasia.12.b;"You have returned, my once and future king! May heaven grant you fortune.";"Tu es revenu, mon ancien et futur roi ! Que le ciel t'accorde la fortune.";;;;;;;;;;;;x
fantasia.12.c;"The once and future king returned to defend Britain. Good. My work is done.";Le futur roi revint défendre la Bretagne. Bien. Mon travail est terminé.";;;;;;;;;;;;x
where_is_merlin;When I wake up, the old man is nowhere to be found. Oddly, for some reason, I feel like I’ve been imbued with some mysterious power...;Quand je me réveille, le vieux est introuvable. Bizarrement, pour une raison quelconque, j'ai l'impression d'avoir été imprégné d'un mystérieux pouvoir ...;;;;;;;;;;;;x
VIET_mermaid_dummy;Visited by mermaid;A été visité par une sirène;;;;;;;;;;;;x
VIET_mermaid_legend;Legend of the Mermaid;Légende de la sirène;;;;;;;;;;;;x
VIET_mermaid_legend_desc;Local folklore says that a long time ago the ruler of this region was lured to the sea by mermaids where he now lives in paradise for all eternity. The benevolent mermaids, as a gesture of goodwill, are said to now watch over this land for his sake.;Le folklore local dit qu'il y a longtemps, le souverain de cette région a été attiré à la mer par les sirènes où il vit maintenant au paradis pour l'éternité. Les sirènes bienveillantes, en signe de bonne volonté, veillent maintenant sur cette terre pour sa santé.;;;;;;;;;;;;x
VIET_merlins_blessing;A Seer's Blessing;La bénédiction d'un voyant;;;;;;;;;;;;x
VIET_merlins_blessing_desc;This character met and helped a mysterious old man who appears to have been a seer or some sort...;Ce personnage a rencontré et aidé un vieil homme mystérieux qui semble avoir été un voyant ou une sorte de ...;;;;;;;;;;;;x
fantasia.13.desc;xxxxx;xxxxx;;;;;;;;;;x
fantasia.13.a;xxxxx;xxxxx;;;;;;;;;;;;x
fantasia.14.title;xxxxx;xxxxx;;;;;;;;;;;;x
fantasia.14.desc;xxxxx;xxxxx;;;;;;;;;;x
fantasia.14.a;xxxxx;xxxxx;;;;;;;;;;;;x
