#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;;;;;;;;;
#** CELTIC **;;;;;;;;;;;;;;;;;;;;;;;
#** IRISH **;;;;;;;;;;;;;;;;;;;;;;;
emperor_title_queen_mother_female_scottish;Ímpress Baintreach;Ímpress Baintreach;Ímpress Baintreach;;Ímpress Baintreach;;;;;;;;;x;;;;;;;;;
city_emperor_scottish;Ard-Seansailéir;Ard-Seansailéir;Ard-Seansailéir;;Ard-Seansailéir;;;;;;;;;x;;;;;;;;;
city_empire_of_scottish;Confederation of;Confédération de;Konföderation von;;Confederación de;;;;;;;;;x;;;;;;;;;
#** King **;;;;;;;;;;;;;;;;;;;;;;;
city_king_scottish;Chancellor;Chancellier;Kanzler;;Canciller;;;;;;;;;x;;;;;;;;;
city_kingdom_of_scottish;Federation of;Fédération de;Föderation von;;Federación de;;;;;;;;;x;;;;;;;;;
#** Duke **;;;;;;;;;;;;;;;;;;;;;;;
duke_scottish;Mormaer;Mormaer;Mormaer;;Mormaer;;;;;;;;;;;;;;;;;;x
duchy_of_scottish;Mormaerdom of;Mormaerdome de;Mormaertum von;;Mormaerdomo de;;;;;;;;;;;;;;x;;;;
city_duke_scottish;Prince;Prince;Prinz;;Príncipe;;;;;;;;;x;;;;;;;;;
#** Count **;;;;;;;;;;;;;;;;;;;;;;;
count_scottish;Thane;Thane;Thane;;Thane;;;;;;;;;x;;;;;;;;;
count_female_scottish;Lady;Dame;Frau;;Señora;;;;;;;;;x;;;;;;;;;
county_of_scottish;Thanage of;Thanage de;Thanatum von;;Thanago de;;;;;;;;;x;;;;;;;;;
city_count_scottish;Lord Provost;Seigneur Prévôt;Herr Propst;;Señor Preboste;;;;;;;;;;;;;;;;;;
#** Baron **;;;;;;;;;;;;;;´;;;;;;;;;
baron_scottish;Chief;Chef;Häuptling;;Jefe;;;;;;;;;x;;;;;;;;;
baron_female_scottish;Chieftess;Matrone;Oberin;;Jefa;;;;;;;;;x;;;;;;;;;
barony_of_scottish;Castle of;Château de;Schloss von;;Castillo de;;;;;;;;;x;;;;;;;;;
city_baron_scottish;Provost;Prévôt;Propst;;Preboste;;;;;;;;;x;;;;;;;;;
family_palace_baron_scottish;Clan Chief;Chef de Clan;Clanchef;;Jefe del Clan;;;;;;;;;x;;;;;;;;;
family_palace_baron_female_scottish;Lady;Dame;Frau;;Señora;;;;;;;;;x;;;;;;;;;
#** WELSH **;;;;;;;;;;;;;;;;;;;;;;;
emperor_welsh;Pennaeth Draig;Pennaeth Draig;Pennaeth Draig;;Pennaeth Draig;;;;;;;;;x;;;;;;;;;
emperor_female_welsh;Pennaeth Draig;Pennaeth Draig;Pennaeth Draig;;Pennaeth Draig;;;;;;;;;x;;;;;;;;;
emperor_title_ruler_consort_welsh;Brenin;Brenin;Brenin;;Brenin;;;;;;;;;x;;;;;;;;;
emperor_title_ruler_consort_female_welsh;Frenhines;Frenhines;Frenhines;;Frenhines;;;;;;;;;x;;;;;;;;;
emperor_title_queen_mother_female_welsh;Fam Frenhines;Fam Frenhines;Fam Frenhines;;Fam Frenhines;;;;;;;;;x;;;;;;;;;
city_emperor_welsh;Uchel Ganghellor;Uchel Ganghellor;Uchel Ganghellor;;Uchel Ganghellor;;;;;;;;;x;;;;;;;;;
city_empire_of_welsh;Confederation of;Confédération de;Konföderation von;;Confederación de;;;;;;;;;x;;;;;;;;;
#** King **;;;;;;;;;;;;;;;;;;;;;;;
city_king_welsh;Chancellor;Chancellier;Kanzler;;Canciller;;;;;;;;;x;;;;;;;;;
city_kingdom_of_welsh;Federation of;Fédération de;Föderation von;;Federación de;;;;;;;;;x;;;;;;;;;
#** Duke **;;;;;;;;;;;;;;;;;;;;;;;
duke_welsh;Prince;Prince;Prinz;;Príncipe;;;;;;;;;x;;;;;;;;;
duke_female_welsh;Princess;Princesse;Fürstin;;Princesa;;;;;;;;;x;;;;;;;;;
duchy_of_welsh;Principality of;Principauté de;Fürstentum von;;Principado de;;;;;;;;;x;;;;;;;;;
#** Count **;;;;;;;;;;;;;;;;;;;;;;;
count_welsh;Teyrn;Teyrn;Teyrn;;Teyrn;;;;;;;;;x;;;;;;;;;
count_female_welsh;Lady;Dame;Frau;;Señora;;;;;;;;;x;;;;;;;;;
county_of_welsh;Lordship of;Seigneurie de;Lordschaft von;;Señorío de;;;;;;;;;x;;;;;;;;;
#** Baron **;;;;;;;;;;;;;;´;;;;;;;;;
baron_welsh;Lord;Seigneur;Herr;;Señor;;;;;;;;;x;;;;;;;;;
baron_female_welsh;Lady;Dame;Frau;;Señora;;;;;;;;;x;;;;;;;;;
barony_of_welsh;Castle of;Château de;Schloss von;;Castillo de;;;;;;;;;x;;;;;;;;;
family_palace_baron_welsh;Clan Chief;Chef de Clan;Clanchef;;Jefe del Clan;;;;;;;;;x;;;;;;;;;
family_palace_baron_female_welsh;Lady;Dame;Frau;;Señora;;;;;;;;;x;;;;;;;;;
#** BRETON **;;;;;;;;;;;;;;;;;;;;;;;
emperor_breton;Empereur;Empereur;Empereur;;Empereur;;;;;;;;;x;;;;;;;;;
emperor_female_breton;Impératrice;Impératrice;Impératrice;;Impératrice;;;;;;;;;x;;;;;;;;;
emperor_title_queen_mother_female_breton;Impératrice Douairière;Impératrice Douairière;Impératrice Douairière;;Impératrice Douairière;;;;;;;;;x;;;;;;;;;
city_emperor_breton;Consul;Consul;Consul;;Consul;;;;;;;;;x;;;;;;;;;
city_empire_of_breton;Senate of;Sénat de;Senat von;;Senado de;;;;;;;;;x;;;;;;;;;
#** King **;;;;;;;;;;;;;;;;;;;;;;;
city_king_breton;Tribune;Tribun;Volkstribun;;Tribuno;;;;;;;;;x;;;;;;;;;
city_kingdom_of_breton;Grand Republic of;Grande République de;Großen Republik;;Gran República de;;;;;;;;;x;;;;;;;;;
k_vasconic;Zai Gorena;;;;;;;;;;;;;;;;;;;;;;
