#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
BM_LITTLE_AUGUSTUS;Little Augustus;Petit Auguste;Kleiner Augustus;;El pequeño Augustulo;;;;;;;;x
BM_LITTLE_AUGUSTUS_ERA;Little Augustus;Petit Auguste;Kleiner Augustus;;El pequeño Augusto;;;;;;;x
BM_FRANKISH_STEEL_DESC;The legendary Frankish King Clovis has managed to unite the Franks, and destroy the Roman Regem of Soissons. Now, the mighty King is prepared to launch new invasions, and forge a new Western Empire. Meanwhile, the Eastern Roman Empire is facing the rebellion of the usurper Leontius, a former general.;Le roi légendaire des Francs Clovis a réussi à unifier les Francs, et détruire le royaume romain de Soissons. Maintenant, le puissant roi est préparé pour lancer des nouvelles invasions, et créer un nouvel empire d'Occident. Pendant ce temps, l'empire romain d'Orient doit faire face à la révolte de l'usurpateur Leontius, un ancien général.;;;El legendario rey franco Clovis ha logrado unir a los francos, y destruir el Regem romano de Soissons. Ahora, el poderoso Rey está preparado para lanzar nuevas invasiones y forjar un nuevo Imperio Occidental.;;;;;;;x
BM_FRANKISH_STEEL_ERA_INFO;The legendary Frankish King Clovis has managed to unite the Franks, and destroy the Roman Regem of Soissons. Now, the mighty King is prepared to launch new invasions, and forge a new Western Empire. Meanwhile, the Eastern Roman Empire is facing the rebellion of the usurper Leontius, a former general.;Le roi légendaire des Francs Clovis a réussi à unifier les Francs, et détruire le royaume romain de Soissons. Maintenant, le puissant roi est préparé pour lancer des nouvelles invasions, et créer un nouvel empire d'Occident. Pendant ce temps, l'empire romain d'Orient doit faire face à la révolte de l'usurpateur Leontius, un ancien général.;;;El legendario rey franco Clovis ha logrado unir a los francos, y destruir el Regem romano de Soissons. Ahora, el poderoso Rey está preparado para lanzar nuevas invasiones y forjar un nuevo Imperio Occidental.;;;;;;;x;;;;;;;x
BM_FALLEN_GIANT;Fallen Giant;La Mort de Clovis;;;La muerte de Clodoveo;;;;;;;x
BM_FALLEN_GIANT_DESC;With the death of Clovis, the Franks are once again divided. The sons of Clovis have inherited parts kingdoms according to the tradition. Will one of them be able to reunite them all and secure Clovis' legacy?;Avec la mort de Clovis, les Francs sont encore une fois divisés. Les fils de Clovis ont hérité des parties du royaume selon la tradition. Un d'entre eux va-t-il pouvoir tous les réunir et obtenir l'héritage de Clovis ?;;;Con la muerte de Clodoveo, los francos están de nuevo divididos. Los hijos de Clodoveo han heredadopartes del reino como marca la tradición. ¿Será uno de ellos capaz de reunirlos todos y asegurar el legado de Clodoveo?;;;;;;;x
BM_GOTHIC_WARS;The Gothic Wars;La Guerre des Goths;;;Las guerras Góticas;;;;;;;x
BM_GOTHIC_WARS_ERA;The Gothic Wars;La Guerre des Goths;;;Las guerras Góticas;;;;;;;x
BM_GOTHIC_WARS_DESC;Under the lead of the emperor Justinian, the Eastern Roman Empire is expanding and reconquering lost territories. He is ambitioning to revive the empire's greatness and recover the territories of the defunct Western Roman Empire. But with many ambitious generals and mighty enemies, the reborn empire still has many challenges to face. ;Sous la direction de l'empereur Justinien, l'Empire Romain d'Orient s'étend et reconquiert des territoires perdus. Il ambitionne de restaurer la grandeur de l'empire et récupérer les territoires de l'Empire Romain d'Occident disparu. Mais avec de nombreux généraux ambitieux et des puissants ennemis, l'Empire ressuscité doit toujours faire face à de nombreux défis. ;;;Bajo el liderazgo del emperador Justiniano, Bizancio se está expandiendo y reconquistando territorios perdidos. Él ambiciona revivir la grandeza del imperio y recuperar los territorios del difunto Imperio Romano Occidental. Pero con muchos generales ambiciosos y poderosos enemigos, el imperio renacido todavía tiene muchos retos a enfrentar.;;;;;;;x
BM_GOTHIC_WARS_ERA_INFO;Under the lead of the emperor Justinian, the Eastern Roman Empire is expanding and reconquering lost territories. He is ambitioning to revive the empire's greatness and recover the territories of the defunct Western Roman Empire. But with many ambitious generals and mighty enemies, the reborn empire still has many challenges to face. ;Sous la direction de l'empereur Justinien, l'Empire Romain d'Orient s'étend et reconquiert des territoires perdus. Il ambitionne de restaurer la grandeur de l'empire et récupérer les territoires de l'Empire Romain d'Occident disparu. Mais avec de nombreux généraux ambitieux et des puissants ennemis, l'Empire ressuscité doit toujours faire face à de nombreux défis. ;;;Bajo el liderazgo del emperador Justiniano, Bizancio se está expandiendo y reconquistando territorios perdidos. Él ambiciona revivir la grandeza del imperio y recuperar los territorios del difunto Imperio Romano Occidental. Pero con muchos generales ambiciosos y poderosos enemigos, el imperio renacido todavía tiene muchos retos a enfrentar.;;;;;;;x
BM_RULE_OF_DUKES;Rule of Dukes;Le Règne des Ducs;;;Mandato de los duques;;;;;;;x
BM_RULE_OF_DUKES_ERA;Rule of Dukes;Le Règne des Ducs;;;Mandato de los duques;;;;;;;x
BM_RULE_OF_DUKES_DESC;In Italy, the Lombard dukes are incapable of organizing themselves after the death of their king, causing an interregnum and instability.;En Italie, les ducs Lombards n'arrivent pas à s'organiser après la mort de leur roi, ce qui cause un interrègne et de l'instabilité. ;;;En Italia, los duques lombardos son incapaces de organizarse después de la muerte de su rey, causando interregnos e inestabilidad.;;;;;;;x
BM_RULE_OF_DUKES_ERA_INFO;In Italy, the Lombard dukes are incapable of organizing themselves after the death of their king, causing an interregnum and instability.;En Italie, les ducs Lombards n'arrivent pas à s'organiser après la mort de leur roi, ce qui cause un interrègne et de l'instabilité. ;;;En Italia, los duques lombardos son incapaces de organizarse después de la muerte de su rey, causando interregnos e inestabilidad.;;;;;;;x
##### Era window;;;;;;;;;;;;x
ERA_CHAR_NAME_70515;Zeno Tarasis;Zénon Tarasis;;;Zenón Tarasis;;;;;;;x
ERA_CHAR_INFO_70515;Zeno Tarasis would reign as the Emperor of the Eastern Roman empire during a period filled of religious turmoil and unrest. After losing the title of emperor, he initiates a war to regain his lost empire against the Miaphysite Emperor Basiluskos. Although, even with victory here, harsher threats must still be faced. Hordes of Germanic barbarians roam the empire, causing unrest and chaos, while Persia merely waits for their next chance to finish Byzantium. Will the East fall, just the same as the West?;Zénon Tarasis régna en tant qu'empereur de l'Empire Romain d'Orient pendant une période pleine de troubles religieux et agitation. Après avoir perdu le titre d'empereur, il débute en 476 en guerre pour conquérir l'Empire Romain d'Orient, contre l'empereur miaphysite Basiluskos, avec un important avantage de troupes. Une fois que vous avez remporté la guerre initiale, allez-vous pouvoir défendre l'Empire Romain d'Orient face aux hordes de barbares ? Ou est-ce que la tourmente religieuse et les envahisseurs Germaniques à vos frontières vont vous condamner au même destin que l'Empire Romain d'Occident ?;;;Zenón Tarasis reinaría como el emperador del imperio romano del este durante un período llenado de la agitación religiosa y de la inquietud. Después de perder el título de emperador, inicia una guerra para recuperar su imperio perdido contra el emperador Miafisita Basilisco. Aunque, incluso con la victoria aquí, las amenazas más duras todavía deben ser enfrentadas. Hordas de bárbaros germánicos vagan por el imperio, causando disturbios y caos, mientras Persia simplemente espera su próxima oportunidad para terminar con Bizancio. ¿Caerá el Este, igual que el Oeste?;;;;;;;x
ERA_CHAR_NAME_96054;Romulus Augustus;Romulus Augustus;;;Romulo Augustulo;;;;;;;x
ERA_CHAR_INFO_96054;Proclaimed as emperor by his father, Romulus Augustus was little more than a child. He had usurped the Western Roman Empire, which had been crippled by centuries of strife and decline. However, with the barbarian Odoacer threatening his already uneasy and short reign, what fate lies for the young emperor?;Historiquement, Romulus Augustus allait être le dernier empereur de l'Empire Romain d'Occident, un empire qui fut envahi et tomba après les attaques du puissant Skire Odoacre. Pouvez-vous changer le cours de l'histoire et survivre ce qui inévitablement semble de mener à la chute de l'Empire Romain d'Occident ?;;;Proclamado como emperador por su padre, Romuluo Augustulo era poco más que un niño. Había usurpado al Imperio Romano de Occidente, que había sido paralizado por siglos de luchas y declive. Sin embargo, con el bárbaro Odoacro amenazando su reinado ya incómodo y corto, ¿qué suerte le depara al joven emperador?;;;;;;;x
ERA_CHAR_NAME_55;Odoacer;Odoacre;;;Odoacro;;;;;;;x
ERA_CHAR_INFO_55;The mighty Odoacer was a citizen and general of Rome, and member of a Germanic foederati. Following a period of rebellion and usurpation, Odoacer led the Germanic foederati stationed in Italy against Romulus Augustus, displacing the boy emperor and founding the Kingdom of Italy. Thoroughly an integrated Roman citizen, his efforts were met with praise and reward from Zeno, the Emperor-in-the-East, as he was allowed to govern Italy as an independent Roman province. However, left without the support of the Eastern Roman Empire, Odoacer must meet the threats that for so long had destabilized the Western Roman Empire.;Le puissant Odoacre, déposeur d'empereurs, ex-Magister Militum de l'empire, était un soldat qui devint le roi d'Italie. En 476, il s'était auparavant prouvé compatissant vis-à-vis des lois et traditions Romaines, et la vie en Italie fleurit encore, mais cela allait changer. Allez-vous pouvoir détruire Rome une bonne fois pour toutes ? L'empereur à l'est, Zénon, pourrait finir par vous désapprouver, et les Ostrogoths à l'est ambitionnent de vous renverser de votre pouvoir légitime. Vous avez défié un Empire Romain et êtes en train de le détruire, mais allez-vous pouvoir le faire durer ?;;;El poderoso Odoacro era un ciudadano y general de Roma, y miembro de un grupo de foederati germano. Después de un período de rebelión y de usurpación, Odoacro condujo a los foederati germanos estacionados en Italia contra Romulo Augustulo, desplazando al muchacho emperador del trono y fundando el reino de Italia. Completamente un ciudadano romano integrado, sus esfuerzos fueron recibidos con alabanza y recompensa por parte de Zenón, el emperador en el Este, ya que se le permitió gobernar Italia como una provincia romana independiente. Sin embargo, sin el apoyo del Imperio Romano de Oriente, Odoacro debe enfrentarse a las amenazas que durante tanto tiempo habían desestabilizado el Imperio Romano de Occidente.;;;;;;;x
ERA_CHAR_NAME_63;Theodoric;Théodoric;;;Teodórico;;;;;;;x
ERA_CHAR_INFO_63;Theodoric, raised a hostage of the Eastern Roman Empire, was raised a Roman and received a complete education. In 473, he would become the leader of the Ostrogoths of Pannonia, and less than ten years later, unite the Ostrogoths under his rule. However, his greatest achievement would be to overthrow Odoacer and establish an Ostrogothic Kingdom across the entire Italian Peninsula. Vying for a return to greatness, like that under the ancient Roman Empire, would his dreams come to fruition?;Théodoric, élevé comme hôte de l'empire romain d'Orient, et reçut une éducation complète romaine. En 473, il devint le chef des Ostrogoths de Pannonie, et en moins de dix ans, il allait unifier tous les Ostrogoths sous sa direction. Cependant, son plus grand succès allait cependant être de renverser Odoacre, roi d'Italie, et d'établir un royaume ostrogoth à travers la péninsule. Luttant pour un retour vers la gloire comme sous l'empire romain ancien, ses rêves allaient-ils se réaliser ?;;;Teodorico, un rehén del Imperio Romano de Oriente,recibió una educación romanizada completa. En 473, se convertiría en el líder de los ostrogodos de Pannonia, y menos de diez años después, uniría a los ostrogodos bajo su gobierno. Sin embargo, su mayor logro sería derrocar a Odoacro y establecer un Reino Ostrogodo a través de toda la península italiana. Como terminará esta historia?;;;;;;;x
ERA_CHAR_NAME_175110;Julius Nepos;Julius Nepos;;;Julio Nepote;;;;;;;x
ERA_CHAR_INFO_175110;Julius Nepos, seen by some as the last legitimate Western Roman Emperor, was its de facto ruler following the ascension of Romulus Augustus, and then the barbarian Odoacer. In control of a mere fragment of his empire, a small holdout in Dalmatia, Julius gears up for a massive invasion to reclaim his rightful land - starting with the Italian Peninsula. Will the true claimant succeed?;Julius Nepos est par certains historiens considéré comme le dernier empereur légitime de l'Empire Romain d'Occident, dont il était l'empereur de facto entre 474 et 475. En 476, cet empire, avec lui Romulus Augustus, qui fut placé sur le trône après la fuite et déposition de Nepos, a chuté. Depuis cet événement, Odoacre règne sur l'Italie. Pendant ce temps, vous contrôlez toujours la Dalmatie, et prévoyez en ce moment une invasion pour reconquérir l'Italie. Va-t-elle réussir ?;;;Julio Nepote, considerado por algunos como el último legítimo emperador romano occidental , fue su gobernante de facto después de la ascensión de Romulus Augustus, y del bárbaro Odoacro. En control de un mero fragmento de su imperio, un pequeño territorio en Dalmacia, Juliuo se prepara para una invasión masiva para recuperar su tierra legítima - a partir de la península italiana. ¿El verdadero reclamante tendrá éxito?;;;;;;;x
ERA_CHAR_NAME_39;Childeric;Childéric;;;Childérico;;;;;;;x
ERA_CHAR_INFO_39;Childeric ruled over the Salian Franks from 457 and onwards. While known best individually for his valor as he fought alongside Soissons in order to drive back the Visigoths, he is more commonly remembered as the father of Clovis, a promising young man with a bright and gleaming future…;Childéric fut roi des Francs Saliens à partir de 457. Il a combattu avec Soissons pour repousser les Wisigoths. Fils de Mérovée, le roi qui a donné son nom à la dynastie Mérovingienne, il est le père de Clovis, un jeune homme prometteur... ;;;Childérico gobernó sobre los francos Salios a partir de 457 y adelante. Si bien es conocido mejor por su valor, mientras luchaba junto a Siagrio con el fin de expulsar a los visigodos, es más comúnmente recordado como el padre de Clodoveo, un prometedor joven con un brillante futuro ...;;;;;;;x
ERA_CHAR_NAME_30;Aiwareiks;Aiwareiks;;;Eurico;;;;;;;x
ERA_CHAR_INFO_30;Aiwareiks, or Euric, became king of the Visigoths in 466, and was the first of them to rule over a unified nation. By exploiting the weakness of the Western Roman Empire and driving back the Suebi, he managed to significantly expand and stabilize the Visigothic realm, eventually conquering the majority of their territory before Rome actually crumbled. With their independence more than assured, he spread Arian Christianity across the Iberian Peninsula, and codified the traditional laws of his people. Will his dream of a Visigothic Empire, too, disappear?;Aiwareiks, ou Euric, devint le roi des Wisigoths en 466, et fut le premier d'entre eux à régner sur un royaume unifié, ce qu'il a réussi en vainquant les autres concurrents. En exploitant la faiblesse de l'Empire Romain d'Orient et repoussant les Suèbes, il réussit à considérablement étendre et stabiliser le royaume Wisigoth et s'affranchir de Rome. En outre, il codifia aussi les lois traditionnelles et fut un fervent arien. Peu de temps après sa mort, les Francs réussirent à défaire les Wisigoths et les repousser. En tant que le joueur, pouvez-vous continuer à gérer les Wisigoths et consolider votre pouvoir ?;;;Aiwareiks, o Eurico, se convirtió en rey de los visigodos en 466, y fue el primero de ellos en gobernar una nación unificada. Al explotar la debilidad del Imperio Romano de Occidente y conducir a los Suevos, logró expandir y estabilizar significativamente el reino visigodo, conquistando finalmente la mayoría de su territorio antes de que Roma se desmoronara. Con su independencia más que segura, difundió el cristianismo ariano a través de la Península Ibérica, y codificó las leyes tradicionales de su pueblo. ¿Su sueño de un imperio visigodo, también, desaparecerá?;;;;;;;x
ERA_CHAR_NAME_19;Syagrius;Syagrius;;;Siagrio;;;;;;;x
ERA_CHAR_INFO_19;One of the last governors of an independent Roman province, Syagrius controlled Northern Gallia. He saw the collapse of Rome as an opportunity to restore the Empire - particularly, under his own rule. Initially attempting to garner support for his claim in the East, Zeno's decision to let barbarians govern Italy led Syagrius to shun the East until the end of his reign, a reign that could be terminated prematurely by the aggressive Salian Franks on his borders. Will this Roman state, too, be overwhelmed?;Dernier des gouverneurs, Syagrius chercha à utiliser l'opportunité qu'était l'effondrement de Rome pour restaurer l'empire, sous son contrôle. Alors qu'il essaya dans un premier temps d'engranger des faveurs à l'est, la décision de Zénon de donner la couronne occidentale à des barbares en Italie mena Syagrius à fuir l'est à jamais, un court à jamais étant donné la conquête de Soissons par les Francs. Pouvez-vous donner tort à Zénon, repousser les Francs et prendre ce qui est légitime à vous ?;;;Uno de los últimos gobernadores de una provincia romana independiente, Siagrio controló el norte de la Galia. Él vio el colapso de Roma como una oportunidad para restaurar el Imperio - en particular, bajo su propio gobierno. Al intentar inicialmente obtener apoyo para su reclamación en el Este, la decisión de Zenón de dejar que los bárbaros gobernaran Italia llevó a Siagrio a huir del Este hasta el final de su reinado, un reinado que podría ser terminado prematuramente por los agresivos francos salios en sus fronteras. Este estado romano, también, será eliminado?;;;;;;;x
ERA_CHAR_NAME_69;Ernakh;Ernakh;;;Ernakh;;;;;;;x
ERA_CHAR_INFO_69;Ernakh the Hun was the third son of Attila, and last ruler of the Huns. According to Priscus, he was also the favourite of his father and received a better treatment than his brothers. While times are changing and the balance of powers is different from when Attila was in charge, if you can exploit other realm's weakness, the Hunnic Empire could see a revival. Will the final Hun usher in the second coming of the Scourge?;Ernakh le Hun était le troisième fils d'Attila, et le dernier dirigeant des Huns. D'après Priscus, il était aussi le fils préféré de son père et a reçu un meilleur traitement que ses frères. Alors que les temps changent et que l'équilibre des pouvoirs et différent de quand Attila était responsable, si vous pouvez exploiter la faiblesse des autres royaumes, l'Empire Hunnique peut être reconstitué, aussi glorieux qu'avant ?;;;Ernakh el Huno era el tercer hijo de Atila, y último gobernante de los hunos. Según Prisco, él era también el favorito de su padre y recibió un tratamiento mejor que sus hermanos. Mientras que los tiempos están cambiando y el equilibrio de poderes es diferente de cuando Attila estaba a cargo, si se explotase la debilidad de otros reinos, el imperio húno podría ver un renacimiento. ¿El ultimo rey huno será capaz de resturar la gloria de antaño?;;;;;;;x
ERA_CHAR_NAME_213;Vakhtang;Vakhtang;;;Vakhtang;;;;;;;x
ERA_CHAR_INFO_213;Vakhtang's reign as the king of Iberia is considered as the entry of Georgia into the Middle Ages. From around 447, he made some interesting political choices by allying himself with the Eastern Roman Empire in their struggle against the Sassanids. Other known accomplishments from his rule are the establishment of the Georgian Church, for which he would later be canonized as 'The Holy and Right-Believing King Vakhtang.';Le règne de Vakhtang en tant que roi d'Ibérie est considéré comme l'entrée de la Géorgie dans la période médiévale. À partir des alentours de 447, il fit quelques choix politiques intéressants en concluant une alliance avec l'Empire Romain d'Orient et luttant contre les Sassanides. D'autres réussites connues de son règne sont l'établissement de l'église Géorgienne, dont il est aujourd'hui l'un des saints, et l'établissement de la ville de Tbilissi.;;;El reinado de Vakhtang como rey de Iberia es considerado como la entrada de Georgia en la Edad Media. A partir de alrededor 447, él hizo algunos cambios de políticas interesantes alineándose con el imperio romano del este en su lucha contra los Sasánidas. Otros logros conocidos de su gobierno son el establecimiento de la Iglesia georgiana, por lo que más tarde sería canonizado como "El Santo y justo creyente Rey Vakhtang".;;;;;;;x
ERA_CHAR_NAME_40;Clovis;Clovis;;;Clodoveo;;;;;;;x
ERA_CHAR_INFO_40;Clovis became king of the Salian Franks, succeeding his father, Childeric, in 481. With his victory against Syagrius of Soissons, the Franks saw significant expansion, later unite the numerous Frankish tribes into a single, unified realm. During this time, he decided to convert from Germanic Paganism to Nicene Christianity, a move which would sow the seed for resistance against the Arian Christians gaining strength in Iberian Peninsula. Clovis is considered to be the first important Merovingian, and a key figure in Western European history. With Clovis, his traditions, his faith, and his culture would one day come to dominate Western Europe for a millennium.;Clovis devint roi des Francs Saliens, succédant à son père Childéric, en 481. Avec sa victoire contre Syagrius à Soissons, les Francs s'étendirent considérablement. Ensuite, il décida de se convertir de ses croyances germaniques vers le christianisme nicéen, donnant l'avantage et puissance nécessaire pour que cette religion puisse survivre et même s'étendre contre les ariens, malgré la chute de son protecteur à l'ouest, l'Empire Romain d'Occident. En 509, Clovis devint roi de tous les Francs, après avoir unifié les tribus divisées en une seule entité unifiée. Clovis est considéré comme le premier Mérovingien important et un personnage-clé dans l'histoire Franque et l'Europe de l'Ouest. Avec lui, sa dynastie, et avec elle les Francs, ainsi que le courant nicéen, devint des facteurs importants et durables en Europe.;;;Clodoveo se convirtió en rey de los francos salios, sucediendo a su padre, Childerico, en 481. Con su victoria contra Siagrio de Soissons, los francos se expandieron significativamente, más tarde unió a las numerosas tribus francas en un solo reino unificado. Durante este tiempo, decidió convertirse del paganismo germánico al cristianismo niceno, un movimiento que sembraría la semilla para la resistencia contra los cristianos arianos ganando fuerza en la Península Ibérica. Clovis es considerado el primer Merovingio importante, y una figura clave en la historia de Europa Occidental. Con Clovis, sus tradiciones, su fe y su cultura un día llegarían a dominar Europa occidental durante un milenio.;;;;;;;x
ERA_CHAR_NAME_70512;Justinian;Justinien;;;Justiniano;;;;;;;x
ERA_CHAR_INFO_70512;During his reign, Justinian has been seeking to revive the empire's greatness and reconquer the lost western half of the historical Roman Empire. One of his generals, Belisarius, swiftly conquered the Vandal kingdom in North Africa where others had failed. His reign also marked a blossoming of Eastern Roman culture, and his building program yielded such masterpieces as the church of Hagia Sophia.;Pendant son règne, Justinien ambitionne de restaurer la grandeur de l'empire et reconquérir l'ancienne partie occidentale de l'empire romain. L'un de ses généraux, Bélisaire, a réussi rapidement reconquérir le royaume vandale en Afrique du Nord là où d'autres l'avaient raté. Son règne a aussi été marqué par un épanouissement de la culture de l'Empire romain d'Orient, et son programme de bâtiments a produit des chef-d'œuvres d'architecture, comme la basilique Sainte-Sophie.;;;Durante su reinado, Justiniano trató de revivir la grandeza del imperio y reconquistar la mitad occidental perdida del histórico Imperio Romano. Uno de sus generales, Belisario, conquistó rápidamente el reino vándalo en el norte de África, donde otros fracasaron. Su reinado también marcó el florecimiento de la cultura romana oriental, y su programa de construcción produjo obras maestras como la iglesia de Santa Sofía.;;;;;;;x
ERA_CHAR_NAME_190215;Theodahad;Théodat;;;Teodato;;;;;;;x
