#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_bulgaria_adj;Bulgarian;;;;Búlgaro;;;;;;;;;x
d_belgorod;Belgorod;Belgorod;Belgorod;;Belgorod;;;;;;;;;x
d_belgorod_adj;Belgorodian;belgorodois;Belgoroder;;Belgorodiano;;;;;;;;;x
d_norse;Jomsvikings;Jomsvikings;Jomsvikings;;Jomsvikings;;;;;;;;;x
d_norse_adj;Mercenary;mercenaire;Söldner;;Mercenario;;;;;;;;;x
d_suomenski;Elks of the North;Elks of the North;Elks of the North;;Elks del Norte;;;;;;;;;x
d_suomenski_adj;Mercenary;mercenaire;Söldner;;Mercenario;;;;;;;;;x
d_romuva;Eternal Fire;Eternal Fire;Eternal Fire;;Fuego Eterno;;;;;;;;;x
d_romuva_adj;Mercenary;mercenaire;Söldner;;Mercenario;;;;;;;;;x
d_piemonte;Piemonte;Piemont;Piemont;;Piamonte;;;;;;;;;x
d_piemonte_adj;Piemontian;piedmontais;Piemonter;;Piamontés;;;;;;;;;x
d_ostlandet;Østlandet;Ostlandet;Ostlandet;;Ostlandet;;;;;;;;;x
d_atlas;Atlas;;;;Atlas;;;;;;;;;x
d_kairwan;Kairwan;;;;Kairuán;;;;;;;;;x
c_viken;Ranrike;;;;Viken;;;;;x;;;;
b_teruel;Teruel;Teruel;Teruel;;Teruel;;;;;;;;;x
b_calanda;Calanda;Calanda;Calanda;;Calanda;;;;;;;;;x
b_hijar;Híjar;Híjar;Híjar;;Híjar;;;;;;;;;x
b_calamocha;Calamocha;Calamocha;Calamocha;;Calamocha;;;;;;;;;x
b_vedra;Vedra;Vedra;Vedra;;Vedra;;;;;;;;;x
b_estrada;Estrada;Estrada;Estrada;;Estrada;;;;;;;;;x
b_ourense;Ourense;Ourense;Ourense;;Orense;;;;;;;;;x
b_verin;Verín;Verín;Verín;;Verín;;;;;;;;;x
b_ribadavia;Ribadavia;Ribadavia;Ribadavia;;Ribadavia;;;;;;;;;x
b_alcampell;Alcampell;Alcampell;Alcampell;;Alcampell;;;;;;;;;x
b_corunna;A Coruña;A Coruña;A Coruña;;La Coruña;;;;;;;;;x
b_vatnafjordur;Vatnafjörður;;;;Vatnafjörður;;;;;;;;x;
b_reydarfjall;Reyðarfjall;;;;Reyðarfjall;;;;;;;;x;
b_egilsstadir;Egilsstaðir;;;;Egilsstaðir;;;;;;;;x;
b_skalholt;Skálholt;;;;Skálholt;;;;;;;;x;
b_husavik;Húsavik;;;;Húsavik;;;;;;;;x;
b_nattfaravik;Náttfaravík;;;;Náttfaravík;;;;;;;;x;
