ordepchains.1008.desc;As you and your men engage the bear in a fight, the beast charges you attempts to rip your face apart, but you quickly evade its claws by dodging to the side. As your men try to slash at the bear from the side they quickly find that the bear's thick hide, as well as its fur, make their sword's blades almost useless, when the bear quickly turns to the side and claws one of them across the chest, knocking him out of the fight. You use this distraction to stab your sword through the bear's neck, but the beast was faster than you and knocked you to the floor with his massive paw, giving you a nasty scratch across the chest. As the bear prepares to stomp you and finish you off with its teeth, it is suddenly distracted by the remaining guard who attacks from behind, giving you enough time to drive your sword through the beast's chest and sending it to the floor, dead. As the two of you look at eachother, silent and exhausted from the confrontation, you eventually decide to quietly make your way outside, before any more bears show up.;;;;;;;;;;;x
ordepchains.1008.a;Damsels like scars, do they not?;;;;;;;;;;;x
ordepchains.1008.tooltip;you get hurt in the fight;;;;;;;;;;;x
ordepchains.1009.title;You Fight The Bear;;;;;;;;;;;x
ordepchains.1009.desc;As you and your men engage the bear in a fight, the beast charges you attempts to rip your face apart, but you quickly evade its claws by dodging to the side. As your men try to slash at the bear from the side they quickly find that the bear's thick hide, as well as its fur, make their sword's blades almost useless, when the bear quickly turns to the side and claws one of them across the chest, knocking him out of the fight. You use this distraction to stab your sword through the bear's neck, but the beast was faster than you and catches your leg with its strong bite! You howl in pain as you try to break free but your strength is no match for the bear's mighty size. As you fear the worst your other escort stabs the bear in the back, forcing him to open its mouth and giving you both a chance to flee while shamefully leaving the other of your men behind. You will likely lose the use of your leg, but at least you did't lose your life.;;;;;;;;;;;x
ordepchains.1009.a;If I could have war bears I'd rule the world.;;;;;;;;;;;x
ordepchains.1009.tooltip;the bear crushes your limb;;;;;;;;;;;x
ordepchains.1010.title;Ruin Delight;;;;;;;;;;;x
ordepchains.1010.desc;Moving in the direction where you know the road is, you quickly find your way back to the road and head back to your castle with haste, where you separate your wife from her wards and servants and tell her of your amazing discovery. Fueled by your enthusiasm, the occasion quickly turns into an impromptu date as the two of you hear towards the ruins, accompanied by some servants carrying food, as well as a larger escort to clear an easier path through the forest. As the day goes by, you have a pleasant time visiting the multiple ancient structures with your wife and enjoying a picknick in the warm sun. You both decide it is important to maintain this artifact from an age past intact and undisturbed by the peasant's activities, so that it may   be enjoyed by your children and their children. As the night draws near and you have to go back home and to the boring realm matters, you look foward for another day outside.;;;;;;;;;;;x
ordepchains.1010.a;I wonder what other mysteries exist in my realm!;;;;;;;;;;;x
ordepchains.1011.desc;You quickly cut way through the forest until you find your way back to the main road leading to the castle. There, you pull your wife away from the wards and servants and tell her of your new discovery and your plans for the two of you to visit the ruins, but she is far from impressed. 'So you found some rocks and ruins? I have matters to attend to and no time to play explorers like a child, and by the way, so do you!';;;;;;;;;;;x
ordepchains.1011.a;But the ruins! It would be such fun!;;;;;;;;;;;x
ordepchains.1012.title;Ruins Delight;;;;;;;;;;;x
ordepchains.1012.desc;Moving in the direction where you know the road is, you quickly find your way back to the road and head back to your castle with haste, where you separate your wife from her wards and servants and tell her of your amazing discovery. Fueled by your enthusiasm, the occasion quickly turns into an impromptu date as the two of you hear towards the ruins wit fast horses and forgoing the escort, to the protests of the captain of the guard. As you reach the ruins, you enjoy some quality time alone, starting with admiring the rugged beauty of the ruins, and later moving towards a more torrid affairs...;;;;;;;;;;;x
ordepchains.1012.a;Archeology is fun!;;;;;;;;;;;x
ordepchains.1013.title;Ruins Date Night;;;;;;;;;;;x
ordepchains.1013.desc;Moving in the direction where you know the road is, you quickly find your way back to the road and head back to court with haste, where you pull one of your beautiful courtiers aside and tell her of your amazing discovery. Fueled by your enthusiasm, you quickly convince her to join you in exploring these ruins and head off to the site on horseback. After arriving at the place, the two of you marvel at the ancient constructions before you profess your love and admiration for her, after which she falls into your arms.;;;;;;;;;;;x
ordepchains.1013.a;Archeology is fun!;;;;;;;;;;;x
ordepchains.1014.desc;Moving in the direction where you know the road is, you quickly find your way back to the road and head back to court with haste, where you pull one of your beautiful courtiers aside and tell her of your amazing discovery. Sadly, not even your enthusiasm at this discovery seems to sway your courtier to join you in visiting her and eventually you are forced to give up on it.;;;;;;;;;;;x
ordepchains.1014.a;Bha!;;;;;;;;;;;x
ordepchains.1015.title;The Ancient Gauls;;;;;;;;;;;x
ordepchains.1015.desc;You take a walk across the ruins and ponder on the gauls who once lived here. Sadly,the gauls left few written records and, as such, much of the information that reached your days came not from themselves, but rather their enemies. You recall from you studies the 'Commentarii de Bello Gallico', written by Julius Caesar himself, about his campaign to subjugate Gaul. You recall the many important events of that war, such as when Vercingetorix, leader of the Gauls, stood triumphant over Caesar at the Battle of Gergovia and how the gaulish champion was defeated and forced to surrender his arms before Caesar after the dramatic and bloody siege of Alesia. You also remember Uxellodunum, the final bastion that tried to deny Caesar, as well as the gruesome fate of those who resisted. You wonder aloud wether the romans were a glorious conqueror, or blood thirsty invaders...;;;;;;;;;;;x
ordepchains.1015.a;Vae Victis. Roma Victrix!;;;;;;;;;;;x
ordepchains.1015.b;This was gallic land. The romans had no business invading.;;;;;;;;;;;x
ordepchains.1015.c;Who cares? They were both pagan heathens.;;;;;;;;;;;x
ordepchains.1016.title;A Day At The Ruins;;;;;;;;;;;x
ordepchains.1016.desc;As you and your escort cut through an unfamiliar hill,mcovered in thick vegetation and hoping to somehow cut away towards the main  road, you chance upon a most unexpected sight. Before you lies a set of old ruins, long forgotten by the inhabitants of the region, as well as time itself. As you walk closer to the ruins, one of your escorts suggests these buildings must have been constructed by one of the greek city states who once called the island their home, but something feels wrong to you, you've seen greek ruins before in the Peloponnesos and these somehow feel different... As your mind wanders, the other escort informs you that he sees a dark cave in the distance, and also reminds you that the time is short and you must find your way to the road. What do you want to do?;;;;;;;;;;;x
ordepchains.1016.d;Truthfully, I don't think these ruins are greek at all...;;;;;;;;;;;x
ordepchains.1016.d.tooltip;ponders on the origin of the ruins.;;;;;;;;;;;x
ordepchains.1017.desc;As you and your men head down the cave, you quickly understand there is not a lot of reason to be excited as to what you might discover inside. Apparently whatever treasure or things of interest ever existed in this place have long been looted by local herders and the place seems to have been house in some occasions as a simple hideout for the cattle against the harsher weather and there is nothing of note for you here. You return to the surface cursing your luck.;;;;;;;;;;;x
ordepchains.1017.a;Why can't Im ever find treasure?;;;;;;;;;;;x
ordepchains.1018.title;The Face Of The Minotaur;;;;;;;;;;;x
ordepchains.1018.desc;As you and your men head down the cave, you are quickly surrounded by the thick darkness, despite your torches. For a long time you have trouble reading your surroundings and more than once one of your men trip in something they could not see. Finally, after much search, you find a shrine made by the pagans who once lived on this island. You are immediately drawn to its centerpiece, an exquisite bronze mask of a bull, green from the ages of exposure to the elements. Were you to send it to a proper artisan, the mask could be restored and it'd serve as a family heirloom, or maybe it'd be best to simply sell it for profit.  ;;;;;;;;;;;x
ordepchains.1018.a;It shall be properly restored!;;;;;;;;;;;x
ordepchains.1018.b;It should fetch a good prize.;;;;;;;;;;;x
ordepchains.1019.desc;As you and your men head down the cave, you are quickly surrounded by the thick darkness, despite your torches. You find it hard to be aware of your surroundings but somehow something doesn't seem right to you. You decide to look up and notice some sort of shapes hanging from the ceiling.;;;;;;;;;;;x
ordepchains.1019.a;Are those...;;;;;;;;;;;x
wait_what_is_that;Wait, what is that?;;;;;;;;;;x
ordepchains.1020.desc;It only takes the slightest movement from the figures above for you to understand what they are. Bracing yourself for what's about to happen, you tell your men to get down, as a massive swarm of screeching bats wakes up and flies off the cave. Your men are somewhat startled by the event but you quickly tell them to keep close and press on. ;;;;;;;;;;;x
ordepchains.1020.a;Bats are mice with wings.;;;;;;;;;;;x
ordepchains.1021.desc;You gaze at the black figures above you when you suddenly seem to make out an eye on one of them A jolt of adrenaline runs through your body as you turn to your men, but you are not able to get a word in as a massive swarm of screeching bats flies off the cave. When the bats finally fly off, your men find you crouching in mild panic and covering your head with your hands. They help you up, while giving eachother amused glances. ;;;;;;;;;;;x
ordepchains.1021.a;I was just looking for my ring!;;;;;;;;;;;x
ordepchains.1022.desc;You gaze at the black figures above you when you suddenly seem to make out an eye on one of them A jolt of adrenaline runs through your body as you turn to your men, but you are not able to get a word in as a massive swarm of screeching bats flies off the cave. As you are about to crouch down, one of the bats comes flying lower than the rest and hits you squarely on the face, becoming entangled with you. As you struggle to get it off, he bits you before flying away.;;;;;;;;;;;x
ordepchains.1022.a;This... can't be good.;;;;;;;;;;;x
ordepchains.1023.desc;As you and your men head down the cave, you quickly understand it is completely empty and whatever treasures there might have once been inside are now long gone. Luckily, heading down here hasn't been for naught, as you find a good amount of bat bones in the ground, which are said to grant good fortune. The bats themselves are gone, so you carelessly pick up a few and head out. ;;;;;;;;;;;x
ordepchains.1023.a;Maybe they'll lead me to treasure!;;;;;;;;;;;x
ordepchains.1024.title;The Ones Who Came Before;;;;;;;;;;;x
ordepchains.1024.desc;As you walk walk across the ruins, entering the remains of the houses and what seems to be a temple of some sorts, you start to notice a pattern. You had seen greek ruins before, and these are nothing like anything you ever saw, you notice how the images of their gods show bulls, men with the head of a bull, and some kind of sorcerer holding serpents in both hands, but no depiction of Zeus, Hera or any greek gods you know about, you note that the remaining buildings are unlike anything you can see in Greece and that they resemble the kind of buildings one could see in the ancient ruins of the east. You also note that these ruins are old, much older than the Acropolis in Athens. No, you are sure these are not greek ruins, but the legacy of a people who came even before them. You tell this to your escort but they are not able to comprehend your evidence. Frustrated, you instruct them to press onward to home, where you will assemble a group of the brightest in your court and amaze them with your discovery. ;;;;;;;;;;;x
ordepchains.1024.a;I am right, I know I am!;;;;;;;;;;;x
ordep_fun_at_ruins;Had fun at ruins;;;;;;;;;;;x
ordep_ancient_artifact;Ancient Artifact;;;;;;;;;;;x
viet_impressed_minoan;Minoan knowledge;;;;;;;;;;x
