EVTDESCins.7;Now the Bishops of Rome made their arguments, citing the primacy of Rome as the heart and head of the faith, and claims that even the Egyptians adhered to the Roman way. The Roman Bishop ends stating that Peter had been given the keys to the Kingdom of Heaven by Christ, and he was the rock on which the Church would be built. He urges you to favour the holder of the keys.;;;;;;x 
EVTOPTAins.7;A compelling argument...;;;;;;x 
EVTDESCins.8;Now the weight of decision is incumbent upon you, to arbitrate the the fate of the Insular Church, along with the hold of Rome on the Isles. You decision will have longlasting consequences on the future of all Britain.;;;;;;x 
EVTOPTAins.8;The Insular Church;;;;;;x 
EVTOPTBins.8;The Roman Church;;;;;;x 
won_synod;Victorious in Synod;;;;;;x 
EVTDESCins.9;With your word, the Insular faith is triumphant in the synod. This victory will send shockwaves throughout the Christian world that Rome cannot dominate every aspect of faith.;;;;;;x 
lost_synod;Lost in Synod;;;;;;x 
EVTOPTAins.9;A Glorious Day!;;;;;;x 
EVTNAMEins.11;The Synod of Whitby;;;;;;x 
EVTDESCins.11;After a great debate, a Synod convened of various religious leaders from Rome and Iona has come to a conclusion, siding in favor of the Insular Church. This victory has sent shockwaves throughout the Christian world, proving that it is possible to stand up to the demands of the Pope in Rome.;;;;;;x 
EVTOPTAins.11;Spectacular Events!;;;;;;x 
EVTDESCins.10;With your word, the Church of Rome is triumphant in the synod. This victory will send shockwaves throughout the Christian world that Rome will not tolerate deviations in the dogma, and is prepared to enforce the power of the Throne of St. Peter.;;;;;;x 
EVTDESCins.12;After a great debate, a Synod convened of various religious leaders from Rome and Iona has come to a conclusion, siding in favor of the Church in Rome. This victory will send shockwaves throughout the Christian world that Rome will not tolerate deviations in the dogma, and is prepared to enforce the power of the Throne of St. Peter.;;;;;;x 
EVTDESCins.13;Off in distant Britain, a Synod has ruled against the Roman Rite, upholding their own, blasphemous ways. Should you decide, you may comdemn the Insular church as heretical, but this may lead to uneeded bloodshed.;;;;;;x 
EVTOPTAins.13;Leave them be.;;;;;;x 
EVTOPTBins.13;Heresy will not be tolerated!;;;;;;x 
EVTNAMEins.14;The Papal Wrath;;;;;;x 
EVTDESCins.14;Upon hearing of the victory of the Insular Church in the Synod of Whitby, the Pope has condemned the Insular bishops, comdenming the entire church with the sin of heresy. The longterm effects of this decision are not clear, but it is certain this will lead to bloodshed among the different sects.;;;;;;x 
EVTOPTAins.14;Dreadful news.;;;;;;x 
EVTDESCins.16;[From.Religion.GetName] Paganism has appeared in the province of [From.GetName]!;;;;;;;x 
EVTDESCins.15;With the decline of Roman rule in Britain, many people returned back to their old ways, refurbishing and reopening various pagan temples. The people of [Root.GetName] are one such of these groups who returned to their pagan beliefs.;;;;;;x 
EVTOPTAins.15;Death to the Apostates!;;;;;;x 
EVTOPTBins.15;Glorious News!;;;;;;x 
EVTOPTCins.15;Interesting...;;;;;;x 
BISHOP_OF_IONA;Archbishop;;;;;;x 
d_insular;Bishopric of Iona;;;;;;x 
d_insular_adj;Ionan;;;;;;x 
d_pelagian;The Pelagian Bishopric;;;;;;x 
d_pelagian_adj;Pelagian;;;;;;x 
create_bishop_of_iona;Create the Bishopric of Iona;;;;;;x 
create_bishop_of_iona_desc;With the victory in the Synod of Whitby, it is now nescessary for the Insular faith to reorganize itself independent of the Roman Church. To accomplish this, it has been proposed to rise the Bishop of the holy site of Iona to prominence, granting him control over all Insular realms.;;;;;;x 
insular_monastery;Insular Monastery;;;;;;x 
insular_monastery_desc;A flourishing Insular Monastery is present in this province.;;;;;;x 
insular_monastery_DESC;A flourishing Insular Monastery is present in this province.;;;;;;x 
EVTDESCins.17;A group of Insular Bishops from the province of [Root.GetName] have arrived in your courty, asking for you patronage in the founding of a new Monastery.;;;;;;x 
EVTOPTAins.17;They have my full support!;;;;;;x 
EVTOPTBins.17;It's simply too expensive!;;;;;;x 
call_synod_of_whitby;Call Synod of Whitby;;;;;;x 
call_synod_of_whitby_desc;Call a great Synod of Insular and Roman bishops to settle differences between the Celtic and Roman rites.;;;;;;x 
EVTDESCins.18;The local monastery in the province of [Root.GetName] is flourishing, quickly becoming a center of religious and cultural advancement.;;;;;;x 
EVTOPTAins.18;Wonderful news!;;;;;;x 
pelagian_monastery;Pelagian Monastery;;;;;;x 
pelagian_monastery_desc;A flourishing Pelagian Monastery is present in this province.;;;;;;x 
EVTDESCins.20;A group of Pelagian Bishops from the province of [Root.GetName] have arrived in your courty, asking for you patronage in the founding of a new Monastery.;;;;;;x 
EVTDESCins.21;The local monastery in the province of [Root.GetName] is flourishing, quickly becoming a center of religious and cultural advancement.;;;;;;x 
create_pelagian_bishop;Organize the Pelagian Church;;;;;;x 
create_pelagian_bishop_desc;With the growing strength of the Pelagian faith, it is nescessary to begin to organize the faith to better defend it against the enemies of the church.;;;;;;x 
title_court_celtic_poet;High Poet;;;;;;x 
title_court_celtic_poet_desc;Poetry and stories were always very popular among the old inhabitants of the Isles, and to be the court poet was a certainly prestegious position.;;;;;;x 
title_court_celtic_poet_DESC;Poetry and stories were always very popular among the old inhabitants of the Isles, and to be the court poet was a certainly prestegious position.;;;;;;x 
EVTDESCins.23;The new poet you have asked for has arrived in your court, ready to regale you and your courtiers with tales and songs of the present and past.;;;;;;x 
EVTOPTAins.23;Fantastic!;;;;;;x 
invite_poet_to_court;Invite Poet to Court;;;;;;x 
invite_poet_to_court_desc;A court poet is an essential part of any Celtic regime.;;;;;;x 
assign_poet;Assign Poet;;;;;;x 
assign_poet_desc;Assign a qualified individual in your court to the position of High Poet.;;;;;;x 
EVTDESCins.24;Your court poet has just written a new poem about you, praising your prosperous rule.;;;;;;x 
EVTOPTAinc.24;Fantastic!;;;;;;x 
EVTOPTBinc.24;I have no need of praise.;;;;;;x 
EVTDESCins.25;"And throughout the land, [Root.GetFirstNameWithNick] is renowned for the peace and justice [Root.GetSheHe] brings to the land of [Root.GetTitle]. n/ Your court poet has recently written a magnificent piece praising your ruler's sense of justice.;;;;;;x 
EVTDESCins.26;"[Root.GetFirstNameWithNick], with [Root.GetHerHis] eyes to the stars, found no feat or challenge to great to be overcome." n/ Your court poet has recently written a magnificent piece praising your ruler's sense of ambition.;;;;;;x 
EVTDESCins.27;"It can never be said that [Root.GetTitledName] did not rule without the guidence of [Root.GetRandomGodName], and always followed the teachings of [Root.GetScriptureName]."  n/ Your court poet has recently written a magnificent piece praising your ruler's sense of faith.;;;;;;x 
EVTDESCins.28;"Good [Root.GetFirstNameWithNick]'s kindness seen not only to [Root.GetHerHis] family, but to all the people of the prosperous lands of [Root.GetTitle]. n/ Your court poet has recently written a magnificent piece praising your ruler's sense of kindness.;;;;;;x  
EVTDESCins.29;"[Root.GetFirstNameWithNick], the [Root.GetLordLady] of the woods, has ner to this day failed the hunt or lost a trail." n/ Your court poet has recently written a magnificent piece praising your ruler's love of the hunt.;;;;;;x 
EVTDESCins.30;"On the fields of carnage and war, [Root.GetFirstNameWithNick] reigns supreme, leading [Root.GetHerHis] to glory and victory!" n/ Your court poet has recently written a magnificent piece praising your ruler's current war.;;;;;;x  
EVTDESCins.31;"There is no [Root.GetManWoman] more wicked in the world than that of the hated [Root.GetFirstNameWithNick], whose gaze sours milk and wilts flowers. n/ Your court poet has recently written a harsh diatribe against your ruler's wickedness.;;;;;;x  
EVTDESCins.32;"Sitting on [Root.GetHerHis] throne of gold, [Root.GetFirstNameWithNick] has no concern for the wellbeing of [Root.GetHerHis] people, save for the coins [Root.GetSheHe] can loot from [Root.GetHerHis] impoverished poor."  n/ Your court poet has recently written a harsh diatribe against your ruler's greed.;;;;;;x 
EVTDESCins.33;"Not even family hold value to the wicked [Root.GetFirstNameWithNick], who is known among all for the brutal killings comitted against [Get.HerHis] own kin. n/ Your court poet has recently written a harsh diatribe against your ruler's kinslaying.;;;;;;x
EVTOPTAinc.31;Deny it all!;;;;;;x 
EVTOPTBinc.31;Admit the truth.;;;;;;x 
EVTDESCins.34;With the departure of the Romans, much of the prosperity of Britain was also lost. As a result, your ancestor's once rich coffers now begin to feel the sting of the fall of the Roman economy.;;;;;;x 
EVTOPTAins.34;Dark days are ahead...;;;;;;x 
declining_britain;Sub-Roman Britain;;;;;;x 
declining_britain_desc;With the withdrawal of the Romans, many Roman institutuions such as roads, baths, and government are all going into decline.;;;;;;x 
declining_britain_DESC;With the withdrawal of the Romans, many Roman institutuions such as roads, baths, and government are all going into decline.;;;;;;x 
EVTDESCins.35;With the withdrawal of the Roman Empire from Britain, the quality of life has been declining in the province of [Root.GetName], with the baths, roads, and other institutions of the Empire going to waste.;;;;;;x 
EVTOPTAins.35;Dark days are ahead...;;;;;;x 
EVTOPTBins.35;Keep the flame alive!;;;;;;x 
pictish_broch;Pictish Broch;;;;;;x 
pictish_broch_desc;The Pictish Brochs were large stone towers intended for defense and local rulership. Though building of Brochs ended in the 200s, they continued to be maintained by the Picts for centuries to come.;;;;;;x 
pictish_broch_DESC;The Pictish Brochs were large stone towers intended for defense and local rulership. Though building of Brochs ended in the 200s, they continued to be maintained by the Picts for centuries to come.;;;;;;x 
EVTDESCins.36;Scouts in your service have come accross the ruins of a great Broch while travelling through the province of [Root.GetName]. Though your people no longer construct these mighty towers, repairs were often made to still existing ones.;;;;;;x 
EVTOPTAins.36;Repair the Broch!;;;;;;x 
EVTOPTBins.36;Nothing but a relic of the past.;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
;;;;;;;x 
