#West African Stuff ;;;;;;;;;;;;;;x
EVTNAME1000109211;The Rise of the Songhai Empire;L'essor de l'empire Songhai;;;;;;;;;;;;x
title_sankar_zouma;Sankar-Zouma;Sankar-Zouma;;;;;;;;;;;;x
title_sankar_zouma_desc;In the Malian Empire, the title of "Sankar-Zouma" (derived from the Sankarani region), was traditionally bestowed upon the head of the Kondé clan. The Sankar-Zouma held command over all forces in the south bordering the coastal jungle. His role would have been similar the Farima-Soura in protecting merchants moving in and out of the empire with valuable goods.;Dans l'Empire malien, le titre de "Sankar-Zouma" (dérivé de la région de Sankarani), était traditionnellement attribué à la tête du clan Kondé. Le Sankar-Zouma a pris le commandement de toutes les forces dans le sud, en bordure de la jungle côtière. Son rôle aurait été similaire à celui de Farima-Soura dans la protection des marchands qui entrent et sortent de l'empire avec des biens de valeur.;;;;;;;;;;;;x
title_farima_soura;Farima-Soura;Farima-Soura;;;;;;;;;;;;x
title_farima_soura_desc;The Farima-Soura, also documented as the Farim-Soura, Faran-Soura or Sura Farin appears to have been a field commander in charge of the northern border. Soura was likely a province or at minimum a large region if the title of the Farim-Kabu is any evidence. His main responsibility would have been monitoring the Saharan border for bandits to keep merchants from being molested.;Le Farima-Soura, également connu sous le nom de Farim-Soura, Faran-Soura ou Sura Farin semble avoir été un commandant sur le terrain chargé de la frontière nord. Soura était probablement une province ou au moins une grande région si le titre du Farim-Kabu est une preuve. Sa principale responsabilité aurait été de surveiller la frontière saharienne à la recherche de bandits pour empêcher les marchands d'être agressés.;;;;;;;;;;;;x
nick_lion_king;the Lion King;le Roi Lion;;;;;;;;;;;;x
#Griot Stuff ;;;;;;;;;;;;;;x
invite_griot_to_court;Invite Griot to Court;Inviter un Griot à la Cour;;;;;;;;;;;;x
invite_griot_to_court_desc;Invite a Griot to your court - this can only be done every two years;Invitez un Griot à votre cour - cela ne peut se faire que tous les deux ans.;;;;;;;;;;;;x
no_griot;Lack of a Griot;Absence d'un Griot;;;;;;;;;;;;x
no_griot_desc;This West African lord has no Griot at his court. Who will sing praises to his ancestors, advise and counsel him, encourage his troops, and entertain his people?;Ce seigneur d'Afrique de l'Ouest n'a pas de Griot à sa cour. Qui chantera des louanges à ses ancêtres, le guidera et le conseillera, encouragera ses troupes et divertira son peuple ?;;;;;;;;;;;;x
adequate_griot_diplomacy;Griot Adequate in Speech and Song;Griot adéquat pour les discours et la chanson;;;;;;;;;;;;x
adequate_griot_diplomacy_desc;While this lord's Griot is not the most talented of his profession, he nevertheless does an admirable job when it comes to musicianship and inspiring others.;Bien que le Griot de ce seigneur ne soit pas le plus talentueux de sa profession, il fait néanmoins un travail admirable lorsqu'il s'agit de musicalité et d'inspirer les autres.;;;;;;;;;;;;x
good_griot_diplomacy;Griot Skilled in Speech and Song;Griot compétent pour les discours et la chanson;;;;;;;;;;;;x
good_griot_diplomacy_desc;This lord's Griot is known for being able to influence and inspire others with his honeyed words and musical ability.;Le Griot de ce seigneur est connu pour sa capacité d'influencer et d'inspirer les autres par ses paroles mielleuses et ses capacités musicales.;;;;;;;;;;;;x
great_griot_diplomacy;Griot Unmatched in Speech and Song;Griot incomparable pour les discours et la chanson;;;;;;;;;;;;x
great_griot_diplomacy_desc;This lord's Griot is known far and wide as one of the greatest Griots of his generation, able to influence others with his silver tongue and musical ability.;Le Griot de ce seigneur est connu de loin comme l'un des plus grands Griots de sa génération, capable d'influencer les autres par sa langue argentée et ses capacités musicales.;;;;;;;;;;;;x
adequate_griot_learning;Griot Has Adequate Knowledge and Wisdom;Ce Griot possède les connaissances et la sagesse adéquates.;;;;;;;;;;;;x
adequate_griot_learning_desc;This lord's Griot level of knowledge and wisdom is typical of any Griot, and he assists his lord dutifully but unremarkably.;Le niveau de connaissance et de sagesse du Griot de ce seigneur est typique de n'importe quel Griot, et il assiste son seigneur consciencieusement mais pas de façon remarquable.;;;;;;;;;;;;x
good_griot_learning;Griot Has Much Knowledge and Wisdom;Ce Griot a beaucoup de connaissances et de sagesse;;;;;;;;;;;;x
good_griot_learning_desc;This lord's Griot is well-known for possessing a great amount of knowledge and wisdom, and many are amazed at the many things he knows or the prudence of his counsel.;Le Griot de ce seigneur est bien connu pour posséder une grande quantité de connaissances et de sagesse, et beaucoup sont stupéfaits des nombreuses choses qu'il sait ou de la prudence de ses conseils.;;;;;;;;;;;;x
great_griot_learning;Griot Unmatched in Knowledge and Wisdom;Ce Griot est incomparable en termes de connaissances et de sagesse;;;;;;;;;;;;x
great_griot_learning_desc;This lord's Griot has all the accumulated knowledge and wisdom of a hundred generations, and is renowned throughout the region as a peerless sage.;Le Griot de ce seigneur possède toutes les connaissances et la sagesse accumulées depuis cent générations, et est reconnu dans toute la région comme un sage hors pair.;;;;;;;;;;;;x
griot;Griot;Griot;;;;;;;;;;;;x
griot_desc;This character is of the Griot caste. The Griots were West African historians, storytellers, praise singers, poets and/or musicians. The griot is a repository of oral tradition, and is also often seen as something of a societal leader due to his traditional position as an adviser to royal personages.;Ce personnage est de la caste des Griots. Les Griots étaient des historiens d'Afrique de l'Ouest, des conteurs, des chanteurs de louanges, des poètes et/ou des musiciens. Le griot est un dépositaire de la tradition orale et est aussi souvent considéré comme une sorte de chef de la société en raison de sa position traditionnelle de conseiller des personnages royaux.;;;;;;;;;;;;x
wafrica.1.desc;I have searched far and wide for a worthy Griot to serve at my court. He will sing of my ancestors, entertain my people, encourage my warriors, and provide me counsel. At long last, one such man has arrived at my court, but I am not sure whether he is worthy... A ruler must choose his griot wisely, after all.;J'ai cherché un Griot digne de servir à ma cour. Il chantera mes ancêtres, divertira mon peuple, encouragera mes guerriers et me donnera des conseils. Enfin, un tel homme est arrivé à ma cour, mais je ne suis pas sûr qu'il en soit digne... Un chef doit choisir son griot avec sagesse, après tout.;;;;;;;;;;;;x
wafrica.1.a;Let us meet, then.;Rencontrons-nous, alors.;;;;;;;;;;;;x
wafrica.2.desc;Your Griot sings of your mighty warriors, your brave nobles! This year he will inspire your armies in battle!;Votre Griot chante pour vos puissants guerriers, vos braves nobles ! Cette année, il inspirera vos armées au combat !;;;;;;;;;;;;x
wafrica.2.a;I see!;Je vois !;;;;;;;;;;;;x
wafrica.3.desc;Your Griot sings of the people, the land! This year he will encourage your community to prosper and grow!;Votre Griot chante pour le peuple, la terre ! Cette année, il encouragera votre communauté à prospérer et à grandir !;;;;;;;;;;;;x
wafrica.3.a;I see!;Je vois !;;;;;;;;;;;;x
wafrica.4.desc;Your Griot sings of the spirits and ancestors! This year he will channel the worldly energy, Nyama, to better our land!;Votre Griot chante pour les esprits et les ancêtres ! Cette année, il canalisera l'énergie du monde, Nyama, pour améliorer notre terre !;;;;;;;;;;;;x
wafrica.4.a;I see!;Je vois !;;;;;;;;;;;;x
#wafrica.2.desc;A Griot such as myself must continue my line, so that there are more and more generations of Griots to advise and counsel the kings of this land.;Un Griot comme moi doit continuer ma lignée, afin qu'il y ait de plus en plus de générations de Griots pour conseiller et conseiller les rois de cette terre.;;;;;;;;;;;;x
#wafrica.2.a;I must find a wife.;Je dois trouver une femme.;;;;;;;;;;;;x
#wafrica.3.desc;My Griot has taken a wife. It is important that the Griot lineages continue, that they may continue advising me and my descendants until the end of time - after all, what is a lord without his Griot? Nothing.;Mon Griot a pris une femme. Il est important que les lignées Griot continuent, qu'elles puissent continuer à me conseiller moi et mes descendants jusqu'à la fin des temps - après tout, qu'est-ce qu'un seigneur sans son Griot ? Rien.;;;;;;;;;;;;x
#wafrica.3.a;Live well with your wife, my Griot.;Vivez bien avec votre femme, mon Griot.;;;;;;;;;;;;x
#wafrica.4.desc;The people of your court are incredulous. “Great [Root.GetTitle],” they might say, “it is a shame that you do not have a Griot at court! Are you to be like a trader without his camel, a warrior without his spear, a farmer without his seeds?” No self-respecting ruler of the savanna can go without a Griot, after all.;Les gens de votre cour sont incrédules. "Ô grand [Root.GetTitle]," pourraient ils dire : " C'est dommage que vous n'ayez pas de Griot à la cour ! Etes-vous comme un commerçant sans chameau, un guerrier sans lance, un fermier sans ses graines ?" Aucun souverain de la savane qui se respecte ne peut se passer d'un Griot, après tout.;;;;;;;;;;;;x
#wafrica.4.a;I must find a knowledgeable Griot soon, and fast!;Je dois bientôt trouver un Griot bien informé, et vite !;;;;;;;;;;;;x
new_griot_in_court;New Griot in Court;Un nouveau Griot à la Cour;;;;;;;;;;;;x
new_griot_in_court_desc;A Griot has just arrived in this Griot's court.;Un Griot vient d'arriver à la cour de ce Griot.;;;;;;;;;;;;x
#title_court_griot;Court Griot;Griot de la Cour;;;;;;;;;;;;x
#title_court_griot_desc;"Griot" is a modern-day term used to describe a caste of highly influential individuals in West African society. Griots were, and still are, historians, advisors, arbitrators, praise singers, and storytellers. Nobles and royalty always had Griots. In traditional West Africa, no griot can be without a lord, and no lord can be without a griot. The two are inseparable, and worthless without the other.;"Griot" est un terme moderne utilisé pour décrire une caste d'individus très influents dans la société ouest-africaine. Les griots étaient et sont toujours des historiens, des conseillers, des arbitres, des chanteurs de louanges et des conteurs. Les nobles et la royauté ont toujours eu des Griots. En Afrique de l'Ouest traditionnelle, aucun griot ne peut se passer d'un seigneur, et aucun seigneur ne peut se passer d'un griot. Les deux sont inséparables et ne valent rien sans l'autre.;;;;;;;;;;;;x
VIET_no_griot;No Griot;Aucun Griot;;;;;;;;;;;;x
VIET_griot_inspiring_warriors_1;Griot Inspires Warriors (Adequate);Le Griot inspire les guerriers (Adéquat);;;;;;;;;;;;x
VIET_griot_inspiring_warriors_1_desc;This lord's Griot is inspiring the warriors of the realm, singing of the mighty heroes of old and the glorious battles yet to come!;Le Griot de ce seigneur inspire les guerriers du royaume, chantant les héros puissants d'autrefois et les batailles glorieuses à venir !;;;;;;;;;;;;x
VIET_griot_inspiring_warriors_2;Griot Inspires Warriors (Good);Le Griot inspire les guerriers (Bon);;;;;;;;;;;;x
VIET_griot_inspiring_warriors_2_desc;This lord's Griot is inspiring the warriors of the realm, singing of the mighty heroes of old and the glorious battles yet to come!;Le Griot de ce seigneur inspire les guerriers du royaume, chantant les héros puissants d'autrefois et les batailles glorieuses à venir !;;;;;;;;;;;;x
VIET_griot_inspiring_warriors_3;Griot Inspires Warriors (Great);Le Griot inspire les guerriers (Excellent);;;;;;;;;;;;x
VIET_griot_inspiring_warriors_3_desc;This lord's Griot is inspiring the warriors of the realm, singing of the mighty heroes of old and the glorious battles yet to come!;Le Griot de ce seigneur inspire les guerriers du royaume, chantant les héros puissants d'autrefois et les batailles glorieuses à venir !;;;;;;;;;;;;x
VIET_griot_inspiring_community_1;Griot Inspires Community (Adequate);Le Griot inspire la communauté (Adéquat);;;;;;;;;;;;x
VIET_griot_inspiring_community_1_desc;This lord's Griot is inspiring the people of the realm, singing of the everlasting traditions of the people and the greatness of the land!;Le Griot de ce seigneur inspire les gens du royaume, chantant les traditions éternelles du peuple et la grandeur de la terre !;;;;;;;;;;;;x
VIET_griot_inspiring_community_2;Griot Inspires Community (Good);Le Griot inspire la communauté (Bon);;;;;;;;;;;;x
VIET_griot_inspiring_community_2_desc;This lord's Griot is inspiring the people of the realm, singing of the everlasting traditions of the people and the greatness of the land!;Le Griot de ce seigneur inspire les gens du royaume, chantant les traditions éternelles du peuple et la grandeur de la terre !;;;;;;;;;;;;x
VIET_griot_inspiring_community_3;Griot Inspires Community (Great);Le Griot inspire la communauté (Excellent);;;;;;;;;;;;x
VIET_griot_inspiring_community_3_desc;This lord's Griot is inspiring the people of the realm, singing of the everlasting traditions of the people and the greatness of the land!;Le Griot de ce seigneur inspire les gens du royaume, chantant les traditions éternelles du peuple et la grandeur de la terre !;;;;;;;;;;;;x
VIET_griot_inspiring_spirits_1;Griot Inspires Spirits (Adequate);Le Griot inspire les esprits (Adéquat);;;;;;;;;;;;x
VIET_griot_inspiring_spirits_1_desc;This lord's Griot is inspiring the spirits of the realm, singing of the power of Nyama and the beauty of the sacred, divine world!;Le Griot de ce seigneur inspire les esprits du royaume, chantant la puissance de Nyama et la beauté du monde sacré et divin !;;;;;;;;;;;;x
VIET_griot_inspiring_spirits_2;Griot Inspires Spirits (Good);Le Griot inspire les esprits (Bon);;;;;;;;;;;;x
VIET_griot_inspiring_spirits_2_desc;This lord's Griot is inspiring the spirits of the realm, singing of the power of Nyama and the beauty of the sacred, divine world!;Le Griot de ce seigneur inspire les esprits du royaume, chantant la puissance de Nyama et la beauté du monde sacré et divin !;;;;;;;;;;;;x
VIET_griot_inspiring_spirits_3;Griot Inspires Spirits (Great);Le Griot inspire les esprits (Excellent);;;;;;;;;;;;x
VIET_griot_inspiring_spirits_3_desc;This lord's Griot is inspiring the spirits of the realm, singing of the power of Nyama and the beauty of the sacred, divine world!;Le Griot de ce seigneur inspire les esprits du royaume, chantant la puissance de Nyama et la beauté du monde sacré et divin !;;;;;;;;;;;;x
#Host Griot Performance ;;;;;;;;;;;;;;x
held_griot_performance;Recently Held a Major Griot Performance;A tenu récemment une performance majeure avec le Griot;;;;;;;;;;;;x
held_griot_performance_desc;This lord has recently arranged for his Griot to showcase his skills for the entire community to see. The Griot's performance was largely successful, a brilliant display of the Griot's abilities as historian, storyteller, musician, and entertainer.;Ce seigneur a récemment fait en sorte que son Griot montre ses compétences à toute la communauté. La performance du Griot a été largement couronnée de succès, une brillante démonstration des capacités du Griot en tant qu'historien, conteur, musicien et animateur.;;;;;;;;;;;;x
host_griot_performance;Host a Major Griot Performance;Accueillir une performance majeure de Griot;;;;;;;;;;;;x
host_griot_performance_desc;xxxxx;xxxxx;;;;;;;;;;;;x
wafrica.16.desc;Typically my Griot only provides performances to a select few at my court, entertaining us with stories, histories, jokes, and more. It is time that I organize something on a grander scale for the entire community. As a display of my capacity as [Root.GetTitle], I shall host a great performance led by my Griot.;Généralement, mon Griot ne donne des spectacles qu'à quelques personnes choisies à ma cour, nous divertissant avec des histoires, des chroniques, des blagues et plus encore. Il est temps que j'organise quelque chose à plus grande échelle pour toute la communauté. En guise de démonstration de mes capacités en tant que [Root.GetTitle], je serai l'hôte d'une grande performance dirigée par mon Griot.;;;;;;;;;;;;x
wafrica.16.a;Let me tell my Griot my thoughts.;Laissez-moi dire à mon Griot ce que je pense.;;;;;;;;;;;;x
wafrica.39.tooltip;[Root.GetTitledFirstName] discusses [Root.GetHerHis] plan with [Root.GetHerHis] Griot.;[Root.GetTitledFirstName] discute de ses plans avec son Griot.;;;;;;;;;;;;x
wafrica.39.desc;“A good idea,” my Griot says, as we discuss my plan. “I will make preparations as soon as I can. You too, my liege, do your part in organising this. Let the community know of your generosity!”\n\n”What sort of things are you planning to do?” I ask my Griot. “You must do many things - praise my ancestors, entertain the people, recall histories and great legends...”\n\n”Worry not,” my Griot says. “I think I have a good idea of what to do for this year’s performance. Just wait and see, my liege - as always, I will not disappoint. You and the community will be very much entertained. It will only be a matter of time.”;"Une bonne idée", dit mon Griot, alors que nous discutons de mon plan. "Je ferai les préparatifs dès que possible. Vous aussi, mon seigneur, contribuez dans l'organisation. Faites connaître votre générosité à la communauté !"\n\n"Quel genre de choses avez-vous l'intention de faire ?" Je demande à mon Griot. "Vous devez faire beaucoup de choses - louer mes ancêtres, divertir les gens, se souvenir des histoires et des grandes légendes..."\n\n"Ne vous inquiétez pas", dit mon Griot. "Je pense que j'ai une bonne idée de ce qu'il faut faire pour la performance de cette année. Attendez de voir, mon seigneur - comme toujours, je ne décevrai pas. Vous et la communauté serez très divertis. Ce ne sera qu'une question de temps.";;;;;;;;;;;;x
wafrica.39.name;Preparing and Organising;Préparation et organisation;;;;;;;;;;;;x
wafrica.39.a;I can hardly wait.;J'ai hâte d'y être.;;;;;;;;;;;;x
wafrica.33.desc;Your Griot has already given many wonderful performances! You and your audience are eager to hear more. Will your Griot tell of your ancestors’ heroic deeds next? Or maybe he’ll recount another adventure of the lazy genius Ouati and the ever-curious Kadi? Or perhaps he’ll start teasing some more people?;Votre Griot a déjà donné de nombreuses et merveilleuses performances ! Vous et votre public êtes impatients d'en savoir plus. Votre Griot racontera-t-il ensuite les actes héroïques de vos ancêtres ? Ou peut-être racontera-t-il une autre aventure du génie paresseux Ouati et du Kadi, toujours aussi curieux ? Ou peut-être qu'il commencera à taquiner d'autres personnes ?;;;;;;;;;;;;x
wafrica.33.a;Let us hear more, my Griot, let us hear more!;Écoutons plus, mon Griot, écoutons plus !;;;;;;;;;;;;x
wafrica.34.desc;What another wonderful series of performances by your Griot - it’s too bad these sort of large performances only happen every now and then. Everyone is amazed at how your Griot is able to spend hours on end recalling histories and legends, comedies and adventures, all from memory!;Quelle autre merveilleuse série de performances de votre Griot - c'est dommage que ce genre de grandes performances ne se produisent que de temps en temps. Tout le monde est étonné de voir comment votre Griot est capable de passer des heures à se souvenir d'histoires et de légendes, de comédies et d'aventures, tant de souvenirs !;;;;;;;;;;;;x
wafrica.34.a;Maybe next time I can hear another story about...;Peut-être que la prochaine fois que j'entendrai une autre histoire sur...;;;;;;;;;;;;x
wafrica.17.desc;Today my Griot sings of my ancestors’ heroic exploits. Look as he strums his kora harp! But his voice falters - is he tired? One of the audience members interrupts and makes some helpful criticism, as is custom among our people: “Perhaps your rhythm is too fast, respected Griot.”;Aujourd'hui, mon Griot chante les exploits héroïques de mes ancêtres. Regardez comme il gratte sa harpe kora ! Mais sa voix faiblit - est-il fatigué ? L'un des membres de l'auditoire interrompt et fait une critique utile, comme c'est la coutume chez nous : "Peut-être que votre rythme est trop rapide, respecté Griot".;;;;;;;;;;;;x
wafrica.17.a;Indeed, I agree. Sing slowly - we wish to ponder all you say.;En effet, je suis d'accord. Chantez lentement - nous souhaitons réfléchir à tout ce que vous dites.;;;;;;;;;;;;x
wafrica.17.b;No, I think his rhythm is fine.;Non, je pense que son rythme est bon.;;;;;;;;;;;;x
wafrica.17.c;No, be livelier! Imagine what my ancestor felt hunting elephants!;Non, soyez plus vivant ! Imaginez ce que mon ancêtre ressentait en chassant les éléphants !;;;;;;;;;;;;x
wafrica.18.desc;“The Hunters approached Chief Nuh, and wished an audience,” your Griot sings, as he continues his story. “But the Chief disagreed. ‘Nay,’ cried he, ‘I shall not meet with these beggars and scavengers.’” Someone in the audience cries, “What a fool Nuh is! To reject the mighty, nyama-wielding hunters!”;"Les chasseurs se sont approchés du chef Nuh, et ont souhaité une audience", chante votre Griot, alors qu'il poursuit son histoire. "Mais le chef n'était pas d'accord," cria-t-il, ""Je ne rencontrerai pas ces mendiants et ces charognards." Quelqu'un dans le public s'écrie : "Quel imbécile ce Nuh ! Pour rejeter les puissants chasseurs de nyama !";;;;;;;;;;;;x
wafrica.18.a;The hunters are powerful like Griots and Blacksmiths indeed!;Les chasseurs sont aussi puissants que les Griots et les forgerons !;;;;;;;;;;;;x
wafrica.18.b;If I remember this story right, Chief Nuh has a good reason for this.;Si je me souviens bien de cette histoire, le chef Nuh a une bonne raison pour cela.;;;;;;;;;;;;x
wafrica.19.desc;“[Root.GetTitledFirstName]’s ancestor had to be careful as he snuck in the house, for though the wicked merchant was fat from all the food he ate, he was still sly like a hyena, and could hear even the smallest of sounds,” says your Griot, as he recounts a tale to your court. “But the wicked merchant had to be taught a lesson. Fate was on the side of [Root.GetTitledFirstName]’s ancestor. Though his cunning, he stole all of the wicked merchant’s baklava.”\nYour audience claps and cheers. Very good! That wicked merchant had it coming. So your Griot continues, “On eating one, [Root.GetTitledFirstName]’s ancestor remarked, ‘Wondrous is this delicacy eaten by the Greeks, heirs of Alexander the Great! A pity the wicked merchant had no recipes to steal!”;"L'ancêtre de [Root.GetTitledFirstName] devait faire attention pendant qu'il se faufilait dans la maison, car bien que le méchant marchand était gros de toute la nourriture qu'il mangeait, il était toujours rusé comme une hyène, et pouvait entendre même le plus petit des sons ", dit votre Griot, alors qu'il raconte un conte à votre cour. "Mais il fallait donner une leçon au méchant marchand. Le destin était du côté de l'ancêtre de [Root.GetTitledFirstName]. Malgré sa ruse, il a volé tous les baklavas du méchant marchand."\nVotre public applaudit et acclame. Très bien ! Ce méchant marchand l'a bien mérité. Votre Griot continue ainsi : "En mangeant un, l'ancêtre de [Root.GetTitledFirstName] remarqua, "Cette délicatesse est merveilleuse, mangée par les Grecs, héritiers d'Alexandre le Grand ! Dommage que le méchant marchand n'avait pas de recettes à voler !";;;;;;;;;;;;x
wafrica.19.name;The Wicked Merchant;Le méchant marchand;;;;;;;;;;;;x
wafrica.19.a;Bravo, bravo!;Bravo, bravo !;;;;;;;;;;;;x
wafrica.19.b;I wish my ancestor could have stolen the recipe.;J'aurais aimé que mon ancêtre ait pu voler la recette.;;;;;;;;;;;;x
wafrica.20.desc;“How many piled-up ruins! But all the deeds I have spoken of today took place long ago. [Root.GetTitle]s have succeeded [Root.GetTitle]s, but the land has always remained the same. So it was, so it is, and so it will be.” With that, your Griot concludes his story for the day.;"Combien de ruines empilées ! Mais toutes les actions dont j'ai parlé aujourd'hui ont eu lieu il y a longtemps. Les [Root.GetTitle]s succédé aux [Root.GetTitle]s, mais la terre est toujours restée la même. Il en a été ainsi, il en est ainsi, et il en sera ainsi." Sur ce, votre Griot conclut son histoire pour la journée.;;;;;;;;;;;;x
wafrica.20.a;A good tale! Tomorrow, why don’t you tell the story about...;Un bon conte ! Demain, pourquoi ne pas raconter l'histoire de...;;;;;;;;;;;;x
wafrica.21.desc;“But [Root.GetTitledFirstName]’s father was brave, and mighty, and though his companions fled, he did not retreat when the lion came. He raised his spear, for he was ready to fight the lion. Then...” Your Griot pauses for dramatic effect, as everyone imagines the lion and your father circling each other.;"Mais le père de [Root.GetTitledFirstName] était courageux et puissant, et bien que ses compagnons aient fui, il n'a pas reculé lorsque le lion est arrivé. Il leva sa lance, car il était prêt à combattre le lion. Puis..." Votre Griot s'arrête pour un effet dramatique, alors que tout le monde imagine le lion et votre père s'encerclant l'un autour de l'autre.;;;;;;;;;;;;x
wafrica.21.a;And then? And then? What happens next?;Et ensuite ? Et ensuite ? Que se passe-t-il ensuite ?;;;;;;;;;;;;x
wafrica.21.b;Wait a moment... my father never told me about this!;Attendez un instant.... mon père ne m'en a jamais parlé !;;;;;;;;;;;;x
wafrica.21.c;My father didn’t kill lions, my Griot is making it all up.;Mon père n'a pas tué des lions, mon Griot invente tout.;;;;;;;;;;;;x
wafrica.22.desc;“And Guimba the Tyrant died, the victim of the trap and his own hubris,” your Griot sings, ending the story. “Thus it is so, that tyrants will always fall, defeated by righteous men who follow the wisdom of [Root.Religion.GetRandomGodName]. This is nothing but fate, for who can deny fate? One cannot change it.”\nYour Griot looks up, smiling, as he pauses for a moment. He then resumes playing his kora harp. “The universe has mysteries which none can fathom, even us Griots. Perhaps you will be born a great and mighty king - you can do nothing about it. Perhaps you will be unlucky and become a beggar - you can do nothing about it. Each man finds his way already marked for him and he can change nothing of it.”;"Et Guimba le tyran est mort, victime du piège et de sa propre orgueil", chante votre Griot, mettant fin à l'histoire. "C'est ainsi que les tyrans tomberont toujours, vaincus par des hommes justes qui suivent la sagesse de [Root.Religion.GetRandomGodName]. Ce n'est rien d'autre que le destin, car qui peut nier le destin ? On ne peut pas le changer."\nVotre Griot lève les yeux, souriant, tandis qu'il s'arrête un moment. Il reprend ensuite le jeu de sa harpe kora. "L'univers a des mystères que personne ne peut comprendre, même nous, les Griots. Vous naîtrez peut-être un grand et puissant roi - vous ne pouvez rien y faire. Peut-être serez-vous malchanceux et deviendrez un mendiant - vous ne pouvez rien y faire. Chaque homme trouve son chemin déjà marqué pour lui et il ne peut rien y changer.";;;;;;;;;;;;x
wafrica.22.name;Fate;Le destin;;;;;;;;;;;;x
wafrica.22.a;Fate is quite a powerful thing indeed.;Le destin est une chose assez puissante en effet.;;;;;;;;;;;;x
wafrica.22.b;Fate is a silly idea used to scare children.;Le destin est une idée stupide utilisée pour effrayer les enfants.;;;;;;;;;;;;x
wafrica.23.desc;Today your Griot recounts your entire genealogy, to remind your court of the great men and women from which you descend. It is amazing, is it not, that your Griot knows so much about so many people who lived long ago? Even you learn new things about your ancestors now and then.;Aujourd'hui, votre Griot raconte toute votre généalogie, pour rappeler à votre cour les grands hommes et femmes dont vous descendez. C'est incroyable, n'est-ce pas, que votre Griot en sache autant sur tant de gens qui ont vécu il y a longtemps ? Même vous apprenez de temps en temps de nouvelles choses sur vos ancêtres.;;;;;;;;;;;;x
wafrica.23.a;Amazing indeed.;Incroyable, en effet.;;;;;;;;;;;;x	
wafrica.23.b;I bet my Griot made some of that up and made it sound convincing.;Je parie que mon Griot l'a inventé et l'a rendu convaincant.;;;;;;;;;;;;x
wafrica.23.c;Actually, my Griot, you made a mistake about my great-great-great...;En fait, mon Griot, vous avez fait une erreur au sujet de mon arrière-arrière-arrière...;;;;;;;;;;;;x
