#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
drunken_tournament;Drunken Fool;Imbécile ivre;Drunken Fool;;Bufón beodo;;;;;;;;;x
EVTDESC70036;[From.GetTitledFirstName] [From.GetOnlyDynastyName] fought [From.GetHerHis] way to the third place in my tourney.;[From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName] s'est taillé un chemin jusqu'à la troisième place de mon tournoi. ;[From.GetTitledFirstName] [From.GetOnlyDynastyName] fought [From.GetHerHis] way to the third place in my tourney.;;[From.GetTitledFirstName] [From.GetOnlyDynastyName] luchó para lograr el tercer puesto en el torneo.;;;;;;;;;x
EVTDESC70038;My liege! Your guest [From.GetTitledFirstName] [From.GetOnlyDynastyName] has tragically been killed during the tournament!;Mon seigneur ! Votre invité [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName] a tragiquement trouvé la mort au cours du tournoi ! ;My liege! Your guest [From.GetTitledFirstName] [From.GetOnlyDynastyName] has tragically been killed during the tournament!;;¡Mi señor! ¡Vuestro invitado [From.GetTitledFirstName] [From.GetOnlyDynastyName] ha muerto trágicamente durante el torneo!;;;;;;;;;x
EVTDESC70039;My liege! Your guest [From.GetTitledFirstName] [From.GetOnlyDynastyName] has tragically been maimed during the tournament!;Mon seigneur ! Votre invité [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName] a été tragiquement mutilé au cours du tournoi !;My liege! Your guest [From.GetTitledFirstName] [From.GetOnlyDynastyName] has tragically been maimed during the tournament!;;¡Mi Señor! ¡Vuestro invitado [From.GetTitledFirstName] [From.GetOnlyDynastyName] ha sido trágicamente lisiado en el torneo!;;;;;;;;;x
EVTDESC70040;My liege! Your guest [From.GetTitledFirstName] [From.GetOnlyDynastyName] has tragically been wounded during the tournament!;Mon seigneur ! Votre invité [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName]a été tragiquement blessé au cours du tournoi !;My liege! Your guest [From.GetTitledFirstName] [From.GetOnlyDynastyName] has tragically been wounded during the tournament!;;¡Mi Señor! ¡Vuestro invitado [From.GetTitledFirstName] [From.GetOnlyDynastyName] ha sido trágicamente herido durante el torneo!;;;;;;;;;x
EVTDESC70050;I have been spending a lot of time with [From.GetFirstName] [From.GetOnlyDynastyName] at the tournament, and [From.GetSheHe] has expressed an interest to spend more time together.;I have been spending a lot of time with [From.GetFirstName] [From.GetOnlyDynastyName] at the tournament, and [From.GetSheHe] has expressed an interest to spend more time together.;I have been spending a lot of time with [From.GetFirstName] [From.GetOnlyDynastyName] at the tournament, and [From.GetSheHe] has expressed an interest to spend more time together.;;Has pasado mucho tiempo con [From.GetFirstName] [From.GetOnlyDynastyName] en el torneo, y [From.GetSheHe] ha expresado su deseo de veros más a menudo.;;;;;;;;;x
EVTDESC70051;[From.GetFirstName] [From.GetOnlyDynastyName] has responded [From.GetSheHe] is also growing fond of me!;[From.GetFirstName] [From.GetOnlyDynastyName] has responded [From.GetSheHe] is also growing fond of me!;[From.GetFirstName] [From.GetOnlyDynastyName] has responded [From.GetSheHe] is also growing fond of me!;;¡[From.GetFirstName] [From.GetOnlyDynastyName] te ha dicho que también se está encariñando de ti!;;;;;;;;;x
EVTDESC70052;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] has been crowned the winner of [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName]'s tournament.;[FromFrom.GetTitle] [FromFrom.GetFirstName] [FromFrom.GetOnlyDynastyName] a été couronné vainqueur du tournoi de [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName].;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] has been crowned the winner of [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName]'s tournament.;;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] ha sido nombrado vencedor del torneo del(a) [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName].;;;;;;;;;x
EVTDESC70053;As winner of the Tourney of [From.Capital.GetName] I have the honour of selecting the Queen of Love and Beauty for the tournament.;En tant que vainqueur du Tournoi de [From.Capital.GetName] j'ai l'honneur de choisir la reine d'amour et de beauté du tournoi.;As winner of the Tourney of [From.Capital.GetName] I have the honour of selecting the Queen of Love and Beauty for the tournament.;;Como vencedor del torneo de [From.Capital.GetName] tienes el honor de nombrar a la Reina del Amor y la Belleza del torneo.;;;;;;;;;x
EVTDESC70054;A previously unknown hedge knight has been crowned the winner of my tourney, perhaps I should take him into my service?;Un chevalier errant auparavant inconnu a été couronné vainqueur de mon tournoi. Peut-être devrais-je le prendre à mon service ?;A previously unknown hedge knight has been crowned the winner of my tourney, perhaps I should take him into my service?;;Un caballero errante hasta ahora desconocido ha sido nombrado vencedor de tu torneo, ¿tal vez deberías ponerle a tu servicio?;;;;;;;;;x
EVTDESC70055;A previously unknown hedge knight has won second place at my tourney, perhaps I should take him into my service?;Un chevalier errant auparavant inconnu a remporté la seconde place de mon tournoi. Peut-être devrais-je le prendre à mon service ?;A previously unknown hedge knight has won second place at my tourney, perhaps I should take him into my service?;;Un caballero errante hasta ahora desconocido ha obtenido el segundo puesto en tu torneo, ¿tal vez deberías ponerle a tu servicio?;;;;;;;;;x
EVTDESC70056;A previously unknown hedge knight has won third place at my tourney, perhaps I should take him into my service?;Un chevalier errant auparavant inconnu a remporté la troisième place de mon tournoi. Peut-être devrais-je le prendre à mon service ?;A previously unknown hedge knight has won third place at my tourney, perhaps I should take him into my service?;;Un caballero errante hasta ahora desconocido ha obtenido el tercer puesto en tu torneo, ¿tal vez deberías ponerle a tu servicio?;;;;;;;;;x
EVTDESC70057;A great honour has been bestowed upon me, [From.GetTitledFirstName] [From.GetOnlyDynastyName] has chosen me as Queen of Love and Beauty for the Tourney of [FromFrom.Capital.GetName]!;Un grand honneur m'a été accordé, [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName] m'a choisie comme Reine d'Amour et de Beauté du Tournoi de [FromFrom.Capital.GetName] !;A great honour has been bestowed upon me, [From.GetTitledFirstName] [From.GetOnlyDynastyName] has chosen me as Queen of Love and Beauty for the Tourney of [FromFrom.Capital.GetName]!;;Se te ha concedido un gran honor, ¡[From.GetTitledFirstName] [From.GetOnlyDynastyName] te ha elegido como Reina del Amor y la Belleza en el torneo de [FromFrom.Capital.GetName]!;;;;;;;;;x
EVTDESC70058;[From.GetFirstName] [From.GetOnlyDynastyName] has been crowned Queen of love and Beauty by the winner of my Tourney;[From.GetFirstName] [From.GetOnlyDynastyName] a été couronné Reine d'Amour et de Beauté par le vainqueur de mon Tournoi.;[From.GetFirstName] [From.GetOnlyDynastyName] has been crowned Queen of love and Beauty by the winner of my Tourney;;[From.GetFirstName] [From.GetOnlyDynastyName] ha sido nombrada Reina del Amor y la Belleza en tu torneo.;;;;;;;;;x
EVTDESC70059;[FromFrom.GetFirstName] [FromFrom.GetOnlyDynastyName] has been crowned Queen of love and Beauty by the winner of the Tourney of [From.Capital.GetName];[FromFrom.GetFirstName] [FromFrom.GetOnlyDynastyName] a été couronnée Reine d'Amour et de Beauté par le vainqueur du Tournoi de [From.Capital.GetName].;[FromFrom.GetFirstName] [FromFrom.GetOnlyDynastyName] has been crowned Queen of love and Beauty by the winner of the Tourney of [From.Capital.GetName];;[FromFrom.GetFirstName] [FromFrom.GetOnlyDynastyName] has been crowned Queen of love and Beauty by the winner of the Tourney of [From.Capital.GetName];;;;;;;;;x
EVTDESC70060;My death sadly means the tourney has to be cancelled;Ma mort signifie malheusement que le tournoi doit être annulé.;My death sadly means the tourney has to be cancelled;;Con tu muerte, el torneo debe tristemente ser cancelado.;;;;;;;;;x
EVTDESC70061;During the tourney feasts a fellow competitor was heard to boast how many more titles he has won than you, and then went on to describe how he would vanquish you in the lists. Shall I let this stand?;Durant le festin organisé pour le tournoi, l'un des compétiteurs s'est vanté d'avoir remporté bien plus de titres que vous, puis il a décrit comment il vous vaincrait dans les lices lors de ce tournoi. Le laisserai-je faire?;During the tourney feasts a fellow competitor was heard to boast how many more titles he has won than you, and then went on to describe how he would vanquish you in the lists. Shall I let this stand?;;Durante el banquete del torneo a un compañero competidor se le oyó alardear de cuántos títulos había ganado más que tú, y luego siguió describiendo de qué manera te eliminaría de la competición. ¿Lo dejarás estar?;;;;;;;;;x
EVTDESC70062;During the tourney feasts I was jesting with some companions about how I'd vanquish my opponents in the lists, particularly one knight who has less titles than me. He appears to bear a grudge now...;Durant le festin organisé pour le tournoi, j'ai plaisanté avec quelques compagnons sur la façon dont j'ai terrassé mes adversaires dans les lices, et particulièrement un chevalier qui a moins de titres que moi. Il semble avoir une dent contre moi maintenant...;During the tourney feasts I was jesting with some companions about how I'd vanquish my opponents in the lists, particularly one knight who has less titles than me. He appears to bear a grudge now...;;Durante el banquete del torneo presumiste con unos compañeros sobre cómo vencerías a tus oponentes en la competición, sobre todo a un caballero que logró menos títulos que tú. Parece que ahora te guarda rencor...;;;;;;;;;x
EVTDESC70063;During the tourney feasts I was jesting with some companions about how I'd vanquish my opponents in the lists, particularly [From.GetFirstName] [From.GetOnlyDynastyName] who has less titles than me.  He then proceeded to walk calmly across the hall and threw his glove full in my face, challenging me to single combat!;Durant le festin organisé pour le tournoi, j'ai plaisanté avec quelques compagnons sur la façon dont j'ai terrassé mes adversaires dans les lices, et particulièrement [From.GetFirstName] [From.GetOnlyDynastyName] qui a moins de titres que moi. Il s'est levé et a traversé la grande salle avant de me jeter son gant au visage, me défiant en combat singulier !;During the tourney feasts I was jesting with some companions about how I'd vanquish my opponents in the lists, particularly [From.GetFirstName] [From.GetOnlyDynastyName] who has less titles than me.  He then proceeded to walk calmly across the hall and threw his glove full in my face, challenging me to single combat!;;Durante el banquete del torneo presumiste con unos compañeros de qué manera vencerías a tus oponentes de la competición, sobre todo [From.GetFirstName] [From.GetOnlyDynastyName] que tiene menos títulos que tú. Luego cruzó tranquilamente el salón, ¡y te lanzó el guante en toda la cara, desafiándote a un combate singular!;;;;;;;;;x
EVTDESC70064;The hall fell silent as your glove fell to the floor after you threw it square in [From.GetTitledFirstName] [From.GetOnlyDynastyName]'s face. His eyes looked panicked before he backed down and apologised profusely for his dishonourable words.;Un silence de mort s'est abattu sur la grande salle au moment où votre gant a atteint avec force le visage de [From.GetFirstName] [From.GetOnlyDynastyName]. Vous pouviez lire l'affolement dans son regard avant qu'il ne cède et vous fasse ses plus plates excuses pour ses calomnies.;The hall fell silent as your glove fell to the floor after you threw it square in [From.GetTitledFirstName] [From.GetOnlyDynastyName]'s face. His eyes looked panicked before he backed down and apologised profusely for his dishonourable words.;;El salón se quedó mudo mientras tu guante caía al suelo tras haber dado de lleno en la cara de [From.GetTitledFirstName] [From.GetOnlyDynastyName]. En sus ojos se distinguió el pánico antes de que reculara y pidiera profusas disculpas por sus deshonrosas palabras.;;;;;;;;;x
EVTDESC70065;[From.GetTitledFirstName] [From.GetOnlyDynastyName] accepted my challenge to single combat, and I proceeded to vanquish him comfortably, no one will mock me now.;[From.GetFirstName] [From.GetOnlyDynastyName] a accepté mon défi et m'a affronté en combat singulier. Je l'ai vaincu promptement, personne n'osera plus me railler désormais.;[From.GetTitledFirstName] [From.GetOnlyDynastyName] accepted my challenge to single combat, and I proceeded to vanquish him comfortably, no one will mock me now.;;[From.GetTitledFirstName] [From.GetOnlyDynastyName] accepted my challenge to single combat, and I proceeded to vanquish him comfortably, no one will mock me now.;;;;;;;;;x
EVTDESC70066;[From.GetTitledFirstName] [From.GetOnlyDynastyName] accepted my challenge to single combat, and our duel ended without a clear victor before we were seperated. This will not be forgotten.;[From.GetFirstName] [From.GetOnlyDynastyName] a accepté mon défi et m'a affronté en combat singulier. Notre duel s'est achevé sans qu'on puisse désigner clairement un vainqueur. Cela ne sera pas oublié.;[From.GetTitledFirstName] [From.GetOnlyDynastyName] accepted my challenge to single combat, and our duel ended without a clear victor before we were seperated. This will not be forgotten.;;[From.GetTitledFirstName] [From.GetOnlyDynastyName] accepted my challenge to single combat, and our duel ended without a clear victor before we were seperated. This will not be forgotten.;;;;;;;;;x
EVTDESC70067;[From.GetTitledFirstName] [From.GetOnlyDynastyName] accepted my challenge to single combat, and proceeded to defeat me after a fierce clash. Perhaps I should of stayed silent...;[From.GetFirstName] [From.GetOnlyDynastyName] a accepté mon défi et m'a affronté en combat singulier. Il m'a terrassé. Peut-être devrais-je désormais garder le silence…;[From.GetTitledFirstName] [From.GetOnlyDynastyName] accepted my challenge to single combat, and proceeded to defeat me after a fierce clash. Perhaps I should of stayed silent...;;[From.GetTitledFirstName] [From.GetOnlyDynastyName] aceptó tu desafío a un combate singular, y pasó a derrotarte tras un feroz enfrentamiento. Quizás deberías haberte quedado callado...;;;;;;;;;x
EVTDESC70068;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] defeated me in the duel, he claims his honour is restored, what of mine?;[FromFrom.GetFirstName] [FromFrom.GetOnlyDynastyName] m'a défait en duel, il a proclamé que son honneur était lavé, mais le mien?;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] defeated me in the duel, he claims his honour is restored, what of mine?;;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] te ha vencido en el duelo, reivindica que su honor ha sido satisfecho, ¿y qué hay del tuyo?;;;;;;;;;x
EVTDESC70069;The duel with [FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] ended without a clear victor before we were seperated, this will not be forgotten.;Le duel avec [FromFrom.GetFirstName] [FromFrom.GetOnlyDynastyName] s'est achevé sans que l'on puisse désigner clairement un vainqueur. Ce ne sera pas oublié.;The duel with [FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] ended without a clear victor before we were seperated, this will not be forgotten.;;El duelo con [FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] terminó sin ningún claro vencedor antes de que fuérais separados, esto no quedará así.;;;;;;;;;x
EVTDESC70070;The duel with [FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] ended with me the clear victor, and my assertion of superior prowess vindicated. This bodes well for the tourney!;Le duel avec [FromFrom.GetFirstName] [FromFrom.GetOnlyDynastyName] s'est achevé sur ma nette victoire et mes affirmations quant à ma supériorité confirmées. Ceci est de bon augure pour le tournoi ! ;The duel with [FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] ended with me the clear victor, and my assertion of superior prowess vindicated. This bodes well for the tourney!;;El duelo con [FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] terminó con tu evidente victoria, y tu afirmación de mayor habilidad reivindicada. ¡Esto es un buen presagio para el torneo!;;;;;;;;;x
EVTDESC70071;The hall fell silent as [From.GetFirstName] [From.GetOnlyDynastyName]'s  glove fell to the floor after he threw it square in [FromFrom.GetFirstName] [FromFrom.GetOnlyDynastyName]'s face. The men say this was because of [FromFrom.GetFirstName]'s jests, the result is [From.GetFirstName] [From.GetOnlyDynastyName]'s victory in the ensuing duel.;Un silence de mort s'est abattu sur la grande salle alors que le gant de [From.GetFirstName] [From.GetOnlyDynastyName] retombait à terre après avoir gifflé le visage de [FromFrom.GetFirstName] [FromFrom.GetOnlyDynastyName]. On dit que c'est à cause des plaisanteries de [FromFrom.GetFirstName]. Le duel qui s'ensuivit a vu la victoire de [From.GetFirstName] [From.GetOnlyDynastyName].;The hall fell silent as [From.GetFirstName] [From.GetOnlyDynastyName]'s  glove fell to the floor after he threw it square in [FromFrom.GetFirstName] [FromFrom.GetOnlyDynastyName]'s face. The men say this was because of [FromFrom.GetFirstName]'s jests, the result is [From.GetFirstName] [From.GetOnlyDynastyName]'s victory in the ensuing duel.;;El salón quedó en silencio mientras el guante de [From.GetFirstName] [From.GetOnlyDynastyName] caía al suelo tras impactar de lleno en la cara de [FromFrom.GetFirstName] [FromFrom.GetOnlyDynastyName]. Se dice que lo hizo motivado por las chanzas de [FromFrom.GetFirstName]. El resultado fue que [From.GetFirstName] [From.GetOnlyDynastyName] venció en el consiguiente duelo.;;;;;;;;;x
EVTDESC70072;The hall fell silent as [From.GetFirstName] [From.GetOnlyDynastyName]'s  glove fell to the floor after he threw it square in [FromFrom.GetFirstName] [FromFrom.GetOnlyDynastyName]'s face. The men say this was because of [FromFrom.GetFirstName]'s jests, the victor was unclear before the combatants were seperated.;Un silence de mort s'est abattu sur la grande salle alors que le gant de [From.GetFirstName] [From.GetOnlyDynastyName] retombait à terre après avoir gifflé le visage de [FromFrom.GetFirstName] [FromFrom.GetOnlyDynastyName]. On dit que c'est à cause des plaisanteries de [FromFrom.GetFirstName]. Le duel qui s'ensuivit n'a pas réussi à départager les deux combattants.;The hall fell silent as [From.GetFirstName] [From.GetOnlyDynastyName]'s  glove fell to the floor after he threw it square in [FromFrom.GetFirstName] [FromFrom.GetOnlyDynastyName]'s face. The men say this was because of [FromFrom.GetFirstName]'s jests, the victor was unclear before the combatants were seperated.;;El salón quedó en silencio mientras el guante de [From.GetFirstName] [From.GetOnlyDynastyName] caía al suelo después de que acertara de pleno en la cara de [FromFrom.GetFirstName] [FromFrom.GetOnlyDynastyName]. Se dice que fue motivado por las chanzas de [FromFrom.GetFirstName]. No hubo un claro vencedor en el duelo, ya que fueron separados antes de decidirse.;;;;;;;;;x
EVTDESC70073;The hall fell silent as [From.GetFirstName] [From.GetOnlyDynastyName]'s  glove fell to the floor after he threw it square in [FromFrom.GetFirstName] [FromFrom.GetOnlyDynastyName]'s face. The men say this was because of [FromFrom.GetFirstName]'s jests, the result is [FromFrom.GetFirstName] [FromFrom.GetOnlyDynastyName]'s victory in the ensuing duel.;Un silence de mort s'est abattu sur la grande salle alors que le gant de [From.GetFirstName] [From.GetOnlyDynastyName] retombait à terre après avoir gifflé le visage de [FromFrom.GetFirstName] [FromFrom.GetOnlyDynastyName]. On dit que c'est à cause des plaisanteries de [FromFrom.GetFirstName]. Le duel qui s'ensuivit a vu la victoire de [FromFrom.GetFirstName] [FromFrom.GetOnlyDynastyName].;The hall fell silent as [From.GetFirstName] [From.GetOnlyDynastyName]'s  glove fell to the floor after he threw it square in [FromFrom.GetFirstName] [FromFrom.GetOnlyDynastyName]'s face. The men say this was because of [FromFrom.GetFirstName]'s jests, the result is [FromFrom.GetFirstName] [FromFrom.GetOnlyDynastyName]'s victory in the ensuing duel.;;El salón quedó en silencio mientras el guante de [From.GetFirstName] [From.GetOnlyDynastyName] caía al suelo tras impactar de lleno en la cara de [FromFrom.GetFirstName] [FromFrom.GetOnlyDynastyName]. Se dice que fue motivado por las chanzas de [FromFrom.GetFirstName]. [FromFrom.GetFirstName] [FromFrom.GetOnlyDynastyName] venció en el consiguiente duelo.;;;;;;;;;x
EVTDESC70074;During the post tourney celebrations I caught the gaze of my Queen of Love and Beauty, could it be that she desires me?;Durant les célébrations qui ont suivi le tournoi, j'ai remarqué les regards que m'a lancé ma Reine d'Amour et de Beauté. Se pourrait-il qu'elle me désire ?;During the post tourney celebrations I caught the gaze of my Queen of Love and Beauty, could it be that she desires me?;;Durante las celebraciones tras el torneo captaste la mirada de tu Reina del Amor y la Belleza, ¿puede ser que te desee?;;;;;;;;;x
EVTDESC70075;[From.GetTitledFirstName] [From.GetOnlyDynastyName], the winner of the tourney and my champion, has been trying to seduce me all night. He did name me Queen of Love and Beauty, perhaps we are meant for eachother?;[From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName], le vainqueur du tournoi et mon champion, a tenté de me séduire durant une bonne partie de la nuit. Il m'a nommée Reine d'Amour et de Beauté, peut-être sommes nous faits l'un pour l'autre ?;[From.GetTitledFirstName] [From.GetOnlyDynastyName], the winner of the tourney and my champion, has been trying to seduce me all night. He did name me Queen of love and Beauty, perhaps we are meant for eachother?;;[From.GetTitledFirstName] [From.GetOnlyDynastyName], el vencedor del torneo y tu campeón, ha intentado seducirte toda la noche. Te nombró Reina del Amor y la Belleza, tal vez estéis hechos el uno para el otro.;;;;;;;;;x
EVTDESC70076;After much flirting and merriment I have managed to seduce [From.GetFirstName] [From.GetOnlyDynastyName], my Queen of Love and Beauty. My tourney is complete!;Après l'avoir courtisé et égayé pendant des heures je suis parvenu à séduire [From.GetFirstName] [From.GetOnlyDynastyName], ma Reine d'Amour et de Beauté. Mon tournoi est une totale réussite!;After much flirting and merriment I have managed to seduce [From.GetFirstName] [From.GetOnlyDynastyName], my Queen of Love and Beauty. My tourney is complete!;;Tras mucho coqueteo y risas has logrado seducir a [From.GetFirstName] [From.GetOnlyDynastyName], tu Reina del Amor y la Belleza. ¡No quedan más victorias en este torneo!;;;;;;;;;x
EVTDESC70077;Despite my best efforts at flirtation and seduction, [From.GetFirstName] [From.GetOnlyDynastyName], my Queen of Love and Beauty, has rejected my advancements.;Malgré tous mes efforts pour la courtiser et la séduire, [From.GetFirstName] [From.GetOnlyDynastyName], ma Reine d'Amour et de Beauté, a repoussé mes avances.;Despite my best efforts at flirtation and seduction, [From.GetFirstName] [From.GetOnlyDynastyName], my Queen of Love and Beauty, has rejected my advancements.;;A pesar de tus mejores intentos de coqueteo y seducción, [From.GetFirstName] [From.GetOnlyDynastyName], tu Reina del Amor y la Belleza, ha rechazado tus intentos.;;;;;;;;;x
EVTDESC70078;My liege, please choose a tier of tourney for which you would like to know of the medal winners;Messire, choisissez s'il vous plaît une taille de tournoi pour lequel vous voudriez connaître les médailles des vainqueurs;My liege, please choose a tier of tourney for which you would like to know of the medal winners;;Mi señor, por favor escoged de qué modalidad del torneo deseáis conocer a los caballeros que han conseguido medallas.;;;;;;;;;x
