#Natural Disasters ;;;;;;;;;;;;;;x
hit_by_a_meteor;[Root.Location.GetName] is hit by a meteor!;[Root.Location.GetName] est touché par un météore !;;;;;;;;;;x
VIETdisaster.42.a;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.43.desc;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.43.a;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.44.desc;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.44.a;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.45.desc;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.45.a;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.46.desc;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.46.a;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.47.desc;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.47.a;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.48.desc;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.48.a;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.49.desc;xxxxx;xxxxx;;;;;;;;;;x
VIETdisaster.49.a;xxxxx;xxxxx;;;;;;;;;;x
