#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
lip_reader_desc;This character has overcome their deafness by learning how to read lips.;Ce personnage a surmonté sa sordidité en apprenant à lire les lèvres.;This character has overcome their deafness by learning how to read lips.;;Este personaje ha superado su sordera aprendiendo a leer los labios.;;;;;;;;;x
wrymouth_death;of health complications due to wrymouth;de complications de santé dues à la mâchoire déformée;of health complications due to wrymouth;;de complicaciones de salud por quijada deforme;;;;;;;;;x
EVTDESC1000109212;I’ve been deaf for as long as I can remember. I can’t understand anything when people talk to me, and it’s a real hassle when I communicate with anybody. There must be a way for me to understand others’ speech. Perhaps I can try to watch the way their lips move…;Je suis sourd depuis aussi longtemps que je me souviens. Je ne comprends rien quand les gens me parlent, et c'est un vrai problème quand je communique avec n'importe qui. Il doit y avoir un moyen pour moi de comprendre le discours des autres. Je peux peut-être essayer de voir comment leurs lèvres bougent...;I’ve been deaf for as long as I can remember. I can’t understand anything when people talk to me, and it’s a real hassle when I communicate with anybody. There must be a way for me to understand others’ speech. Perhaps I can try to watch the way their lips move…;;Recuerdas haber sido siempre sordo. No entiendes nada cuando la gente te habla, y un auténtico lío comunicarte con cualquiera. Debe haber una forma para ti de entender lo que dicen los demás. Tal vez puedas observar cómo mueven los labios...;;;;;;;;;x
EVTOPTA1000109212;Let’s try this!;Essayons ça !;Let’s try this!;;¡Intentémoslo!;;;;;;;;;x
EVTOPTB1000109212;I should carefully observe everyone’s lips when they speak.;Je devrais observer attentivement les lèvres de tout le monde quand ils parlent.;I should carefully observe everyone’s lips when they speak.;;Debería observar cuidadosamente los labios de los demás cuando hablan.;;;;;;;;;x
EVTOPTC1000109212;I know a few tricks here and there that may help…;Je connais quelques trucs ici et là qui peuvent aider...;I know a few tricks here and there that may help…;;Me conozco un par de trucos que podrían servir...;;;;;;;;;x
EVTDESC1000109046;Ever since I was born, I’ve been deaf. As a child, it was frustrating enough, but now, as a grown adult, it is unbearable. I can’t function in society as well as others, and my disability limits my ability in virtually every field. However, lately I’ve been trying to learn how to lip-read. It may be the only way I can overcome my deafness.;Depuis que je suis né, je suis sourd. En tant qu'enfant, c'était déjà assez frustrant, mais maintenant, en tant qu'adulte, c'est insupportable. Je ne peux pas fonctionner dans la société aussi bien que les autres, et mon handicap limite mes capacités dans pratiquement tous les domaines. Cependant, ces derniers temps, j'ai essayé d'apprendre à lire sur les lèvres. C'est peut-être le seul moyen de surmonter ma surdité.;Ever since I was born, I’ve been deaf. As a child, it was frustrating enough, but now, as a grown adult, it is unbearable. I can’t function in society as well as others, and my disability limits my ability in virtually every field. However, lately I’ve been trying to learn how to lip-read. It may be the only way I can overcome my deafness.;;Has sido sordo desde el momento de nacer. Como niño ya era bastante frustrante, pero ahora de adulto, es insoportable. No te desenvuelves en sociedad tan bien como los demás, y tu incapacidad te limita en casi cualquier cosa que haces. Sin embargo, últimamente has estado aprendiendo a leer los labios, puede que sea la única manera de sobrellevar tu sordera.;;;;;;;;;x
EVTOPTA1000109046;I can do this.;Je peux le faire.;I can do this.;;Puedo hacerlo;;;;;;;;;x
EVTOPTB1000109046;Let me discern how mouths move when people speak.;Permettez-moi de discerner comment les bouches bougent quand les gens parlent.;Let me discern how mouths move when people speak.;;Déjame que estudie cómo se mueven las bocas cuando la gente habla.;;;;;;;;;x
EVTOPTC1000109046;I can reason out a few clever approaches to this problem.;Je peux raisonner quelques approches intelligentes à ce problème.;I can reason out a few clever approaches to this problem.;;Puedo elaborar un par de ideas inteligentes sobre cómo superarlo.;;;;;;;;;x
EVTDESC1000109041;Being blinded was bad enough. Now I can’t even lip-read anymore.;Etre aveugle était déjà assez mauvais. Maintenant, je ne peux même plus lire sur les lèvres.;Being blinded was bad enough. Now I can’t even lip-read anymore.;;Por si no tuvieras bastante con ser sordo, ni siquiera eres capaz de leer los labios.;;;;;;;;;x
EVTOPTA1000109041;NOOOOOOOOOOOOOOOOOO…;NOOOOOOOOOOOOOOOOOON…;NOOOOOOOOOOOOOOOOOO…;;NOOOOOOOOOOOOOOOOOO…;;;;;;;;;x
nick_longshanks;Longshanks;Longues jambes;;;Zancudo;;;;;;;;;x
nick_wrymouth;Wrymouth;Mâchoire déformée;;;Quijada deforme;;;;;;;;;x
nick_deaf;the Deaf;le Sourd;;;el(la) Sordo(a);;;;;;;;;x
nick_swift;the Swift;le Rapide;;;el(la) Veloz;;;;;;;;;x
nick_the_terrifying;the Terrifying;le Terrifiant;;;el(la) Terrorífico(a);;;;;;;;;x
#creative;Creative;Créatif;Creative;;Creativo;;;;;;;;;x
#creative_desc;This character is more imaginative than most, able to concoct innovative solutions and come up with exceptional, unexpected ideas.;Ce personnage est plus imaginatif que la plupart des autres, capable de concocter des solutions innovantes et de proposer des idées exceptionnelles et inattendues.;;;Este personaje tiene más imaginación que la mayoría, capaz de tramar soluciones innovadoras y aparecer con inesperadas y excepcionales ideas.;;;;;;;;;x
calm_voice;Calm Voice;Voix calme;Calm Voice;;Voz calma;;;;;;;;;x
calm_voice_desc;This character's voice is naturally soothing. While it is neither powerful nor melodious, its mildness can calm even the angriest of people, and slyly persuade even the most skeptical of men.;La voix de ce personnage est naturellement apaisante. Bien qu'il ne soit ni puissant ni mélodieux, sa douceur peut calmer même les personnes les plus en colère, et persuader sournoisement même les plus sceptiques des hommes.;;;La voz de este personaje es naturalmente tranquilizadora. Sin ser poderosa ni melodiosa, su sonido apacigua al más enfadado y tímidamente persuade al más escéptico. ;;;;;;;;;x
imposing;Imposing;Imposant;Imposing;;Imponente;;;;;;;;;x
imposing_desc;Whether because of their physical stature or just their typical complexion, this character has a striking posture and a commanding presence. To some, they are even terrifying at times.;Que ce soit en raison de leur stature physique ou simplement de leur teint typique, ce personnage a une posture frappante et une présence dominante. Pour certains, ils sont même parfois terrifiants.;;;Ya sea por su estatura o por su complexión física, este personaje tiene una postura notable y una presencia dominante. Para algunos, es incluso terrorífico a veces.;;;;;;;;;x
fertile;Fertile;Fécond;Fertile;;Fértil;;;;;;;;;x
fertile_desc;This character is ample and "large" in certain respects, so to speak - that is, to put it bluntly, well-endowed - or, as some say, this makes them more fertile.;Ce personnage est ample et "grand" à certains égards, pour ainsi dire - c'est-à-dire, pour parler franchement, bien doté - ou, comme certains le disent, cela les rend plus fertiles.;;;;;;;;;;;;x
#INSULTS/COMPLIMENTS;;;;;;;;;;;;;;x
COMPL_GIANT;giant;géant;;;;;;;;;;;;x
COMPL_FLEET_FOOT;fleet foot;pied léger;;;;;;;;;;;;x
COMPL_SWIFT;swift;rapide;;;;;;;;;;;;x
INSULT_TWINKLE_TOES;twinkle toes;orteils brillants;;;;;;;;;;;;x
INSULT_TWINKLE_TOED;twinkle toed;orteil scintillant;;;;;;;;;;;;x
COMPL_SHARP;sharp;vif;;;;;;;;;;;;x
COMPL_HONEY_VOICE;honey-voiced;à la voix de miel;;;;;;;;;;;;x
COMPL_MIGHTY_VOICE;mighty-voiced;à la voix puissante;;;;;;;;;;;;x
INSULT_DOUBLE_HANDED;double-handed;à deux mains;;;;;;;;;;;;x
INSULT_LEFT_HANDED;left handed;gaucher;;;;;;;;;;;;x
INSULT_LEFT_HANDED_FREAK;left handed freak;gaucher exceptionnel;;;;;;;;;;;;x
COMPL_DEFT;deft;habile;;;;;;;;;;;;x
INSULT_DROOLING;drooling;bave;;;;;;;;;;;;x
INSULT_DEAF;deaf;sourd;;;;;;;;;;;;x
COMPL_DAYDREAMER;daydreamer;rêveur;;;;;;;;;;;;x
INSULT_CUCKOOHEAD;cuckoohead;tête de dingo;;;;;;;;;;;;x
INSULT_OBLIVIOUS;oblivious;inconscient;;;;;;;;;;;;x
COMPL_WELL_ENDOWED;well-endowed;bien pourvu;;;;;;;;;;;;x
INSULT_PHALLUS;phallus;phallus;;;;;;;;;;;;x
INSULT_COCKY;cocky;arrogant;;;;;;;;;;;;x
INSULT_TITS;tits;nichons;;;;;;;;;;;;x
COMPL_IMPOSING;imposing;imposant;;;;;;;;;;;;x
INSULT_SCARY;scary;effrayant;;;;;;;;;;;;x
INSULT_CREEP;creep;sale type;;;;;;;;;;;;x
#LE LIFESTYLE TRAITS;;;;;;;;;;;;;;x
loremaster;Loremaster;Maître des traditions;;;;;;;;;;;;x
loremaster_desc;This character knows much about the history, mythology, geography, and spirituality relevant to his or her people.;Ce personnage connaît bien l'histoire, la mythologie, la géographie et la spiritualité de son peuple.;;;;;;;;;;;;x
herbalist;Herbalist;herboriste;;;;;;;;;;;;x
herbalist_desc;This character is well-versed in local herbs, plants, fungi, minerals, and more, and has the knowledge - handed down from generation to generation - on how best to combine these to produce powerful concoctions.;Ce personnage est bien informé sur les herbes, les plantes, les champignons, les minéraux et plus encore, et possède les connaissances - transmises de génération en génération - sur la meilleure façon de les combiner pour produire de puissantes concoctions.;;;;;;;;;;;;x
VIETtraits.0.desc;The [Root.Culture.GetName] elders know many things - the history of our people, the legends and heroes, the mysteries of nature. I've decided to take some time to learn from them, so that I may become wise and knowledgeable.;Les anciens [Root.Culture.GetName] savent beaucoup de choses - l'histoire de notre peuple, les légendes et les héros, les mystères de la nature. J'ai décidé de prendre le temps d'apprendre d'eux, afin de devenir sage et bien informé.;;;;;;;;;;;;x
VIETtraits.0.a;Tell me the secrets of the world.;Raconte-moi les secrets du monde.;;;;;;;;;;;;x
VIETtraits.1.tooltip;You study with the elders.;Vous étudiez avec les anciens.;;;;;;;;;;;;x
VIETtraits.1.desc;I have learned so much from the elders. But there is so much to learn, so much wisdom handed down from generation to generation. I should focus on something, instead of trying to know everything. ;J'ai tellement appris des anciens. Mais il y a tant à apprendre, tant de sagesse transmise de génération en génération. Je devrais me concentrer sur quelque chose, au lieu d'essayer de tout savoir.;;;;;;;;;;;;x
VIETtraits.1.a;The mysteries of nature intrigue me.;Les mystères de la nature m'intriguent.;;;;;;;;;;;;x
VIETtraits.1.b;I feel attached to the history, legends, and myths of our people.;Je me sens attaché à l'histoire, aux légendes et aux mythes de notre peuple.;;;;;;;;;;;;x
VIETtraits.2.tooltip;The elders teach you the arts of the herbalist.;Les anciens vous enseignent les arts de l'herboriste.;;;;;;;;;;;;x
VIETtraits.2.tooltip.a;You switch focus to studying herbs and plants.;Vous vous concentrez sur l'étude des herbes et des plantes.;;;;;;;;;;;;x
VIETtraits.2.desc;Spending time outside with the elders has been very informative. They have told me of the herbs, nuts, fruits, mushrooms, and so on that provide us with nourishment and heal us, and the ones that deplete our spirit and harm us. I now have a better understanding of nature based on this ancient [Root.Culture.GetName] wisdom. ;Passer du temps à l'extérieur avec les anciens a été très instructif. Ils m'ont parlé des herbes, des noix, des fruits, des champignons, etc. qui nous nourrissent et nous guérissent, et ceux qui épuisent notre esprit et nous nuisent. J'ai maintenant une meilleure compréhension de la nature basée sur cette sagesse ancienne [Root.Culture.GetName].;;;;;;;;;;;;x
VIETtraits.2.a;I will further improve my knowledge!;Je vais continuer à améliorer mes connaissances !;;;;;;;;;;;;x
VIETtraits.2.b;I'm losing interest. Why don't I learn about our glorious past instead?;Je perds de l'intérêt. Pourquoi je n'apprends pas notre glorieux passé à la place ?;;;;;;;;;;;;x
VIETtraits.3.tooltip;The elders teach you the lore of your people.;Les anciens vous enseignent les traditions de votre peuple.;;;;;;;;;;;;x
VIETtraits.3.tooltip.a;You switch focus to studying lore.;Vous vous concentrez sur l'étude des traditions.;;;;;;;;;;;;x
VIETtraits.3.desc;The elders tell me about the glorious heroes, the dastardly tricksters, the epic tales that the [Root.Culture.GetName] people have cherished since time immemorial. I can now recount the achievements of the gods, the struggles of our ancestors, and more. My knowledge of history, mythology, geography, spirituality, and more grow day by day.;Les anciens me parlent des héros glorieux, des arnaqueurs ignobles, des récits épiques que les [Root.Culture.GetName] chérissent depuis des temps immémoriaux. Je peux maintenant raconter les réalisations des dieux, les luttes de nos ancêtres, et plus encore. Ma connaissance de l'histoire, de la mythologie, de la géographie, de la spiritualité et d'autres choses grandissent de jour en jour.;;;;;;;;;;;;x
VIETtraits.3.a;I will continue learning this ancient wisdom.;Je continuerai à apprendre cette sagesse ancienne.;;;;;;;;;;;;x
VIETtraits.3.b;While this is interesting, I feel like I want to study nature instead.;Bien que cela soit intéressant, j'ai l'impression de vouloir étudier la nature à la place.;;;;;;;;;;;;x
VIETtraits.4.tooltip;You learn much in the coming days.;Vous apprendrez beaucoup dans les jours à venir.;;;;;;;;;;;;x
VIETtraits.4.desc;At last, after spending a lot of time studying the various plants and elements, I now know how to procure concoctions can do anything - bottle fame, brew glory, even put a stopper on death!;Enfin, après avoir passé beaucoup de temps à étudier les différentes plantes et éléments, je sais maintenant comment obtenir des concoctions peut faire n'importe quoi - célébrer la bouteille, glorifier, même mettre un frein à la mort !;;;;;;;;;;;;x
VIETtraits.4.a;This knowledge will serve me greatly.;Ces connaissances me seront d'une grande utilité.;;;;;;;;;;;;x
VIETtraits.5.tooltip;Your knowledge expands.;Vos connaissances s'élargissent.;;;;;;;;;;;;x
VIETtraits.5.desc;I've learned so much about our legends and heritage, and I feel as if I better understand why we must do the things we do. People have already come to me for advice and to ask questions about our way of life.;J'ai beaucoup appris sur nos légendes et notre patrimoine, et j'ai l'impression de mieux comprendre pourquoi nous devons faire les choses que nous faisons. Les gens sont déjà venus me demander conseil et me poser des questions sur notre mode de vie.;;;;;;;;;;;;x
VIETtraits.5.a;I am respected by many for my knowledge of [Root.Culture.GetName] lore.;Je suis respecté par beaucoup pour ma connaissance de l'histoire [Root.Culture.GetName].;;;;;;;;;;;;x
VIETtraits.6.desc;Longshanks;Longues jambes;;;;;;;;;;;;x
VIETtraits.6.a;Longshanks;Longues jambes;;;;;;;;;;;;x
VIETtraits.7.desc;Longshanks;Longues jambes;;;;;;;;;;;;x
VIETtraits.7.a;Longshanks;Longues jambes;;;;;;;;;;;;x
VIETtraits.8.desc;Longshanks;Longues jambes;;;;;;;;;;;;x
VIETtraits.8.a;Longshanks;Longues jambes;;;;;;;;;;;;x
VIETtraits.9.desc;Longshanks;Longues jambes;;;;;;;;;;;;x
VIETtraits.9.a;Longshanks;Longues jambes;;;;;;;;;;;;x
VIETtraits.10.desc;Longshanks;Longues jambes;;;;;;;;;;;;x
VIETtraits.10.a;Longshanks;Longues jambes;;;;;;;;;;;;x
VIETtraits.11.desc;Longshanks;Longues jambes;;;;;;;;;;;;x
VIETtraits.11.a;Longshanks;Longues jambes;;;;;;;;;;;;x
VIETtraits.12.desc;Longshanks;Longues jambes;;;;;;;;;;;;x
VIETtraits.12.a;Longshanks;Longues jambes;;;;;;;;;;;;x
VIETtraits.13.desc;Longshanks;Longues jambes;;;;;;;;;;;;x
VIETtraits.13.a;Longshanks;Longues jambes;;;;;;;;;;;;x
VIETtraits.14.desc;Longshanks;Longues jambes;;;;;;;;;;;;x
VIETtraits.14.a;Longshanks;Longues jambes;;;;;;;;;;;;x
VIETtraits.15.desc;Longshanks;Longues jambes;;;;;;;;;;;;x
VIETtraits.15.a;Longshanks;Longues jambes;;;;;;;;;;;;x
VIETtraits.16.desc;Longshanks;Longues jambes;;;;;;;;;;;;x
VIETtraits.16.a;Longshanks;Longues jambes;;;;;;;;;;;;x
VIETtraits.17.desc;Longshanks;Longues jambes;;;;;;;;;;;;x
VIETtraits.17.a;Longshanks;Longues jambes;;;;;;;;;;;;x
VIETtraits.18.desc;Longshanks;Longues jambes;;;;;;;;;;;;x
VIETtraits.18.a;Longshanks;Longues jambes;;;;;;;;;;;;x
VIETtraits.19.desc;Longshanks;Longues jambes;;;;;;;;;;;;x
VIETtraits.19.a;Longshanks;Longues jambes;;;;;;;;;;;;x
