dulcinian_redistribution;Redistribute Wealth from Treasury;Redistribuer la richesse de la trésorerie;;;;;;;;;;;;x
secular_franciscan_desc;This character is a member of the Secular Franciscan Order, a community of Catholic men and women in the world who seek to pattern their lives after Christ in the spirit of St. Francis of Assisi. Pax et bonum!;Ce personnage est membre de l'Ordre Franciscain Séculier, une communauté d'hommes et de femmes catholiques du monde qui cherchent à modeler leur vie selon le Christ dans l'esprit de saint François d'Assise. Pax et bonum !;;;;;;;;;;;;x
wandering_hermit;Wandering Hermit;Ermite errant;;;;;;;;;;;;x
wandering_hermit_desc;This character, with great spiritual conviction, spends his or her life travelling the countryside, preaching the true faith to the masses.;Ce personnage, avec une grande conviction spirituelle, passe sa vie à parcourir les campagnes, prêchant la vraie foi aux masses.;;;;;;;;;;;;x
VIETmisc.10000.name;The Fraticelli Factions;Les factions Fraticelli;;;;;;;;;;;;x
VIETmisc.10000.desc;The Fraticelli faithful are divided into two camps when it comes to the issues of poverty and humility among the clergy and devout. Some, calling themselves the Relaxati, or Conventuals, believe in moderation and in living in settled areas to help the poor - extreme poverty can only go so far, otherwise, how can the Fraticelli way spread? Others, calling themselves the Zelanti, or Spirituals, take a hardline approach, arguing that strict vows of poverty and a solitary, spartan lifestyle are needed for the survival of the faith. While the two groups don't necessarily hate each other, their differing views do put them at odds.;Les fidèles Fraticelli sont divisés en deux camps lorsqu'il s'agit des questions de pauvreté et d'humilité entre le clergé et les dévots. Certains, qui s'appellent eux-mêmes les Relaxati, ou conventionnels, croient à la modération et à la vie dans les zones peuplées pour aider les pauvres - l'extrême pauvreté ne peut aller aussi loin, sinon, comment le chemin Fraticelli peut-il se propager ? D'autres, se qualifiant eux-mêmes de Zelanti, ou Spirituels, adoptent une approche dure, arguant que des vœux stricts de pauvreté et un style de vie solitaire et spartiate sont nécessaires pour la survie de la foi. Bien que les deux groupes ne se haïssent pas nécessairement, leurs points de vue divergents les mettent en désaccord.;;;;;;;;;;;;x
VIETmisc.10000.a;I feel the practical, charitable Relaxati are right.;Je pense que les pragmatiques et les charitables Relaxati ont raison.;;;;;;;;;;;;x
VIETmisc.10000.b;The beliefs of the austere Zelanti have more merit.;Les croyances austères du Zelanti ont plus de mérite.;;;;;;;;;;;;x
VIETmisc.10001.name;The Relaxati are Right!;Les Relaxati ont raison !;;;;;;;;;;;;x
VIETmisc.10001.desc;Perhaps the Zelanti's severe ideology is too extreme, and the Relaxati focus on charity and helping others is truer to Fraticelli doctrine...;Peut-être que l'idéologie sévère de Zelanti est trop extrême, et que les Relaxati se concentrent sur la charité et l'aide aux autres est plus proche de la doctrine Fraticelli ...;;;;;;;;;;;;x
VIETmisc.10001.a;I have made the right choice.;J'ai fait le bon choix.;;;;;;;;;;;;x
VIETmisc.10002.name;The Zelanti are Right!;Les Zelanti ont raison !;;;;;;;;;;;;x
VIETmisc.10002.desc;Perhaps the "moderate" Relaxati have misunderstood the Fraticelli faith, and the more conservative Zelanti have a better understanding of the Fraticelli faith...;Peut-être que les "modérés" Relaxati ont mal compris la foi Fraticelli, et les plus conservateurs Zelanti ont une meilleure compréhension de la foi Fraticelli ...;;;;;;;;;;;;x
VIETmisc.10002.a;I have made the right choice.;J'ai fait le bon choix.;;;;;;;;;;;;x
VIETmisc.10005.desc;One of your courtiers has decided to devote a good amount of the year travelling the realm in extreme poverty, preaching the Gospel to all who will listen, be they peasants, soldiers, nobles, or even animals. Their spiritual credentials should serve them well.;L'un de vos courtisans a décidé de consacrer une bonne partie de l'année à parcourir le royaume dans la misère extrême, prêchant l'évangile à tous ceux qui écouteront, qu'ils soient paysans, soldats, nobles ou même animaux. Leurs références spirituelles devraient bien les servir.;;;;;;;;;;;;x
VIETmisc.10005.a;May much benefit come from our faith.;Puissions-nous bénéficier de notre foi.;;;;;;;;;;;;x
VIETmisc.10006.name;Peace and the Good;La paix et le bien;;;;;;;;;;;;x
VIETmisc.10006.desc;The Order of the Secular Franciscans are an order dedicated to the Fraticelli faith. It is open to anybody not bound by religious vows to another Religious Order and is made up of both the laity and secular clergy. While its members are not bound by public vows like those who are part of religious orders living in community, they are just as dedicated to the tenets of the Fraticelli faith.\n\nI wish to join the Secular Franciscans and dedicate my life to the betterment of the world and the glory of God. I will observe the Gospel and live according to it for all my life.;L'Ordre des Franciscains séculiers est un ordre consacré à la foi Fraticelli. Elle est ouverte à tous ceux qui ne sont pas liés par des vœux religieux à un autre Ordre religieux et est composée à la fois de laïcs et de clercs séculiers. Bien que ses membres ne soient pas liés par des vœux publics comme ceux qui font partie d'ordres religieux vivant en communauté, ils sont tout aussi dévoués aux principes de la foi Fraticelli. Je désire rejoindre les Franciscains séculiers et consacrer ma vie à l'amélioration du monde et à la gloire de Dieu. J'observerai l'Évangile et je vivrai selon lui toute ma vie.;;;;;;;;;;;;x
VIETmisc.10006.a;I am ready for this.;Je suis prêt pour ça.;;;;;;;;;;;;x
VIETmisc.10007.desc;[Root.Religion.GetName];[Root.Religion.GetName];;;;;;;;;;;;x
VIETmisc.10007.a;[Root.Religion.GetName];[Root.Religion.GetName];;;;;;;;;;;;x
opinion_shared_knowledge;Shared knowledge;Partage des connaissances;;;;;;;;;;;;x
become_secular_franciscan;Join the Secular Franciscans;Rejoindre les Franciscains séculiers;;;;;;;;;;;;x
become_secular_franciscan_desc;Will you join the Order of the Secular Franciscans, and devote your life to God and the Franciscan way?;Joindrez-vous l'Ordre des Franciscains séculiers et consacrerez-vous votre vie à Dieu et à la voie franciscaine ?;;;;;;;;;;;;x
VIETmisc.10101.desc;The zealous [Root.Religion.GetName] nobles of your realm are unhappy with your oppressive, extravagant regime. If you don't redistribute the wealth soon, they might consider "purifying" you soon...;Les nobles zélés [Root.Religion.GetName]  de votre royaume sont mécontents de votre régime oppressif et extravagant. Si vous ne redistribuez pas la richesse bientôt, ils pourraient envisager de vous "purifier" bientôt ...;;;;;;;;;;;;x
VIETmisc.10101.a;How treasonous!;Quelle trahison !;;;;;;;;;;;;x
VIETmisc.10102.desc;The zealous [Root.Religion.GetName] clergy of your realm are unhappy with your oppressive, extravagant regime. If you don't redistribute the wealth soon, they might consider "purifying" you soon...;Les clergés zélés [Root.Religion.GetName]  de votre royaume sont mécontents de votre régime oppressif et extravagant. Si vous ne redistribuez pas la richesse bientôt, ils pourraient envisager de vous "purifier" bientôt ...;;;;;;;;;;;;x
VIETmisc.10102.a;How treasonous!;Quelle trahison !;;;;;;;;;;;;x
VIETmisc.10103.desc;The zealous [Root.Religion.GetName] burghers of your realm are unhappy with your oppressive, extravagant regime. If you don't redistribute the wealth soon, they might consider "purifying" you soon...;Les bourgeois zélés [Root.Religion.GetName]  de votre royaume sont mécontents de votre régime oppressif et extravagant. Si vous ne redistribuez pas la richesse bientôt, ils pourraient envisager de vous "purifier" bientôt ...;;;;;;;;;;;;x
VIETmisc.10103.a;How treasonous!;Quelle trahison !;;;;;;;;;;;;x
VIETmisc.10104.desc;The zealous [Root.Religion.GetName] peasants of your realm are unhappy with your oppressive, extravagant regime. If you don't redistribute the wealth soon, they might consider "purifying" you soon...;Les paysans zélés [Root.Religion.GetName]  de votre royaume sont mécontents de votre régime oppressif et extravagant. Si vous ne redistribuez pas la richesse bientôt, ils pourraient envisager de vous "purifier" bientôt ...;;;;;;;;;;;;x
VIETmisc.10104.a;How treasonous!;Quelle trahison !;;;;;;;;;;;;x
VIET_dulcinian_wealth_nobles_react;Nobles Dislike Corrupt [Root.Religion.GetName];Les nobles [Root.Religion.GetName] n'aiment pas la corruption;;;;;;;;;;;;x
VIET_dulcinian_wealth_nobles_react_desc;This ruler gravitates excessive wealth and loves power - why doesn't he or she give it to the needy and poor like a good Dulcinian? All of his or her realm, nobles talk of "purifying" him or her... even permanently, if necessary.;Ce dirigeant gravite autour de la richesse excessive et aime le pouvoir - pourquoi ne le donne-t-elle pas aux nécessiteux et aux pauvres comme un bon Dolcinien. Tout son royaume, les nobles parlent de "purifier" la personne... même en permanence, si nécessaire.;;;;;;;;;;;;x
VIET_dulcinian_wealth_clergy_react;Clergy Dislike Corrupt [Root.Religion.GetName];Le clergé [Root.Religion.GetName] n'aiment pas la corruption;;;;;;;;;;;;x
VIET_dulcinian_wealth_clergy_react_desc;This ruler gravitates excessive wealth and loves power - why doesn't he or she give it to the needy and poor like a good Dulcinian? All of his or her realm, clergy talk of "purifying" him or her... even permanently, if necessary.;Ce dirigeant gravite autour de la richesse excessive et aime le pouvoir - pourquoi ne le donne-t-elle pas aux nécessiteux et aux pauvres comme un bon Dolcinien. Tout son royaume, les clergés parlent de "purifier" la personne... même en permanence, si nécessaire.;;;;;;;;;;;;x
VIET_dulcinian_wealth_burghers_react;Burghers Dislike Corrupt [Root.Religion.GetName];Les bourgeois [Root.Religion.GetName] n'aiment pas la corruption;;;;;;;;;;;;x
VIET_dulcinian_wealth_burghers_react_desc;This ruler gravitates excessive wealth and loves power - why doesn't he or she give it to the needy and poor like a good Dulcinian? All of his or her realm, burghers talk of "purifying" him or her... even permanently, if necessary.;Ce dirigeant gravite autour de la richesse excessive et aime le pouvoir - pourquoi ne le donne-t-elle pas aux nécessiteux et aux pauvres comme un bon Dolcinien. Tout son royaume, les bourgeois parlent de "purifier" la personne... même en permanence, si nécessaire.;;;;;;;;;;;;x
VIET_dulcinian_wealth_peasants_react;Peasants Dislike Corrupt [Root.Religion.GetName];Les paysans [Root.Religion.GetName] n'aiment pas la corruption;;;;;;;;;;;;x
VIET_dulcinian_wealth_peasants_react_desc;This ruler gravitates excessive wealth and loves power - why doesn't he or she give it to the needy and poor like a good Dulcinian? All of his or her realm, peasants talk of "purifying" him or her... even permanently, if necessary.;Ce dirigeant gravite autour de la richesse excessive et aime le pouvoir - pourquoi ne le donne-t-elle pas aux nécessiteux et aux pauvres comme un bon Dolcinien. Tout son royaume, les paysans parlent de "purifier" la personne... même en permanence, si nécessaire.;;;;;;;;;;;;x
